ETF2,Correlation
ACE 200,0.16422971865065236
ACE 200TR,0.15936292161375576
ACE 2차전지&친환경차액티브,0.07014956898790588
ACE ESG액티브,0.1336916106273905
ACE Fn5G플러스,0.16370238704212364
ACE Fn성장소비주도주,0.13205050269453955
ACE 골드선물 레버리지(합성 H),0.3202936258056192
ACE 국고채10년,0.9786804190433693
ACE 국고채3년,0.7094135652052684
ACE 단기통안채,0.27499758552683584
ACE 러시아MSCI(합성),-0.02237779249917563
ACE 레버리지,0.1659880486974749
ACE 멕시코MSCI(합성),-0.0015512108489895912
ACE 미국IT인터넷S&P(합성 H),0.19219758808193235
ACE 미국S&P500,0.03564115093955681
ACE 미국WideMoat동일가중,0.07503368419799725
ACE 미국나스닥100,0.09324890538486132
ACE 미국다우존스리츠(합성 H),0.2390403235288502
ACE 미국친환경그린테마INDXX,0.0788236130565574
ACE 밸류대형,0.11189194805069765
ACE 베트남VN30(합성),0.024757082319624337
ACE 베트남VN30선물블룸버그레버리지(H),0.10850605334066256
ACE 삼성그룹동일가중,0.1569645965108641
ACE 삼성그룹섹터가중,0.1532784751380462
ACE 싱가포르리츠,0.11991493523486665
ACE 아시아TOP50S&P,-0.025110394186068453
ACE 인도네시아MSCI(합성),-0.06676554409342278
ACE 인버스,-0.15511949474394585
ACE 일본Nikkei225(H),0.05694897810490406
ACE 일본TOPIX레버리지(H),0.020378319984000675
ACE 일본TOPIX인버스(합성 H),-0.06272017690185543
ACE 종합채권(AA-이상)KIS액티브,0.8293787217947501
ACE 중국본토CSI300,-0.0843963620208533
ACE 중국본토CSI300레버리지(합성),-0.07915139779436282
ACE 중장기국공채액티브,0.7564695726421584
ACE 차이나항셍테크,-0.006990282784889383
ACE 코스닥150,0.15864699638253874
ACE 코스피,0.16742468024760038
ACE 필리핀MSCI(합성),-0.01703252679576922
BNK금융지주,0.02653336638274513
HANARO 200,0.16203393684932677
HANARO 200TR,0.1690850198830764
HANARO 200선물레버리지,0.15324684245219225
HANARO 200선물인버스,-0.15482419636735734
HANARO e커머스,0.20239880817007883
HANARO Fn K-POP&미디어,0.13790861294936296
HANARO Fn K-게임,0.17362483247779267
HANARO Fn K-뉴딜디지털플러스,0.1871549096690574
HANARO Fn K-반도체,0.14798165918953296
HANARO Fn5G산업,0.14081173922981907
HANARO Fn전기&수소차,0.07249223395170597
HANARO Fn친환경에너지,0.11829700622324837
HANARO KAP초장기국고채,0.8902496615861154
HANARO KRX300,0.16529943710423423
HANARO MSCI Korea TR,0.15259617250671556
HANARO 고배당,0.06654813192155341
HANARO 글로벌럭셔리S&P(합성),0.005501230896283002
HANARO 농업융복합산업,0.0774058794821045
HANARO 단기채권액티브,-0.06262985574606302
HANARO 코스닥150,0.16278173084870218
HANARO 코스닥150선물레버리지,0.16588005494448607
HANARO 탄소효율그린뉴딜,0.15986318938896518
KODEX 200 중소형,0.0951260133532918
KODEX 200,0.16653868959704723
KODEX 200ESG,0.14481519672431478
KODEX 200exTOP,0.12879028835457146
KODEX 200IT TR,0.16490500181113313
KODEX 200TR,0.16509567624937985
KODEX 200가치저변동,0.08285093790570947
KODEX 200동일가중,0.11892150156296254
KODEX 200롱코스닥150숏선물,-0.09988611099098413
KODEX 200미국채혼합,0.2825165271597659
KODEX 200선물인버스2X,-0.16796078370877357
KODEX 2차전지산업,0.07458702060733875
KODEX 3대농산물선물(H),-0.0650346924193792
KODEX IT,0.1607733948519267
KODEX K-뉴딜디지털플러스,0.19117317797429179
KODEX K-미래차액티브,0.11002782303120855
KODEX K-신재생에너지액티브,0.09674462237208997
KODEX K-이노베이션액티브,0.16331367976858732
KODEX KRX300,0.16559793208697285
KODEX KRX300레버리지,0.1527758415575379
KODEX KTOP30,0.13557615308350499
KODEX MSCI EM선물(H),0.1155271781062638
KODEX MSCI KOREA ESG유니버설,0.14709901802205147
KODEX MSCI Korea TR,0.15344004181591325
KODEX MSCI Korea,0.13256575548952856
KODEX MSCI모멘텀,0.09479189407603722
KODEX MSCI밸류,0.061044207320568776
KODEX MSCI퀄리티,0.16378989313227368
