ETF2,Correlation
ACE 200,0.4330289923378924
ACE 200TR,0.42984387467977836
ACE 2차전지&친환경차액티브,0.31168263283067577
ACE ESG액티브,0.4468512177604249
ACE Fn5G플러스,0.3590439297777317
ACE Fn성장소비주도주,0.3266316586346258
ACE 골드선물 레버리지(합성 H),0.06771652812632936
ACE 국고채10년,0.05937732350721116
ACE 국고채3년,0.035847585236141156
ACE 단기통안채,0.02938183872810903
ACE 러시아MSCI(합성),0.09204860926358938
ACE 레버리지,0.4318908140205874
ACE 멕시코MSCI(합성),0.37337802175378254
ACE 미국IT인터넷S&P(합성 H),0.6264957015411186
ACE 미국S&P500,0.6089215272409403
ACE 미국WideMoat동일가중,0.5750895266597454
ACE 미국나스닥100,0.645574150642051
ACE 미국다우존스리츠(합성 H),0.4321374834344375
ACE 미국친환경그린테마INDXX,0.6072291089323282
ACE 밸류대형,0.3892443705776641
ACE 베트남VN30(합성),0.2111034077070152
ACE 베트남VN30선물블룸버그레버리지(H),0.2287122665722123
ACE 삼성그룹동일가중,0.26254268994294294
ACE 삼성그룹섹터가중,0.38632742402505527
ACE 싱가포르리츠,0.24227810011902248
ACE 아시아TOP50S&P,0.4041962199565224
ACE 인도네시아MSCI(합성),0.2374153306660567
ACE 인버스,-0.43203432631934663
ACE 일본Nikkei225(H),0.4905806741649408
ACE 일본TOPIX레버리지(H),0.3771749176863743
ACE 일본TOPIX인버스(합성 H),-0.45289620581730006
ACE 종합채권(AA-이상)KIS액티브,0.04195986481514749
ACE 중국본토CSI300,0.1445420236151715
ACE 중국본토CSI300레버리지(합성),0.14131275294340664
ACE 중장기국공채액티브,0.05371779712306557
ACE 차이나항셍테크,0.25144902778308276
ACE 코스닥150,0.35554530561685865
ACE 코스피,0.4425985701866403
ACE 필리핀MSCI(합성),0.25072305167790654
BNK금융지주,0.19261434214093237
HANARO 200,0.4343042827703296
HANARO 200TR,0.4419762307796486
HANARO 200선물레버리지,0.43605287486771205
HANARO 200선물인버스,-0.4324255877884295
HANARO e커머스,0.3377999864361743
HANARO Fn K-POP&미디어,0.25087652218399137
HANARO Fn K-게임,0.2620138856275071
HANARO Fn K-뉴딜디지털플러스,0.37057711560513407
HANARO Fn K-반도체,0.3749512206082078
HANARO Fn5G산업,0.35013672509885746
HANARO Fn전기&수소차,0.38020170789324526
HANARO Fn친환경에너지,0.3582275533407771
HANARO KAP초장기국고채,0.052191653114487445
HANARO KRX300,0.4532880511341156
HANARO MSCI Korea TR,0.43946155470652104
HANARO 고배당,0.27721574230569423
HANARO 글로벌럭셔리S&P(합성),0.6152569890333188
HANARO 농업융복합산업,0.33339187598561215
HANARO 단기채권액티브,-0.028413584817820334
HANARO 코스닥150,0.3579826314065164
HANARO 코스닥150선물레버리지,0.3572850448052706
HANARO 탄소효율그린뉴딜,0.41027879559309266
KODEX 200 중소형,0.3774046548615524
KODEX 200,0.42673635807859917
KODEX 200ESG,0.4249761481457035
KODEX 200exTOP,0.4496978607458766
KODEX 200IT TR,0.43743569471276794
KODEX 200TR,0.4309197117637016
KODEX 200가치저변동,0.3734004430135934
KODEX 200동일가중,0.3861831449095951
KODEX 200롱코스닥150숏선물,-0.13257997840177327
KODEX 200미국채혼합,0.28469944760862165
KODEX 200선물인버스2X,-0.4262976802439113
KODEX 2차전지산업,0.3104262085993881
KODEX 3대농산물선물(H),0.0033911902317552696
KODEX IT,0.4351753253270272
KODEX K-뉴딜디지털플러스,0.3707579736394394
KODEX K-미래차액티브,0.4374036541629091
KODEX K-신재생에너지액티브,0.3587540186935921
KODEX K-이노베이션액티브,0.4147529069696892
KODEX KRX300,0.42996992279236823
KODEX KRX300레버리지,0.4399101524027128
KODEX KTOP30,0.42067598737573253
KODEX MSCI EM선물(H),0.4253017626765259
KODEX MSCI KOREA ESG유니버설,0.43874156559348787
KODEX MSCI Korea TR,0.44310296718778286
KODEX MSCI Korea,0.4516469938323455
KODEX MSCI모멘텀,0.4176397707888662
KODEX MSCI밸류,0.40021415539297284
KODEX MSCI퀄리티,0.4053239509205872
KODEX S&P글로벌인프라(합성),0.19055386967157523
KODEX Top10동일가중,0.41162358461685306
KODEX Top5PlusTR,0.41929952133552656
KODEX TRF3070,0.5447473834634022
KODEX TRF5050,0.5075072927472536
KODEX TRF7030,0.5807014199769612
KODEX WTI원유선물(H),0.09678583348448985
KODEX WTI원유선물인버스(H),-0.10244025622462351
KODEX 건설,0.26031291862500605
KODEX 게임산업,0.26538792575198
KODEX 경기소비재,0.3168452989749072
