ETF2,Correlation
ACE 200,0.1626940654723299
ACE 200TR,0.15036450442509525
ACE 2차전지&친환경차액티브,0.11193648194518156
ACE ESG액티브,0.13481017552470154
ACE Fn5G플러스,0.12011016979040988
ACE Fn성장소비주도주,0.18819039639089238
ACE 골드선물 레버리지(합성 H),-0.010505113419538421
ACE 국고채10년,-0.005075225742237599
ACE 국고채3년,-0.03618091551941529
ACE 단기통안채,-0.010663647557781817
ACE 러시아MSCI(합성),0.03379847691642815
ACE 레버리지,0.1503757883859084
ACE 멕시코MSCI(합성),0.19184046958438142
ACE 미국IT인터넷S&P(합성 H),0.1292518562938379
ACE 미국S&P500,0.564379123111456
ACE 미국WideMoat동일가중,0.5125567005150746
ACE 미국나스닥100,0.37426636676555447
ACE 미국다우존스리츠(합성 H),0.4103620551686017
ACE 미국친환경그린테마INDXX,0.36878867554231465
ACE 밸류대형,0.16362937229420005
ACE 베트남VN30(합성),0.20288827142806162
ACE 베트남VN30선물블룸버그레버리지(H),0.13331539667243078
ACE 삼성그룹동일가중,0.1395330416471548
ACE 삼성그룹섹터가중,0.1420935226133376
ACE 싱가포르리츠,0.25624306370558403
ACE 아시아TOP50S&P,0.1091250044380816
ACE 인도네시아MSCI(합성),0.24797069245976663
ACE 인버스,-0.14294226172038949
ACE 일본Nikkei225(H),0.24184518111703238
ACE 일본TOPIX레버리지(H),0.22950173630558462
ACE 일본TOPIX인버스(합성 H),-0.2582817804643318
ACE 종합채권(AA-이상)KIS액티브,-0.029136151456875342
ACE 중국본토CSI300,0.11353166419560047
ACE 중국본토CSI300레버리지(합성),0.09877627639008234
ACE 중장기국공채액티브,0.016857511606487626
ACE 차이나항셍테크,0.0463959412803851
ACE 코스닥150,0.1765539965132591
ACE 코스피,0.1492515806152632
ACE 필리핀MSCI(합성),0.181025840320964
BNK금융지주,0.11932719315833402
HANARO 200,0.16542678810818695
HANARO 200TR,0.15149856498754305
HANARO 200선물레버리지,0.14879746352350168
HANARO 200선물인버스,-0.14904169365026743
HANARO e커머스,0.1855159508084909
HANARO Fn K-POP&미디어,0.13949744010584336
HANARO Fn K-게임,0.16608471317037551
HANARO Fn K-뉴딜디지털플러스,0.17498460593306092
HANARO Fn K-반도체,0.06539242699503546
HANARO Fn5G산업,0.16134816262967977
HANARO Fn전기&수소차,0.15343360231730965
HANARO Fn친환경에너지,0.12777602733933824
HANARO KAP초장기국고채,0.0246760132101911
HANARO KRX300,0.1512656613703685
HANARO MSCI Korea TR,0.1375352084248958
HANARO 고배당,0.1738255561304807
HANARO 글로벌럭셔리S&P(합성),0.2023491889712837
HANARO 농업융복합산업,0.11877548955427376
HANARO 단기채권액티브,-0.013812422935071837
HANARO 코스닥150,0.18894445717368732
HANARO 코스닥150선물레버리지,0.17858261405160605
HANARO 탄소효율그린뉴딜,0.11354706067451055
KODEX 200 중소형,0.1929162390725841
KODEX 200,0.16197366624669765
KODEX 200ESG,0.12952249363346474
KODEX 200exTOP,0.13403649140892845
KODEX 200IT TR,0.09920938130986232
KODEX 200TR,0.1563395535588119
KODEX 200가치저변동,0.16983308756055704
KODEX 200동일가중,0.2077846671041667
KODEX 200롱코스닥150숏선물,-0.10677530089343111
KODEX 200미국채혼합,0.284422139104258
KODEX 200선물인버스2X,-0.1604312271910956
KODEX 2차전지산업,0.09703764458351043
KODEX 3대농산물선물(H),0.05139064974372647
KODEX IT,0.0914769861078893
KODEX K-뉴딜디지털플러스,0.17546906513091118
KODEX K-미래차액티브,0.16596306047772716
KODEX K-신재생에너지액티브,0.12504317274246
KODEX K-이노베이션액티브,0.10924838397482728
KODEX KRX300,0.162341027903587
KODEX KRX300레버리지,0.18104774857176834
KODEX KTOP30,0.15660715205109826
KODEX MSCI EM선물(H),0.030128779549586707
KODEX MSCI KOREA ESG유니버설,0.12843929587352249
KODEX MSCI Korea TR,0.13618910075430382
KODEX MSCI Korea,0.13213663347100502
KODEX MSCI모멘텀,0.11380564770413092
KODEX MSCI밸류,0.1716754766795091
KODEX MSCI퀄리티,0.1634286602830742
KODEX S&P글로벌인프라(합성),0.4726124517343655
KODEX Top10동일가중,0.10967176208881001
KODEX Top5PlusTR,0.0950442981369055
KODEX TRF3070,0.28826605115999127
KODEX TRF5050,0.3632083841843858
KODEX TRF7030,0.4346029807112267
KODEX WTI원유선물(H),0.05378942867857966
KODEX WTI원유선물인버스(H),-0.04978301431277889
KODEX 건설,0.192416259992197
KODEX 게임산업,0.15919373549162502
KODEX 경기소비재,0.20274621562449124
KODEX 고배당,0.2000673936052384
KODEX 골드선물(H),-0.024299512875014615
KODEX 골드선물인버스(H),0.012341189036754605
KODEX 구리선물(H),0.020276232589852672
KODEX 국고채3년,-0.004056564229222719
KODEX 국채선물10년,0.01333465115317081
KODEX 국채선물10년인버스,0.008978398041549169
KODEX 국채선물3년인버스,-0.05898071888266604
KODEX 글로벌로봇(합성),0.30940302955568416
KODEX 기계장비,0.12465823734983181
KODEX 단기변동금리부채권액티브,-0.04033913662503762
KODEX 단기채권,0.03510007796406679
KODEX 단기채권PLUS,0.016620392296100708
KODEX 레버리지,0.15416598753084632
KODEX 멀티에셋하이인컴(H),0.12116215042118275
KODEX 멀티팩터,0.1162064903096079
KODEX 모멘텀Plus,0.10705529542996535
KODEX 미국10년국채선물,0.18430236855942053
KODEX 미국30년국채울트라선물(H),-0.019257962362685718
KODEX 미국S&P500TR,0.5569641370333257
KODEX 미국S&P500산업재(합성),0.5582420439021839
KODEX 미국S&P500선물(H),0.3719996644058137
KODEX 미국S&P500에너지(합성),0.24201488857455203
KODEX 미국S&P바이오(합성),0.24731462622723735
KODEX 미국나스닥100TR,0.375830036769979
KODEX 미국나스닥100선물(H),0.2480572483850095
KODEX 미국달러선물,0.19767350849518728
KODEX 미국달러선물레버리지,0.19364590407650462
KODEX 미국달러선물인버스,-0.20655548569623294
KODEX 미국달러선물인버스2X,-0.1984211536238877
KODEX 미국러셀2000(H),0.2900858992381521
KODEX 미국반도체MV,0.16475581833796565
KODEX 미국부동산리츠(H),0.4661285407760177
KODEX 미국빅테크10(H),0.13076609123586436
KODEX 미국스마트모빌리티S&P,0.24546053698636391
KODEX 미디어&엔터테인먼트,0.1748397340304091
KODEX 바이오,0.21250551515361052
KODEX 반도체,0.06553257762518087
KODEX 배당가치,0.14627191550246124
KODEX 배당성장,0.19295885553900477
KODEX 배당성장채권혼합,0.15827279085665508
KODEX 밸류Plus,0.20404249208320838
KODEX 보험,0.124758589507753
KODEX 삼성그룹,0.15822704798931467
KODEX 삼성그룹밸류,0.16356730525769303
KODEX 선진국MSCI World,0.5023710482678414
KODEX 성장주,0.1460200330173459
KODEX 시스템반도체,0.09749058558274347
KODEX 에너지화학,0.12336296385955525
KODEX 운송,0.12017321895768286
KODEX 웹툰&드라마,0.1696332148096415
KODEX 은선물(H),0.005798421010108722
KODEX 은행,0.11312639223406579
KODEX 인버스,-0.15959842327786786
KODEX 일본TOPIX100,0.31064680699899133
KODEX 일본부동산리츠(H),0.20130464376866652
KODEX 자동차,0.15023412172919115
KODEX 종합채권(AA-이상)액티브,-0.032086592510215846
KODEX 증권,0.14771552355038475
KODEX 차이나A50,0.09401358293852773
KODEX 차이나CSI300,0.11266248161067391
KODEX 차이나H,0.09365470136145228
KODEX 차이나H레버리지(H),0.025479893086446805
KODEX 차이나심천ChiNext(합성),0.10464453436528173
KODEX 차이나항셍테크,0.0669364126545315
KODEX 철강,0.11056728054854273
KODEX 최소변동성,0.14504764623911895
KODEX 코스닥150,0.18251198829770898
KODEX 코스닥150레버리지,0.1755986221621424
KODEX 코스닥150롱코스피200숏선물,0.09021337460471954
KODEX 코스닥150선물인버스,-0.18408390171931674
KODEX 코스피,0.16011668081289523
KODEX 코스피100,0.13829711330568928
KODEX 코스피TR,0.15584597119443458
KODEX 코스피대형주,0.1375646426069296
KODEX 콩선물(H),0.05080361568521563
KODEX 퀄리티Plus,0.1907725350369696
KODEX 탄소효율그린뉴딜,0.14693913538255496
KODEX 필수소비재,0.15449290779998592
KODEX 한국대만IT프리미어,0.10190964158788428
KODEX 헬스케어,0.19836997706088608
KODEX 혁신기술테마액티브,0.1345133811036404
KOSEF 200,0.16095439922474486
KOSEF 200TR,0.15306321883434046
KOSEF 200선물레버리지,0.15538616413307235
KOSEF 200선물인버스,-0.14863357536047744
KOSEF 200선물인버스2X,-0.15049627490388542
KOSEF Fn중소형,0.20111138013436966
KOSEF KRX100,0.13805443041383061
KOSEF 고배당,0.1925491351718912
KOSEF 국고채10년,-0.0064987798216035245
KOSEF 국고채10년레버리지,0.0032643847217224548
KOSEF 국고채3년,-0.05491137394377316
KOSEF 글로벌디지털경제,0.14456165925384337
KOSEF 글로벌퓨처모빌리티,0.12294015615828137
KOSEF 단기자금,-0.023136959831777902
KOSEF 미국달러선물,0.19336590342642973
KOSEF 미국달러선물레버리지,0.20378203371008408
KOSEF 미국달러선물인버스,-0.19081078518250977
KOSEF 미국달러선물인버스2X,-0.19524987149215625
KOSEF 블루칩,0.22159552704400998
KOSEF 인도Nifty50(합성),0.2775187037253426
KOSEF 코스닥150,0.16810747978290622
KOSEF 코스닥150선물레버리지,0.1828933080609075
KOSEF 코스닥150선물인버스,-0.17930550809505968
KOSEF 코스피100,0.14508172498423003
KOSEF 통안채1년,-0.026356815303483137
NEW,0.12939891492083178
PLUS 200,0.16207939325127318
PLUS 200선물레버리지,0.14789933072974998
PLUS 200선물인버스2X,-0.1487573233138422
PLUS ESG가치주액티브,0.13679287629654033
PLUS ESG성장주액티브,0.14957413163244146
PLUS KS로우볼가중TR,0.16329435664214254
PLUS KS로우사이즈가중TR,0.17974189505213028
PLUS KS모멘텀가중TR,0.16386961855642163
PLUS KS밸류가중TR,0.16526020610127298
PLUS S&P글로벌인프라,0.3101423011224911
PLUS 고배당저변동50,0.16116977018500236
PLUS 고배당주,0.15284192701445062
PLUS 고배당주채권혼합,0.15835437102093675
PLUS 국채선물10년,0.008148578457302266
PLUS 국채선물3년,-0.02459385570121118
PLUS 글로벌MSCI(합성 H),0.23821271753342538
PLUS 단기채권액티브,0.02691606941437206
PLUS 미국S&P500(H),0.3726713365900185
PLUS 미국나스닥테크,0.2464336969266763
PLUS 미국다우존스고배당주(합성 H),0.3911460757535242
PLUS 미국단기회사채(AAA~A),0.19138190970981225
PLUS 미국장기우량회사채,0.16548825229307662
PLUS 선진국MSCI(합성 H),0.0992727572215774
PLUS 스마트베타Quality채권혼합,0.18262005910503046
PLUS 신흥국MSCI(합성 H),0.07521062860545169
PLUS 신흥국MSCI인버스(합성 H),-0.03745163090233551
PLUS 심천차이넥스트(합성),0.06187422867063956
PLUS 우량회사채50,-0.043314489014486035
PLUS 주도업종,0.1434460703435988
PLUS 중형주저변동50,0.2185295547317957
PLUS 코스닥150,0.17509594806055884
PLUS 코스닥150선물인버스,-0.17240039463214205
PLUS 코스피,0.1627353621896808
PLUS 코스피50,0.13842748857507545
PLUS 코스피TR,0.15737744219483327
RISE 200,0.1579919789740226
RISE 200TR,0.1538210477883175
RISE 200고배당커버드콜ATM,0.19614287146445164
RISE 200금융,0.12225013222053743
RISE 200선물레버리지,0.1562594373269267
RISE 200선물인버스,-0.16378765398315076
RISE 200선물인버스2X,-0.1480170669046867
RISE 5G테크,0.10849729262629841
RISE 5대그룹주,0.11471210625833397
RISE ESG사회책임투자,0.17044687606633147
RISE IT플러스,0.13283264764559446
RISE KIS국고채30년Enhanced,0.016499705536193815
RISE KQ고배당,0.22772809728480692
RISE KRX300,0.17251419397438184
RISE V&S셀렉트밸류,0.17127646181007075
RISE V&S셀렉트밸류채권혼합,0.14079629629561838
RISE 게임테마,0.16854383079005392
RISE 고배당,0.15797832128481062
RISE 국고채3년,-0.03771664512479582
RISE 국고채3년선물인버스,0.041577521954153825
RISE 국채선물10년,0.00971252028976312
RISE 국채선물10년인버스,0.021761486955471584
