ETF2,Correlation
ACE 200,0.012252605359215163
ACE 200TR,0.00891426319643521
ACE 2차전지&친환경차액티브,0.00927314462340692
ACE ESG액티브,-0.008755173885445776
ACE Fn5G플러스,0.01005938535656539
ACE Fn성장소비주도주,-0.010323948192687088
ACE 골드선물 레버리지(합성 H),0.09412147905682434
ACE 국고채10년,0.4374931271189552
ACE 국고채3년,0.17131566418897207
ACE 단기통안채,0.9322074470593259
ACE 러시아MSCI(합성),0.00023602990035119178
ACE 레버리지,0.008585834762188757
ACE 멕시코MSCI(합성),-0.02830571766380939
ACE 미국IT인터넷S&P(합성 H),0.07291737785563751
ACE 미국S&P500,0.013400080582066412
ACE 미국WideMoat동일가중,0.043162328504960976
ACE 미국나스닥100,0.0329043749180617
ACE 미국다우존스리츠(합성 H),0.050014177296757424
ACE 미국친환경그린테마INDXX,-0.009399583393825631
ACE 밸류대형,0.004752790695020836
ACE 베트남VN30(합성),-0.017214702238207914
ACE 베트남VN30선물블룸버그레버리지(H),-0.013651519007827758
ACE 삼성그룹동일가중,0.028240559355247188
ACE 삼성그룹섹터가중,0.018464895057761502
ACE 싱가포르리츠,0.00017780299739176427
ACE 아시아TOP50S&P,-0.07320187271579023
ACE 인도네시아MSCI(합성),-0.011514468400484309
ACE 인버스,-0.009462634385941273
ACE 일본Nikkei225(H),-0.017150565837057603
ACE 일본TOPIX레버리지(H),-0.03427766611308594
ACE 일본TOPIX인버스(합성 H),0.01840989216380447
ACE 종합채권(AA-이상)KIS액티브,0.19011832578021465
ACE 중국본토CSI300,-0.020199323685683
ACE 중국본토CSI300레버리지(합성),-0.029713094353599076
ACE 중장기국공채액티브,0.21148690674988896
ACE 차이나항셍테크,0.004116165866889086
ACE 코스닥150,0.01145290720961201
ACE 코스피,0.014309659207511134
ACE 필리핀MSCI(합성),0.02772106806477628
BNK금융지주,0.0884678209655696
HANARO 200,0.01098668725971772
HANARO 200TR,0.012425052527179615
HANARO 200선물레버리지,0.008751740293071693
HANARO 200선물인버스,-0.011583034669352755
HANARO e커머스,-0.011656699552183654
