ETF2,Correlation
AAXJ,0.12156813347701154
ACWI,0.14105623861410202
ACWV,0.20010942918436062
ACWX,0.15367857779286853
AFK,0.12580135082117488
AGG,0.8546115111075141
AGQ,0.21878585807874143
AGZD,-0.11747189533009594
AIA,0.12396270245971683
AMLP,0.06860575265498083
ANGL,0.3726335892085472
AOA,0.2020555803846267
AOK,0.5171502873425529
AOM,0.4061922395853977
AOR,0.2716323761090167
ARGT,0.12372129702800645
ASEA,0.15220736173699523
ASHR,0.04405902722387034
BAB,0.629200043615439
BIL,0.10398790826618619
BIV,0.8426935797387977
BIZD,0.09631919823313881
BKLN,0.13769726640499277
BLV,0.7576389546762827
BND,0.8763128383640975
BNDX,0.6407567607334281
BNO,-0.020903455964401817
BOIL,0.006319432266328027
BOND,0.8025270276232985
BRZU,0.11080379301347446
BSV,0.770297189436288
BTAL,-0.050709098658399135
BWX,0.5690940359154814
BWZ,0.3756694886738638
BZQ,-0.10788180207766353
CANE,0.02232132169177913
CEMB,0.3646771792503219
CGW,0.22720006075581162
CHIQ,0.06495782146726341
CMBS,0.6000540646742503
CMF,0.28653172541683564
COPX,0.0786653368486628
CORN,0.0005757700155449186
CORP,0.7096556904707106
CPER,0.012805399851997624
CQQQ,0.07029024831206186
CURE,0.10099438312416503
CWB,0.17197775093598314
CWI,0.15192496678784523
CXSE,0.07742800810203744
DBA,0.00749424476645045
DBB,0.048046017739981066
DBC,0.012039510056698566
DBEF,0.006128123383050559
DBEU,0.04286907340050109
DBJP,-0.046947520276838295
DBO,-0.05312769294588103
DDM,0.10562013844451262
DEM,0.1331699398510457
DES,0.12717660281069182
DEW,0.14700684094635086
DFJ,0.15223916380929264
DGP,0.2840811227740562
DGRE,0.1254600703938621
DGRS,0.09735483313565002
DGRW,0.12472367546296248
DGS,0.16527202966503754
DHS,0.13276940926592054
DIA,0.10254765495377126
DIG,0.005692249505758209
DIV,0.19077317006187372
DJP,0.061924220305146556
DLN,0.1269167128917927
DLS,0.18308383791598265
DNL,0.19070847048441647
DOG,-0.10259606070846969
DON,0.12584009263567664
DRN,0.28853416126194675
DRV,-0.2768236107991857
DSI,0.13930165429530209
DTD,0.12699038075316668
DTH,0.13190061137512923
DUG,-0.008311638816244811
DUST,-0.21068387853421006
DVY,0.14405669474377375
DVYE,0.1379847839086044
DWAS,0.08398512929616482
DWM,0.15763361337569562
DXD,-0.10389931406699159
DXJ,-0.06484059131770697
DXJS,-0.053888206943568974
EBND,0.41021978575306994
ECH,0.12122805089264281
ECNS,0.06339971714437152
EDC,0.12895569936681786
EDIV,0.13260818808389496
EDV,0.6665576949311521
EDZ,-0.13171053083627396
EELV,0.16656036103012178
EEM,0.12653268231961784
EEMA,0.12738253855634446
EEMV,0.1497291975361712
EFA,0.15280219498022832
EFG,0.1915523161189452
EFV,0.10546442443098071
EFZ,-0.15276993874751646
EIDO,0.10910558794937604
EMB,0.5220857061326882
EMHY,0.3979160389727683
EMLC,0.3590597074752359
ENFR,0.10563583049770144
ENOR,0.09681399325354445
ENZL,0.22067917680622887
EPHE,0.1483332942604361
EPI,0.09553237396530874
EPOL,0.14982743852329444
EPP,0.16160839337155045
EPS,0.11911379764639735
EPV,-0.14323949692765925
EQWL,0.12249105422716405
ERX,0.0038608833738986207
ERY,-0.0089446463322744
EUFN,0.04897459654737103
EUM,-0.130220666546268
EURL,0.14975273160981367
EUSA,0.15469755375046035
EWA,0.17298046153744004
EWC,0.16901013667282586
EWD,0.14900910686272162
EWG,0.13493041938693778
EWH,0.06500595661922605
EWI,0.10142376122707601
EWJ,0.14238320496268578
EWL,0.20132921468886594
EWM,0.12040010697766183
EWP,0.10521892711921664
EWQ,0.13884549354930284
EWS,0.13754605313000742
EWT,0.12347877220997375
EWU,0.1016777753827736
EWV,-0.15040964787076813
EWW,0.12098200929254317
EWX,0.14638447180765457
EWY,0.15606721585264563
EWZ,0.11107502160089376
EWZS,0.1232615856814448
EZA,0.18206244295877316
EZU,0.13226840015183197
FAN,0.22167282640908806
FAS,0.048667269395645425
FAZ,-0.055341415565676885
FBT,0.09734785173262428
FCA,0.040602710709057147
FCG,0.003171748319690582
FCOM,0.14962812718343646
FDD,0.13263836048097824
FDIS,0.15302598715592575
FDL,0.13873122743479707
FDN,0.14248110117186397
FDT,0.14632742384061714
FEM,0.12516789485154886
FEMS,0.11704351740357968
FENY,0.006629330649074961
FEZ,0.13218850517301325
FGD,0.13925136361891946
FHLC,0.1063758924722117
FIDU,0.1008881843339951
FIW,0.16745705669772476
FLOT,0.2340879363463162
FLRN,0.20181876426773873
FLTR,0.14926776535744685
FM,0.08980823528613661
FMAT,0.10673806357215035
FMF,-0.086080757290328
FNCL,0.041894062141839064
FNDA,0.12061071272647528
FNDB,0.10047011847147423
FNDC,0.18557561807688194
FNDE,0.106299920074114
FNDF,0.12119396125003037
FNDX,0.10827020094847699
FPE,0.18330666028071232
FRI,0.25174036652232823
FSTA,0.15985381721453187
FTA,0.10815143512641501
FTC,0.11246668797661476
FTCS,0.12892304368965843
FTEC,0.13425996037145277
FTGC,0.03528968074458421
FTQI,0.1021779694210682
FTRI,0.0638956393516867
FTSL,0.1768414178366421
FUTY,0.2637974096335156
FVD,0.1715566274686829
FXH,0.11877376597165613
FXI,0.074928378926097
FXL,0.12142247137083949
FXN,0.01610735462200434
FXO,0.06171870136419656
FXR,0.10401134150516575
FXU,0.23911300502338048
FXY,0.385475717411356
FXZ,0.08019380721447558
FYLD,0.10334822461565144
GCC,0.02513788421700525
GDX,0.24123675234424918
GDXJ,0.2582040862139117
GLD,0.3188510216094019
GLTR,0.2886596188435842
GMF,0.10969965992865337
GNR,0.0931033734797124
GOVI,0.7189738945773567
GOVT,0.7544653350264561
GREK,0.04739485870407511
GRID,0.15493665722774463
GRPM,0.11231255678084011
GSG,-0.0046175982059876025
GSY,0.3084963642651012
GUNR,0.10072883081289911
GVI,0.8106488425325877
GWX,0.19545140073880649
GXC,0.0703613849146314
HAUZ,0.1937527177593972
HDGE,-0.13982406273920164
HEDJ,0.040947917875659996
HYD,0.3861437719399698
HYEM,0.2761030436415769
HYG,0.3594296687018052
HYLS,0.2916835406896387
HYMB,0.38122048770696615
HYS,0.3257943252648541
HYZD,0.038020555221779134
IAI,0.02937639472123111
IAK,-0.003191161354586211
IAT,-0.008272127517379784
IAU,0.31998318353341004
IBB,0.10499218320046821
IBND,0.453733160606736
ICF,0.2733386687070206
ICLN,0.19425995321740808
ICSH,0.18564434756139014
IDHQ,0.17918409378127634
IDLV,0.22385270497412682
IDMO,0.11769811594153813
IDU,0.26211217609086046
IDV,0.14807859241370322
IDX,0.12146340454766337
IEF,0.7964646974637949
IEFA,0.15556692115782994
IEI,0.8091789979081873
IEMG,0.13073890829332732
IEO,0.00632204799669212
IEV,0.13882196002932595
IEZ,-0.0026757093381840455
IGE,0.05112365403693182
IGF,0.2268043315299014
IGIB,0.777318617491888
IGLB,0.7160612447345922
IGM,0.13638906006634302
IGOV,0.5823100311061274
IGPT,0.115838605014433
IGSB,0.6055108403894759
IGV,0.14576568438198964
IHE,0.06478048714100942
IHF,0.07151979848854875
IHI,0.13992323519523472
IJH,0.12416476510632325
IJJ,0.11333466837108709
IJK,0.1386503272201817
IJR,0.11801530114656583
IJS,0.12300724140212047
IJT,0.11202580870681951
ILCB,0.13915968608521517
ILCG,0.14115894606452534
ILCV,0.11668076591482997
ILF,0.11348029594988436
ILTB,0.7524872041485532
IMCB,0.12775327149609947
IMCG,0.152253235529066
IMCV,0.11636661288868282
INCO,0.10435247487819796
INDA,0.10010069909210502
INDL,0.08007116721834921
INDY,0.0807505799714752
IOO,0.12639763460272682
ISCG,0.1443751731010359
ISHG,0.3478540625227835
ISTB,0.7530505132845671
ITA,0.07043798014585
ITB,0.22999534041702244
ITM,0.4504075918013802
ITOT,0.13725864005331317
IUSV,0.11585390607359791
IVE,0.11483845944128447
IVOO,0.12290176523121091
IVV,0.13036405605602422
IVW,0.140789310516808
IWB,0.13511837506428312
IWC,0.10645568069601455
IWD,0.11590616241829228
IWF,0.1415663550829234
IWL,0.1317868011973075
IWM,0.12846004496975616
