ETF2,Correlation
AAXJ,0.40717302849450754
ACWI,0.5135975149479473
ACWV,0.5025103579264092
ACWX,0.49772375272571334
AFK,0.42074451010173175
AGG,0.1065615190407303
AGQ,0.17997667901531064
AGZD,0.042333618540960884
AIA,0.3659252534734151
AMLP,0.3548446015107133
ANGL,0.40315649709823664
AOA,0.49761326016927726
AOK,0.439344848722133
AOM,0.4744396571501113
AOR,0.4922363741682887
ARGT,0.39104035127887504
ASEA,0.36920421546655463
ASHR,0.22984847748582501
BAB,0.10869560017338767
BIL,-0.01198413862326987
BIV,0.005252371779108073
BIZD,0.39696069494676234
BKLN,0.38800254985782096
BLV,0.04095190614926699
BND,0.07396319235568563
BNDX,0.1036027993546124
BNO,0.1686855905916185
BOIL,0.05547993021859684
BOND,0.14473738615581672
BRZU,0.343622577416312
BSV,0.04528255846821867
BTAL,-0.1224547337033822
BWX,0.12356318202744478
BWZ,0.07610157961507166
BZQ,-0.3351532330789264
CANE,0.08502344313762861
CEMB,0.29146039886816644
CGW,0.4741059434004884
CHIQ,0.29175881317779734
CMBS,-0.016857948109114777
CMF,0.05478326955549879
COPX,0.3787068776637267
CORN,0.05323281306002394
CORP,0.11659181616561393
CPER,0.12357688476477237
CQQQ,0.2855857802567338
CURE,0.43255540279267973
CWB,0.49682805924295315
CWI,0.49056303460347345
CXSE,0.25580590255723035
DBA,0.13018950751147645
DBB,0.15872351763092674
DBC,0.20431970223386592
DBEF,0.45865745740353153
DBEU,0.4668777733046005
DBJP,0.3742518251260213
DBO,0.19516594518732336
DDM,0.4823817422414514
DEM,0.43827901189836604
DES,0.4909528353990092
DEW,0.47707694334077294
DFJ,0.37779307737953727
DGP,0.051559216343108345
DGRE,0.4281376881316709
DGRS,0.49988510501241484
DGRW,0.4877997297842873
DGS,0.4527248969660774
DHS,0.46989580437988504
DIA,0.4918650192917341
DIG,0.3349770535033755
DIV,0.5150657040567689
DJP,0.22466998838578603
DLN,0.49133888082477045
DLS,0.4879377355030138
DNL,0.4705091887867332
DOG,-0.4912899569608632
DON,0.5204253432808613
DRN,0.3948714362163483
DRV,-0.43770471578368475
DSI,0.48869037619656797
DTD,0.4950024316305761
DTH,0.48034258225695553
DUG,-0.36243378911688695
DUST,-0.18268931236638028
DVY,0.4591224410799155
DVYE,0.41856109687728266
DWAS,0.5159958182229598
DWM,0.4908482008826844
DXD,-0.49165341173168764
DXJ,0.3732334291839324
DXJS,0.36290369560595914
EBND,0.3204119185540647
ECH,0.3568690211984016
ECNS,0.2570411459071402
EDC,0.43580917432145283
EDIV,0.41884869261319035
EDV,-0.09771885971120733
EDZ,-0.4383917312084956
EELV,0.4435177019261883
EEM,0.44340712733988363
EEMA,0.39291344970855174
EEMV,0.43976447103689015
EFA,0.4853938852297997
EFG,0.47574279930710245
EFV,0.4774979086610927
EFZ,-0.4878715069735391
EIDO,0.3472261327520142
EMB,0.42151902379282646
EMHY,0.45081362635187633
EMLC,0.3407391457717245
ENFR,0.3965081079778517
ENOR,0.4139401911298067
ENZL,0.36444302229253145
EPHE,0.4069541372476268
EPI,0.37250986375190476
EPOL,0.3523699016252849
EPP,0.4425156498855647
EPS,0.48378055282061616
EPV,-0.4869354609924926
EQWL,0.45932701403883086
ERX,0.3752365990063796
ERY,-0.402140607829546
EUFN,0.43018352771971863
EUM,-0.44060890086552884
EURL,0.48097944848106783
EUSA,0.5197149739976544
EWA,0.45409777270586804
EWC,0.4377544305431351
EWD,0.45455483805647723
EWG,0.4520017326582634
EWH,0.3051704117898251
EWI,0.4066975726142044
EWJ,0.38705084204977475
EWL,0.43904024272615166
EWM,0.3315811971950533
EWP,0.42605936351721035
EWQ,0.45666524766746774
EWS,0.3768186974055114
EWT,0.3771818849046404
EWU,0.46415279783357394
EWV,-0.37569156361360045
EWW,0.39288180110302523
EWX,0.4542715701359785
EWY,0.3925395668538637
EWZ,0.3729248916330581
EWZS,0.37780327823156107
EZA,0.3920752573946375
EZU,0.46582038549730914
FAN,0.4549766159089091
FAS,0.463022477669115
FAZ,-0.4691769530774954
FBT,0.37602085663777945
FCA,0.23789661186593064
FCG,0.27758125798726735
FCOM,0.4168170200975503
FDD,0.4470007116694468
FDIS,0.4784076230270514
FDL,0.4511549949516765
FDN,0.4190091216142575
FDT,0.4803588211930704
FEM,0.43796631601959024
FEMS,0.40852810042626647
FENY,0.3618375651003821
FEZ,0.4632038109120736
FGD,0.4780451575031375
FHLC,0.44580571720347884
FIDU,0.4790005897158984
FIW,0.47619634880234746
FLOT,0.42640244440527875
FLRN,0.43055440419322055
FLTR,0.42526003929249545
FM,0.41366356794160586
FMAT,0.4794502983843576
FMF,-0.0069666430980729705
FNCL,0.45798504594360917
FNDA,0.5101100462800198
FNDB,0.5009141177916452
FNDC,0.49040543796109654
FNDE,0.4253161493427918
FNDF,0.4759685918134927
FNDX,0.49298665090777005
FPE,0.4852709596346907
