ETF2,Correlation
AAXJ,0.5138178079007336
ACWI,0.6462781407022997
ACWV,0.5770459851059099
ACWX,0.5722027435627759
AFK,0.3976912333874658
AGG,0.08207131211514926
AGQ,0.14680653419788556
AGZD,0.03320015033639985
AIA,0.4775462786493581
AMLP,0.35487714863170133
ANGL,0.40339562526090006
AOA,0.6461080258327818
AOK,0.5514229832725723
AOM,0.5985249977370103
AOR,0.6354622545130816
ARGT,0.4448718461484647
ASEA,0.3950290756261123
ASHR,0.2915876911849888
BAB,0.006845807623304315
BIL,-0.028198210977836143
BIV,0.019990769111432823
BIZD,0.3766981190926981
BKLN,0.3502923368555038
BLV,0.03974924439624828
BND,0.07822763593793203
BNDX,0.07774690547967904
BNO,0.1565443185228072
BOIL,0.03368640159116966
BOND,0.08966677690751032
BRZU,0.31551272775687456
BSV,0.01676228568371151
BTAL,-0.2666140433504009
BWX,0.08891056036537547
BWZ,0.07685717303485197
BZQ,-0.3007616118001167
CANE,0.05608583490664085
CEMB,0.2009963919541285
CGW,0.5690288681463836
CHIQ,0.4151461983398365
CMBS,-0.021686006164701482
CMF,0.0371166522104913
COPX,0.39861728596879403
CORN,0.0312338464453875
CORP,0.1499332102955182
CPER,0.1421992378432731
CQQQ,0.4375701811936665
CURE,0.734290617672535
CWB,0.665889578167339
CWI,0.5723308624560278
CXSE,0.38275941726745266
DBA,0.10059497906053844
DBB,0.20286384217713643
DBC,0.1802425202118599
DBEF,0.5594101175493484
DBEU,0.5565950664607415
DBJP,0.47866257674808904
DBO,0.16339874401786333
DDM,0.5977177940134524
DEM,0.4684172904181426
DES,0.5555144947908477
DEW,0.537544789114395
DFJ,0.4647199216131189
DGP,0.015459945695470302
DGRE,0.4686673599436196
DGRS,0.5468268977862841
DGRW,0.6310457980642832
DGS,0.4996393503725954
DHS,0.5260786103707706
DIA,0.596887514415458
DIG,0.35826724486524053
DIV,0.4483784864595677
DJP,0.18645530201762753
DLN,0.5967677133359167
DLS,0.5472561336296665
DNL,0.5507881534327148
DOG,-0.5953795665736341
DON,0.5637977026157586
DRN,0.4463259508549579
DRV,-0.4548295596865257
DSI,0.6652776953947277
DTD,0.5951407889012269
DTH,0.5162454004217809
DUG,-0.36592834104695826
DUST,-0.12636237175133747
DVY,0.4918750297756411
DVYE,0.44019471331245846
DWAS,0.7291328685349234
DWM,0.5502701431713881
DXD,-0.5973114851951484
DXJ,0.4671754708628947
DXJS,0.44349816295947964
EBND,0.30625684618230525
ECH,0.32321035627633266
ECNS,0.3517659018883723
EDC,0.5144990639559698
EDIV,0.45016506874204587
EDV,-0.10503314221444866
EDZ,-0.5159796937081278
EELV,0.46629139572788164
EEM,0.5123658064139766
EEMA,0.4956294923871413
EEMV,0.5002896239468827
EFA,0.5658576980916163
EFG,0.5926259734439996
EFV,0.5112158860594941
