ETF2,Correlation
AAXJ,0.6163332931051694
ACWI,0.6961177683724176
ACWV,0.5606334763089827
ACWX,0.6603425285894509
AFK,0.5268830433418091
AGG,0.13131481759238567
AGQ,0.23303510978928527
AGZD,0.04560484817944829
AIA,0.5900957814565445
AMLP,0.447553578296146
ANGL,0.48878789857467364
AOA,0.6975775762575948
AOK,0.6086214946595082
AOM,0.6611855602962026
AOR,0.6905195248304767
ARGT,0.5581959532858882
ASEA,0.47026335556812143
ASHR,0.33657222651458096
BAB,0.06251633736383717
BIL,0.020736951085769496
BIV,0.07029018191514497
BIZD,0.5049377663877137
BKLN,0.4326269152202579
BLV,0.07974199135392673
BND,0.11687225566329933
BNDX,0.10314647697255423
BNO,0.2586374379254897
BOIL,0.07804644358257351
BOND,0.13523245292717606
BRZU,0.40329176787727405
BSV,0.07559895023961428
BTAL,-0.36199811681781974
BWX,0.18095095716589518
BWZ,0.1727868062018309
BZQ,-0.39691241624396045
CANE,0.10434661482034084
CEMB,0.30842587831614565
CGW,0.6455331817430328
CHIQ,0.5523878593318087
CMBS,-0.01574256791869432
CMF,0.06993819239547122
COPX,0.5440062702208737
CORN,0.06616481840872876
CORP,0.19701489313633552
CPER,0.20247016930326237
CQQQ,0.5445941104044066
CURE,0.4751880428266355
CWB,0.7578594271491956
CWI,0.6576132900284086
CXSE,0.49024294469467106
DBA,0.16809807123228696
DBB,0.27260772084696794
DBC,0.308511030283513
DBEF,0.5835005794392962
DBEU,0.5769885674890568
DBJP,0.48846709173143704
DBO,0.275144182534255
DDM,0.6130650536516913
DEM,0.5541595092371787
DES,0.6677753097342192
DEW,0.6014847060037332
DFJ,0.489975431752501
DGP,0.06277385675702639
DGRE,0.5654236825518295
DGRS,0.6539198555932435
DGRW,0.6148782315387489
DGS,0.5843515280549118
DHS,0.562387825728936
DIA,0.6133359307610069
DIG,0.4858991309869699
DIV,0.5572985121976597
DJP,0.3098427079109746
DLN,0.6044894696437982
DLS,0.639200160824489
DNL,0.6333165403646829
DOG,-0.6115392084485629
DON,0.6702238787642952
DRN,0.5028032064035779
DRV,-0.5138455686724865
DSI,0.679094097048959
DTD,0.620670312090623
DTH,0.5846813918832257
DUG,-0.49318544349593474
DUST,-0.18856637835530057
DVY,0.5702143685611928
DVYE,0.526868596084458
DWAS,0.76645936888103
DWM,0.6095002883535006
DXD,-0.6131246556042458
DXJ,0.4756213836354132
DXJS,0.44054578293521507
EBND,0.4127671389018001
ECH,0.46981147224832187
ECNS,0.46636969992329497
EDC,0.6244318226806133
EDIV,0.5194927313132777
EDV,-0.09378452946753608
EDZ,-0.6247167247396224
EELV,0.5493599167741661
EEM,0.6218367621293539
EEMA,0.6019881945112594
EEMV,0.5786170259414907
EFA,0.6299733237704125
EFG,0.6427863736424344
EFV,0.5861811304896248
EFZ,-0.6314200162065353
EIDO,0.44070775400427736
EMB,0.46973980135425947
EMHY,0.4849523547189981
EMLC,0.4195076753891753
ENFR,0.5136147676780044
ENOR,0.5458438865610451
ENZL,0.4634902702182439
EPHE,0.40915439761310946
EPI,0.45466982375078935
EPOL,0.4881703532141835
EPP,0.5936980074369297
EPS,0.655456374167352
EPV,-0.6156276148097416
EQWL,0.6289192686645128
ERX,0.48417011518873226
ERY,-0.4930241431875591
EUFN,0.5349058652683264
EUM,-0.6224855986874217
EURL,0.6103063126786268
EUSA,0.7202980254283872
EWA,0.5718787273729696
EWC,0.6379491087947694
EWD,0.6071834234143962
EWG,0.586724715461973
EWH,0.46003342172453493
EWI,0.5307527457948964
EWJ,0.5417779998377609
EWL,0.5332826904033285
EWM,0.3747718829523103
EWP,0.5145793739039705
EWQ,0.571961007875229
EWS,0.5539338519459845
EWT,0.5465571783783204
EWU,0.5564033532061972
EWV,-0.5353643628058933
EWW,0.49002853275448144
EWX,0.596988141522118
EWY,0.5561811499500108
EWZ,0.43347031694881355
EWZS,0.43184186387638895
EZA,0.5033717141953716
EZU,0.6000368603309243
FAN,0.6638775157110808
FAS,0.598499562890431
FAZ,-0.5984369776629327
FBT,0.5472520044804516
FCA,0.36356764408882936
FCG,0.46232836837724645
FCOM,0.6088716718533659
FDD,0.5429521968731926
FDIS,0.732195706728112
FDL,0.5374573771635736
FDN,0.6854227425567128
FDT,0.6388927536094152
FEM,0.5831516361901895
FEMS,0.5469324543457672
FENY,0.4950331247662587
FEZ,0.599894367453916
FGD,0.6023791188726005
FHLC,0.5385970690220356
FIDU,0.6751731908826065
FIW,0.6759868375534402
FLOT,0.2522192388260426
FLRN,0.23744818412850785
FLTR,0.23858602565059736
FM,0.44755902625062277
FMAT,0.6638381883007485
FMF,0.011436481662541895
FNCL,0.5890350714021442
FNDA,0.7384467178388839
FNDB,0.6737997634991044
FNDC,0.6507687440646688
FNDE,0.5592670911536655
FNDF,0.6150416329113869
FNDX,0.6569214214248361
FPE,0.412624983053128
FRI,0.5087486555738415
FSTA,0.38952595443869426
FTA,0.636437696287683
FTC,0.7016882641307469
FTCS,0.5708300230186508
FTEC,0.6694243193040441
FTGC,0.296158209520023
FTQI,0.45317924189925946
FTRI,0.49039265156834416
FTSL,0.3528836243586475
FUTY,0.3418077398299717
FVD,0.5681966759019407
FXH,0.5969340149729419
FXI,0.5015045827937601
FXL,0.7221506832485687
FXN,0.5387740348270286
FXO,0.6142348055861151
FXR,0.6935745405127552
FXU,0.4161230739070174
FXY,-0.09198159554199022
FXZ,0.6655023080876108
FYLD,0.5709727025430715
GCC,0.2615054682766946
GDX,0.21866250216254313
GDXJ,0.255249724517487
GLD,0.08302780548269868
GLTR,0.2052761880644521
GMF,0.6164345315258868
GNR,0.6019381450588164
GOVI,-0.07492667993515392
GOVT,-0.07195689701469422
GREK,0.40214344631111665
GRID,0.6752048406117412
GRPM,0.7201727937474829
GSG,0.3015000652964154
GSY,0.10930046362346081
GUNR,0.5891201400487538
GVI,0.0591111550679501
GWX,0.6567341974812116
GXC,0.5320912037628965
HAUZ,0.500773240663035
HDGE,-0.7346195718490209
HEDJ,0.5711793106580022
HYD,0.27645215267010714
HYEM,0.3661147290575768
HYG,0.5768599337719922
HYLS,0.45993895349737296
HYMB,0.2315990954996911
HYS,0.5411018993390124
HYZD,0.3557740181088631
IAI,0.6036621087630791
IAK,0.49165457726053485
IAT,0.5430606317382672
IAU,0.08272945645085303
IBB,0.5761778848557714
IBND,0.20476705211274399
ICF,0.4754704366540417
ICLN,0.8373437739957982
ICSH,0.07508386409328766
IDHQ,0.5748566547535213
IDLV,0.5748444808371185
IDMO,0.47546466511903007
IDU,0.3391533635709714
IDV,0.5777916949873259
IDX,0.44994481294157923
IEF,-0.06346804733936176
IEFA,0.6344581435226585
IEI,-0.037140382042573944
IEMG,0.6246800795972497
IEO,0.4898555065258266
IEV,0.6069144887675034
IEZ,0.4951184983937665
IGE,0.5500875752066631
IGF,0.5710880329467233
IGIB,0.2492259805787802
IGLB,0.20629410543274587
IGM,0.6721098796958132
IGOV,0.15661230677505497
IGPT,0.672814337488417
IGSB,0.23837417391273374
IGV,0.6548248749748264
IHE,0.4845529071057803
IHF,0.4936146662277227
IHI,0.5565900234320086
IJH,0.740659085722162
IJJ,0.7016131300223122
IJK,0.7571660429461187
IJR,0.73664706979265
IJS,0.6886953161296431
IJT,0.7548114286929447
ILCB,0.6710769093103109
ILCG,0.6832407924804748
ILCV,0.6066902998299589
ILF,0.5069906143265968
ILTB,0.09841669717892121
IMCB,0.7177212249245496
IMCG,0.7499657780049868
IMCV,0.6575293970980951
