ETF2,Correlation
AAXJ,0.4840105043372801
ACWI,0.6241397699672264
ACWV,0.6223448387168865
ACWX,0.6036287443625361
AFK,0.44913566386204945
AGG,0.4044870645174773
AGQ,0.20422110141056665
AGZD,0.08482942624445756
AIA,0.445397209382404
AMLP,0.4961522803935958
ANGL,0.6535597103298363
AOA,0.6355964302855536
AOK,0.659286088300362
AOM,0.6481038190815602
AOR,0.6355729329020516
ARGT,0.4574552172532818
ASEA,0.4336897926311649
ASHR,0.22368117168101959
BAB,0.31698884239371355
BIL,0.04441085213804371
BIV,0.26224646203410107
BIZD,0.6802948663154229
BKLN,0.5847776749347238
BLV,0.3312243692595349
BND,0.37452428227622897
BNDX,0.3151681321171562
BNO,0.21472121470470856
BOIL,0.07660979985384307
BOND,0.4173039844792503
BRZU,0.4395064166646757
BSV,0.23088341183749506
BTAL,-0.17711014479883264
BWX,0.30624062337568775
BWZ,0.16917682466965767
BZQ,-0.4059830070193582
CANE,0.1064088178624118
CEMB,0.4470528336327173
CGW,0.6058862106632074
CHIQ,0.34002833245156844
CMBS,0.1734494333518208
CMF,0.19049609799792844
COPX,0.4276033004481611
CORN,0.05088582002547972
CORP,0.3760598987688166
CPER,0.16273740384024274
CQQQ,0.31476218471448175
CURE,0.4879419666965997
CWB,0.6337076136608396
CWI,0.5920115158827737
CXSE,0.3210784075043724
DBA,0.14183882231974124
DBB,0.1811516186901674
DBC,0.24974132292966172
DBEF,0.5302269227527592
DBEU,0.5563294822577894
DBJP,0.4089456895365865
DBO,0.23969361604217856
DDM,0.6070361109970456
DEM,0.5022714031279175
DES,0.6090808190139302
DEW,0.6178352473002202
DFJ,0.447714947335577
DGP,0.07448319755568172
DGRE,0.5053750688972096
DGRS,0.5856172585129588
DGRW,0.5909653957373443
DGS,0.526978175259603
DHS,0.6219444924473733
DIA,0.6114685622672021
DIG,0.4559653984097757
DIV,0.7469181634312545
DJP,0.2589433862184396
DLN,0.6233218687407176
DLS,0.596173079176506
DNL,0.6018036535228228
DOG,-0.6098575828971553
DON,0.6598710068947445
DRN,0.6224229156687086
DRV,-0.6318850664306612
DSI,0.605799340959943
DTD,0.6315701789948206
DTH,0.567854045314959
DUG,-0.4772987711941016
DUST,-0.1580823247886142
DVY,0.6058254660890725
DVYE,0.499460210779998
DWAS,0.5879376084676379
DWM,0.5919542530503613
DXD,-0.608531297582596
DXJ,0.40624322582189587
DXJS,0.3932078541604821
EBND,0.45828835668580903
ECH,0.4612898842556036
ECNS,0.3101699808387591
EDC,0.5126427055937597
EDIV,0.4945608359295884
EDV,0.10293368418885764
EDZ,-0.5127196635322119
EELV,0.5201117173181633
EEM,0.5173502654301262
EEMA,0.48873578656639505
EEMV,0.5136877841151322
EFA,0.5916702678036014
EFG,0.587934678774001
EFV,0.5623346541055781
EFZ,-0.5936013416516167
EIDO,0.433806943489105
EMB,0.6814291317891471
EMHY,0.7151862092542555
EMLC,0.4809340640154848
ENFR,0.5852165975777766
ENOR,0.5239128347422388
ENZL,0.5005652355388716
EPHE,0.4820363895751143
EPI,0.4730063112414047
EPOL,0.41572700381616257
EPP,0.5702360765410748
EPS,0.6139526396070082
EPV,-0.5800033806391085
EQWL,0.6021380098923352
ERX,0.48505553348800257
ERY,-0.5081230593535607
EUFN,0.5205335227409713
EUM,-0.5142955961401419
EURL,0.5886508746245271
EUSA,0.6600042620866173
EWA,0.5964582169794889
EWC,0.6130241340578526
EWD,0.552374299042018
EWG,0.5430011402467103
EWH,0.3699252783500206
EWI,0.4792610617883961
EWJ,0.4671830590961853
EWL,0.5514389394962085
EWM,0.38077443376095393
EWP,0.5096733255402072
EWQ,0.5614349963717522
EWS,0.49009890114566396
EWT,0.44584535112154194
EWU,0.56151773212
EWV,-0.46486630110480287
EWW,0.4765920225354377
EWX,0.5392514873869886
EWY,0.49745187501283283
EWZ,0.44664596977829246
EWZS,0.46261601413387204
EZA,0.46633184485987667
EZU,0.5620265718484221
FAN,0.5545759112749472
FAS,0.6138782152123218
FAZ,-0.6151626143337717
FBT,0.38588913687173043
FCA,0.29840610910838766
FCG,0.3403611888881355
FCOM,0.5309822993338875
FDD,0.5591591632528822
FDIS,0.5818094421521341
FDL,0.6023408565133963
FDN,0.49015353870088285
FDT,0.5923198638970134
FEM,0.5218407157738532
