ETF2,Correlation
AAXJ,0.6589006020087645
ACWI,0.9122452580862507
ACWV,0.9149232980792038
ACWX,0.8119166338985027
AFK,0.5735638244901629
AGG,0.0689841696972094
AGQ,0.2094493880328134
AGZD,0.06262907894904197
AIA,0.6018382841779277
AMLP,0.5166936749840289
ANGL,0.590337117141323
AOA,0.8955709275453972
AOK,0.749886752008649
AOM,0.8165879294257881
AOR,0.8784341815375418
ARGT,0.5731495647438778
ASEA,0.6092853169257046
ASHR,0.3623703571886765
BAB,0.02426421674450805
BIL,0.003595468736017342
BIV,0.002250555963711452
BIZD,0.5866615216142129
BKLN,0.5869288373819266
BLV,0.017006290169664543
BND,0.07827744012490358
BNDX,0.1026118512083571
BNO,0.3135845430642039
BOIL,0.09433730772051219
BOND,0.1161594058432339
BRZU,0.51950030074906
BSV,0.00841645627678862
BTAL,-0.2534667437613886
BWX,0.12087843355792714
BWZ,0.13765650040317937
BZQ,-0.49881346409383215
CANE,0.10839484953012021
CEMB,0.3438284382990227
CGW,0.8726923058641356
CHIQ,0.4241513948252478
CMBS,-0.01635073975997824
CMF,0.0795883252808543
COPX,0.5816778264300767
CORN,0.06101070658770731
CORP,0.18692133850816126
CPER,0.21731449049861878
CQQQ,0.4258489139024762
CURE,0.8223931514846815
CWB,0.7371126960900359
CWI,0.8148884277336766
CXSE,0.395024176304185
DBA,0.18142481038359215
DBB,0.28203805508473945
DBC,0.34803782354228663
DBEF,0.7854895965379634
DBEU,0.788225801330561
DBJP,0.665324481800883
DBO,0.3310508259233314
DDM,0.948846482736594
DEM,0.6855921534558754
DES,0.8292748706253051
DEW,0.883997762488224
DFJ,0.6634180776296683
DGP,0.022865879108588963
DGRE,0.6617113508459086
DGRS,0.810849046072347
DGRW,0.9613847767973313
DGS,0.7072414531474646
DHS,0.9206478170018209
DIA,0.9500282493450429
DIG,0.6356644932762942
DIV,0.7687081970154118
DJP,0.33403366910013776
DLN,0.9687420612156431
DLS,0.7822696731671545
DNL,0.7813931472591624
DOG,-0.9473530354812656
DON,0.8941936874126142
DRN,0.7361058666532964
DRV,-0.7636855414272439
DSI,0.926561503138508
DTD,0.9649247576865009
DTH,0.7792522558909649
DUG,-0.6510402921544676
DUST,-0.17724805856486758
DVY,0.9006827876572995
DVYE,0.6606503817519482
DWAS,0.7253298142114903
DWM,0.8082150046247765
DXD,-0.9497273492086145
DXJ,0.6630661409516898
DXJS,0.6278584414261891
EBND,0.4658325553803974
ECH,0.5266801311820765
ECNS,0.40006632642994805
EDC,0.6921566781756522
EDIV,0.6601461857070898
EDV,-0.1979632201104034
EDZ,-0.6937639028368096
EELV,0.6908099139174172
EEM,0.6951648477706481
EEMA,0.6437362617598288
EEMV,0.6950088069549705
EFA,0.8147333296577218
EFG,0.8013367675205616
EFV,0.7893400460352191
EFZ,-0.8185528928492991
EIDO,0.594401471800465
EMB,0.5334798600369426
EMHY,0.5792729010991743
EMLC,0.4753592963541447
ENFR,0.6188853733269111
ENOR,0.6701365671249644
ENZL,0.6167899438559944
EPHE,0.5616592452066184
EPI,0.593124304127125
EPOL,0.5895847305557691
EPP,0.7606175775196911
EPS,0.9391226390473658
EPV,-0.7917514517765786
EQWL,0.9202044586155236
ERX,0.6505349424984161
ERY,-0.6648938522198394
EUFN,0.6984330356797928
EUM,-0.6936337654211262
EURL,0.7864274974926931
EUSA,0.9179793963924422
EWA,0.7612708846626914
EWC,0.7762190597214034
EWD,0.7319512144959929
EWG,0.740931197227622
EWH,0.5373862281142827
EWI,0.6847692872238582
EWJ,0.6987486016618427
EWL,0.7376919165199867
EWM,0.5010479165195416
EWP,0.6857974452055655
EWQ,0.7536058395186161
EWS,0.6438816930452717
EWT,0.6103803909110437
EWU,0.7622687578398636
EWV,-0.6937645189314489
EWW,0.6290907472859629
EWX,0.7014147018218705
EWY,0.6492045425869517
EWZ,0.5466260622104379
EWZS,0.49228028283108116
EZA,0.6019671662150974
EZU,0.7619630979603195
FAN,0.6802785889571741
FAS,0.872910600638118
FAZ,-0.8772501457987304
FBT,0.5770933730498491
FCA,0.39429711813539553
FCG,0.49560524964166747
FCOM,0.755481667142347
FDD,0.7225979789089919
FDIS,0.8055684708679955
FDL,0.8890642622610727
FDN,0.6793975198262802
FDT,0.7774822057623286
FEM,0.6708280247955145
FEMS,0.6152996131643439
FENY,0.6459701258333579
FEZ,0.7710952775406701
FGD,0.8013916837163644
FHLC,0.8181087292668744
FIDU,0.9006873262471664
FIW,0.8788690385014661
FLOT,0.33157981247774077
FLRN,0.2959191596906243
FLTR,0.28498593100622976
FM,0.5666301251539035
FMAT,0.8601496869811561
FMF,0.030407719107815055
FNCL,0.8466217013820762
FNDA,0.8469617202808339
