ETF2,Correlation
ACE 200,0.9858305601130376
ACE 200TR,0.9883207021017624
ACE 2차전지&친환경차액티브,0.556344733820737
ACE ESG액티브,0.9180545656238346
ACE Fn5G플러스,0.8052548175042749
ACE Fn성장소비주도주,0.6383708067270548
ACE 골드선물 레버리지(합성 H),0.23227237348543994
ACE 국고채10년,0.16224256341874263
ACE 국고채3년,0.1965766251316758
ACE 단기통안채,-0.015999278029479175
ACE 러시아MSCI(합성),0.08420798483692092
ACE 레버리지,0.991755629481969
ACE 멕시코MSCI(합성),0.31826657747511156
ACE 미국IT인터넷S&P(합성 H),0.5120147589925281
ACE 미국S&P500,0.4643404289821091
ACE 미국WideMoat동일가중,0.4633882798442218
ACE 미국나스닥100,0.518279989072601
ACE 미국다우존스리츠(합성 H),0.44329568402151276
ACE 미국친환경그린테마INDXX,0.4673114514273729
ACE 밸류대형,0.9429099226083076
ACE 베트남VN30(합성),0.1344965203324606
ACE 베트남VN30선물블룸버그레버리지(H),0.3281464699728593
ACE 삼성그룹동일가중,0.6952780372761852
ACE 삼성그룹섹터가중,0.881272842262444
ACE 싱가포르리츠,0.18804659615021543
ACE 아시아TOP50S&P,0.6174740388193176
ACE 인도네시아MSCI(합성),0.24868833952334882
ACE 인버스,-0.9816240881552476
ACE 일본Nikkei225(H),0.6418749695439404
ACE 일본TOPIX레버리지(H),0.4747074290822797
ACE 일본TOPIX인버스(합성 H),-0.6460217516079887
ACE 종합채권(AA-이상)KIS액티브,0.13645514118252092
ACE 중국본토CSI300,0.150469497332116
ACE 중국본토CSI300레버리지(합성),0.16812391346477054
ACE 중장기국공채액티브,0.18489995072534687
ACE 차이나항셍테크,0.3773514290130779
ACE 코스닥150,0.7128658955310423
ACE 코스피,0.9535357946682188
ACE 필리핀MSCI(합성),0.1661517686091417
BNK금융지주,0.48881509427068554
HANARO 200,0.9899833500273442
HANARO 200TR,0.9868010808127229
HANARO 200선물레버리지,0.9872181422769952
HANARO 200선물인버스,-0.9731309641496021
HANARO e커머스,0.7101502281360055
HANARO Fn K-POP&미디어,0.45437760096348173
HANARO Fn K-게임,0.5230086588175066
HANARO Fn K-뉴딜디지털플러스,0.733611670547508
HANARO Fn K-반도체,0.8335870318599973
