ETF2,Correlation
ACE 200,-0.9843746223704747
ACE 200TR,-0.9876460930891179
ACE 2차전지&친환경차액티브,-0.5520834583401091
ACE ESG액티브,-0.9176372376281341
ACE Fn5G플러스,-0.80471173752485
ACE Fn성장소비주도주,-0.6456871938772561
ACE 골드선물 레버리지(합성 H),-0.2351242146639401
ACE 국고채10년,-0.16793198167372292
ACE 국고채3년,-0.1963182241054266
ACE 단기통안채,0.01776607294893453
ACE 러시아MSCI(합성),-0.07998244188777068
ACE 레버리지,-0.9910336414509943
ACE 멕시코MSCI(합성),-0.31765285296173407
ACE 미국IT인터넷S&P(합성 H),-0.5059288443208975
ACE 미국S&P500,-0.4638197499392972
ACE 미국WideMoat동일가중,-0.4586848640954167
ACE 미국나스닥100,-0.5199092052795812
ACE 미국다우존스리츠(합성 H),-0.4363256021675231
ACE 미국친환경그린테마INDXX,-0.47477653157503774
ACE 밸류대형,-0.9385075089256854
ACE 베트남VN30(합성),-0.13617465505601015
ACE 베트남VN30선물블룸버그레버리지(H),-0.3289223592713815
ACE 삼성그룹동일가중,-0.6988479182770417
ACE 삼성그룹섹터가중,-0.8803772570578854
ACE 싱가포르리츠,-0.18668891502964785
ACE 아시아TOP50S&P,-0.6162383279020764
ACE 인도네시아MSCI(합성),-0.24775154552284398
ACE 인버스,0.9793175082649714
ACE 일본Nikkei225(H),-0.6410928892707711
ACE 일본TOPIX레버리지(H),-0.4764489875499618
ACE 일본TOPIX인버스(합성 H),0.6483207704086649
ACE 종합채권(AA-이상)KIS액티브,-0.14205180369611686
ACE 중국본토CSI300,-0.158426186323214
ACE 중국본토CSI300레버리지(합성),-0.17592418139710497
ACE 중장기국공채액티브,-0.19553758143330113
ACE 차이나항셍테크,-0.3772531935318258
ACE 코스닥150,-0.7158775196484235
ACE 코스피,-0.9541474551740083
ACE 필리핀MSCI(합성),-0.1622100396906838
BNK금융지주,-0.48626623915824585
HANARO 200,-0.9890171132848022
HANARO 200TR,-0.9872774810959437
HANARO 200선물레버리지,-0.984060313868233
HANARO 200선물인버스,0.9737083309015993
HANARO e커머스,-0.7144045988489125
HANARO Fn K-POP&미디어,-0.46020050787674394
HANARO Fn K-게임,-0.5293727699338705
HANARO Fn K-뉴딜디지털플러스,-0.732704595351723
HANARO Fn K-반도체,-0.8302866249408382
HANARO Fn5G산업,-0.8232143744613992
HANARO Fn전기&수소차,-0.75372819056044
HANARO Fn친환경에너지,-0.6188733783692016
HANARO KAP초장기국고채,-0.20446020922676203
HANARO KRX300,-0.9348516451074399
HANARO MSCI Korea TR,-0.9315821055188965
