ETF2,Correlation
ACE 200,0.9129792817199176
ACE 200TR,0.9112468375879956
ACE 2차전지&친환경차액티브,0.6644552634073023
ACE ESG액티브,0.89483376136861
ACE Fn5G플러스,0.8049823994567001
ACE Fn성장소비주도주,0.671513804123531
ACE 골드선물 레버리지(합성 H),0.22086330563405301
ACE 국고채10년,0.1603779330088034
ACE 국고채3년,0.1858959949343147
ACE 단기통안채,-0.0179603406532911
ACE 러시아MSCI(합성),0.059850379158978985
ACE 레버리지,0.914916878927941
ACE 멕시코MSCI(합성),0.2951195702589368
ACE 미국IT인터넷S&P(합성 H),0.5190792741741782
ACE 미국S&P500,0.44947528563879374
ACE 미국WideMoat동일가중,0.4403672954060865
ACE 미국나스닥100,0.5095628320272892
ACE 미국다우존스리츠(합성 H),0.4238735391240707
ACE 미국친환경그린테마INDXX,0.463073487947755
ACE 밸류대형,0.8493035276265952
ACE 베트남VN30(합성),0.1178280647014185
ACE 베트남VN30선물블룸버그레버리지(H),0.3128749858154852
ACE 삼성그룹동일가중,0.6348400864803059
ACE 삼성그룹섹터가중,0.8299387571346594
ACE 싱가포르리츠,0.1815419380340991
ACE 아시아TOP50S&P,0.5734939572718133
ACE 인도네시아MSCI(합성),0.24826819155313096
ACE 인버스,-0.9039337838894203
ACE 일본Nikkei225(H),0.6142193877713567
ACE 일본TOPIX레버리지(H),0.45750561809615325
ACE 일본TOPIX인버스(합성 H),-0.6140849413190228
ACE 종합채권(AA-이상)KIS액티브,0.14506711376759732
ACE 중국본토CSI300,0.1511950710654974
ACE 중국본토CSI300레버리지(합성),0.180952834794092
ACE 중장기국공채액티브,0.20585299745060365
ACE 차이나항셍테크,0.3537204852399797
ACE 코스닥150,0.8166573733669503
ACE 코스피,0.9202028335635476
ACE 필리핀MSCI(합성),0.16199964270870973
BNK금융지주,0.4042389443779908
HANARO 200,0.914917236231305
HANARO 200TR,0.9128890871044021
HANARO 200선물레버리지,0.905128393029338
HANARO 200선물인버스,-0.8936551235175471
HANARO e커머스,0.6801313138561891
HANARO Fn K-POP&미디어,0.5310194569547164
HANARO Fn K-게임,0.5312879182117115
HANARO Fn K-뉴딜디지털플러스,0.7774027362148688
HANARO Fn K-반도체,0.7874175395024898
HANARO Fn5G산업,0.8137199193406692
HANARO Fn전기&수소차,0.799534173625916
HANARO Fn친환경에너지,0.6964915595694489
HANARO KAP초장기국고채,0.19443779176029968
HANARO KRX300,0.8829920499612836
HANARO MSCI Korea TR,0.8661873988052502
HANARO 고배당,0.5992301158448463
HANARO 글로벌럭셔리S&P(합성),0.4301940699556081
HANARO 농업융복합산업,0.6590715049249383
HANARO 단기채권액티브,0.010977023975756926
HANARO 코스닥150,0.8102177685572874
HANARO 코스닥150선물레버리지,0.8211947264037743
HANARO 탄소효율그린뉴딜,0.8583563210635092
KODEX 200 중소형,0.800943615248994
KODEX 200,0.9160287093863768
KODEX 200ESG,0.8729688184696518
KODEX 200exTOP,0.8313192293324647
KODEX 200IT TR,0.836620413747911
KODEX 200TR,0.914293303918954
KODEX 200가치저변동,0.7907293806160628
KODEX 200동일가중,0.8142058643838297
KODEX 200롱코스닥150숏선물,-0.3610578323287423
KODEX 200미국채혼합,0.5463369317735184
KODEX 200선물인버스2X,-0.9147835426010178
KODEX 2차전지산업,0.6358352862976665
KODEX 3대농산물선물(H),0.07083689915068378
KODEX IT,0.8614798693375385
KODEX K-뉴딜디지털플러스,0.7769245220263106
KODEX K-미래차액티브,0.8367060320926921
KODEX K-신재생에너지액티브,0.6816978016086741
KODEX K-이노베이션액티브,0.8192383201938371
KODEX KRX300,0.9243951796320861
KODEX KRX300레버리지,0.8955031697316891
KODEX KTOP30,0.8811631987599001
KODEX MSCI EM선물(H),0.6421613616307461
KODEX MSCI KOREA ESG유니버설,0.8518983956609137
KODEX MSCI Korea TR,0.9122041822864536
KODEX MSCI Korea,0.884158094821977
KODEX MSCI모멘텀,0.7883054659974166
KODEX MSCI밸류,0.7694645688924284
KODEX MSCI퀄리티,0.8291144937817063
KODEX S&P글로벌인프라(합성),0.26723233359999476
KODEX Top10동일가중,0.8376108853368852
KODEX Top5PlusTR,0.824163743919448
KODEX TRF3070,0.3822294737477559
KODEX TRF5050,0.31642212877011733
KODEX TRF7030,0.39832465413706175
KODEX WTI원유선물(H),0.17410435965613677
KODEX WTI원유선물인버스(H),-0.17436649055053471
KODEX 건설,0.6683259066738121
KODEX 게임산업,0.5247002673380324
KODEX 경기소비재,0.6634453243133765
KODEX 고배당,0.5992289134139672
KODEX 골드선물(H),0.21023628523640292
KODEX 골드선물인버스(H),-0.20254788154328096
KODEX 구리선물(H),0.3452019665890396
KODEX 국고채3년,0.17525466588334895
KODEX 국채선물10년,0.1821149899715825
KODEX 국채선물10년인버스,-0.19240885843589964
KODEX 국채선물3년인버스,-0.20696303766158666
KODEX 글로벌로봇(합성),0.5197820179692115
KODEX 기계장비,0.7335286323650694
