ETF2,Correlation
ACE 200,0.13162895109801162
ACE 200TR,0.1297453785005054
ACE 2차전지&친환경차액티브,0.07328134841520674
ACE ESG액티브,0.13039816569788684
ACE Fn5G플러스,0.13610933085304597
ACE Fn성장소비주도주,0.07449370325616317
ACE 골드선물 레버리지(합성 H),0.19833564076869895
ACE 국고채10년,0.2698579692777369
ACE 국고채3년,0.30310250310352166
ACE 단기통안채,-0.002657065782970587
ACE 러시아MSCI(합성),0.002637988277132329
ACE 레버리지,0.1282135255419124
ACE 멕시코MSCI(합성),-0.021165246296181044
ACE 미국IT인터넷S&P(합성 H),0.15177716419272483
ACE 미국S&P500,0.046795817727166275
ACE 미국WideMoat동일가중,0.10023643241428762
ACE 미국나스닥100,0.056933255597921284
ACE 미국다우존스리츠(합성 H),0.1794138486336914
ACE 미국친환경그린테마INDXX,0.06620134432567061
ACE 밸류대형,0.1110728615395761
ACE 베트남VN30(합성),0.03575946999989567
ACE 베트남VN30선물블룸버그레버리지(H),0.08681801020091716
ACE 삼성그룹동일가중,0.10131175550887893
ACE 삼성그룹섹터가중,0.13985049941531638
ACE 싱가포르리츠,0.16702332292993088
ACE 아시아TOP50S&P,0.07524378022736823
ACE 인도네시아MSCI(합성),-0.005771125543680616
ACE 인버스,-0.13449165033201513
ACE 일본Nikkei225(H),0.030442828798658093
ACE 일본TOPIX레버리지(H),-0.007149031271688681
ACE 일본TOPIX인버스(합성 H),-0.021715225134916555
ACE 종합채권(AA-이상)KIS액티브,0.36263383498534646
ACE 중국본토CSI300,0.01123181409533084
ACE 중국본토CSI300레버리지(합성),-0.010891193791055997
ACE 중장기국공채액티브,0.45646274630891953
ACE 차이나항셍테크,0.02989293240242146
ACE 코스닥150,0.11227569398241773
ACE 코스피,0.14908289769559233
ACE 필리핀MSCI(합성),0.06667541114175644
BNK금융지주,0.02328223397645154
HANARO 200,0.12834384804432497
HANARO 200TR,0.1287928105111821
HANARO 200선물레버리지,0.12749786219266554
HANARO 200선물인버스,-0.12567750244590692
HANARO e커머스,0.12695816018459127
HANARO Fn K-POP&미디어,0.047060312477714666
HANARO Fn K-게임,0.13486728089048167
HANARO Fn K-뉴딜디지털플러스,0.16879987171025576
HANARO Fn K-반도체,0.10869303513908793
HANARO Fn5G산업,0.13320837019574813
HANARO Fn전기&수소차,0.12517332161857755
HANARO Fn친환경에너지,0.12307639959982541
HANARO KAP초장기국고채,0.21120191066600494
HANARO KRX300,0.12669125830351416
HANARO MSCI Korea TR,0.14275951203973536
HANARO 고배당,0.05360410108059515
HANARO 글로벌럭셔리S&P(합성),0.09062384785380337
HANARO 농업융복합산업,0.07524696443811388
HANARO 단기채권액티브,0.2979487089008445
HANARO 코스닥150,0.09340535267870656
HANARO 코스닥150선물레버리지,0.0989609871157008
HANARO 탄소효율그린뉴딜,0.1249965708466022
KODEX 200 중소형,0.07904935870271564
KODEX 200,0.12743650367853376
KODEX 200ESG,0.1337711959668558
KODEX 200exTOP,0.1383473865031545
KODEX 200IT TR,0.12759460663210628
KODEX 200TR,0.1303387696804135
KODEX 200가치저변동,0.10860276663046879
KODEX 200동일가중,0.07946078366901788
KODEX 200롱코스닥150숏선물,-0.020972513982694042
KODEX 200미국채혼합,0.1800763166974378
KODEX 200선물인버스2X,-0.1244798789048251
KODEX 2차전지산업,0.09616252825351852
KODEX 3대농산물선물(H),0.03377024242337112
KODEX IT,0.12224823518754957
KODEX K-뉴딜디지털플러스,0.1664810188606086
KODEX K-미래차액티브,0.12531956427012808
KODEX K-신재생에너지액티브,0.08076541434959182
KODEX K-이노베이션액티브,0.11304780639356388
KODEX KRX300,0.1254749084144643
KODEX KRX300레버리지,0.12135614693441421
KODEX KTOP30,0.13542361070490194
KODEX MSCI EM선물(H),0.10981086068251213
KODEX MSCI KOREA ESG유니버설,0.12836753887421562
KODEX MSCI Korea TR,0.1359059620211672
KODEX MSCI Korea,0.12869095399751804
KODEX MSCI모멘텀,0.08996282949540105
KODEX MSCI밸류,0.10765830502171436
KODEX MSCI퀄리티,0.12946762313854676
KODEX S&P글로벌인프라(합성),0.07713694569693623
KODEX Top10동일가중,0.15115047220659805
KODEX Top5PlusTR,0.11494149783109506
KODEX TRF3070,0.25948887424653777
KODEX TRF5050,0.1493001448194669
KODEX TRF7030,0.08909398826559257
KODEX WTI원유선물(H),0.028662365757805792
KODEX WTI원유선물인버스(H),-0.024350080557083226
KODEX 건설,0.08406218340268348
KODEX 게임산업,0.1253904405816929
KODEX 경기소비재,0.07069285468796148
KODEX 고배당,0.0393972239633133
KODEX 골드선물(H),0.17107642992251457
KODEX 골드선물인버스(H),-0.16931505306212458
KODEX 구리선물(H),0.10289974950285524
KODEX 국고채3년,0.25877577729961826
KODEX 국채선물10년,0.3016941072376553
KODEX 국채선물10년인버스,-0.29072645070906467
KODEX 국채선물3년인버스,-0.36084022688682754
KODEX 글로벌로봇(합성),0.12430053256811
KODEX 기계장비,0.0910601251119102
KODEX 단기변동금리부채권액티브,0.011441193018767212
KODEX 단기채권,0.28578882593831545
KODEX 단기채권PLUS,0.5600329331870476
KODEX 레버리지,0.12829991591311846
KODEX 멀티에셋하이인컴(H),0.19361726882956617
KODEX 멀티팩터,0.10366065149238954
KODEX 모멘텀Plus,0.046207068513639184
KODEX 미국10년국채선물,0.044402777342159847
KODEX 미국30년국채울트라선물(H),0.2548148145598807
KODEX 미국S&P500TR,0.040644648687062565
KODEX 미국S&P500산업재(합성),0.011181539331205163
KODEX 미국S&P500선물(H),0.1343337844508676
KODEX 미국S&P500에너지(합성),-0.024924069146196277
KODEX 미국S&P바이오(합성),0.0807343332947864
KODEX 미국나스닥100TR,0.05744339739470782
KODEX 미국나스닥100선물(H),0.13069102514135222
KODEX 미국달러선물,-0.17974639071671147
KODEX 미국달러선물레버리지,-0.18665476610971637
KODEX 미국달러선물인버스,0.19343267486979074
KODEX 미국달러선물인버스2X,0.1891571446619155
KODEX 미국러셀2000(H),0.15185627080600114
KODEX 미국반도체MV,0.06428945236318956
KODEX 미국부동산리츠(H),0.17909092774539503
KODEX 미국빅테크10(H),0.1256061953408774
KODEX 미국스마트모빌리티S&P,0.05079468494219344
KODEX 미디어&엔터테인먼트,0.16526025755355372
KODEX 바이오,0.0958683677237182
KODEX 반도체,0.09823679430771143
KODEX 배당가치,0.10444794971880705
KODEX 배당성장,0.07801939331134689
KODEX 배당성장채권혼합,0.1532539938481617
KODEX 밸류Plus,0.061900049598747016
KODEX 보험,-0.026309483514415408
KODEX 삼성그룹,0.12562070594077093
