ETF2,Correlation
ACE 200,0.1067591836106936
ACE 200TR,0.11459189919464412
ACE 2차전지&친환경차액티브,0.09906599154880774
ACE ESG액티브,0.10458736848624633
ACE Fn5G플러스,0.14315442741727433
ACE Fn성장소비주도주,0.15180856076814073
ACE 골드선물 레버리지(합성 H),-0.006704592135876518
ACE 국고채10년,-0.027910200504329536
ACE 국고채3년,-0.01284011651827286
ACE 단기통안채,-0.0018975280174447259
ACE 러시아MSCI(합성),0.045054766649162
ACE 레버리지,0.11241957861627284
ACE 멕시코MSCI(합성),0.06693894102807811
ACE 미국IT인터넷S&P(합성 H),0.10831223286165549
ACE 미국S&P500,0.13375962004286404
ACE 미국WideMoat동일가중,0.12153209548142577
ACE 미국나스닥100,0.1638876678307986
ACE 미국다우존스리츠(합성 H),0.05980137696755929
ACE 미국친환경그린테마INDXX,0.11714840863306615
ACE 밸류대형,0.06626392617544644
ACE 베트남VN30(합성),0.06277602726720125
ACE 베트남VN30선물블룸버그레버리지(H),0.0672779049298245
ACE 삼성그룹동일가중,0.07374985485350756
ACE 삼성그룹섹터가중,0.09037109737391592
ACE 싱가포르리츠,0.09254332707856132
ACE 아시아TOP50S&P,0.3239459522186178
ACE 인도네시아MSCI(합성),0.02105074992305564
ACE 인버스,-0.11563574839925811
ACE 일본Nikkei225(H),0.07694660401695697
ACE 일본TOPIX레버리지(H),0.031166161881107355
ACE 일본TOPIX인버스(합성 H),-0.082069884325494
ACE 종합채권(AA-이상)KIS액티브,0.012262969561954848
ACE 중국본토CSI300,0.6317241278455715
ACE 중국본토CSI300레버리지(합성),0.6341913861676325
ACE 중장기국공채액티브,0.00505970849113135
ACE 차이나항셍테크,0.39853336561554353
ACE 코스닥150,0.14723939668171412
ACE 코스피,0.11552988791309145
ACE 필리핀MSCI(합성),0.06998741184951779
BNK금융지주,0.011372711975650627
HANARO 200,0.11304742406566598
HANARO 200TR,0.1142394124086497
HANARO 200선물레버리지,0.12369153021928767
HANARO 200선물인버스,-0.10667400395018266
HANARO e커머스,0.12115275854153325
HANARO Fn K-POP&미디어,0.12253745238863784
HANARO Fn K-게임,0.13464193517735226
HANARO Fn K-뉴딜디지털플러스,0.09942902071513476
HANARO Fn K-반도체,0.13343147126263247
HANARO Fn5G산업,0.12383034268918146
HANARO Fn전기&수소차,0.08335691450942266
HANARO Fn친환경에너지,0.1349095247511132
HANARO KAP초장기국고채,-0.005676563432670494
HANARO KRX300,0.10955030661228347
HANARO MSCI Korea TR,0.10024026797534735
HANARO 고배당,0.014246134178571656
HANARO 글로벌럭셔리S&P(합성),0.15409428992401528
HANARO 농업융복합산업,0.02558464799252333
HANARO 단기채권액티브,0.06679196997573301
HANARO 코스닥150,0.13059496551520644
HANARO 코스닥150선물레버리지,0.1481332860562858
HANARO 탄소효율그린뉴딜,0.16513513633588514
KODEX 200 중소형,0.11133327517734927
KODEX 200,0.11281578681635825
KODEX 200ESG,0.09699214210050196
KODEX 200exTOP,0.08667049443514888
KODEX 200IT TR,0.1127116931078332
KODEX 200TR,0.11775296812948959
KODEX 200가치저변동,0.05249355063181178
KODEX 200동일가중,0.09008192303440939
KODEX 200롱코스닥150숏선물,-0.10226588354498123
KODEX 200미국채혼합,0.10829070193691796
KODEX 200선물인버스2X,-0.11740566027582028
KODEX 2차전지산업,0.09620748105352914
KODEX 3대농산물선물(H),-0.05007545256567501
KODEX IT,0.13552826835796686
KODEX K-뉴딜디지털플러스,0.1074328301649334
KODEX K-미래차액티브,0.11142213562727701
KODEX K-신재생에너지액티브,0.15682662218692656
KODEX K-이노베이션액티브,0.17674216098153026
KODEX KRX300,0.11756810324142154
KODEX KRX300레버리지,0.11280010846335199
KODEX KTOP30,0.1064425707271256
KODEX MSCI EM선물(H),0.2375919907311819
KODEX MSCI KOREA ESG유니버설,0.08216295217844118
KODEX MSCI Korea TR,0.09829265662829882
KODEX MSCI Korea,0.11383770936666453
KODEX MSCI모멘텀,0.09050622389154057
KODEX MSCI밸류,0.07985662391405975
KODEX MSCI퀄리티,0.11872307405195409
KODEX S&P글로벌인프라(합성),0.0021305462803027126
KODEX Top10동일가중,0.0858146091037621
KODEX Top5PlusTR,0.09104199855489051
KODEX TRF3070,0.052083827388838086
KODEX TRF5050,0.08923373803274198
KODEX TRF7030,0.1066100534141639
KODEX WTI원유선물(H),-0.007640191170225407
KODEX WTI원유선물인버스(H),0.0026148182399792076
KODEX 건설,0.05565324243199711
KODEX 게임산업,0.14327546156413434
KODEX 경기소비재,0.08790010022947385
KODEX 고배당,0.020249970478355188
KODEX 골드선물(H),-0.006990647392896761
KODEX 골드선물인버스(H),0.01816640779208968
KODEX 구리선물(H),0.056807156555394284
KODEX 국고채3년,-0.07376325000331926
KODEX 국채선물10년,-0.03430328255095623
KODEX 국채선물10년인버스,0.008402618343835312
KODEX 국채선물3년인버스,0.02599926878845882
KODEX 글로벌로봇(합성),0.15087087638341826
KODEX 기계장비,0.09118760285087606
KODEX 단기변동금리부채권액티브,0.03659676868859044
KODEX 단기채권,0.01922521614389195
KODEX 단기채권PLUS,0.019153420406006684
KODEX 레버리지,0.11880744103175181
KODEX 멀티에셋하이인컴(H),0.037040461498410934
KODEX 멀티팩터,0.08213480049976425
KODEX 모멘텀Plus,0.13198305747641756
KODEX 미국10년국채선물,0.00923329708708499
KODEX 미국30년국채울트라선물(H),0.006116544871481075
KODEX 미국S&P500TR,0.1345552532924395
KODEX 미국S&P500산업재(합성),0.0898396539901963
KODEX 미국S&P500선물(H),0.11372432638311186
KODEX 미국S&P500에너지(합성),-0.01654987999041813
KODEX 미국S&P바이오(합성),0.08769759110865603
KODEX 미국나스닥100TR,0.16567448234349502
KODEX 미국나스닥100선물(H),0.1409057550600811
KODEX 미국달러선물,-0.0019228732048748914
KODEX 미국달러선물레버리지,0.005183481875256073
KODEX 미국달러선물인버스,0.0011540200533852287
KODEX 미국달러선물인버스2X,-0.00025076034365926824
KODEX 미국러셀2000(H),0.09266546503907223
KODEX 미국반도체MV,0.13138355360773324
KODEX 미국부동산리츠(H),0.09853856164365689
KODEX 미국빅테크10(H),0.17000327000554696
KODEX 미국스마트모빌리티S&P,0.13833164729265973
KODEX 미디어&엔터테인먼트,0.14458776928635073
KODEX 바이오,0.12167283848385103
KODEX 반도체,0.13339451206130723
KODEX 배당가치,0.05965697618832826
KODEX 배당성장,0.0774823276112174
KODEX 배당성장채권혼합,0.04092352416573982
KODEX 밸류Plus,0.06413789456711672
KODEX 보험,-0.02296023953265397
KODEX 삼성그룹,0.08457414972746952
KODEX 삼성그룹밸류,0.0700829698968096
KODEX 선진국MSCI World,0.13851244797646753
KODEX 성장주,0.12739368915228885
KODEX 시스템반도체,0.1362299696444944
KODEX 에너지화학,0.11721891511640922
KODEX 운송,0.03488560410447694
KODEX 웹툰&드라마,0.12776766646693355
KODEX 은선물(H),0.007727742819239404
KODEX 은행,-0.010527222753875068
KODEX 인버스,-0.11999699256557046
KODEX 일본TOPIX100,0.02922748380860151
KODEX 일본부동산리츠(H),0.015067541144473054
KODEX 자동차,0.03945695118045874
KODEX 종합채권(AA-이상)액티브,-0.0065652993536303795
KODEX 증권,0.05599746165414907
KODEX 차이나A50,0.5596750648789404
KODEX 차이나CSI300,0.6575508880309104
KODEX 차이나H,0.36742110772783043
KODEX 차이나H레버리지(H),0.3251701584415485
KODEX 차이나심천ChiNext(합성),0.7478738065176036
KODEX 차이나항셍테크,0.4075414797593757
KODEX 철강,0.05380784020236867
KODEX 최소변동성,0.10090719443405792
KODEX 코스닥150,0.1423908624795246
KODEX 코스닥150레버리지,0.142147831373648
KODEX 코스닥150롱코스피200숏선물,0.08926564038267597
KODEX 코스닥150선물인버스,-0.142652854431628
KODEX 코스피,0.10070869013016195
KODEX 코스피100,0.10188450825324744
KODEX 코스피TR,0.11106271838835911
KODEX 코스피대형주,0.0727159490465874
KODEX 콩선물(H),-0.003038760995504633
KODEX 퀄리티Plus,0.11568416548404892
KODEX 탄소효율그린뉴딜,0.11158141162898107
KODEX 필수소비재,0.10311314849515231
KODEX 한국대만IT프리미어,0.143407990609917
KODEX 헬스케어,0.07700537790404667
KODEX 혁신기술테마액티브,0.07454550547206322
KOSEF 200,0.10945262156360727
KOSEF 200TR,0.11745421505616824
KOSEF 200선물레버리지,0.11561703707200541
KOSEF 200선물인버스,-0.11812642689771674
KOSEF 200선물인버스2X,-0.11938182792079315
KOSEF Fn중소형,0.10260135319794833
KOSEF KRX100,0.10868268944375087
KOSEF 고배당,0.012996503079953326
KOSEF 국고채10년,-0.04088406442914812
KOSEF 국고채10년레버리지,-0.032504990145172004
KOSEF 국고채3년,-0.0018374931580110746
KOSEF 글로벌디지털경제,0.1525263337791052
KOSEF 글로벌퓨처모빌리티,0.12824162068720818
KOSEF 단기자금,0.0033878384319741524
KOSEF 미국달러선물,0.010711136144600423
KOSEF 미국달러선물레버리지,0.005466902763585203
KOSEF 미국달러선물인버스,-0.005754759463773183
KOSEF 미국달러선물인버스2X,-0.0008633683520728299
KOSEF 미국방어배당성장나스닥,0.061874228670639526
KOSEF 블루칩,0.09075641684324864
KOSEF 인도Nifty50(합성),0.10479772912730259
KOSEF 코스닥150,0.13646128723007336
KOSEF 코스닥150선물레버리지,0.13683687302766884
KOSEF 코스닥150선물인버스,-0.14289746919305005
KOSEF 코스피100,0.10066671631094236
KOSEF 통안채1년,-0.01669933201866274
NEW,0.05300902331773258
PLUS 200,0.10369568506117173
PLUS 200선물레버리지,0.11534780398199355
PLUS 200선물인버스2X,-0.12304759264929353
PLUS ESG가치주액티브,0.10346112408759682
PLUS ESG성장주액티브,0.12897797820529525
PLUS KS로우볼가중TR,0.10652022633012026
PLUS KS로우사이즈가중TR,0.1246706574084488
PLUS KS모멘텀가중TR,0.10061194313111149
PLUS KS밸류가중TR,0.09702806373731532
PLUS S&P글로벌인프라,-0.02473310462329483
PLUS 고배당저변동50,0.014262822987601013
PLUS 고배당주,-0.007030012074486572
PLUS 고배당주채권혼합,-0.0005646816287716842
PLUS 국채선물10년,-0.0222806507396531
PLUS 국채선물3년,-0.007936436512128818
PLUS 글로벌MSCI(합성 H),0.11263259919040226
PLUS 단기채권액티브,0.02918665454384499
PLUS 미국S&P500(H),0.11622489486263636
PLUS 미국나스닥테크,0.14485563966353504
PLUS 미국다우존스고배당주(합성 H),-0.030933543677500203
PLUS 미국단기회사채(AAA~A),-0.004856184168548444
PLUS 미국장기우량회사채,0.01965145261146824
PLUS 선진국MSCI(합성 H),0.07654341182923806
PLUS 스마트베타Quality채권혼합,0.0810234343962951
PLUS 신흥국MSCI(합성 H),0.24120812602401265
PLUS 신흥국MSCI인버스(합성 H),-0.24736686789769727
PLUS 우량회사채50,-0.01796544752438284
PLUS 주도업종,0.08245352912129583
PLUS 중형주저변동50,0.10444416181912737
PLUS 코스닥150,0.1445567025486754
PLUS 코스닥150선물인버스,-0.14738182422061807
PLUS 코스피,0.10887717127288819
PLUS 코스피50,0.09823202697259033
PLUS 코스피TR,0.11203912559193444
RISE 200,0.11105536660563217
RISE 200TR,0.11090648975466075
RISE 200고배당커버드콜ATM,0.014392882217432507
RISE 200금융,0.00977182489791275
RISE 200선물레버리지,0.11645790085554293
RISE 200선물인버스,-0.11565792386192572
RISE 200선물인버스2X,-0.1051705772328042
RISE 5G테크,0.127272229690258
RISE 5대그룹주,0.09449853105813781
RISE ESG사회책임투자,0.11859817145142677
RISE IT플러스,0.14381537280796208
RISE KIS국고채30년Enhanced,-0.005236705606553702
RISE KQ고배당,0.11464761515768193
RISE KRX300,0.10346505423503025
RISE V&S셀렉트밸류,0.10284321070431574
RISE V&S셀렉트밸류채권혼합,0.10416223261823594
RISE 게임테마,0.14537953935995276
RISE 고배당,0.030576517234230785
RISE 국고채3년,2.8053807344573472e-05
RISE 국고채3년선물인버스,0.0501662545799083
RISE 국채선물10년,-0.06899161872192956
RISE 국채선물10년인버스,0.02837877902046324
RISE 국채선물5년추종,-0.06844892655526463
RISE 국채선물5년추종인버스,0.023590041767097124
RISE 글로벌데이터센터리츠(합성),0.14260730952445547
RISE 글로벌테크놀로지(합성 H),0.12746651020441055
RISE 금융채액티브,-0.03259703955812504
RISE 내수주플러스,0.08260166243622503
RISE 단기국공채액티브,-0.04883228822243106
RISE 단기종합채권(AA-이상)액티브,-0.017995638030221583
RISE 단기통안채,-0.005313530862893462
RISE 대형고배당10TR,0.09278410694312042
RISE 미국S&P500,0.13436765351373772
RISE 미국S&P원유생산기업(합성 H),0.03816616626411272
RISE 미국고정배당우선증권 TR,0.04862408247148895
RISE 미국나스닥100,0.16246640067160184
RISE 미국장기국채선물(H),0.006218492888761734
RISE 미국장기국채선물레버리지(합성 H),-0.00035335931417922065
RISE 미국장기국채선물인버스(H),0.01603746766454189
RISE 비메모리반도체액티브,0.13648222701817336
RISE 수소경제테마,0.07806498508433343
RISE 수출주,0.09438336520148878
RISE 우량업종대표주,0.08093117576111838
RISE 유로스탁스50(H),0.11873816086914003
RISE 종합채권(A-이상)액티브,0.0009129248643062636
RISE 주식혼합,0.1217531753661748
RISE 중국MSCI China(H),0.4122925638276144
RISE 중국본토대형주CSI100,0.6359580291479677
RISE 중기우량회사채,-0.017090659331471258
RISE 중소형고배당,0.04739539682598592
RISE 중장기국공채액티브,-0.03821272490966453
RISE 차이나HSCEI(H),0.3303833265700837
RISE 차이나H선물인버스(H),-0.3143177823281087
RISE 차이나항셍테크,0.41409294120808765
RISE 채권혼합,0.0696423054247201
RISE 컨택트대표,0.12591136496020885
RISE 코스닥150,0.14464266203626436
RISE 코스닥150선물레버리지,0.1424016502919356
RISE 코스닥150선물인버스,-0.15143896477657154
RISE 코스피,0.09545764204791193
RISE 팔라듐선물(H),-0.062308506405327306
RISE 팔라듐선물인버스(H),0.048358109803409696
RISE 헬스케어,0.07984884044752452
RISE 헬스케어채권혼합,0.07592506191237586
SOL 200TR,0.11276649092924836
SOL KIS단기통안채,-0.008783406251915125
SOL KRX300,0.08707371943102271
SOL 차이나강소기업CSI500(합성 H),0.5311078012758117
TIGER 200 IT,0.10105267624819665
TIGER 200 건설,0.048876736645095405
TIGER 200 경기소비재,0.05103388673042143
TIGER 200 금융,0.007365744305789853
TIGER 200 산업재,0.03681565513398243
TIGER 200 생활소비재,0.08511178758228576
TIGER 200 에너지화학,0.0975433897286389
TIGER 200 중공업,0.06980791035703311
TIGER 200 철강소재,0.0480843929228299
TIGER 200 헬스케어,0.07425649107210963
TIGER 200,0.1133050592367689
TIGER 200IT레버리지,0.124404502338666
TIGER 200TR,0.11907233702431537
TIGER 200동일가중,0.08075473226205011
TIGER 200선물레버리지,0.11679113232508057
TIGER 200선물인버스2X,-0.11701466450027509
TIGER 200에너지화학레버리지,0.11498593741280316
TIGER 200커뮤니케이션서비스,0.12136182065511252
TIGER 200커버드콜5%OTM,0.10920710615325865
