ETF2,Correlation
ACE 200,0.8905526654632618
ACE 200TR,0.8832017298985445
ACE 2차전지&친환경차액티브,0.5696067305503991
ACE ESG액티브,0.8584604265393012
ACE Fn5G플러스,0.6962957040384701
ACE Fn성장소비주도주,0.5499656872117565
ACE 골드선물 레버리지(합성 H),0.2245165610339579
ACE 국고채10년,0.15046238824477567
ACE 국고채3년,0.1812312341034682
ACE 단기통안채,0.003364243657115375
ACE 러시아MSCI(합성),0.10985609866421626
ACE 레버리지,0.8893301597108181
ACE 멕시코MSCI(합성),0.2889846010810449
ACE 미국IT인터넷S&P(합성 H),0.4602683221613255
ACE 미국S&P500,0.4150431170238844
ACE 미국WideMoat동일가중,0.39494071346300647
ACE 미국나스닥100,0.458470462650045
ACE 미국다우존스리츠(합성 H),0.4249276705295755
ACE 미국친환경그린테마INDXX,0.42790517670310424
ACE 밸류대형,0.864898892880752
ACE 베트남VN30(합성),0.16068551347171608
ACE 베트남VN30선물블룸버그레버리지(H),0.34832385688489287
ACE 삼성그룹동일가중,0.6866703811946704
ACE 삼성그룹섹터가중,0.8084131244758112
ACE 싱가포르리츠,0.19194796632406927
ACE 아시아TOP50S&P,0.5509536189433808
ACE 인도네시아MSCI(합성),0.23140573695515237
ACE 인버스,-0.8699033440682389
ACE 일본Nikkei225(H),0.5817676835682885
ACE 일본TOPIX레버리지(H),0.441864498093929
ACE 일본TOPIX인버스(합성 H),-0.5816014975469146
ACE 종합채권(AA-이상)KIS액티브,0.1292279359026513
ACE 중국본토CSI300,0.15064820541283816
ACE 중국본토CSI300레버리지(합성),0.14318938835778824
ACE 중장기국공채액티브,0.1782240119590655
ACE 차이나항셍테크,0.34133059617988
ACE 코스닥150,0.675129089167451
ACE 코스피,0.8822125371895425
ACE 필리핀MSCI(합성),0.15500490427558203
BNK금융지주,0.4885478423040779
HANARO 200,0.8895951808263145
HANARO 200TR,0.8857095276832976
HANARO 200선물레버리지,0.8747730284322965
HANARO 200선물인버스,-0.8654096607456213
HANARO e커머스,0.6245718711240376
HANARO Fn K-POP&미디어,0.40845590967527373
HANARO Fn K-게임,0.43115806045389554
HANARO Fn K-뉴딜디지털플러스,0.6862273359584468
HANARO Fn K-반도체,0.6997573447317432
HANARO Fn5G산업,0.7237910003138285
HANARO Fn전기&수소차,0.7471295439787171
HANARO Fn친환경에너지,0.604206141038385
HANARO KAP초장기국고채,0.1787535650092979
HANARO KRX300,0.8581641712249282
HANARO MSCI Korea TR,0.842530538359685
HANARO 고배당,0.6859838094474635
HANARO 글로벌럭셔리S&P(합성),0.4111041712444331
HANARO 농업융복합산업,0.6107976438624924
HANARO 단기채권액티브,0.015523304523903181
HANARO 코스닥150,0.6733896349213842
HANARO 코스닥150선물레버리지,0.6866624156773221
HANARO 탄소효율그린뉴딜,0.8143909349938044
KODEX 200 중소형,0.734902720993101
KODEX 200,0.8902765070431212
KODEX 200ESG,0.8805181678664337
KODEX 200exTOP,0.8314371813567379
KODEX 200IT TR,0.7818896791947034
KODEX 200TR,0.882543462000565
KODEX 200가치저변동,0.8349065277568646
KODEX 200동일가중,0.7777199519589988
KODEX 200롱코스닥150숏선물,-0.18822797333680266
KODEX 200미국채혼합,0.5083430315650199
KODEX 200선물인버스2X,-0.8857494814980337
KODEX 2차전지산업,0.5475270910852664
KODEX 3대농산물선물(H),0.07813852822967653
KODEX IT,0.7767522067069863
KODEX K-뉴딜디지털플러스,0.6807003472748848
KODEX K-미래차액티브,0.7720763615515287
KODEX K-신재생에너지액티브,0.5899390354078097
KODEX K-이노베이션액티브,0.7274376197171311
KODEX KRX300,0.8861686260450325
KODEX KRX300레버리지,0.8373378946943912
KODEX KTOP30,0.8477048059049791
KODEX MSCI EM선물(H),0.6436008608831584
KODEX MSCI KOREA ESG유니버설,0.8394538691167673
KODEX MSCI Korea TR,0.8725425182365482
KODEX MSCI Korea,0.8507230631617113
KODEX MSCI모멘텀,0.7703407210016393
KODEX MSCI밸류,0.7523877365796812
KODEX MSCI퀄리티,0.7770802283565315
KODEX S&P글로벌인프라(합성),0.2689116738362745
KODEX Top10동일가중,0.8082413230232405
KODEX Top5PlusTR,0.8349810229102989
KODEX TRF3070,0.35235878687048094
KODEX TRF5050,0.32590777449319286
KODEX TRF7030,0.39517312001241506
