ETF2,Correlation
ACE 200,-0.7227578990165827
ACE 200TR,-0.7255865004559828
ACE 2차전지&친환경차액티브,-0.7642497171783582
ACE ESG액티브,-0.7476349370801504
ACE Fn5G플러스,-0.718391739370041
ACE Fn성장소비주도주,-0.6397538264903166
ACE 골드선물 레버리지(합성 H),-0.1647661182184655
ACE 국고채10년,-0.16353265478245427
ACE 국고채3년,-0.18980793482510436
ACE 단기통안채,0.021593218860397428
ACE 러시아MSCI(합성),-0.02819798034365138
ACE 레버리지,-0.7278778067024876
ACE 멕시코MSCI(합성),-0.21910937472422945
ACE 미국IT인터넷S&P(합성 H),-0.4670064867059902
ACE 미국S&P500,-0.39549415922929626
ACE 미국WideMoat동일가중,-0.39473548135568554
ACE 미국나스닥100,-0.4769478451932186
ACE 미국다우존스리츠(합성 H),-0.3373857860561602
ACE 미국친환경그린테마INDXX,-0.43951995693257784
ACE 밸류대형,-0.6321746185241414
ACE 베트남VN30(합성),-0.11563439594285252
ACE 베트남VN30선물블룸버그레버리지(H),-0.2845377245733527
ACE 삼성그룹동일가중,-0.4434819406293257
ACE 삼성그룹섹터가중,-0.6504333026186719
ACE 싱가포르리츠,-0.11262927074744797
ACE 아시아TOP50S&P,-0.4637564755723783
ACE 인도네시아MSCI(합성),-0.2509422816995219
ACE 인버스,0.7205365341237768
ACE 일본Nikkei225(H),-0.526987392568028
ACE 일본TOPIX레버리지(H),-0.3575975779882677
ACE 일본TOPIX인버스(합성 H),0.5337187186950831
ACE 종합채권(AA-이상)KIS액티브,-0.1444304718516952
ACE 중국본토CSI300,-0.1466240900905794
ACE 중국본토CSI300레버리지(합성),-0.1935522351160769
ACE 중장기국공채액티브,-0.2028712843595405
ACE 차이나항셍테크,-0.32451706474146164
ACE 코스닥150,-0.9625059280163917
ACE 코스피,-0.7545257389700312
ACE 필리핀MSCI(합성),-0.11539287152067144
BNK금융지주,-0.279399390548551
HANARO 200,-0.7281582053126017
HANARO 200TR,-0.7239633775121855
HANARO 200선물레버리지,-0.7206980729926176
HANARO 200선물인버스,0.701937832572755
HANARO e커머스,-0.6128562008084126
HANARO Fn K-POP&미디어,-0.5717602036464237
HANARO Fn K-게임,-0.5428854949354178
HANARO Fn K-뉴딜디지털플러스,-0.8088700724155248
HANARO Fn K-반도체,-0.6523864200900108
HANARO Fn5G산업,-0.6998113479113316
HANARO Fn전기&수소차,-0.7477737312012442
HANARO Fn친환경에너지,-0.696621184713853
HANARO KAP초장기국고채,-0.20221455909151417
HANARO KRX300,-0.7284828974711379
HANARO MSCI Korea TR,-0.7045488546214627
HANARO 고배당,-0.40229345356017165
HANARO 글로벌럭셔리S&P(합성),-0.33090941150796455
HANARO 농업융복합산업,-0.5508211715614016
HANARO 단기채권액티브,-0.0025672348407697718
HANARO 코스닥150,-0.9578279407477356
HANARO 코스닥150선물레버리지,-0.9717647081791947
HANARO 탄소효율그린뉴딜,-0.7156961495952543
KODEX 200 중소형,-0.6698920954673522
KODEX 200,-0.7322388302888618
KODEX 200ESG,-0.69273957488258
KODEX 200exTOP,-0.677903615619005
KODEX 200IT TR,-0.6768093180094005
KODEX 200TR,-0.7314525568026596
KODEX 200가치저변동,-0.5739288735302464
KODEX 200동일가중,-0.6727929504514227
KODEX 200롱코스닥150숏선물,0.737285004454749
KODEX 200미국채혼합,-0.4226400888976746
KODEX 200선물인버스2X,0.7364117856067982
KODEX 2차전지산업,-0.740375985435059
KODEX 3대농산물선물(H),-0.07596659881928043
KODEX IT,-0.7521516479779304
KODEX K-뉴딜디지털플러스,-0.8068606996750304
KODEX K-미래차액티브,-0.7386108710942209
KODEX K-신재생에너지액티브,-0.6633218528015079
KODEX K-이노베이션액티브,-0.7262068315929999
KODEX KRX300,-0.7762797842861062
KODEX KRX300레버리지,-0.7609433758665234
KODEX KTOP30,-0.7344204355052395
KODEX MSCI EM선물(H),-0.5499018779315074
KODEX MSCI KOREA ESG유니버설,-0.6974788720791931
KODEX MSCI Korea TR,-0.7432313037453964
KODEX MSCI Korea,-0.7178407814804734
KODEX MSCI모멘텀,-0.7405555890076213
KODEX MSCI밸류,-0.5478399987248296
KODEX MSCI퀄리티,-0.6837243083543114
KODEX S&P글로벌인프라(합성),-0.20882851173995273
KODEX Top10동일가중,-0.7539618845182491
KODEX Top5PlusTR,-0.6351581312367977
KODEX TRF3070,-0.32154321365161614
KODEX TRF5050,-0.2540649481598053
KODEX TRF7030,-0.3515710263616262
KODEX WTI원유선물(H),-0.11503817526356032
KODEX WTI원유선물인버스(H),0.11623784413423023
KODEX 건설,-0.5681115156258126
KODEX 게임산업,-0.5520712339697488
KODEX 경기소비재,-0.556485344063025
KODEX 고배당,-0.40594541104366444
