ETF2,Correlation
AAXJ,0.7188463419823043
ACWI,0.8011309460443815
ACWV,0.642889350974773
ACWX,0.7195732120303415
AFK,0.5213238476995035
AGG,0.10845669669830454
AGQ,0.1923819889792658
AGZD,0.06444837419684846
AIA,0.6925920713507394
AMLP,0.34945034581872025
ANGL,0.4994558591287842
AOA,0.7894543088600819
AOK,0.6803292922924467
AOM,0.7349914760620061
AOR,0.7778786986369559
ARGT,0.5881086820515421
ASEA,0.5140324501697824
ASHR,0.41477972066205615
BAB,0.04050167597920475
BIL,-0.008891667989033321
BIV,0.05243684469726018
BIZD,0.41545922115473527
BKLN,0.4227578690621217
BLV,0.07023982090107884
BND,0.10592915933954955
BNDX,0.10473078568055524
BNO,0.19711673137720137
BOIL,0.0386076259678738
BOND,0.12675408922765408
BRZU,0.40426117159507613
BSV,0.032698516523596816
BTAL,-0.30062742360402367
BWX,0.15866359038495695
BWZ,0.15023880479714483
BZQ,-0.38918502584330356
CANE,0.08365774173263867
CEMB,0.30951247584455294
CGW,0.645010904608369
CHIQ,0.6428016232626623
CMBS,-0.013105996392750804
CMF,0.057577356880809866
COPX,0.5033916998799393
CORN,0.02515172395215466
CORP,0.20213611959635294
CPER,0.19328842556917372
CQQQ,0.6655260690197752
CURE,0.5950086690893965
CWB,0.817062719080621
CWI,0.7183024810721819
CXSE,0.5892539457869183
DBA,0.14457477716342798
DBB,0.25685656116456695
DBC,0.23734370238314154
DBEF,0.6473260533519031
DBEU,0.635252383302851
DBJP,0.5617235270070333
DBO,0.21084539666850446
DDM,0.6791676208286473
DEM,0.5931353096702208
DES,0.5495746502574944
DEW,0.5827947684972474
DFJ,0.5405579201835956
DGP,0.01808033485525551
DGRE,0.6332795958036512
DGRS,0.5552300026261505
DGRW,0.7081292088811554
DGS,0.6449255116599446
DHS,0.5184901362376986
DIA,0.6797543358937481
DIG,0.36075596956897493
DIV,0.4402823806661741
DJP,0.23743363944053797
DLN,0.6528161917060243
DLS,0.6605286527319242
DNL,0.7081066707792466
DOG,-0.6777730195065518
DON,0.5939104548693747
DRN,0.47695124450850057
DRV,-0.4872724372241805
DSI,0.8142480019109481
DTD,0.646666397932599
DTH,0.5915045340256635
DUG,-0.3694505004068064
DUST,-0.13373920051109106
DVY,0.49441557367852046
DVYE,0.5663369715514286
DWAS,0.7217107227139099
DWM,0.6472261872350472
DXD,-0.678535124246078
DXJ,0.5342117825611353
DXJS,0.5068105505273468
EBND,0.43257591385508093
ECH,0.4313048852957607
ECNS,0.5114975227411735
EDC,0.7099185788621772
EDIV,0.5762037493606762
EDV,-0.1056721413935812
EDZ,-0.711572385599272
EELV,0.5948292646345583
EEM,0.7070610445090908
EEMA,0.704739671695059
EEMV,0.6615026696051212
EFA,0.6834511455785767
EFG,0.7352221871145783
EFV,0.5939672453356468
EFZ,-0.6855089423397331
EIDO,0.47447239504156435
EMB,0.48297771644976945
EMHY,0.5000314993945164
EMLC,0.4354540064667542
ENFR,0.4097770968291943
