ETF2,Correlation
AAXJ,-0.7113073413420223
ACWI,-0.8902478457382319
ACWV,-0.7588180637218892
ACWX,-0.7688162028264284
AFK,-0.5315451822817967
AGG,-0.09610743454338747
AGQ,-0.19269100152930202
AGZD,-0.047667570750438336
AIA,-0.6739826381132265
AMLP,-0.3905559841863854
ANGL,-0.5531989197395955
AOA,-0.871570542006994
AOK,-0.7388016340764336
AOM,-0.7997748540132406
AOR,-0.855820965964744
ARGT,-0.5781367454732523
ASEA,-0.5495732987570678
ASHR,-0.39523440633463125
BAB,-0.028310685197920828
BIL,0.0020929387528070905
BIV,-0.03396323703071511
BIZD,-0.4538609513173435
BKLN,-0.47806303482603124
BLV,-0.055901338602335704
BND,-0.10522844762383814
BNDX,-0.10555722532529707
BNO,-0.22542361742812916
BOIL,-0.0618067691123778
BOND,-0.1263491107435989
BRZU,-0.4365545683871856
BSV,-0.016031746724026706
BTAL,0.2832263277821218
BWX,-0.11807947827719259
BWZ,-0.12117397674667044
BZQ,0.41974000209443557
CANE,-0.07230737737830648
CEMB,-0.30504024538784974
CGW,-0.7314683474350173
CHIQ,-0.5449162184200166
CMBS,0.018915535921819073
CMF,-0.06351371191970397
COPX,-0.5207219439988829
CORN,-0.040242493937209474
CORP,-0.2110738461299055
CPER,-0.19558696823492336
CQQQ,-0.5631010637444465
CURE,-0.7237290055190471
CWB,-0.828097395734511
CWI,-0.7688821799907042
CXSE,-0.506491138908329
DBA,-0.15584116471810844
DBB,-0.25835927160394123
DBC,-0.2605017996347901
DBEF,-0.7286908862947907
DBEU,-0.7170246937398885
DBJP,-0.6405472173354531
DBO,-0.23418448136344944
DDM,-0.8127780684693755
DEM,-0.6274432718919064
DES,-0.632534394823689
DEW,-0.6830211409280992
DFJ,-0.6098376693314174
DGP,-0.006737554145482471
DGRE,-0.651482514227468
DGRS,-0.6343137023466288
DGRW,-0.8606228216557756
DGS,-0.6787303753034906
DHS,-0.6524449366691223
DIA,-0.8140740500770501
DIG,-0.42593249378942416
DIV,-0.5274905895166166
DJP,-0.25877900343957094
DLN,-0.8063095828478837
DLS,-0.7183489551328782
DNL,-0.7617570253484347
DOG,0.8147264543243523
DON,-0.6899686253783428
DRN,-0.5625374094160025
DRV,0.5819786947683357
DSI,-0.9295454148740302
DTD,-0.7899482612578741
DTH,-0.6576067801427519
DUG,0.44161300886497074
DUST,0.12428694078779967
DVY,-0.6222267135727894
DVYE,-0.5927216672418049
DWAS,-0.7462479782758715
DWM,-0.7190111831853189
DXD,0.8141766442358486
DXJ,-0.6156475006122808
DXJS,-0.5803223250163501
EBND,-0.43450000211282847
ECH,-0.45466685562703063
ECNS,-0.4548512371496634
EDC,-0.7125212068072131
EDIV,-0.609128279177538
EDV,0.14285570919470705
EDZ,0.7154712457075864
EELV,-0.6285636221100374
EEM,-0.7119030861273268
EEMA,-0.6982897816620847
EEMV,-0.6810057739067553
EFA,-0.7497049626588811
EFG,-0.7960284324240375
EFV,-0.6639262243657633
EFZ,0.755733371215748
EIDO,-0.5275236991929553
EMB,-0.5011549312907877
EMHY,-0.5370032713291601
EMLC,-0.4334042544331572
ENFR,-0.4547323581546122
ENOR,-0.569347982059339
ENZL,-0.5391692941192482
EPHE,-0.506654712733985
EPI,-0.5414930206303445
EPOL,-0.5487941271553063
EPP,-0.698030615025133
EPS,-0.8745110709806879
EPV,0.7209190196989185
EQWL,-0.788520314529573
ERX,-0.44968607891838225
ERY,0.4626224142339882
EUFN,-0.5930499804961554
EUM,0.7169110353845105
EURL,-0.7154981056656075
EUSA,-0.8230250054959659
EWA,-0.6765978546253131
EWC,-0.6692505651134162
EWD,-0.681853170512488
EWG,-0.6963128993065155
EWH,-0.5229407328837977
EWI,-0.6131568225129425
EWJ,-0.669571778312893
EWL,-0.6712357096328755
EWM,-0.46135328724381797
EWP,-0.5786796572867076
EWQ,-0.6732627361015883
EWS,-0.6201780353732824
EWT,-0.6505572919462198
EWU,-0.6328044091534165
EWV,0.6649349166689423
EWW,-0.5303319036767756
EWX,-0.6837028490232717
EWY,-0.6456750779317726
EWZ,-0.4570885132380455
EWZS,-0.4248721097194922
EZA,-0.5678647399700626
EZU,-0.7070556031848558
FAN,-0.6354814790006353
FAS,-0.7015251499316525
FAZ,0.7061778510606658
FBT,-0.6672741072743271
FCA,-0.4030082007928921
FCG,-0.36146867162717516
FCOM,-0.8079437821544466
FDD,-0.5912786106172536
FDIS,-0.8948386146731455
FDL,-0.6147131132237619
FDN,-0.9150999167304362
FDT,-0.7317560684253372
FEM,-0.6417931800327848
FEMS,-0.5946992305219923
FENY,-0.4383974652358224
FEZ,-0.7089690317787376
FGD,-0.6418902530606337
FHLC,-0.7561957949188193
FIDU,-0.7380780126305617
FIW,-0.7267597492822343
FLOT,-0.27541163475579084
FLRN,-0.2482692551876273
FLTR,-0.24874875393306936
FM,-0.5320958213428042
FMAT,-0.6938803079636495
FMF,-0.007187845639286467
FNCL,-0.6637758229470895
FNDA,-0.714883626420152
FNDB,-0.7932123070321783
FNDC,-0.7315517439798297
FNDE,-0.6383531130694471
FNDF,-0.6959931014024059
FNDX,-0.8015434473152816
FPE,-0.4023931769705679
FRI,-0.5609367156769901
FSTA,-0.6215449789832699
FTA,-0.6779257239212252
FTC,-0.9016156486556999
FTCS,-0.8168197816950353
FTEC,-0.9750961214043529
FTGC,-0.24665612557341685
FTQI,-0.5462685167727461
FTRI,-0.45803252560431057
FTSL,-0.36960561167899647
FUTY,-0.4242531957921723
FVD,-0.6914284013425129
FXH,-0.7679210271402659
FXI,-0.5455299735689632
FXL,-0.9195007432656924
FXN,-0.442122075896889
FXO,-0.6251863769264193
FXR,-0.7398889485817207
FXU,-0.47981481300371076
FXY,0.1745648808944577
FXZ,-0.637807247846983
FYLD,-0.6109053993364943
GCC,-0.21772533729980734
GDX,-0.15087874421186226
GDXJ,-0.18853110800448922
GLD,-0.03832283351813944
GLTR,-0.15581095179721274
GMF,-0.7106310258024581
GNR,-0.6024021464500224
GOVI,0.13738543630708755
GOVT,0.13583873773073693
GREK,-0.484376094039871
GRID,-0.6733398958762521
GRPM,-0.7104188592618746
GSG,-0.25308998474910466
GSY,-0.10486123677343145
GUNR,-0.5866048242445967
GVI,-0.0263524596781876
GWX,-0.7267983577921276
GXC,-0.5838469986281423
HAUZ,-0.5370763452049592
HDGE,0.7030450586416769
HEDJ,-0.7147887968608557
HYD,-0.261276054266199
HYEM,-0.3936913241909187
HYG,-0.6677112617107173
HYLS,-0.525731878590606
HYMB,-0.24090135476094895
HYS,-0.6203412259199091
HYZD,-0.3958286255728319
IAI,-0.686767980654336
IAK,-0.5690497456830034
IAT,-0.5147103742324036
IAU,-0.03719652181243805
IBB,-0.7013832548771515
IBND,-0.17258574431079024
ICF,-0.5621663845220429
ICLN,-0.6385484070981972
ICSH,-0.06931139503701397
IDHQ,-0.6850288545023765
IDLV,-0.6828548762714468
IDMO,-0.5370084071402609
IDU,-0.42685377835117544
IDV,-0.6490471896944595
IDX,-0.5337657901154702
IEF,0.12506714603213637
IEFA,-0.749032083264016
IEI,0.09986834186494468
IEMG,-0.7167009124187443
IEO,-0.429045014628377
IEV,-0.7149097355816297
IEZ,-0.3920785688189925
IGE,-0.5052696184319313
IGF,-0.6333918415038485
IGIB,-0.2514586405287062
IGLB,-0.22038935403784912
IGM,-0.9821137606738441
IGOV,-0.10362333607462233
IGPT,-0.8563397750086807
IGSB,-0.2232204319511075
IGV,-0.9032762539204174
IHE,-0.6410801278691821
IHF,-0.6237287524056093
IHI,-0.7608708911103068
IJH,-0.7733273255575698
IJJ,-0.693895247702169
IJK,-0.8234953815168302
IJR,-0.7084754029153008
IJS,-0.6218113750828612
IJT,-0.76087926199375
ILCB,-0.9053056133733074
ILCG,-0.9724814298565397
ILCV,-0.7571140557473099
ILF,-0.5235868190799025
ILTB,-0.07431563294157678
IMCB,-0.8034340105888084
IMCG,-0.8819508209068209
IMCV,-0.6713127152258357
INCO,-0.49751049086868804
INDA,-0.5623168982821005
INDL,-0.5325889259353418
INDY,-0.5478398535734148
IOO,-0.9080361371321807
ISCG,-0.8204778782383426
ISHG,-0.09227327290400437
ISTB,-0.13948219659871564
ITA,-0.6186453327322319
ITB,-0.6167065181211336
ITM,-0.07690206151833119
ITOT,-0.9198481249092151
IUSV,-0.7637343514229786
IVE,-0.765896108014437
IVOO,-0.7714259419073869
IVV,-0.922460251406247
IVW,-0.9728177327635631
IWB,-0.924522468947175
IWC,-0.7001849238711482
IWD,-0.7640596900525751
IWF,-0.978432626324694
IWL,-0.9308173631097825
IWM,-0.7638363297838747
IWN,-0.6657708317671609
IWO,-0.8141995380322898
IWP,-0.9017686697130524
IWR,-0.8363849974359853
IWS,-0.7462259948759193
IWV,-0.9178786048578252
IWX,-0.7523465539761298
IWY,-0.9797077066002117
IXC,-0.4613510389873289
IXJ,-0.7415781490794207
IXN,-0.9669338655742019
IXUS,-0.7676028690847375
IYC,-0.8878490106695013
IYE,-0.4465324739802267
IYF,-0.7058714130619977
IYG,-0.6998902189829924
IYH,-0.7420898169309893
IYJ,-0.7949547539339493
IYK,-0.6716971571253219
IYR,-0.6009305541276452
IYT,-0.7006825540008298
IYY,-0.9219863079464563
IYZ,-0.7030005914740942
JDST,0.1525282883266007
JNK,-0.6610642002616625
JNUG,-0.11862987004679137
JPXN,-0.637622753917652
JXI,-0.5218572428376583
KBE,-0.5269095787890622
KBWB,-0.5581236568950972
KBWP,-0.48497486201965867
KBWY,-0.4566887300108134
KCE,-0.7321017148281324
KIE,-0.6075572512773768
KOLD,0.06397024229163181
KORU,-0.6227980805238071
KRE,-0.49098574947577234
KWEB,-0.5325510672538633
LDUR,-0.03053323412005429
LEMB,-0.42776979928806275
LIT,-0.6355272547290933
LQD,-0.24264467203693393
LTPZ,0.025377816658073517
MBB,-0.13826053395359916
MCHI,-0.5787204135009681
MDIV,-0.5040811864357952
MDY,-0.77498064522262
MDYG,-0.8213205491593627
MDYV,-0.6884274433782521
MGC,-0.9354313151382994
MGK,-0.9808120128921431
MGV,-0.7535912215348417
MIDU,-0.7706708202302138
MINT,-0.12201629226634954
MLN,-0.1528849054204568
MLPA,-0.38152005044768267
MLPX,-0.46157602027976
MNA,-0.4248650624393787
MOAT,-0.8219342618228939
