ETF2,Correlation
AAXJ,0.1701386060496006
ACWI,0.19596455835264223
ACWV,0.2716602532353884
ACWX,0.19678900395887763
AFK,0.1682222533161792
AGG,0.40169585926074564
AGQ,0.15542342638080525
AGZD,0.017427944550071735
AIA,0.1478087816611192
AMLP,0.053490510343356175
ANGL,0.31400841403125873
AOA,0.20576542227712824
AOK,0.357646672472341
AOM,0.3134628345076956
AOR,0.2464623661251129
ARGT,0.12934769593251483
ASEA,0.19124339503704998
ASHR,0.07459218175263335
BAB,0.4722915781339976
BIL,0.0006117588883552353
BIV,0.4191504766590451
BIZD,0.20084356624598623
BKLN,0.42687230658230013
BLV,0.42348343511184977
BND,0.42007912328340685
BNDX,0.3870864974884084
BNO,0.009532146156818383
BOIL,0.016393030428464097
BOND,0.4384409654456071
BRZU,0.14262135213294055
BSV,0.4201291168411969
BTAL,0.0003969814496599224
BWX,0.2799955204113696
BWZ,0.2021987441210153
BZQ,-0.14290753507433968
CANE,0.03286363763875927
CEMB,0.3109044156413939
CGW,0.2540157835288351
CHIQ,0.10859912155748411
CMBS,0.24412754213017945
CMF,0.3578522936417538
COPX,0.10103685432850451
CORN,0.005456956102051504
CORP,0.46499784444534814
CPER,0.025707046538923993
CQQQ,0.08705934682226715
CURE,0.17581583387156924
CWB,0.24993893745598925
CWI,0.1873413025614118
CXSE,0.11351587703690465
DBA,0.01153704399287161
DBB,0.027160402753619733
DBC,0.03785498399841319
DBEF,0.09972530710831062
DBEU,0.12016755477659309
DBJP,0.02115223421331338
DBO,-0.0019156957891139994
DDM,0.18583011470301256
DEM,0.15765876870736098
DES,0.163810897594808
DEW,0.19432270501530538
DFJ,0.12890172685890247
DGP,0.15773086281439108
DGRE,0.17724268797424148
DGRS,0.16892507740739632
DGRW,0.18587335281306677
DGS,0.21318672038297165
DHS,0.20767861544096233
DIA,0.18904569139876395
DIG,0.07035781059134255
DIV,0.24712822771246465
DJP,0.05605399489075424
DLN,0.19678908711184312
DLS,0.20086888947122308
DNL,0.20444191684426707
DOG,-0.1882675595612032
DON,0.2028570192245849
DRN,0.2904699516866111
DRV,-0.3101094643202206
DSI,0.17818194047151123
DTD,0.1985567200759382
DTH,0.1755233526621465
DUG,-0.07573315159391858
DUST,-0.15133142930347543
DVY,0.20799621549325104
DVYE,0.15238259931084966
DWAS,0.12443956200831992
DWM,0.18625937279724736
DXD,-0.19135991963692778
DXJ,0.013607603140775353
DXJS,0.006630613406101723
EBND,0.25845601280249053
ECH,0.13790444980879743
ECNS,0.10977211232610266
EDC,0.16577562218198644
EDIV,0.1747613802307864
EDV,0.3199606739604485
EDZ,-0.16710266548592395
EELV,0.1868052871458684
EEM,0.1708710261975481
EEMA,0.1707941120502966
EEMV,0.19598790213454848
EFA,0.1890675505257794
EFG,0.20640211955319523
EFV,0.1632466300308458
EFZ,-0.18614678556232728
EIDO,0.19751868150163326
EMB,0.3539365279674278
EMHY,0.31130773973728837
EMLC,0.24298474197607098
ENFR,0.12798590864466117
ENOR,0.11736605641232463
ENZL,0.22289159532007732
EPHE,0.19608683445172143
EPI,0.1646343838791985
EPOL,0.12474066489305906
EPP,0.2025274104108185
EPS,0.180394873797464
EPV,-0.18509742685715697
EQWL,0.18117677684028208
ERX,0.08309399582347983
ERY,-0.08976501368316875
EUFN,0.11228820608449068
EUM,-0.16995731244273948
EURL,0.18554815563278204
EUSA,0.20423618199104443
EWA,0.2073056741782791
EWC,0.2000934710372085
EWD,0.15761806687515367
EWG,0.16778520458898352
EWH,0.14255797863280262
EWI,0.12030034003954429
EWJ,0.14317669637036345
EWL,0.20675565066333243
EWM,0.17034227207666972
EWP,0.13887976795700668
EWQ,0.1776483017520708
EWS,0.18619472706191262
EWT,0.13731140428063607
EWU,0.18000055774004112
EWV,-0.14571905000074634
EWW,0.1823821803969803
EWX,0.19379959333527175
EWY,0.21180101103050678
EWZ,0.15877332413525402
EWZS,0.17116846977508982
EZA,0.17531052183394316
EZU,0.16980665133717898
FAN,0.25293722645680894
FAS,0.15387920332224087
FAZ,-0.1601498787682983
FBT,0.10752504887624134
FCA,0.09950365995036474
FCG,0.00686153707228652
FCOM,0.1367785008722582
FDD,0.18738277556640873
FDIS,0.17138115646284235
FDL,0.20420673189055918
FDN,0.1243783042519177
FDT,0.17945258738952202
FEM,0.16552878112022945
FEMS,0.17473072179986712
FENY,0.07654510145503818
FEZ,0.16793025457218155
FGD,0.18869408967882778
FHLC,0.1796777155520237
FIDU,0.17299369362921657
FIW,0.1924563182330177
FLOT,0.27703574865732217
FLRN,0.22458967155360507
FLTR,0.1749988934354751
FM,0.15096065290351526
FMAT,0.15629610791012857
FMF,-0.015853227996762007
FNCL,0.13761797727838618
FNDA,0.1626688718062041
FNDB,0.1722184433097993
FNDC,0.20046928832915187
FNDE,0.13843961648993405
FNDF,0.17322496439102858
FNDX,0.17327298603308375
FPE,0.3599993994653202
FRI,0.2893799935165558
FSTA,0.18919284632407074
FTA,0.17209194712829567
FTC,0.17895476869928692
FTCS,0.19149216205892003
FTEC,0.15771273591189913
FTGC,0.060973381705183766
FTQI,0.0822761902088074
FTRI,0.10471336526157876
FTSL,0.32517009540749964
FUTY,0.30727153687525405
FVD,0.23924100015663785
FXH,0.18415376964610786
FXI,0.10790714967090227
FXL,0.14874726807473787
FXN,0.04591480179577157
FXO,0.15887247145888153
FXR,0.1684219600624424
FXU,0.2656850287736885
FXY,0.20848845654616463
FXZ,0.141907751115169
FYLD,0.14560084997430914
GCC,0.05275812252088051
GDX,0.15594669112124604
GDXJ,0.16356931894710325
GLD,0.18417371262869953
GLTR,0.2110851331193465
GMF,0.15875665698036223
GNR,0.13300803241492345
GOVI,0.3110354969417336
GOVT,0.305311440737096
GREK,0.06914478932103521
GRID,0.17553730128063885
GRPM,0.18003265646781674
GSG,0.011386521783402251
GSY,0.3974378162394072
GUNR,0.1342513414160732
GVI,0.39337577897156456
GWX,0.21327790155921228
GXC,0.10590321401261711
HAUZ,0.2610184064867827
HDGE,-0.1285000575324765
HEDJ,0.11573913768963462
HYD,0.48363661956387827
HYEM,0.3025072440667419
HYG,0.3337161439035375
HYLS,0.3153082911370601
HYMB,0.5748339872360985
HYS,0.3048793598279667
HYZD,0.15643813218654254
IAI,0.11139819279196814
IAK,0.13858284680975885
IAT,0.06790299482634926
IAU,0.18627948120178986
IBB,0.11135350738132041
IBND,0.29133395858519456
ICF,0.2966670693874127
ICLN,0.20296358803370848
ICSH,0.2862776461862596
IDHQ,0.19956859134917526
IDLV,0.2707965230226741
IDMO,0.16508205603965048
IDU,0.3054024855320137
IDV,0.1738821544821279
IDX,0.19650668061507515
IEF,0.32379259796984944
IEFA,0.19334922883295752
IEI,0.3149406085266084
IEMG,0.1784076791910067
IEO,0.03780823487299578
IEV,0.18323751112393835
IEZ,0.028711708124572827
IGE,0.09576196061097657
IGF,0.2738305550847719
IGIB,0.4904965598035672
IGLB,0.46068526388087255
IGM,0.1442235549914122
IGOV,0.3148177488269165
IGPT,0.12380850018816648
IGSB,0.47779435484691274
IGV,0.14150059452844457
IHE,0.14182252583820124
IHF,0.17369325947956485
IHI,0.19202159788917617
IJH,0.1887047710305817
IJJ,0.17874620115735976
IJK,0.1875344845238907
IJR,0.15153342225464084
IJS,0.11813934005245913
IJT,0.16408566340361044
ILCB,0.19381797333004766
ILCG,0.17258074554960576
ILCV,0.16659219289851532
ILF,0.16012654234662138
ILTB,0.4089224614869902
IMCB,0.2250741730107353
IMCG,0.1902089847707839
IMCV,0.18293909821963025
INCO,0.17911454047331346
INDA,0.1986160327741986
INDL,0.1799213251209636
INDY,0.17188646537481125
IOO,0.16878010009626201
ISCG,0.1744620182804053
ISHG,0.19714768691750367
ISTB,0.42576612281651066
ITA,0.20008808834760236
ITB,0.250555263221078
ITM,0.5869279864136991
ITOT,0.18610590351766723
IUSV,0.18059561752914394
IVE,0.1797736754018791
IVOO,0.19140200832778315
IVV,0.18130373210333875
IVW,0.16854972738734664
IWB,0.1852614012363856
IWC,0.15083743394456925
IWD,0.18861433621190468
IWF,0.17216448457678374
IWL,0.17484935376636945
IWM,0.1587856228291151
IWN,0.15610120121875626
IWO,0.1540632674044254
IWP,0.19110931363580835
IWR,0.20951253013888646
IWS,0.20969019525676932
IWV,0.18687336554933062
IWX,0.16866023771606525
IWY,0.16593713352570627
IXC,0.09243230636145397
IXJ,0.19479816781127152
IXN,0.16359308625912675
IXUS,0.191254132237502
IYC,0.16955589647947325
IYE,0.07584359026069559
IYF,0.154583454751942
IYG,0.12585575216271794
IYH,0.1747670296194853
IYJ,0.1761737736323003
IYK,0.1919710684133928
IYR,0.30870973658299605
IYT,0.12622363759077457
IYY,0.18400375467978605
IYZ,0.13645129146698362
JDST,-0.1497100854347997
JNK,0.3247145030569016
JNUG,0.15341965002331862
JPXN,0.12876050312301446
JXI,0.3109855181923008
KBE,0.074170931999133
KBWB,0.08312685940721777
KBWP,0.14042160722433583
KBWY,0.23983487519330846
KCE,0.13002112522515943
KIE,0.1629638408718018
KOLD,-0.014673722424965277
KORU,0.19125024928656958
KRE,0.06025196614308115
KWEB,0.0873063767646006
LDUR,0.1871517017757004
LEMB,0.22109547165664706
LIT,0.1705456686884105
LQD,0.4759272141166811
LTPZ,0.2589546986829912
MBB,0.4108103863888125
MCHI,0.10866706025451708
MDIV,0.24613409497950595
MDY,0.1895690038643491
MDYG,0.18953439443536674
MDYV,0.18489966820301745
MGC,0.18031204763964442
MGK,0.1674345432219828
MGV,0.17049179366802658
MIDU,0.18919210740428363
MINT,0.2282826577380459
MLN,0.6933325892209071
MLPA,0.048564791145906616
MLPX,0.09975541967024866
MNA,0.18377208236374576
MOAT,0.18328539442360473
MOO,0.15839184059805098
MORT,0.3386546846839089
MTUM,0.17249697129923322
MUB,0.6837822959044715
MUNI,0.6653303773646306
NEAR,0.3106440759695008
NFRA,0.2502136913265017
NFTY,0.163820163951249
NLR,0.2201573580449966
NOBL,0.20685768993952586
NUGT,0.16306966735927253
NYF,0.6890408033003643
OEF,0.16517213776631834
OIH,0.0235532762207403
ONEQ,0.15317265423629345
PALL,0.20105856114142293
PBD,0.20243366150507416
PBE,0.11093604459909258
PBJ,0.1603282332379342
PBW,0.17444995008962166
PCEF,0.3752699765292125
PCY,0.39862473500266715
PDN,0.20928020410472617
PEY,0.20825538442107686
PFF,0.3918089821760473
PFM,0.20589255401990403
PFXF,0.37298766499355784
PGHY,0.18536399198608472
