ETF2,Correlation
AAXJ,0.7251739706194998
ACWI,0.8633712420264579
ACWV,0.7112900885175
ACWX,0.7644837868473184
AFK,0.5357005093915246
AGG,0.10325233924759654
AGQ,0.19273008280283477
AGZD,0.046920637907115946
AIA,0.6972105167809952
AMLP,0.38744361153834744
ANGL,0.55105635074778
AOA,0.8461102620000729
AOK,0.7217611941380965
AOM,0.7820024032627307
AOR,0.8331047594415031
ARGT,0.580436218851498
ASEA,0.5417891703027502
ASHR,0.4034764444934801
BAB,0.04053490886459143
BIL,0.00754186893826341
BIV,0.039568520426810035
BIZD,0.4522818144996409
BKLN,0.46791224813655213
BLV,0.06245710460205096
BND,0.10388347357204152
BNDX,0.10802019864010666
BNO,0.22103273691057515
BOIL,0.0658381656799605
BOND,0.1287896075202814
BRZU,0.42972055916537794
BSV,0.027543973608495562
BTAL,-0.3238118673558152
BWX,0.1367636925028021
BWZ,0.13688372642973495
BZQ,-0.4121951231542494
CANE,0.06874982056486754
CEMB,0.3122849768619393
CGW,0.7180706245605523
CHIQ,0.5783718009151956
CMBS,-0.035844897061496676
CMF,0.056845319224886205
COPX,0.5405581016991037
CORN,0.039187749702043785
CORP,0.21264917573591383
CPER,0.20381118909283857
CQQQ,0.5952736332948854
CURE,0.6500045790620915
CWB,0.8397288128368502
CWI,0.7637034208975998
CXSE,0.5350693003593042
DBA,0.1506263976714773
DBB,0.269739957505449
DBC,0.26435818931518407
DBEF,0.7062617667003412
DBEU,0.6975547538253363
DBJP,0.6209710104644149
DBO,0.23641554023595493
DDM,0.7650623045896522
DEM,0.6285398801528302
DES,0.6356176703732973
DEW,0.6595745604758404
DFJ,0.5919387444470001
DGP,0.007053136307541177
DGRE,0.6583410035899353
DGRS,0.6420893303146471
DGRW,0.8133021430826293
DGS,0.6747877536423852
DHS,0.6190367046420338
DIA,0.7658130951323775
DIG,0.43327105846221475
DIV,0.5129539768959638
DJP,0.2637683132845387
DLN,0.7595935267674594
DLS,0.7097883685573644
DNL,0.7581115552685237
DOG,-0.7628169136922174
DON,0.689279104832551
DRN,0.5317820787944773
DRV,-0.5516235133355767
DSI,0.8919402570689527
DTD,0.7512077248508862
DTH,0.6436882168111053
DUG,-0.4459305374540509
DUST,-0.13559914369194298
DVY,0.5985408914823577
DVYE,0.5893648688309648
DWAS,0.7558954857813973
DWM,0.701252004187892
DXD,-0.7641139242371062
DXJ,0.5979385841344829
DXJS,0.5586549584655064
EBND,0.43506134569779853
