ETF2,Correlation
AAXJ,0.6277536914543562
ACWI,0.7903229994292865
ACWV,0.699517018847105
ACWX,0.6870513029142196
AFK,0.48508759501247334
AGG,0.07547020868732218
AGQ,0.15732466474056875
AGZD,0.03153949857865855
AIA,0.5914531621490126
AMLP,0.4148163908578828
ANGL,0.5072728274924739
AOA,0.7710179386241365
AOK,0.6450232775006076
AOM,0.6995278790696915
AOR,0.7501763183443008
ARGT,0.5210367679616534
ASEA,0.49531900669531725
ASHR,0.35316818411335876
BAB,0.03258424705709124
BIL,-0.007755412758435191
BIV,0.011550995398088718
BIZD,0.4227098298872192
BKLN,0.4655617188651021
BLV,0.03671414806970194
BND,0.10291505316634451
BNDX,0.1000106291789054
BNO,0.22159392975772318
BOIL,0.05586856658209763
BOND,0.12172877790014525
BRZU,0.41657666701798174
BSV,0.0035565456550175974
BTAL,-0.2169888982872835
BWX,0.06816669030471594
BWZ,0.07214334767170383
BZQ,-0.3960933486669329
CANE,0.08326971845249115
CEMB,0.27539076356141595
CGW,0.655622621811255
CHIQ,0.48097966733944175
CMBS,0.016192013160008793
CMF,0.05335661037785705
COPX,0.468946677371298
CORN,0.042940034088936756
CORP,0.18353686452229503
CPER,0.16408709185496692
CQQQ,0.4942734871037962
CURE,0.6658061491091999
CWB,0.7470768505561839
CWI,0.6838588644316814
CXSE,0.4520828577852643
DBA,0.142115786955079
DBB,0.20931584644005735
DBC,0.2371806454717382
DBEF,0.6658100621689627
DBEU,0.6633471884215134
DBJP,0.5781982718908475
DBO,0.21262254020092183
DDM,0.7474819026279742
DEM,0.5682547398128859
DES,0.579109962933812
DEW,0.6357778656891668
DFJ,0.5435701255419457
DGP,-0.015954054348758948
DGRE,0.5876354087837836
DGRS,0.5874263681862097
DGRW,0.776124596477627
DGS,0.6091028417970009
DHS,0.6132815303677644
DIA,0.7494281049087547
DIG,0.4145294366796299
DIV,0.5181038542148624
DJP,0.2284210879305753
DLN,0.7420544626767126
DLS,0.6402354432775107
DNL,0.6881824837322524
DOG,-0.7471664626141727
DON,0.6388731856809688
DRN,0.5129492492679245
DRV,-0.534706900381983
DSI,0.8220028082690575
DTD,0.7250462615780907
DTH,0.5962079948747278
DUG,-0.43372965144233694
DUST,-0.10087917253771768
DVY,0.5866691958715066
DVYE,0.5446059684516126
DWAS,0.6808794675763384
DWM,0.6487959593116774
DXD,-0.7474448584861375
DXJ,0.5550336691741117
DXJS,0.5299174308586805
EBND,0.38519431221345923
ECH,0.40624779529216093
ECNS,0.4134481264117704
EDC,0.630548303718313
EDIV,0.5636347854278702
EDV,-0.14895267694038586
EDZ,-0.6351975791961555
EELV,0.5698833330119731
EEM,0.6339031907465182
EEMA,0.6190781384827824
EEMV,0.6140190622465128
EFA,0.6657529794346162
EFG,0.702261675669231
EFV,0.5945946586143348
EFZ,-0.6679748476140779
EIDO,0.47836134308670614
EMB,0.45853400844387426
EMHY,0.5117741132655559
EMLC,0.387976087796611
ENFR,0.4698436175845769
ENOR,0.5388303478441111
ENZL,0.48527103211898387
EPHE,0.48588312979709647
EPI,0.4916435991850011
EPOL,0.4818654054004793
EPP,0.6237295323264562
EPS,0.7889098428997869
EPV,-0.6384063248179576
EQWL,0.722736775570773
ERX,0.44447004179492833
ERY,-0.4607738038207466
EUFN,0.5357775147808219
EUM,-0.6341091876995878
EURL,0.6377788556036481
EUSA,0.7484047066204188
EWA,0.610593727306357
EWC,0.6197301953400557
EWD,0.6031547293186273
EWG,0.6070300710317075
EWH,0.47078829336623473
EWI,0.5476404275103965
EWJ,0.5851226534523959
EWL,0.6070749680998708
EWM,0.41602871821905035
EWP,0.5234954151723288
EWQ,0.5998777655558749
EWS,0.5412683093218336
EWT,0.5781155258277896
EWU,0.5727993433495796
EWV,-0.5815740659563017
EWW,0.4808975159798624
EWX,0.6271051467690264
EWY,0.5720076707298104
EWZ,0.4346987796670723
EWZS,0.3994350559618718
EZA,0.5078329824095148
EZU,0.6250187026776504
FAN,0.5745852798700517
FAS,0.6490622227785375
FAZ,-0.6566500521911505
FBT,0.5946019210132314
FCA,0.3737748626624631
FCG,0.3496930500530926
FCOM,0.6991063840205255
FDD,0.53170086722107
FDIS,0.7778200262192613
FDL,0.5839909545400244
FDN,0.7749000914600027
FDT,0.6603330833417408
FEM,0.587232944966092
FEMS,0.552058854105044
FENY,0.4311966967972751
FEZ,0.6241407945550788
FGD,0.5912875870022462
FHLC,0.6912581211263481
FIDU,0.677917061718506
FIW,0.6549513214595978
FLOT,0.33883555264614607
FLRN,0.30440752310351554
FLTR,0.3031393491790213
FM,0.5025095439381995
FMAT,0.6363580958443058
FMF,0.021491408376480482
FNCL,0.6211250567528741
FNDA,0.6483187955260161
FNDB,0.7199090498229914
FNDC,0.6567009167715815
FNDE,0.5762294846864129
FNDF,0.622505145987895
FNDX,0.7326474599875081
FPE,0.3806474135336986
FRI,0.5187058194061508
FSTA,0.5791727903738273
FTA,0.6234764615200921
FTC,0.8082515222505817
FTCS,0.7543189535408606
FTEC,0.8405990480307621
FTGC,0.22380613493586204
FTQI,0.5141711454447796
FTRI,0.43983612010476664
FTSL,0.3670445850179555
FUTY,0.3992083193730936
FVD,0.6437725009655821
FXH,0.6969939661556994
FXI,0.4724714566178271
FXL,0.7997481351683982
FXN,0.4301117124842395
FXO,0.5777066503188242
FXR,0.6699780051701504
FXU,0.4545356657777068
FXY,-0.18132151477211456
FXZ,0.5881310744279776
FYLD,0.560556096338833
GCC,0.19233148184033041
GDX,0.12035376556178809
GDXJ,0.1631119991942168
GLD,0.018766503892946044
GLTR,0.1249234788409044
GMF,0.6289545294750615
GNR,0.5603669212810611
GOVI,-0.13495797795617184
GOVT,-0.1500235593866561
GREK,0.4442795880338444
GRID,0.6154188131724654
GRPM,0.6457919898056836
GSG,0.23809347113209572
GSY,0.1754586980537613
GUNR,0.5477332755435251
GVI,0.015035204389803936
GWX,0.6514780243556382
GXC,0.510809310223684
HAUZ,0.48228565369831483
HDGE,-0.6070382759496067
HEDJ,0.6452516446947312
HYD,0.2848192760301684
HYEM,0.3519871549771939
HYG,0.5783119533174688
HYLS,0.4409256860094522
HYMB,0.27238841127636887
HYS,0.5429678265923404
HYZD,0.3733245392663159
IAI,0.6377197581524636
IAK,0.5495719852020999
IAT,0.4770426143798688
IAU,0.01930007017546838
IBB,0.6254426764514948
IBND,0.12816619004491608
ICF,0.5145732892243904
ICLN,0.574418375378163
ICSH,0.060464746830672426
