ETF2,Correlation
AAXJ,0.04080484919535088
ACWI,0.06949131604077641
ACWV,0.10441598824664158
ACWX,0.06415882664662988
AFK,0.07755397999392281
AGG,0.24462364585437077
AGQ,0.08279467046696255
AGZD,0.058168228463758895
AIA,0.03295580283897829
AMLP,0.011101865103313546
ANGL,0.1787356573985528
AOA,0.08167109950410932
AOK,0.1534832279584163
AOM,0.11788600670192549
AOR,0.0883587217126964
ARGT,0.060757450291317905
ASEA,0.08797351534968571
ASHR,0.03227890861115731
BAB,0.20248865909863012
BIL,0.3680987336259312
BIV,0.2629328523527188
BIZD,0.11509726008205254
BKLN,0.11322866155984013
BLV,0.20534012987249647
BND,0.24641675990649783
BNDX,0.18494651990828095
BNO,0.05079598990660364
BOIL,0.035438798557049636
BOND,0.26013601671176767
BRZU,0.06986743956719539
BSV,0.25412996545911587
BTAL,0.01582749472163379
BWX,0.16514419549221065
BWZ,0.12424086981145364
BZQ,-0.05231660719013942
CANE,0.02683503284449075
CEMB,0.12658203718501368
CGW,0.10205020471922292
CHIQ,0.017316619668948426
CMBS,0.20966274326453005
CMF,0.14182282558305065
COPX,0.03655153633207858
CORN,-0.002650942757396617
CORP,0.2799012391628485
CPER,0.03680282690438282
CQQQ,0.005304895085104482
CURE,0.06878966914005458
CWB,0.08209841116770365
CWI,0.08122155898630075
CXSE,0.019990142717421625
DBA,0.013666559406715455
DBB,0.05211054056196766
DBC,0.0673389596061268
DBEF,0.026081124920462353
DBEU,0.030407455195322244
DBJP,-0.009448784379630277
DBO,0.05939824552454446
DDM,0.06627292863446825
DEM,0.06233391650847626
DES,0.07359672185125773
DEW,0.09409701651763584
DFJ,0.06269364626941222
DGP,0.07928599234179458
DGRE,0.06467121165525783
DGRS,0.07139666508646503
DGRW,0.07877615546157662
DGS,0.07993850232725361
DHS,0.09892446947168938
DIA,0.06789664167843694
DIG,0.04596285014258304
DIV,0.12366195116116488
DJP,0.07096794798841605
DLN,0.08468659821256244
DLS,0.08880351291224567
DNL,0.09384290266930716
DOG,-0.06697953966318547
DON,0.08427432706617928
DRN,0.12057919105531224
DRV,-0.12101228200621625
DSI,0.05994316313881407
DTD,0.08973243448313996
DTH,0.07361742955088524
DUG,-0.044891858636726574
DUST,-0.055657635620039315
DVY,0.08513487112581346
DVYE,0.07132041434731995
DWAS,0.07180037826119928
DWM,0.07549896182471555
DXD,-0.0653661340433844
DXJ,-0.011622715036916663
DXJS,-0.023999142742594678
EBND,0.1645226929157429
ECH,0.07549525216676052
ECNS,0.011204972922909772
EDC,0.05084269173484947
EDIV,0.059478784062267955
EDV,0.12179984046497362
EDZ,-0.04845554761228092
EELV,0.0802710892400034
EEM,0.04900132259758169
EEMA,0.0437851692819456
EEMV,0.07082804800919598
EFA,0.06750478456228214
EFG,0.07689197980780683
EFV,0.061361909844208674
EFZ,-0.06850093300674967
EIDO,0.10650969006390912
EMB,0.17250226903963226
EMHY,0.17338735262532695
EMLC,0.17615861407122727
ENFR,0.042238266100150815
ENOR,0.07081557053851227
ENZL,0.09906663612303838
EPHE,0.09083073390291604
EPI,0.08001997970564322
EPOL,0.04361723942034051
EPP,0.07612835245611417
EPS,0.0634428138772887
EPV,-0.06824848244460811
EQWL,0.06131214967597637
ERX,0.04599741053719552
ERY,-0.04172941653029914
EUFN,0.030607425109656514
EUM,-0.04895055435803141
EURL,0.06756548424114946
EUSA,0.07687111126648857
EWA,0.08892261409117344
EWC,0.06328149594944812
EWD,0.05831584171163458
EWG,0.05603292721727243
EWH,0.026886039103557444
EWI,0.02842616780772417
EWJ,0.059628406939682396
EWL,0.0807981420289444
EWM,0.056967566919516245
EWP,0.04877110982489205
EWQ,0.058711649228960126
EWS,0.07355446348936948
EWT,0.04411507129218663
EWU,0.06843485002276647
EWV,-0.06363988353840276
EWW,0.0653018186114262
EWX,0.0716597854073899
EWY,0.04561770088745257
EWZ,0.060306909480088655
EWZS,0.0719295265819801
EZA,0.07266381704084424
EZU,0.05840424463988407
FAN,0.06742635935288308
FAS,0.043804615337634745
FAZ,-0.041565957290760985
FBT,0.03455402900686665
FCA,0.007988432400992661
FCG,0.037640261857683266
FCOM,0.029725723588068704
FDD,0.06032932681596411
FDIS,0.054421621281465285
FDL,0.08663354434606987
FDN,0.01682704673969737
FDT,0.06811181320838113
FEM,0.047222780208391976
FEMS,0.04107252340883601
FENY,0.052405106524592564
FEZ,0.05741861136343929
FGD,0.07056274864642732
FHLC,0.06930521264855821
FIDU,0.06967210372548469
FIW,0.09159964547899904
FLOT,0.1873530408885109
FLRN,0.19275329508011677
FLTR,0.23675598040941656
FM,0.028450267059582292
FMAT,0.05336086936424465
FMF,0.012949011835949178
FNCL,0.03386067083620377
FNDA,0.07087476969322273
FNDB,0.0762090547394615
FNDC,0.08177097516440616
FNDE,0.055628814965555384
FNDF,0.0621726426338454
FNDX,0.06868183567911479
FPE,0.1380057192461245
FRI,0.11698987922654543
FSTA,0.09290595760233435
FTA,0.06709598746797732
FTC,0.06979941317949348
FTCS,0.0707491855419871
FTEC,0.05476971667295062
FTGC,0.05138905402662673
FTQI,0.04617939381397303
FTRI,0.07680181117065688
FTSL,0.14686429191576864
FUTY,0.12046885195184917
FVD,0.09305178053431735
FXH,0.07078421794790463
FXI,0.0065719505071383496
FXL,0.05317245661293302
FXN,0.03292411719866618
FXO,0.04956630119552964
FXR,0.06951433255548656
FXU,0.1041994848190291
FXY,0.13194340318121964
FXZ,0.03957822450481667
FYLD,0.06505546034229942
GCC,0.06252043905822889
GDX,0.07215643877098969
GDXJ,0.07313003552207996
GLD,0.07982911652804035
GLTR,0.09335455337123934
GMF,0.04553285208003488
GNR,0.06781871942385942
GOVI,0.12915477199808814
GOVT,0.16799285557304075
GREK,0.023046825942739487
GRID,0.057840982008757647
GRPM,0.07483521302634637
GSG,0.06952599449911484
GSY,0.15500654910787368
GUNR,0.07293850681463214
GVI,0.27756352559264363
GWX,0.08280225383623531
GXC,0.008399121977160097
HAUZ,0.07566317677494178
HDGE,-0.02680293086731761
HEDJ,0.03144262669944821
HYD,0.1429940716476644
HYEM,0.16615717846078207
HYG,0.18491193569799788
HYLS,0.1562223134897044
HYMB,0.07562566479784041
HYS,0.19694108637114835
HYZD,0.07447677349615056
IAI,0.019635273927331255
IAK,0.051250979053531175
IAT,0.009471693912477762
IAU,0.0839838985703807
IBB,0.03188886384582169
IBND,0.14318815596665477
ICF,0.11704162033313985
ICLN,0.04294323413236813
ICSH,0.2422098446868496
IDHQ,0.08240757904000336
IDLV,0.11145436712091701
IDMO,0.07284203177986291
IDU,0.1202441785775127
IDV,0.07848908643244434
IDX,0.1100534973563768
IEF,0.17311938042799024
IEFA,0.06849022952987908
IEI,0.2017987185629221
IEMG,0.052505644892530914
IEO,0.03446570283133176
IEV,0.06571234200590856
IEZ,0.01912532500622063
IGE,0.05520468281893059
IGF,0.09462450879331429
IGIB,0.32704370311638503
IGLB,0.2556938778229621
IGM,0.042225958604316535
IGOV,0.14994163833311527
IGPT,0.0486922424779114
IGSB,0.3023864682753653
IGV,0.03798499728826318
IHE,0.03921481584950924
IHF,0.07939508656656145
IHI,0.06314617882745138
IJH,0.06873712236017342
IJJ,0.0702508564304507
IJK,0.07380817533693468
IJR,0.07341018981241557
IJS,0.06805902831302878
IJT,0.07564912473930101
ILCB,0.0649014667268405
ILCG,0.05280392784648362
ILCV,0.05904569255474606
ILF,0.06415418650985316
ILTB,0.21108451264324032
IMCB,0.07639074139920357
IMCG,0.06793873542669467
IMCV,0.0697536607770736
INCO,0.0954083202610269
INDA,0.07910276201776496
INDL,0.08626231433469762
INDY,0.07568681870849317
IOO,0.06161244437428214
ISCG,0.05567427357599536
ISHG,0.11969961317620001
ISTB,0.29241550963902785
ITA,0.07959145505199659
ITB,0.06217616801829477
ITM,0.20319647302165408
ITOT,0.06415881714724726
IUSV,0.06459433816552498
IVE,0.06315771975392967
IVOO,0.06906639228605002
IVV,0.06184475658888685
IVW,0.05432538215729406
IWB,0.06422371512570343
IWC,0.06741568880158871
IWD,0.06762708600297913
IWF,0.05399526570167976
IWL,0.05750580815058258
IWM,0.0654959682150222
IWN,0.07218734148747513
IWO,0.061608280121596685
IWP,0.06083784342409314
IWR,0.07373700396247247
IWS,0.0801464130004975
IWV,0.06044303438297712
IWX,0.06594063156709376
IWY,0.05002172011063736
IXC,0.05078848737505616
IXJ,0.0813408272875091
IXN,0.05477916017712106
IXUS,0.06044703535466082
IYC,0.04926991862455014
IYE,0.0472697358043035
IYF,0.04273067888365634
IYG,0.015857786786778422
IYH,0.06592127266139924
IYJ,0.06367779078516872
IYK,0.09753359443898853
IYR,0.12244047456363587
IYT,0.0439242957786952
IYY,0.06404277303871225
IYZ,0.046794326106593724
JDST,-0.05688008538536621
JNK,0.18708188125096917
JNUG,0.06834664348129309
JPXN,0.05258488559434403
JXI,0.12470586104974543
KBE,0.013520962447853942
KBWB,0.008798629950280929
KBWP,0.049204942610760416
KBWY,0.09675228062985519
KCE,0.03458332534122141
KIE,0.05567893503716601
KOLD,-0.032348113383127236
KORU,0.05914817935191865
KRE,0.009690987222557106
KWEB,0.004645056042246172
LDUR,0.2286577870509607
LEMB,0.09964574382093151
LIT,0.02041612950317234
LQD,0.2722027005005958
LTPZ,0.09338489454096355
MBB,0.21181435126413273
MCHI,0.009504037089641811
MDIV,0.10688008052055055
MDY,0.07482106273165409
MDYG,0.0707207197852243
MDYV,0.07038718559049499
MGC,0.05890006483635813
MGK,0.050574562366334945
MGV,0.06790784035509197
MIDU,0.06926674202031712
MINT,0.4599939685387938
MLN,0.17826266741889932
MLPA,0.026718421789851572
MLPX,0.025215902658504635
MNA,0.08175621166875353
MOAT,0.05556851144342739
MOO,0.06772308990154606
MORT,0.18572444830653345
MTUM,0.05906829653522609
MUB,0.2800255856545157
MUNI,0.21593229396196018
NEAR,0.21414938623631016
NFRA,0.10477320996924315
NFTY,0.07025027565026165
NLR,0.10324182191868805
NOBL,0.08055218321591749
NUGT,0.0727797523837455
NYF,0.23794650395859063
OEF,0.05424111177510666
OIH,0.01998084364690623
ONEQ,0.0517826949884985
PALL,0.08971976779502436
PBD,0.0697035059258517
PBE,0.028931779378354002
PBJ,0.08250991152057839
PBW,0.05423396067219164
PCEF,0.10598292271409744
PCY,0.131084481648769
PDN,0.07836577801198105
PEY,0.087846089695823
PFF,0.15924018357768666
PFM,0.08502447228496682
PFXF,0.16710752700578205
PGHY,0.03119733717806503
PGJ,0.00041815255869001675
PGX,0.1083966772001625
PHB,0.14811425013548585
PHO,0.08299365217012387
PICB,0.1447421408167341
PICK,0.03696347061779903
PID,0.07836321365576314
PIE,0.0646215913442232
PIZ,0.08173580553529337
PNQI,0.014431436302384975
PPA,0.07816044597390026
PPH,0.07154705944986453
PPLT,0.09889612539304031
PRF,0.06448880270437071
PRFZ,0.0701658722744397
PSI,0.05817118036905608
PSK,0.1460216290191897
PSQ,-0.044720260267069684
PWV,0.06993430274743145
PWZ,0.1584562392198142
PXE,0.02973266137458972
PXF,0.06311798286686655
PXH,0.05011692263531403
PZA,0.1707643176801203
PZT,0.17912616077081112
QAI,0.11327657750457668
QCLN,0.0448518855572234
QDF,0.08947722112083359
QID,-0.04633168851426088
QLD,0.047385103358270966
QLTA,0.291875281823031
QQEW,0.058022437226953
QQQ,0.044786928156950956
QQQE,0.05868248892528279
QTEC,0.04683797383882395
QUAL,0.06344529577707533
QYLD,0.04083888061804705
RDIV,0.06858632574328584
RDVY,0.06948900628803216
REM,0.1569926742452441
REMX,0.02177733292218284
RETL,0.04355122114314708
REZ,0.1292166182888346
RIGS,0.13915863943411375
RING,0.0813294588241464
RLY,0.09117107349143176
ROBO,0.0550503810997998
ROM,0.04968326358899476
RPG,0.0614839635254161
RPV,0.04991355885083895
RSP,0.07085962010257046
RSPD,0.06411190039268239
RSPG,0.0381051069477716
RSPH,0.07350927376916505
RSPM,0.04306669448952149
RSPN,0.05874401489351854
RSPS,0.07496353709746971
RSPT,0.05639572895488827
RSPU,0.11012395429036141
RWJ,0.05796844261651937
RWK,0.05714964708195752
RWL,0.06270392449659833
RWM,-0.06153809589332013
RWO,0.12459482576743826
RWR,0.11485521940608454
RWX,0.10617354460754748
RXD,-0.07528646407983453
SCHA,0.06906998626525067
SCHB,0.06452986398963256
SCHC,0.08386556825854123
SCHD,0.08328468776623733
SCHE,0.05520976704541416
SCHF,0.0699980581592765
SCHG,0.05140416320905265
SCHH,0.12112932429217764
SCHM,0.0724224613685662
SCHO,0.2958033828077725
SCHP,0.1587751420621358
SCHR,0.20645902243229378
SCHV,0.07116540723408812
SCHX,0.06396122465626122
SCHZ,0.2302923419892469
SCJ,0.059681933026179954
SCO,-0.030885385386572088
SCZ,0.07624519151774932
SDIV,0.11474425400493052
SDOG,0.06865022218562204
SDOW,-0.02558856951226484
SDP,-0.1133826465399084
SDS,-0.06214182319091528
SDY,0.0866520895889965
SGOL,0.08185232905216
SH,-0.06609320362689763
SHM,0.12067396930180332
SHV,0.38536155891934143
SHY,0.27825609478214347
SHYD,0.1271916650377286
SHYG,0.2138888989905668
SIJ,-0.050499078313143465
SIL,0.05382095427670821
SILJ,0.056861524138518645
SIVR,0.08410788497750829
SJB,-0.1246715755284734
SJNK,0.2049454579025761
SKF,-0.044187341479043046
SKYY,0.022329130544561832
SLQD,0.2618351811858449
SLV,0.08141114856020902
SLVO,0.0838026411779851
SLVP,0.05949029208718291
SLYG,0.07023686199775254
SLYV,0.06888607758918472
SMB,0.10615380281379792
SMDD,-0.034943770316614595
SMH,0.052004322417469294
SMIN,0.0747490898161116
SMLV,0.08315537980052584
SMMU,0.1891483737083525
SOXL,0.057284243149974774
SOXS,-0.05422098960336862
SOXX,0.05543217299775884
SOYB,-0.006380729981197594
SPAB,0.21140300248805868
SPBO,0.2631812567146312
SPDW,0.06816077607453626
SPEM,0.05583998904770447
SPEU,0.06860826740648641
SPGM,0.06440752967807009
SPGP,0.06537651277005385
SPHB,0.04518846154720326
SPHD,0.09230658740298489
SPHQ,0.07083292694339115
SPHY,0.2058158486891022
SPIB,0.3361531771180289
SPIP,0.1490612641256856
SPLB,0.252516595310805
SPLG,0.058143825927376186
SPLV,0.10435678691595826
SPMB,0.18438510987415382
SPMD,0.06622166665030509
SPSB,0.31196850551938693
SPSM,0.07354342594067505
SPTI,0.19462769101530866
SPTL,0.12627020171528916
SPTM,0.06184696751406263
SPTS,0.1353564838620798
SPXL,0.0641184147112758
SPXS,-0.06239174142922322
SPXU,-0.06146656293226265
SPY,0.06687634509537749
SPYG,0.05643262966422809
SPYV,0.06356875376208554
SQQQ,-0.04380886552770455
SRLN,0.21134914544218422
SRS,-0.1229527938075121
SRTY,-0.058654978536939094
SSG,-0.018700693029008224
SSO,0.06354829728168335
STIP,0.19700851988159276
STPZ,0.1716978244368
SUB,0.16814845611668539
SUSA,0.06946100873233194
SVXY,0.0217118636126838
SYLD,0.05423364237890078
TAN,0.030011545159207138
TBF,-0.10300631150747766
TBT,-0.11163469253148876
TDIV,0.07023188642963978
TDTF,0.1809177349002329
TDTT,0.24139455371467575
TECL,0.057651576951910075
TECS,-0.05298003554149694
THD,0.06745437670707603
TILT,0.07187657180483557
TIP,0.149787783209484
TIPX,0.17720439553228146
TIPZ,0.15392354419979443
TLH,0.15607265285609007
TLT,0.12438864950652712
