ETF2,Correlation
AAXJ,0.5614064525033643
ACWI,0.7616205224064415
ACWV,0.7444092915069733
ACWX,0.7222708238515758
AFK,0.5522523199743509
AGG,0.08273851204031828
AGQ,0.18464103783782743
AGZD,0.048904343679080475
AIA,0.5091620913461067
AMLP,0.6243558723950198
ANGL,0.5622822235628607
AOA,0.7621674266220382
AOK,0.6415368734324964
AOM,0.6943124375080079
AOR,0.7480549473733443
ARGT,0.5005094161697248
ASEA,0.5678632992539047
ASHR,0.29583886932127484
BAB,0.034605026067241404
BIL,0.00567266681335465
BIV,0.010231982003956084
BIZD,0.6366889693269694
BKLN,0.5688983439283709
BLV,0.021017611309387736
BND,0.09209377574212106
BNDX,0.0732133759532255
BNO,0.35880370420783636
BOIL,0.0940368318773506
BOND,0.12988066173112472
BRZU,0.5135138924749588
BSV,0.02174167608817267
BTAL,-0.31639339928732396
BWX,0.13604776038455701
BWZ,0.15644128618363953
BZQ,-0.49501996862559866
CANE,0.12592927464807252
CEMB,0.3369687810349468
CGW,0.7586644623639628
CHIQ,0.34891388033911586
CMBS,-0.014950917889303408
CMF,0.09904045606363912
COPX,0.5791715583502114
CORN,0.08916839021454309
CORP,0.18053629690609177
CPER,0.20248875458802185
CQQQ,0.33492205929473395
CURE,0.6123126825186385
CWB,0.6196483218320962
CWI,0.7218200325646303
CXSE,0.32425830565712654
DBA,0.21341932625318802
DBB,0.2751368020858899
DBC,0.38725833901654677
DBEF,0.6839470782592441
DBEU,0.6899954556316301
DBJP,0.557497548427104
DBO,0.37242474552642835
DDM,0.8107595613227696
DEM,0.6321424435787976
DES,0.8854790355342581
DEW,0.8563627694119738
DFJ,0.580047559286774
DGP,0.014357673509177065
DGRE,0.5824961671302491
DGRS,0.8359383883580822
DGRW,0.7819807837463224
DGS,0.6292865022389313
DHS,0.8984052065994179
DIA,0.8107016190119174
DIG,0.7359993056389922
DIV,0.8474473162698171
DJP,0.3609963697610951
DLN,0.8428069556399458
DLS,0.7258806223423028
DNL,0.6628366124322463
DOG,-0.8089267951125485
DON,0.9140479121799674
DRN,0.7070118429074034
DRV,-0.7237599931025643
DSI,0.7386725323577006
DTD,0.8610310628769117
DTH,0.7388202453318972
DUG,-0.7475977265827662
DUST,-0.15501079836823098
DVY,0.9269580068596666
DVYE,0.6229830060959706
DWAS,0.6332401279453965
DWM,0.7342063366267849
DXD,-0.8106322726914619
DXJ,0.5798839774784919
DXJS,0.5339308935215583
EBND,0.45032772658935416
ECH,0.5163676593011122
ECNS,0.3428338756343189
EDC,0.6049740531399784
EDIV,0.6063483786002584
EDV,-0.18158625738861203
EDZ,-0.6050113361027024
EELV,0.618171536181746
EEM,0.6077861149365288
EEMA,0.5500181868411771
EEMV,0.6060060899868003
EFA,0.7250893513969788
EFG,0.6572472668065089
EFV,0.7548748474414485
EFZ,-0.725032510574497
EIDO,0.5436760407550486
EMB,0.5012161775128081
EMHY,0.5621045204532764
EMLC,0.46542614759609935
ENFR,0.713282853715771
ENOR,0.6476984614207375
ENZL,0.5685335972708433
EPHE,0.5076886406528296
EPI,0.5331540485197098
EPOL,0.5446788826279537
EPP,0.6995679826349678
EPS,0.7993815789343459
EPV,-0.7077795142601108
EQWL,0.8170432896627544
ERX,0.7273222049315666
ERY,-0.7380436409940327
EUFN,0.7031035535353793
EUM,-0.604411225444427
EURL,0.7071347101603753
EUSA,0.8297838481751171
EWA,0.7040795515252538
EWC,0.7495125607432012
EWD,0.656601441044952
EWG,0.6574107975463185
EWH,0.49249987276246693
EWI,0.6334767423757114
EWJ,0.597392985057325
EWL,0.6161235109374966
EWM,0.44962808252869185
EWP,0.6601014421862719
EWQ,0.6912277824405156
EWS,0.5966037176729262
EWT,0.5110361764184936
EWU,0.7219478058063046
EWV,-0.5919991019751494
EWW,0.6126555999635334
EWX,0.6228998480679327
EWY,0.5806711054991163
EWZ,0.5433650511504636
EWZS,0.49456931938208515
EZA,0.5605535317559129
EZU,0.682991440814804
FAN,0.5967077522945821
FAS,0.8361642593509198
FAZ,-0.8386766688102765
FBT,0.44204843936972954
FCA,0.34697723986052315
FCG,0.6073559799834706
FCOM,0.632447682938656
FDD,0.7235320589751648
FDIS,0.6516412523364619
FDL,0.9014745352949836
FDN,0.4745382072446585
FDT,0.6971661232934451
FEM,0.6084477136472719
FEMS,0.5629597035397331
FENY,0.744321668608683
FEZ,0.6858752121310853
FGD,0.8217404215797585
FHLC,0.6141077925395344
FIDU,0.8262087987914305
FIW,0.7799107252641643
FLOT,0.3707886326120956
FLRN,0.3418374025137623
FLTR,0.3207831505241501
FM,0.5081549838784998
FMAT,0.8121368814436583
FMF,0.028168226319834958
FNCL,0.8418026954909402
FNDA,0.8654327357326629
FNDB,0.8730852176694553
FNDC,0.7383244011339741
FNDE,0.6352089519852478
FNDF,0.7646432624805168
FNDX,0.8718892262807548
FPE,0.5045545289166236
FRI,0.7323121713148646
FSTA,0.657498993396039
FTA,0.9181737312329173
FTC,0.6174635084857696
FTCS,0.7401650414668832
FTEC,0.5739085316332928
FTGC,0.34687032603843826
FTQI,0.4328522210124964
FTRI,0.6013530710717483
FTSL,0.47202053120220194
FUTY,0.6270657002038761
FVD,0.8687196016404586
FXH,0.5948535191106574
FXI,0.40571977842254564
