ETF2,Correlation
ACE 200,0.7346348323158394
ACE 200TR,0.7267147038203465
ACE 2차전지&친환경차액티브,0.4062256480805485
ACE ESG액티브,0.686256481082376
ACE Fn5G플러스,0.8766660993321929
ACE Fn성장소비주도주,0.5546065435165848
ACE 골드선물 레버리지(합성 H),0.148248901314644
ACE 국고채10년,0.14384371306305357
ACE 국고채3년,0.14993697800139769
ACE 단기통안채,-0.01789764952946793
ACE 러시아MSCI(합성),0.03127220924391239
ACE 레버리지,0.7309198944065292
ACE 멕시코MSCI(합성),0.19968843637731376
ACE 미국IT인터넷S&P(합성 H),0.44015500033481475
ACE 미국S&P500,0.4112271883077341
ACE 미국WideMoat동일가중,0.37120317358066957
ACE 미국나스닥100,0.49423812621690394
ACE 미국다우존스리츠(합성 H),0.3002766862459394
ACE 미국친환경그린테마INDXX,0.3412474782094219
ACE 밸류대형,0.6753009792030323
ACE 베트남VN30(합성),0.11268201865965398
ACE 베트남VN30선물블룸버그레버리지(H),0.24356499934028028
ACE 삼성그룹동일가중,0.49022772993291197
ACE 삼성그룹섹터가중,0.6459177325105631
ACE 싱가포르리츠,0.1186421575798785
ACE 아시아TOP50S&P,0.46810257089613594
ACE 인도네시아MSCI(합성),0.20073368655889948
ACE 인버스,-0.7267867788516863
ACE 일본Nikkei225(H),0.5144403454430014
ACE 일본TOPIX레버리지(H),0.3512587517222153
ACE 일본TOPIX인버스(합성 H),-0.5073015693980282
ACE 종합채권(AA-이상)KIS액티브,0.14481797298650095
ACE 중국본토CSI300,0.09877104074960684
ACE 중국본토CSI300레버리지(합성),0.1436818400957182
ACE 중장기국공채액티브,0.17327876984405882
ACE 차이나항셍테크,0.26032493581040095
ACE 코스닥150,0.6399448505458075
ACE 코스피,0.7244367597852531
ACE 필리핀MSCI(합성),0.13539876658928562
BNK금융지주,0.2650220327935382
HANARO 200,0.7357369697046913
HANARO 200TR,0.7268887273377109
HANARO 200선물레버리지,0.729341720066793
HANARO 200선물인버스,-0.7242314885424265
HANARO e커머스,0.5389392938880957
HANARO Fn K-POP&미디어,0.4513498960814671
HANARO Fn K-게임,0.41889624120221747
HANARO Fn K-뉴딜디지털플러스,0.4958821040522712
HANARO Fn K-반도체,0.8361710784172675
HANARO Fn5G산업,0.8514396354020733
HANARO Fn전기&수소차,0.5501458428591048
HANARO Fn친환경에너지,0.4784118875300298
HANARO KAP초장기국고채,0.17384220773402098
HANARO KRX300,0.6985429762177284
HANARO MSCI Korea TR,0.6865842855610007
HANARO 고배당,0.39459644867429083
HANARO 글로벌럭셔리S&P(합성),0.319483689875028
HANARO 농업융복합산업,0.4567725517390876
HANARO 단기채권액티브,0.04935186085281291
HANARO 코스닥150,0.630050663596085
HANARO 코스닥150선물레버리지,0.6474303319399949
HANARO 탄소효율그린뉴딜,0.7054193091154612
KODEX 200 중소형,0.5879549367119206
KODEX 200,0.7384748454304446
KODEX 200ESG,0.6777694479478558
KODEX 200exTOP,0.6171217845072399
KODEX 200IT TR,0.7494173512953753
KODEX 200TR,0.7341219238051375
KODEX 200가치저변동,0.6077040918635845
KODEX 200동일가중,0.5880623661243786
KODEX 200롱코스닥150숏선물,-0.2732958675576527
KODEX 200미국채혼합,0.4744215686643032
KODEX 200선물인버스2X,-0.7390103768932791
KODEX 2차전지산업,0.3499584523738851
KODEX 3대농산물선물(H),0.054365942789174095
KODEX IT,0.8119041976146112
KODEX K-뉴딜디지털플러스,0.5057790709961526
KODEX K-미래차액티브,0.7134087073458161
KODEX K-신재생에너지액티브,0.47541932688890853
KODEX K-이노베이션액티브,0.7227843148736641
KODEX KRX300,0.7431370579400859
KODEX KRX300레버리지,0.7154124883625728
KODEX KTOP30,0.6731950383804164
KODEX MSCI EM선물(H),0.4791820588398229
KODEX MSCI KOREA ESG유니버설,0.6802860015248301
KODEX MSCI Korea TR,0.7223640132012142
KODEX MSCI Korea,0.7064594213252814
KODEX MSCI모멘텀,0.5632423166173431
KODEX MSCI밸류,0.6317603744088341
KODEX MSCI퀄리티,0.7307245261948523
KODEX S&P글로벌인프라(합성),0.1904746894172548
KODEX Top10동일가중,0.6049595599687506
KODEX Top5PlusTR,0.7033774448638767
KODEX TRF3070,0.3180608462297689
KODEX TRF5050,0.29279496304506775
KODEX TRF7030,0.3662204245794414
KODEX WTI원유선물(H),0.12778010043959054
KODEX WTI원유선물인버스(H),-0.12819248602360597
KODEX 건설,0.4389707487274867
KODEX 게임산업,0.4208232811880397
KODEX 경기소비재,0.5241346928814838
KODEX 고배당,0.442207928952802
KODEX 골드선물(H),0.13256543948552696
KODEX 골드선물인버스(H),-0.13291323880899922
KODEX 구리선물(H),0.26240071744008964
KODEX 국고채3년,0.15204382690175977
KODEX 국채선물10년,0.15403528030484911
KODEX 국채선물10년인버스,-0.17611141162322794
KODEX 국채선물3년인버스,-0.1752449399838822
KODEX 글로벌로봇(합성),0.451668371417924
KODEX 기계장비,0.44954782718993164
KODEX 단기변동금리부채권액티브,0.05311224621076888
KODEX 단기채권,-0.008271770623486163
KODEX 단기채권PLUS,0.05163742981197324
KODEX 레버리지,0.7374554865887448
KODEX 멀티에셋하이인컴(H),0.18045138988968631
KODEX 멀티팩터,0.6661994111595984
KODEX 모멘텀Plus,0.646019169891581
