ETF2,Correlation
ACE 200,0.85454389144951
ACE 200TR,0.8365969011937525
ACE 2차전지&친환경차액티브,0.39826293375330524
ACE ESG액티브,0.777962071478143
ACE Fn5G플러스,0.5913839751750185
ACE Fn성장소비주도주,0.4943727250429873
ACE 골드선물 레버리지(합성 H),0.19786676360296246
ACE 국고채10년,0.06507362743644156
ACE 국고채3년,0.09583495397530856
ACE 단기통안채,-0.011692616625472902
ACE 러시아MSCI(합성),0.07098658082140422
ACE 레버리지,0.8422688017852588
ACE 멕시코MSCI(합성),0.31235077492638624
ACE 미국IT인터넷S&P(합성 H),0.3378105128684957
ACE 미국S&P500,0.36038183301396237
ACE 미국WideMoat동일가중,0.37105055973547035
ACE 미국나스닥100,0.34241026144474257
ACE 미국다우존스리츠(합성 H),0.38416965840757833
ACE 미국친환경그린테마INDXX,0.3640956280431924
ACE 밸류대형,0.9141781107122867
ACE 베트남VN30(합성),0.12294480169753418
ACE 베트남VN30선물블룸버그레버리지(H),0.28993887866745294
ACE 삼성그룹동일가중,0.7033720759933888
ACE 삼성그룹섹터가중,0.7495430630284945
ACE 싱가포르리츠,0.15506627660854236
ACE 아시아TOP50S&P,0.4914805430200866
ACE 인도네시아MSCI(합성),0.18102306761152345
ACE 인버스,-0.833723927466745
ACE 일본Nikkei225(H),0.5285298077305788
ACE 일본TOPIX레버리지(H),0.4184680035067954
ACE 일본TOPIX인버스(합성 H),-0.5375559819706853
ACE 종합채권(AA-이상)KIS액티브,0.015549737946922694
ACE 중국본토CSI300,0.10563672452452172
ACE 중국본토CSI300레버리지(합성),0.11073721141321673
ACE 중장기국공채액티브,0.08026228492523362
ACE 차이나항셍테크,0.275480532399002
ACE 코스닥150,0.4915882980566771
ACE 코스피,0.8193513239696154
ACE 필리핀MSCI(합성),0.17772273700968566
BNK금융지주,0.6586734651376219
HANARO 200,0.8521823586831992
HANARO 200TR,0.8386655865266257
HANARO 200선물레버리지,0.8274756030283679
HANARO 200선물인버스,-0.8192522891465225
HANARO e커머스,0.5509216571551974
HANARO Fn K-POP&미디어,0.3145040146355313
HANARO Fn K-게임,0.3731736104240845
HANARO Fn K-뉴딜디지털플러스,0.48354896982687245
HANARO Fn K-반도체,0.6173845354833286
HANARO Fn5G산업,0.65322388893776
HANARO Fn전기&수소차,0.6406304581897284
HANARO Fn친환경에너지,0.4452086813932861
HANARO KAP초장기국고채,0.08601546410961057
HANARO KRX300,0.7888080687420138
HANARO MSCI Korea TR,0.7796731015241458
HANARO 고배당,0.8509649969657805
HANARO 글로벌럭셔리S&P(합성),0.38983498270054934
HANARO 농업융복합산업,0.5827838654293731
HANARO 단기채권액티브,-0.00477356718204993
HANARO 코스닥150,0.5023700448319894
HANARO 코스닥150선물레버리지,0.5093280012853981
HANARO 탄소효율그린뉴딜,0.7503775412399185
KODEX 200 중소형,0.7092147535740514
KODEX 200,0.8502527134606991
KODEX 200ESG,0.861522632529073
KODEX 200exTOP,0.7641034475270702
KODEX 200IT TR,0.6711942604287849
KODEX 200TR,0.8355290016146985
KODEX 200가치저변동,0.929830595668257
KODEX 200동일가중,0.7626590412983925
KODEX 200롱코스닥150숏선물,0.012517147702517223
KODEX 200미국채혼합,0.48158213392486093
KODEX 200선물인버스2X,-0.8349897453531341
KODEX 2차전지산업,0.35840705168551557
KODEX 3대농산물선물(H),0.10436896707187604
KODEX IT,0.6378131161970846
KODEX K-뉴딜디지털플러스,0.4905122940113366
KODEX K-미래차액티브,0.6557824429039569
KODEX K-신재생에너지액티브,0.4215175176167676
KODEX K-이노베이션액티브,0.5600436407071705
KODEX KRX300,0.8274894167394367
KODEX KRX300레버리지,0.7837282924512937
KODEX KTOP30,0.7635771838549149
KODEX MSCI EM선물(H),0.5488928632403878
KODEX MSCI KOREA ESG유니버설,0.7885794403849598
KODEX MSCI Korea TR,0.816881698280383
KODEX MSCI Korea,0.8085786426884988
KODEX MSCI모멘텀,0.6287453339483124
KODEX MSCI밸류,0.8465345471720841
KODEX MSCI퀄리티,0.7357482793310091
KODEX S&P글로벌인프라(합성),0.30289290438228783
KODEX Top10동일가중,0.6485292204337442
KODEX Top5PlusTR,0.8195546828517959
KODEX TRF3070,0.3233896823702115
KODEX TRF5050,0.27306462468537296
KODEX TRF7030,0.3271229661272797
KODEX WTI원유선물(H),0.22713577905844448
KODEX WTI원유선물인버스(H),-0.23255800216936157
KODEX 건설,0.568898145956011
