ETF2,Correlation
ACE 200,0.1874048839061042
ACE 200TR,0.18116980742855324
ACE 2차전지&친환경차액티브,0.1006227746475019
ACE ESG액티브,0.1503946856570999
ACE Fn5G플러스,0.16355521292013342
ACE Fn성장소비주도주,0.16150025982868657
ACE 골드선물 레버리지(합성 H),0.32205290128525826
ACE 국고채10년,0.7987787795989536
ACE 국고채3년,0.7060956570792603
ACE 단기통안채,0.008515772408195753
ACE 러시아MSCI(합성),-0.014258657720466875
ACE 레버리지,0.18177067321225604
ACE 멕시코MSCI(합성),0.018420584798529396
ACE 미국IT인터넷S&P(합성 H),0.1905079751720844
ACE 미국S&P500,0.04003789670572692
ACE 미국WideMoat동일가중,0.06447912624028077
ACE 미국나스닥100,0.09285785795775707
ACE 미국다우존스리츠(합성 H),0.2233212563254154
ACE 미국친환경그린테마INDXX,0.08874243700718944
ACE 밸류대형,0.1453196030853114
ACE 베트남VN30(합성),0.014336910313262258
ACE 베트남VN30선물블룸버그레버리지(H),0.12396344861611278
ACE 삼성그룹동일가중,0.19183985029788458
ACE 삼성그룹섹터가중,0.17461724336076592
ACE 싱가포르리츠,0.07786587521360665
ACE 아시아TOP50S&P,0.008808108065554947
ACE 인도네시아MSCI(합성),-0.06852150563439004
ACE 인버스,-0.173877946819656
ACE 일본Nikkei225(H),0.06492795494920889
ACE 일본TOPIX레버리지(H),0.06414764407371921
ACE 일본TOPIX인버스(합성 H),-0.07519748264885537
ACE 종합채권(AA-이상)KIS액티브,0.727820538392316
ACE 중국본토CSI300,-0.06869836196618156
ACE 중국본토CSI300레버리지(합성),-0.08097203235446152
ACE 중장기국공채액티브,0.7400741168294694
ACE 차이나항셍테크,-0.02029553666885167
ACE 코스닥150,0.18017190411167333
ACE 코스피,0.20183875455307476
ACE 필리핀MSCI(합성),-0.023014565239671273
BNK금융지주,0.022529011542729394
HANARO 200,0.17931174833033175
HANARO 200TR,0.1874793011682699
HANARO 200선물레버리지,0.16793328162579985
HANARO 200선물인버스,-0.17110113911995103
HANARO e커머스,0.21509075554639356
HANARO Fn K-POP&미디어,0.15858024284415825
HANARO Fn K-게임,0.19154399483680262
HANARO Fn K-뉴딜디지털플러스,0.2203799232938658
HANARO Fn K-반도체,0.13550347616684266
HANARO Fn5G산업,0.13675217350812943
HANARO Fn전기&수소차,0.10627492167013282
HANARO Fn친환경에너지,0.13613809448255867
HANARO KAP초장기국고채,0.7802162619454075
HANARO KRX300,0.18306065559885973
HANARO MSCI Korea TR,0.17611043035015872
HANARO 고배당,0.0888110534863405
HANARO 글로벌럭셔리S&P(합성),0.020222798234457887
HANARO 농업융복합산업,0.09681446450414408
HANARO 단기채권액티브,-0.044660966549190745
HANARO 코스닥150,0.18691579058130245
HANARO 코스닥150선물레버리지,0.191219049309405
HANARO 탄소효율그린뉴딜,0.1645932772748356
KODEX 200 중소형,0.1242233486825238
KODEX 200,0.1851836126713156
KODEX 200ESG,0.15057264974556636
KODEX 200exTOP,0.1484078186053979
KODEX 200IT TR,0.16914093991735085
KODEX 200TR,0.18270872164250812
KODEX 200가치저변동,0.12589956268564606
KODEX 200동일가중,0.14707101441627468
KODEX 200롱코스닥150숏선물,-0.10736756735700288
KODEX 200미국채혼합,0.22355281886355446
