ETF2,Correlation
ACE 200,0.3096136540434589
ACE 200TR,0.30967086943098104
ACE 2차전지&친환경차액티브,0.15575414466530152
ACE ESG액티브,0.2957495884147199
ACE Fn5G플러스,0.2424458053542496
ACE Fn성장소비주도주,0.313152709382869
ACE 골드선물 레버리지(합성 H),0.14564901190181598
ACE 국고채10년,0.11193881665313521
ACE 국고채3년,0.11684154820151721
ACE 단기통안채,0.011947480786894402
ACE 러시아MSCI(합성),-0.0014422943996657454
ACE 레버리지,0.30716323480574365
ACE 멕시코MSCI(합성),0.2663560489169278
ACE 미국IT인터넷S&P(합성 H),0.41680365802074204
ACE 미국S&P500,0.5780955179673705
ACE 미국WideMoat동일가중,0.6043487093520385
ACE 미국나스닥100,0.4804552663529652
ACE 미국다우존스리츠(합성 H),0.7338926892985379
ACE 미국친환경그린테마INDXX,0.5402776881361734
ACE 밸류대형,0.2884088681422497
ACE 베트남VN30(합성),0.20888104500955462
ACE 베트남VN30선물블룸버그레버리지(H),0.21503854610890538
ACE 삼성그룹동일가중,0.27998711373354784
ACE 삼성그룹섹터가중,0.30279077032379464
ACE 싱가포르리츠,0.4113540521324312
ACE 아시아TOP50S&P,0.2683191381275877
ACE 인도네시아MSCI(합성),0.23380231123484713
ACE 인버스,-0.2968840074003624
ACE 일본Nikkei225(H),0.3006741141187161
ACE 일본TOPIX레버리지(H),0.23953105536482178
ACE 일본TOPIX인버스(합성 H),-0.27176821020209846
ACE 종합채권(AA-이상)KIS액티브,0.14689679008391748
ACE 중국본토CSI300,0.19485321239528916
ACE 중국본토CSI300레버리지(합성),0.1690201630335697
ACE 중장기국공채액티브,0.17740690809537438
ACE 차이나항셍테크,0.19780791957228852
ACE 코스닥150,0.25028038021278387
ACE 코스피,0.33395856166214843
ACE 필리핀MSCI(합성),0.20896095826523317
BNK금융지주,0.1762863085971955
HANARO 200,0.31003947058163606
HANARO 200TR,0.3078703645605792
HANARO 200선물레버리지,0.3017300287937375
HANARO 200선물인버스,-0.30113769483240443
HANARO e커머스,0.31820377935355715
HANARO Fn K-POP&미디어,0.21348655455712515
HANARO Fn K-게임,0.2916660691964979
HANARO Fn K-뉴딜디지털플러스,0.3018864572863674
HANARO Fn K-반도체,0.19820629053617042
HANARO Fn5G산업,0.2592170512159386
HANARO Fn전기&수소차,0.25323078763910445
HANARO Fn친환경에너지,0.2802464367249331
HANARO KAP초장기국고채,0.10379996949001963
HANARO KRX300,0.30761840936991464
HANARO MSCI Korea TR,0.285763766658734
HANARO 고배당,0.2618838329923694
HANARO 글로벌럭셔리S&P(합성),0.4632769116361818
HANARO 농업융복합산업,0.23463772665156568
HANARO 단기채권액티브,0.05016646015464766
HANARO 코스닥150,0.24436348868745073
HANARO 코스닥150선물레버리지,0.2487526028594657
HANARO 탄소효율그린뉴딜,0.27870016070574766
KODEX 200 중소형,0.29903946176679513
KODEX 200,0.30784411591489796
KODEX 200ESG,0.2829008747469339
KODEX 200exTOP,0.3082860682143557
KODEX 200IT TR,0.26969045143247594
KODEX 200TR,0.3079617427036463
KODEX 200가치저변동,0.291495784950929
KODEX 200동일가중,0.3384134459849461
KODEX 200롱코스닥150숏선물,-0.09167060390521925
KODEX 200미국채혼합,0.3659988063204475
KODEX 200선물인버스2X,-0.30596933345841604
KODEX 2차전지산업,0.1699159516146363
KODEX 3대농산물선물(H),0.03732721686587373
KODEX IT,0.25168943418623774
KODEX K-뉴딜디지털플러스,0.29807176504312033
KODEX K-미래차액티브,0.2889745447656505
KODEX K-신재생에너지액티브,0.23224365027726718
KODEX K-이노베이션액티브,0.26120860551299474
KODEX KRX300,0.3028544458652022
KODEX KRX300레버리지,0.3162707172891137
KODEX KTOP30,0.30443919390398116
KODEX MSCI EM선물(H),0.3089020929365756
KODEX MSCI KOREA ESG유니버설,0.28200119243566313
KODEX MSCI Korea TR,0.2858719881120702
KODEX MSCI Korea,0.28544332301608
KODEX MSCI모멘텀,0.2372904911523194
KODEX MSCI밸류,0.2824465025227688
KODEX MSCI퀄리티,0.31443101021564274
KODEX S&P글로벌인프라(합성),0.4435826806925404
KODEX Top10동일가중,0.2533740734378761
KODEX Top5PlusTR,0.23771052798344616
KODEX TRF3070,0.4570461572827537
KODEX TRF5050,0.4792143049719631
KODEX TRF7030,0.5199683423001448
KODEX WTI원유선물(H),0.08165119026212388
KODEX WTI원유선물인버스(H),-0.08294301149161977
KODEX 건설,0.24091951407278375
KODEX 게임산업,0.2932774531617346
KODEX 경기소비재,0.31501621082021025
KODEX 고배당,0.25756459776316426
KODEX 골드선물(H),0.13470065902560843
KODEX 골드선물인버스(H),-0.13693506524829144
KODEX 구리선물(H),0.165996807152819
KODEX 국고채3년,0.09601997296432142
KODEX 국채선물10년,0.14006769303833155
KODEX 국채선물10년인버스,-0.13694418237108325
KODEX 국채선물3년인버스,-0.20618028689643111
KODEX 글로벌로봇(합성),0.5403855757749964
KODEX 기계장비,0.20060738939430794
KODEX 단기변동금리부채권액티브,-0.03918871529031289
KODEX 단기채권,0.004174190145727438
KODEX 단기채권PLUS,0.11184545858601798
KODEX 레버리지,0.31004432646429453
KODEX 멀티에셋하이인컴(H),0.3712962102775446
KODEX 멀티팩터,0.308768793257431
KODEX 모멘텀Plus,0.23221331574755466
KODEX 미국10년국채선물,0.09684321928956567
KODEX 미국30년국채울트라선물(H),0.16205086205005942
KODEX 미국S&P500TR,0.5763359648709659
KODEX 미국S&P500산업재(합성),0.5260645645827263
KODEX 미국S&P500선물(H),0.5272738453566106
KODEX 미국S&P500에너지(합성),0.19050967759481569
KODEX 미국S&P바이오(합성),0.4430721353095481
KODEX 미국나스닥100TR,0.48161595536586377
KODEX 미국나스닥100선물(H),0.4388085473101894
KODEX 미국달러선물,-0.05961983901334375
KODEX 미국달러선물레버리지,-0.06550029522908542
KODEX 미국달러선물인버스,0.06406735780485327
KODEX 미국달러선물인버스2X,0.06401081951675286
KODEX 미국러셀2000(H),0.5397299131309419
KODEX 미국반도체MV,0.3434980668818023
KODEX 미국부동산리츠(H),0.7479729328886311
KODEX 미국빅테크10(H),0.3659096547330314
KODEX 미국스마트모빌리티S&P,0.5100989238567636
KODEX 미디어&엔터테인먼트,0.30346606313754276
KODEX 바이오,0.27138767645491135
KODEX 반도체,0.17448858322248853
KODEX 배당가치,0.2665510266751381
KODEX 배당성장,0.3153891160774397
KODEX 배당성장채권혼합,0.3060153884307322
KODEX 밸류Plus,0.29100803029698297
KODEX 보험,0.14162933257162283
KODEX 삼성그룹,0.3020241424872158
KODEX 삼성그룹밸류,0.30668881673687726
KODEX 선진국MSCI World,0.5572540539488877
KODEX 성장주,0.3006073418450721
KODEX 시스템반도체,0.19716309634941356
KODEX 에너지화학,0.22874244768618515
KODEX 운송,0.23666813131304787
KODEX 웹툰&드라마,0.28091188199982436
KODEX 은선물(H),0.17161553937832025
KODEX 은행,0.22310252347114895
KODEX 인버스,-0.30360975197018103
KODEX 일본TOPIX100,0.3205767744013718
KODEX 일본부동산리츠(H),0.2496195528946698
KODEX 자동차,0.21874310453143136
KODEX 종합채권(AA-이상)액티브,0.1276478358535591
KODEX 증권,0.30794046644017903
KODEX 차이나A50,0.16557160814883057
KODEX 차이나CSI300,0.16374435440100116
KODEX 차이나H,0.2523656665818354
KODEX 차이나H레버리지(H),0.2261088722742693
KODEX 차이나심천ChiNext(합성),0.13886815290264423
KODEX 차이나항셍테크,0.20750628380405586
KODEX 철강,0.1952028709972166
KODEX 최소변동성,0.32881256866168396
KODEX 코스닥150,0.24629803103527767
KODEX 코스닥150레버리지,0.2510026242458144
KODEX 코스닥150롱코스피200숏선물,0.06770544065078841
KODEX 코스닥150선물인버스,-0.24868571052645305
KODEX 코스피,0.30982671692121827
KODEX 코스피100,0.29634891663409757
KODEX 코스피TR,0.3122675979800417
KODEX 코스피대형주,0.29536111778697155
KODEX 콩선물(H),0.09178419808382247
KODEX 퀄리티Plus,0.3317766037012811
KODEX 탄소효율그린뉴딜,0.2928712098172482
KODEX 필수소비재,0.20836031638612407
KODEX 한국대만IT프리미어,0.2459698238914007
KODEX 헬스케어,0.2714634539770302
KODEX 혁신기술테마액티브,0.25678506974475707
KOSEF 200,0.3062239015574849
KOSEF 200TR,0.30382883344420397
KOSEF 200선물레버리지,0.30983224197605064
KOSEF 200선물인버스,-0.305061327789962
KOSEF 200선물인버스2X,-0.3034368837715372
KOSEF Fn중소형,0.29361890724836043
KOSEF KRX100,0.30743447545065605
KOSEF 고배당,0.23327750546006557
KOSEF 국고채10년,0.11463409845032466
KOSEF 국고채10년레버리지,0.13076015186144183
KOSEF 국고채3년,0.10509169716926266
KOSEF 글로벌디지털경제,0.4240199628112929
KOSEF 글로벌퓨처모빌리티,0.42765822524218494
KOSEF 단기자금,0.014146740795862015
KOSEF 미국달러선물,-0.04715757859553834
KOSEF 미국달러선물레버리지,-0.06141503149342676
KOSEF 미국달러선물인버스,0.06673623837836505
KOSEF 미국달러선물인버스2X,0.07240688680668839
KOSEF 미국방어배당성장나스닥,0.49057582908407926
KOSEF 블루칩,0.3282906779403194
KOSEF 인도Nifty50(합성),0.2848148688868941
KOSEF 코스닥150,0.2529040322468654
KOSEF 코스닥150선물레버리지,0.2512942770640598
KOSEF 코스닥150선물인버스,-0.2518333266392576
KOSEF 코스피100,0.2945783644822726
KOSEF 통안채1년,0.03946519480867296
NEW,0.23880924537311335
PLUS 200,0.30466933728859624
PLUS 200선물레버리지,0.30801594806649346
PLUS 200선물인버스2X,-0.30934730450516
PLUS ESG가치주액티브,0.29802463666174156
PLUS ESG성장주액티브,0.29460037577716264
PLUS KS로우볼가중TR,0.28363808351280434
PLUS KS로우사이즈가중TR,0.3097120096673078
PLUS KS모멘텀가중TR,0.27872402574629845
PLUS KS밸류가중TR,0.29138570885664256
PLUS S&P글로벌인프라,0.36748603584868966
PLUS 고배당저변동50,0.2503374849038226
PLUS 고배당주,0.21092534128217158
PLUS 고배당주채권혼합,0.24180563784833592
PLUS 국채선물10년,0.1356587742312929
PLUS 국채선물3년,0.16191213203011456
PLUS 글로벌MSCI(합성 H),0.4902110527652408
PLUS 단기채권액티브,0.1495499313677254
PLUS 미국S&P500(H),0.5088536040048086
PLUS 미국나스닥테크,0.44406538438721765
PLUS 미국다우존스고배당주(합성 H),0.5105671837346123
PLUS 미국단기회사채(AAA~A),-0.05698333119972508
PLUS 미국장기우량회사채,0.21492205716401255
PLUS 선진국MSCI(합성 H),0.3741670834399655
PLUS 스마트베타Quality채권혼합,0.3085095264227981
PLUS 신흥국MSCI(합성 H),0.32683177320285256
PLUS 신흥국MSCI인버스(합성 H),-0.28858293664727763
PLUS 심천차이넥스트(합성),0.14260730952445547
PLUS 우량회사채50,0.11681334125253143
PLUS 주도업종,0.27455811009518
PLUS 중형주저변동50,0.2995857986809008
PLUS 코스닥150,0.25287967504205794
PLUS 코스닥150선물인버스,-0.23936107606442025
PLUS 코스피,0.30946712849030844
PLUS 코스피50,0.285229142379766
PLUS 코스피TR,0.30623562950756145
RISE 200,0.3063118742110861
RISE 200TR,0.306278346356991
RISE 200고배당커버드콜ATM,0.22361850471293443
RISE 200금융,0.2294551241767308
RISE 200선물레버리지,0.3100884666161553
RISE 200선물인버스,-0.30296322435745004
RISE 200선물인버스2X,-0.29932913252166893
RISE 5G테크,0.22035424870329373
RISE 5대그룹주,0.2784482090709134
RISE ESG사회책임투자,0.2884538759015878
RISE IT플러스,0.27607338457042124
RISE KIS국고채30년Enhanced,0.1384111096188311
RISE KQ고배당,0.27396505939334015
RISE KRX300,0.2899606464230346
RISE V&S셀렉트밸류,0.2774885138328333
RISE V&S셀렉트밸류채권혼합,0.21515287694598634
RISE 게임테마,0.30566625889138327
RISE 고배당,0.26323241710973766
RISE 국고채3년,0.10114679344837496
RISE 국고채3년선물인버스,-0.10039305412933977
RISE 국채선물10년,0.12314393190445874
RISE 국채선물10년인버스,-0.11751384180505985
RISE 국채선물5년추종,0.09434381955776489
RISE 국채선물5년추종인버스,-0.1123285672285925
RISE 글로벌테크놀로지(합성 H),0.4025306735454138
RISE 금융채액티브,0.09227664570244876
RISE 내수주플러스,0.275771412000023
RISE 단기국공채액티브,0.05626708243604311
RISE 단기종합채권(AA-이상)액티브,0.04549886039638184
RISE 단기통안채,-0.012753490617254993
RISE 대형고배당10TR,0.22303228380001397
RISE 미국S&P500,0.5794096419233721
RISE 미국S&P원유생산기업(합성 H),0.2492702385971676
RISE 미국고정배당우선증권 TR,0.3794506189823358
RISE 미국나스닥100,0.47919024985140146
RISE 미국장기국채선물(H),0.156785345539328
RISE 미국장기국채선물레버리지(합성 H),0.17979985288652775
RISE 미국장기국채선물인버스(H),-0.13488574695197855
RISE 비메모리반도체액티브,0.1892559011437316
RISE 수소경제테마,0.2991807705664112
RISE 수출주,0.2759038951524918
RISE 우량업종대표주,0.29158103341237246
RISE 유로스탁스50(H),0.3861706790843507
RISE 종합채권(A-이상)액티브,0.14650632601192348
RISE 주식혼합,0.3057427675115752
RISE 중국MSCI China(H),0.21472887963203557
RISE 중국본토대형주CSI100,0.14058285831406897
RISE 중기우량회사채,0.11926627485250949
RISE 중소형고배당,0.26123249981495555
RISE 중장기국공채액티브,0.14855758063470184
RISE 차이나HSCEI(H),0.2036700098099223
RISE 차이나H선물인버스(H),-0.209193357875687
RISE 차이나항셍테크,0.20849018096871577
RISE 채권혼합,0.2427629652797341
RISE 컨택트대표,0.27645163653748894
RISE 코스닥150,0.24516498739775244
RISE 코스닥150선물레버리지,0.25244834410782646
RISE 코스닥150선물인버스,-0.2483625613706513
RISE 코스피,0.31641431848475854
RISE 팔라듐선물(H),0.14996706826270823
RISE 팔라듐선물인버스(H),-0.1405726109344623
RISE 헬스케어,0.2581236452508483
RISE 헬스케어채권혼합,0.23591405075863023
SOL 200TR,0.30568119487682965
SOL KIS단기통안채,0.04154658505485111
SOL KRX300,0.32063101593764914
SOL 차이나강소기업CSI500(합성 H),0.1624446475513949
TIGER 200 IT,0.2738337372188555
TIGER 200 건설,0.2185031586522578
TIGER 200 경기소비재,0.23421170548188
TIGER 200 금융,0.2353074755094115
TIGER 200 산업재,0.23045767655170044
TIGER 200 생활소비재,0.22431294801459223
TIGER 200 에너지화학,0.2799151899595439
TIGER 200 중공업,0.19861617167438086
TIGER 200 철강소재,0.19241752967199657
TIGER 200 헬스케어,0.2650565530196458
TIGER 200,0.3109102597818399
TIGER 200IT레버리지,0.28635583085208505
TIGER 200TR,0.3114840063908326
TIGER 200동일가중,0.334878438582407
TIGER 200선물레버리지,0.30804628172029175
TIGER 200선물인버스2X,-0.30813834411724966
TIGER 200에너지화학레버리지,0.27418590578040125
TIGER 200커뮤니케이션서비스,0.3125298013997814
TIGER 200커버드콜5%OTM,0.31990027117844577
TIGER 200커버드콜ATM,0.312836286307559
TIGER 2차전지TOP10,0.17447448519826134
TIGER 2차전지테마,0.165863187294179
TIGER AI코리아그로스액티브,0.32477755480220744
TIGER BBIG,0.3275007903793943
TIGER CD금리투자KIS(합성),-0.004078528756985337
TIGER Fn반도체TOP10,0.17562046342182866
TIGER Fn신재생에너지,0.26926373864890574
