ETF2,Correlation
ACE 200,0.06812603319107685
ACE 200TR,0.0713570588971281
ACE 2차전지&친환경차액티브,0.01541798155181957
ACE ESG액티브,0.061656186284887976
ACE Fn5G플러스,0.09255390138044473
ACE Fn성장소비주도주,0.06766980691455533
ACE 골드선물 레버리지(합성 H),0.18598277753432216
ACE 국고채10년,0.28494301949303263
ACE 국고채3년,0.3179640412269664
ACE 단기통안채,-0.024079368468124154
ACE 러시아MSCI(합성),0.020404687445679952
ACE 레버리지,0.0658951999509221
ACE 멕시코MSCI(합성),-0.04195483800944587
ACE 미국IT인터넷S&P(합성 H),0.12369143391058761
ACE 미국S&P500,0.0028435177849098266
ACE 미국WideMoat동일가중,0.033524687537507376
ACE 미국나스닥100,0.034305571463594926
ACE 미국다우존스리츠(합성 H),0.08642160944674929
ACE 미국친환경그린테마INDXX,0.022227724407806817
ACE 밸류대형,0.04541697031793079
ACE 베트남VN30(합성),-0.0020483786670600114
ACE 베트남VN30선물블룸버그레버리지(H),0.04218191031595614
ACE 삼성그룹동일가중,0.07090032280963089
ACE 삼성그룹섹터가중,0.059435047018293455
ACE 싱가포르리츠,0.055717618390193985
ACE 아시아TOP50S&P,0.0718904674654502
ACE 인도네시아MSCI(합성),-0.011938603657217887
ACE 인버스,-0.0703745387895975
ACE 일본Nikkei225(H),0.0007569101446532553
ACE 일본TOPIX레버리지(H),-0.03940199451140149
ACE 일본TOPIX인버스(합성 H),0.020577240643354214
ACE 종합채권(AA-이상)KIS액티브,0.38501565115475467
ACE 중국본토CSI300,-0.00690193578344295
ACE 중국본토CSI300레버리지(합성),-0.0036247474059396424
ACE 중장기국공채액티브,0.41295947220486146
ACE 차이나항셍테크,0.05792644428863937
ACE 코스닥150,0.06307928694201609
ACE 코스피,0.07600318498071215
ACE 필리핀MSCI(합성),0.015112359690472438
BNK금융지주,-0.012604349536912486
HANARO 200,0.06456465026587285
HANARO 200TR,0.06785321685156653
HANARO 200선물레버리지,0.07064266771405693
HANARO 200선물인버스,-0.05713365968593249
HANARO e커머스,0.1041446321305003
HANARO Fn K-POP&미디어,0.04949362990249493
HANARO Fn K-게임,0.10445212921717176
HANARO Fn K-뉴딜디지털플러스,0.10114623925263859
HANARO Fn K-반도체,0.06934676947860692
HANARO Fn5G산업,0.06359517713903344
