ETF2,Correlation
ACE 200,0.0784506243964522
ACE 200TR,0.08895238602385425
ACE 2차전지&친환경차액티브,0.0584295794559145
ACE ESG액티브,0.07057922081129248
ACE Fn5G플러스,0.09513747979038663
ACE Fn성장소비주도주,0.05728850947360003
ACE 골드선물 레버리지(합성 H),0.16636975954603422
ACE 국고채10년,0.22189554593125296
ACE 국고채3년,0.25216976373370736
ACE 단기통안채,-0.020887095765317252
ACE 러시아MSCI(합성),0.03791086107590925
ACE 레버리지,0.08199820568941818
ACE 멕시코MSCI(합성),8.73646977262442e-05
ACE 미국IT인터넷S&P(합성 H),0.07487275433021806
ACE 미국S&P500,-0.032755640402044026
ACE 미국WideMoat동일가중,-0.022094835538252533
ACE 미국나스닥100,0.019036554334643237
ACE 미국다우존스리츠(합성 H),0.03300165425763096
ACE 미국친환경그린테마INDXX,0.005884572498624774
ACE 밸류대형,0.05896013882222676
ACE 베트남VN30(합성),-0.026998666484589238
ACE 베트남VN30선물블룸버그레버리지(H),0.0289182414161198
ACE 삼성그룹동일가중,0.0175776363211614
ACE 삼성그룹섹터가중,0.07333134652796881
ACE 싱가포르리츠,0.013808510630420136
ACE 아시아TOP50S&P,0.04002398296160003
ACE 인도네시아MSCI(합성),-0.0006575391652299267
ACE 인버스,-0.08185553491796482
ACE 일본Nikkei225(H),0.03616266751527066
ACE 일본TOPIX레버리지(H),0.0038423450760569954
ACE 일본TOPIX인버스(합성 H),-0.016273938685784008
ACE 종합채권(AA-이상)KIS액티브,0.28456608902732206
ACE 중국본토CSI300,-0.016213802385913155
ACE 중국본토CSI300레버리지(합성),-0.0555415200389341
ACE 중장기국공채액티브,0.3169317594833531
ACE 차이나항셍테크,0.019373053877060963
ACE 코스닥150,0.07149618372752255
ACE 코스피,0.0641644522774368
ACE 필리핀MSCI(합성),-0.01904511802458112
BNK금융지주,-0.0394036389503884
HANARO 200,0.0804454841726788
HANARO 200TR,0.07377673192969882
HANARO 200선물레버리지,0.08306011027901948
HANARO 200선물인버스,-0.0721402328629911
HANARO e커머스,0.0879116966154531
HANARO Fn K-POP&미디어,0.012650469261386356
HANARO Fn K-게임,0.07903032101614396
HANARO Fn K-뉴딜디지털플러스,0.12026749808476735
HANARO Fn K-반도체,0.08435930838210386
HANARO Fn5G산업,0.056124379134556555
HANARO Fn전기&수소차,0.03855221959013967
HANARO Fn친환경에너지,0.04933586442806609
HANARO KAP초장기국고채,0.22255240577027305
HANARO KRX300,0.04460391319672963
HANARO MSCI Korea TR,0.07751017167416555
HANARO 고배당,0.008044379028420309
HANARO 글로벌럭셔리S&P(합성),-0.014467540764085424
HANARO 농업융복합산업,-0.012892960892697945
HANARO 단기채권액티브,0.4096376560665039
HANARO 코스닥150,0.06207182654144559
HANARO 코스닥150선물레버리지,0.06576032763663657
HANARO 탄소효율그린뉴딜,0.04649193097195934
KODEX 200 중소형,0.0029349273276111634
KODEX 200,0.07854067442052873
KODEX 200ESG,0.08899774089459984
KODEX 200exTOP,0.07368741400382577
KODEX 200IT TR,0.09361966397712629
KODEX 200TR,0.08717517264344378
KODEX 200가치저변동,0.03345248427331276
KODEX 200동일가중,0.022243308316982457
KODEX 200롱코스닥150숏선물,-0.0261088786652265
KODEX 200미국채혼합,0.12200117331096651
KODEX 200선물인버스2X,-0.08068454376064542
KODEX 2차전지산업,0.06685456617373764
KODEX 3대농산물선물(H),-0.05513546755560041
KODEX IT,0.09228959203311726
KODEX K-뉴딜디지털플러스,0.11023586509872262
KODEX K-미래차액티브,0.041088553800610925
KODEX K-신재생에너지액티브,0.04392308344652714
KODEX K-이노베이션액티브,0.06712874539254925
KODEX KRX300,0.07881502652405635
KODEX KRX300레버리지,0.08169419690349036
KODEX KTOP30,0.06965195413028545
KODEX MSCI EM선물(H),0.07978968349563866
KODEX MSCI KOREA ESG유니버설,0.07262656254030246
KODEX MSCI Korea TR,0.08573483450655889
KODEX MSCI Korea,0.0773875077970741
KODEX MSCI모멘텀,0.025152762564547213
KODEX MSCI밸류,0.01567564733461869
KODEX MSCI퀄리티,0.08185444565195747
KODEX S&P글로벌인프라(합성),-0.01977150801469989
KODEX Top10동일가중,0.11925488238828508
KODEX Top5PlusTR,0.09812354301267184
KODEX TRF3070,0.10209711181104227
KODEX TRF5050,0.011581439969542235
KODEX TRF7030,0.0005853515275508029
