ETF2,Correlation
ACE 200,0.3183394950588662
ACE 200TR,0.3071199592686295
ACE 2차전지&친환경차액티브,0.18032219224784957
ACE ESG액티브,0.3026717687078801
ACE Fn5G플러스,0.23191789822112246
ACE Fn성장소비주도주,0.27864064310268494
ACE 골드선물 레버리지(합성 H),0.18831012425944843
ACE 국고채10년,-0.06769050352176344
ACE 국고채3년,0.0028478085657093815
ACE 단기통안채,-0.010728307611085983
ACE 러시아MSCI(합성),0.010827407021881123
ACE 레버리지,0.3162317893940808
ACE 멕시코MSCI(합성),0.22187089515276354
ACE 미국IT인터넷S&P(합성 H),0.27029245571342464
ACE 미국S&P500,0.37837236912387795
ACE 미국WideMoat동일가중,0.3800910824442999
ACE 미국나스닥100,0.2580953889789769
ACE 미국다우존스리츠(합성 H),0.31184036214695277
ACE 미국친환경그린테마INDXX,0.3889925457143433
ACE 밸류대형,0.3412460781335634
ACE 베트남VN30(합성),0.11554594582954568
ACE 베트남VN30선물블룸버그레버리지(H),0.18419383299489633
ACE 삼성그룹동일가중,0.2944016856431697
ACE 삼성그룹섹터가중,0.2749272378751731
ACE 싱가포르리츠,0.16977968198667073
ACE 아시아TOP50S&P,0.2565813201510586
ACE 인도네시아MSCI(합성),0.19440532999239937
ACE 인버스,-0.3144100911417862
ACE 일본Nikkei225(H),0.31673156312410067
ACE 일본TOPIX레버리지(H),0.2608251394335591
ACE 일본TOPIX인버스(합성 H),-0.29943511003238243
ACE 종합채권(AA-이상)KIS액티브,-0.05405278260307388
ACE 중국본토CSI300,0.1363099168206669
ACE 중국본토CSI300레버리지(합성),0.12910131990777615
ACE 중장기국공채액티브,-0.018402591836779343
ACE 차이나항셍테크,0.22032830297517636
ACE 코스닥150,0.21869998404603208
ACE 코스피,0.33010614555101014
ACE 필리핀MSCI(합성),0.1590576849605853
BNK금융지주,0.27600153852502995
HANARO 200,0.32164181467579944
HANARO 200TR,0.31624836418322433
HANARO 200선물레버리지,0.3126500784666126
HANARO 200선물인버스,-0.31247135130001713
HANARO e커머스,0.2471527610080879
HANARO Fn K-POP&미디어,0.20479700669267617
HANARO Fn K-게임,0.21346232667359744
HANARO Fn K-뉴딜디지털플러스,0.1995141616299088
HANARO Fn K-반도체,0.22622263901828826
HANARO Fn5G산업,0.2589472079842742
HANARO Fn전기&수소차,0.2751850988730309
HANARO Fn친환경에너지,0.2921553390888368
HANARO KAP초장기국고채,-0.052559411749973715
HANARO KRX300,0.310829278419201
HANARO MSCI Korea TR,0.2882431426192868
HANARO 고배당,0.34852324351617564
HANARO 글로벌럭셔리S&P(합성),0.27286673701498576
HANARO 농업융복합산업,0.26072153306545276
HANARO 단기채권액티브,-0.03268808838139433
HANARO 코스닥150,0.223927555201685
HANARO 코스닥150선물레버리지,0.22541902798585503
HANARO 탄소효율그린뉴딜,0.3073141618512858
KODEX 200 중소형,0.35966385572154314
KODEX 200,0.32076094405741173
KODEX 200ESG,0.30969606110226844
KODEX 200exTOP,0.30561903425421605
KODEX 200IT TR,0.23558744833647383
KODEX 200TR,0.3155339424075152
KODEX 200가치저변동,0.34190306247484076
KODEX 200동일가중,0.3581783651262516
KODEX 200롱코스닥150숏선물,-0.052173404483509885
KODEX 200미국채혼합,0.12435206869308565
KODEX 200선물인버스2X,-0.3180022766101365
KODEX 2차전지산업,0.16187594075445824
KODEX 3대농산물선물(H),0.2677160239961215
KODEX IT,0.23460116625409463
KODEX K-뉴딜디지털플러스,0.18729094270368157
KODEX K-미래차액티브,0.282792435877036
KODEX K-신재생에너지액티브,0.2761234045120048
KODEX K-이노베이션액티브,0.2661005400076009
KODEX KRX300,0.30466656891885263
KODEX KRX300레버리지,0.3219325897510795
KODEX KTOP30,0.2704713092929133
KODEX MSCI EM선물(H),0.3087749610314193
KODEX MSCI KOREA ESG유니버설,0.30008355757390975
KODEX MSCI Korea TR,0.294838656054296
KODEX MSCI Korea,0.2911301281583883
KODEX MSCI모멘텀,0.24713637879675757
KODEX MSCI밸류,0.34665383750642914
KODEX MSCI퀄리티,0.2577438819697455
KODEX S&P글로벌인프라(합성),0.3576662891419093
KODEX Top10동일가중,0.21779800916796124
KODEX Top5PlusTR,0.2692839100507245
KODEX TRF3070,0.2662221463032007
KODEX TRF5050,0.2967917450708665
KODEX TRF7030,0.35292024135931377
KODEX WTI원유선물(H),0.6885960334889557
KODEX WTI원유선물인버스(H),-0.6874343001767699
KODEX 건설,0.2884160308615741
KODEX 게임산업,0.22389658314233818
KODEX 경기소비재,0.29337312334114507
KODEX 고배당,0.35952478782974406
KODEX 골드선물(H),0.19304752451914362
KODEX 골드선물인버스(H),-0.2044006270842768
KODEX 구리선물(H),0.3733296058745748
KODEX 국고채3년,-0.04498310544602011
KODEX 국채선물10년,-0.05525059549380591
KODEX 국채선물10년인버스,0.06843330568386771
KODEX 국채선물3년인버스,-0.018630198815845305
KODEX 글로벌로봇(합성),0.299472225852458
KODEX 기계장비,0.28475560258680016
KODEX 단기변동금리부채권액티브,-0.010239524085660165
KODEX 단기채권,-0.009982947887175506
KODEX 단기채권PLUS,0.020676155823226086
KODEX 레버리지,0.31676468032908855
KODEX 멀티에셋하이인컴(H),0.17571318109024747
KODEX 멀티팩터,0.31130761684210295
KODEX 모멘텀Plus,0.262120040499041
KODEX 미국10년국채선물,-0.2139359809743873
KODEX 미국30년국채울트라선물(H),-0.1002530834742982
KODEX 미국S&P500TR,0.38036528135576025
KODEX 미국S&P500산업재(합성),0.395078308363249
KODEX 미국S&P500선물(H),0.4265683378958797
KODEX 미국S&P500에너지(합성),0.8130147987053421
KODEX 미국S&P바이오(합성),0.21967922448299884
KODEX 미국나스닥100TR,0.2607329906861614
KODEX 미국나스닥100선물(H),0.2921582334297181
KODEX 미국달러선물,-0.17785475846919452
KODEX 미국달러선물레버리지,-0.19066829110315733
KODEX 미국달러선물인버스,0.18264292852520367
KODEX 미국달러선물인버스2X,0.2009544357295536
KODEX 미국러셀2000(H),0.4955050610796474
KODEX 미국반도체MV,0.2413083650776516
KODEX 미국부동산리츠(H),0.3364666620059429
KODEX 미국빅테크10(H),0.2901730120846878
KODEX 미국스마트모빌리티S&P,0.33756763927288386
KODEX 미디어&엔터테인먼트,0.21116514144487716
KODEX 바이오,0.18422002044123123
KODEX 반도체,0.20234979549908222
KODEX 배당가치,0.35379180768195295
KODEX 배당성장,0.3546870007544682
KODEX 배당성장채권혼합,0.2915418497905013
KODEX 밸류Plus,0.3645383968109786
KODEX 보험,0.2458893705099103
KODEX 삼성그룹,0.28230441384398547
KODEX 삼성그룹밸류,0.29147891713116314
KODEX 선진국MSCI World,0.38407751553939323
KODEX 성장주,0.2768793394866644
KODEX 시스템반도체,0.2123469224055176
KODEX 에너지화학,0.2961588589066006
KODEX 운송,0.2843841139208763
KODEX 웹툰&드라마,0.22199003422204006
KODEX 은선물(H),0.2702347411569751
KODEX 은행,0.2761089249438176
KODEX 인버스,-0.31661723112896323
KODEX 일본TOPIX100,0.2491111712659039
KODEX 일본부동산리츠(H),0.21859019335559504
KODEX 자동차,0.20740067089764364
KODEX 종합채권(AA-이상)액티브,-0.03836937450275555
KODEX 증권,0.2964651524580104
KODEX 차이나A50,0.11488444705844242
KODEX 차이나CSI300,0.10818100219063916
KODEX 차이나H,0.26764083517740284
KODEX 차이나H레버리지(H),0.2893860917836522
KODEX 차이나심천ChiNext(합성),0.06547903182004164
KODEX 차이나항셍테크,0.21848608822682153
KODEX 철강,0.28930466829159895
KODEX 최소변동성,0.30212863309343363
KODEX 코스닥150,0.22578545390189464
KODEX 코스닥150레버리지,0.2256689013177746
KODEX 코스닥150롱코스피200숏선물,0.04014291759931139
KODEX 코스닥150선물인버스,-0.2304775963101199
KODEX 코스피,0.3228926673786205
KODEX 코스피100,0.3018333657010975
KODEX 코스피TR,0.3339515894449431
KODEX 코스피대형주,0.3128920142798861
KODEX 콩선물(H),0.26738840015411364
KODEX 퀄리티Plus,0.2914277716324805
KODEX 탄소효율그린뉴딜,0.29452967722767603
KODEX 필수소비재,0.19421276413408486
KODEX 한국대만IT프리미어,0.19284320103680372
KODEX 헬스케어,0.1416497320462047
KODEX 혁신기술테마액티브,0.27957930118458724
KOSEF 200,0.31785994627827524
KOSEF 200TR,0.31845290407732174
KOSEF 200선물레버리지,0.3192029454211098
KOSEF 200선물인버스,-0.31622836043686636
KOSEF 200선물인버스2X,-0.3111735497069643
KOSEF Fn중소형,0.34197949548667117
KOSEF KRX100,0.3036521829853522
KOSEF 고배당,0.3028017493390964
KOSEF 국고채10년,-0.06419133899855069
KOSEF 국고채10년레버리지,-0.0636913040575822
KOSEF 국고채3년,-0.013499580211817824
KOSEF 글로벌디지털경제,0.23070072605341435
KOSEF 글로벌퓨처모빌리티,0.2875093815071578
KOSEF 단기자금,-0.01094938750187516
KOSEF 미국달러선물,-0.1854944691043852
KOSEF 미국달러선물레버리지,-0.1940272868332288
KOSEF 미국달러선물인버스,0.1966674656967443
KOSEF 미국달러선물인버스2X,0.19578119643375164
KOSEF 미국방어배당성장나스닥,0.16173379121867956
KOSEF 블루칩,0.3217827812018249
KOSEF 인도Nifty50(합성),0.22247006123578236
KOSEF 코스닥150,0.2219175686022101
KOSEF 코스닥150선물레버리지,0.23021274352956014
KOSEF 코스닥150선물인버스,-0.22715419353400393
KOSEF 코스피100,0.30752080113190605
KOSEF 통안채1년,-0.006284093022178083
NEW,0.18827637972121705
PLUS 200,0.3205482086668027
PLUS 200선물레버리지,0.3208446209792686
PLUS 200선물인버스2X,-0.31513386695498785
PLUS ESG가치주액티브,0.32164264058213454
PLUS ESG성장주액티브,0.292232094597401
PLUS KS로우볼가중TR,0.3153843051444111
PLUS KS로우사이즈가중TR,0.3297201336672193
PLUS KS모멘텀가중TR,0.32518133649153835
PLUS KS밸류가중TR,0.34422182324510625
PLUS S&P글로벌인프라,0.26677762087871415
PLUS 고배당저변동50,0.32814547169987923
PLUS 고배당주,0.3304760470666321
PLUS 고배당주채권혼합,0.30456689088661243
PLUS 국채선물10년,-0.04831256559102954
PLUS 국채선물3년,-0.00513882149426742
PLUS 글로벌MSCI(합성 H),0.3744873281149385
PLUS 단기채권액티브,0.05805852693417554
PLUS 미국S&P500(H),0.4147560737684026
PLUS 미국나스닥테크,0.2539403824791212
PLUS 미국다우존스고배당주(합성 H),0.4747679112708959
PLUS 미국단기회사채(AAA~A),-0.18606849028869035
PLUS 미국장기우량회사채,-0.09594481992307431
PLUS 선진국MSCI(합성 H),0.33525427159099636
PLUS 스마트베타Quality채권혼합,0.26589487475912504
PLUS 신흥국MSCI(합성 H),0.33879185881149276
PLUS 신흥국MSCI인버스(합성 H),-0.30106078605394954
PLUS 심천차이넥스트(합성),0.038166166264112726
PLUS 우량회사채50,-0.018394409543271033
PLUS 주도업종,0.28895633605854715
PLUS 중형주저변동50,0.34788578075934856
PLUS 코스닥150,0.21454184218760186
PLUS 코스닥150선물인버스,-0.22073836935386693
PLUS 코스피,0.3200799648952182
PLUS 코스피50,0.2799050126281948
PLUS 코스피TR,0.3171617491310021
RISE 200,0.3220358191263765
RISE 200TR,0.31258770831929616
RISE 200고배당커버드콜ATM,0.2989521975398639
RISE 200금융,0.28539275000669573
RISE 200선물레버리지,0.3190328236638377
RISE 200선물인버스,-0.32291015861589983
RISE 200선물인버스2X,-0.301435578944662
RISE 5G테크,0.21996847055938706
RISE 5대그룹주,0.26225639170361553
RISE ESG사회책임투자,0.3202766693234588
RISE IT플러스,0.24280227443136673
RISE KIS국고채30년Enhanced,-0.04571147566471952
RISE KQ고배당,0.2778650977567734
RISE KRX300,0.30383067982908085
RISE V&S셀렉트밸류,0.3395733967120149
RISE V&S셀렉트밸류채권혼합,0.23442271742743287
RISE 게임테마,0.23365310386889762
RISE 고배당,0.34615159417374586
RISE 국고채3년,-0.02306569747459993
RISE 국고채3년선물인버스,0.040715959160030325
RISE 국채선물10년,-0.05950157831906887
RISE 국채선물10년인버스,0.06475629068762552
RISE 국채선물5년추종,-0.03473146595490663
RISE 국채선물5년추종인버스,0.05203480860671639
RISE 글로벌데이터센터리츠(합성),0.24927023859716763
RISE 글로벌테크놀로지(합성 H),0.26535596973809855
RISE 금융채액티브,-0.008963234709246473
RISE 내수주플러스,0.25930854436656287
RISE 단기국공채액티브,-0.025995207220392016
RISE 단기종합채권(AA-이상)액티브,-0.008242910293111383
RISE 단기통안채,-0.04679636403855919
RISE 대형고배당10TR,0.2717729002797631
RISE 미국S&P500,0.3793374907252917
RISE 미국고정배당우선증권 TR,0.09162217482463285
RISE 미국나스닥100,0.25862559723199746
RISE 미국장기국채선물(H),-0.0570977669050255
RISE 미국장기국채선물레버리지(합성 H),-0.054404316619849936
RISE 미국장기국채선물인버스(H),0.09522521874846587
RISE 비메모리반도체액티브,0.19861873318501855
RISE 수소경제테마,0.3372569085326372
RISE 수출주,0.37303328755295845
RISE 우량업종대표주,0.36489681787037453
RISE 유로스탁스50(H),0.3066533851208093
RISE 종합채권(A-이상)액티브,-0.03453820550190308
RISE 주식혼합,0.2579992218937013
RISE 중국MSCI China(H),0.23891074491742623
RISE 중국본토대형주CSI100,0.12331867357086494
RISE 중기우량회사채,-0.009029447982328688
RISE 중소형고배당,0.37846667286419566
RISE 중장기국공채액티브,-0.03758860139922856
RISE 차이나HSCEI(H),0.27151359023767396
RISE 차이나H선물인버스(H),-0.2826096293644431
RISE 차이나항셍테크,0.21637668476336708
RISE 채권혼합,0.21984520675334826
RISE 컨택트대표,0.27522853070196257
RISE 코스닥150,0.22323927157478535
RISE 코스닥150선물레버리지,0.22969638706895137
RISE 코스닥150선물인버스,-0.22482414676458187
RISE 코스피,0.32868557214513505
RISE 팔라듐선물(H),0.2529008851719222
RISE 팔라듐선물인버스(H),-0.24205096179016514
RISE 헬스케어,0.13558115629640421
RISE 헬스케어채권혼합,0.11852908339975532
SOL 200TR,0.31167060854012685
SOL KIS단기통안채,-0.01072302425516426
SOL KRX300,0.2635070148829548
SOL 차이나강소기업CSI500(합성 H),0.15471523331864534
TIGER 200 IT,0.246098321144813
TIGER 200 건설,0.2858410416074323
TIGER 200 경기소비재,0.24394033392771292
TIGER 200 금융,0.29418975287146776
TIGER 200 산업재,0.27714939058860955
TIGER 200 생활소비재,0.2074963190609031
TIGER 200 에너지화학,0.35423034925140306
TIGER 200 중공업,0.3223243161488932
TIGER 200 철강소재,0.2912895502697229
TIGER 200 헬스케어,0.08499958838119574
TIGER 200,0.3233383993318675
TIGER 200IT레버리지,0.2398626555706609
TIGER 200TR,0.31764370496549127
TIGER 200동일가중,0.33756911451200233
TIGER 200선물레버리지,0.31887921653353524
TIGER 200선물인버스2X,-0.31628710432781987
