ETF2,Correlation
ACE 200,0.7396482598116381
ACE 200TR,0.7347987618353384
ACE 2차전지&친환경차액티브,0.3999088246236152
ACE ESG액티브,0.7035074489224907
ACE Fn5G플러스,0.8588675424676625
ACE Fn성장소비주도주,0.5173526333753878
ACE 골드선물 레버리지(합성 H),0.13923470233167268
ACE 국고채10년,0.12246166471932338
ACE 국고채3년,0.14294180869426965
ACE 단기통안채,-0.014663858158349885
ACE 러시아MSCI(합성),0.01474421077598512
ACE 레버리지,0.7395035517713108
ACE 멕시코MSCI(합성),0.21370689906003767
ACE 미국IT인터넷S&P(합성 H),0.42361512134473284
ACE 미국S&P500,0.4015401106267078
ACE 미국WideMoat동일가중,0.3672501609786846
ACE 미국나스닥100,0.5003902206323834
ACE 미국다우존스리츠(합성 H),0.25286828678629825
ACE 미국친환경그린테마INDXX,0.34545127048246144
ACE 밸류대형,0.6792358578692919
ACE 베트남VN30(합성),0.08699147469972013
ACE 베트남VN30선물블룸버그레버리지(H),0.2203531528871688
ACE 삼성그룹동일가중,0.4460799063098421
ACE 삼성그룹섹터가중,0.6374131118896258
ACE 싱가포르리츠,0.08427528073923912
ACE 아시아TOP50S&P,0.48872965372552357
ACE 인도네시아MSCI(합성),0.20322875448737965
ACE 인버스,-0.7382073012785291
ACE 일본Nikkei225(H),0.5421965876867947
ACE 일본TOPIX레버리지(H),0.3767766045698186
ACE 일본TOPIX인버스(합성 H),-0.5280195367232838
ACE 종합채권(AA-이상)KIS액티브,0.12095266292927923
ACE 중국본토CSI300,0.1103109375577102
ACE 중국본토CSI300레버리지(합성),0.14992652755362154
ACE 중장기국공채액티브,0.14984947264763146
ACE 차이나항셍테크,0.29684241130475375
ACE 코스닥150,0.6496525754848349
ACE 코스피,0.7106780083217457
ACE 필리핀MSCI(합성),0.14239449426717243
BNK금융지주,0.2558335284312683
HANARO 200,0.741495748494689
HANARO 200TR,0.7335685195175387
HANARO 200선물레버리지,0.7359108805588501
HANARO 200선물인버스,-0.7339668650540901
HANARO e커머스,0.512703520517007
HANARO Fn K-POP&미디어,0.4147947118766719
HANARO Fn K-게임,0.39295625486912833
HANARO Fn K-뉴딜디지털플러스,0.48094444294024835
HANARO Fn K-반도체,0.8982917846853411
HANARO Fn5G산업,0.8501553801410268
HANARO Fn전기&수소차,0.5313198529305035
HANARO Fn친환경에너지,0.44942436679520253
HANARO KAP초장기국고채,0.1553857055679822
HANARO KRX300,0.7037894469306047
HANARO MSCI Korea TR,0.6955133486889872
HANARO 고배당,0.3744214755824641
HANARO 글로벌럭셔리S&P(합성),0.31964307694041355
HANARO 농업융복합산업,0.4484108336597925
HANARO 단기채권액티브,0.07528913166298554
HANARO 코스닥150,0.6402035087121714
HANARO 코스닥150선물레버리지,0.6553889472411761
HANARO 탄소효율그린뉴딜,0.704496106198527
KODEX 200 중소형,0.5691037296533027
KODEX 200,0.7448995657610322
KODEX 200ESG,0.6826218714945304
KODEX 200exTOP,0.5944740017536997
KODEX 200IT TR,0.7634592116391858
KODEX 200TR,0.739823806194566
KODEX 200가치저변동,0.6089420217905166
KODEX 200동일가중,0.5714548162250515
KODEX 200롱코스닥150숏선물,-0.2804882285990488
KODEX 200미국채혼합,0.4809912100166928
KODEX 200선물인버스2X,-0.7468256957458114
KODEX 2차전지산업,0.3536716796392191
KODEX 3대농산물선물(H),0.06648978329491961
KODEX IT,0.8343547242484262
KODEX K-뉴딜디지털플러스,0.4883206800356428
KODEX K-미래차액티브,0.7114629707618634
KODEX K-신재생에너지액티브,0.4624991672965063
KODEX K-이노베이션액티브,0.724154518395004
KODEX KRX300,0.748833766882145
KODEX KRX300레버리지,0.7226663889346191
KODEX KTOP30,0.6621085713851217
KODEX MSCI EM선물(H),0.47772185280402224
KODEX MSCI KOREA ESG유니버설,0.6839162348766161
KODEX MSCI Korea TR,0.7322622372619866
KODEX MSCI Korea,0.7148249143972132
KODEX MSCI모멘텀,0.5342525320046314
KODEX MSCI밸류,0.630153546776836
KODEX MSCI퀄리티,0.7373642042502002
KODEX S&P글로벌인프라(합성),0.19010078618595572
KODEX Top10동일가중,0.6042846029333637
KODEX Top5PlusTR,0.7213343124061187
KODEX TRF3070,0.3026699497432378
KODEX TRF5050,0.2708118442698405
KODEX TRF7030,0.3409212608687586
KODEX WTI원유선물(H),0.12534610841660265
KODEX WTI원유선물인버스(H),-0.12737543290114892
KODEX 건설,0.45044044431875313
KODEX 게임산업,0.39893661750522186
KODEX 경기소비재,0.49671147650953346
KODEX 고배당,0.40874190643818187
KODEX 골드선물(H),0.12209768586259578
KODEX 골드선물인버스(H),-0.12714219267475424
KODEX 구리선물(H),0.24820789102387464
KODEX 국고채3년,0.12491065646521236
KODEX 국채선물10년,0.134913305868701
KODEX 국채선물10년인버스,-0.1560138223547986
KODEX 국채선물3년인버스,-0.15804071642572032
KODEX 글로벌로봇(합성),0.46388572033359554
KODEX 기계장비,0.4317522420624146
KODEX 단기변동금리부채권액티브,0.026636109402942237
KODEX 단기채권,-0.01442585497820214
KODEX 단기채권PLUS,0.06039726153344161
KODEX 레버리지,0.7431434610230385
KODEX 멀티에셋하이인컴(H),0.17930894133834424
KODEX 멀티팩터,0.6481779445616263
KODEX 모멘텀Plus,0.6212172009136833
KODEX 미국10년국채선물,-0.2959982144443907
KODEX 미국30년국채울트라선물(H),0.062275522109429625
KODEX 미국S&P500TR,0.4026797767188122
KODEX 미국S&P500산업재(합성),0.2670930646425784
KODEX 미국S&P500선물(H),0.5337994486089185
KODEX 미국S&P500에너지(합성),0.045897648261072975
KODEX 미국S&P바이오(합성),0.1788448865193308
KODEX 미국나스닥100TR,0.5007995701342001
KODEX 미국나스닥100선물(H),0.5757050232414048
KODEX 미국달러선물,-0.37758418410146904
KODEX 미국달러선물레버리지,-0.38093655626715267
KODEX 미국달러선물인버스,0.37292657574870336
KODEX 미국달러선물인버스2X,0.37954618476825996
KODEX 미국러셀2000(H),0.45879557265224175
KODEX 미국반도체MV,0.5899428576138682
KODEX 미국부동산리츠(H),0.3083033620640937
KODEX 미국빅테크10(H),0.5673860421183231
KODEX 미국스마트모빌리티S&P,0.40937061490758986
KODEX 미디어&엔터테인먼트,0.49732418002795287
KODEX 바이오,0.5404583699936751
KODEX 반도체,0.9478055484351753
KODEX 배당가치,0.5858580908029274
KODEX 배당성장,0.5452596269253359
KODEX 배당성장채권혼합,0.5017485109768537
KODEX 밸류Plus,0.4707802485545589
KODEX 보험,0.1155608636687309
KODEX 삼성그룹,0.6255687929708118
KODEX 삼성그룹밸류,0.6398461947688331
KODEX 선진국MSCI World,0.43501889284577966
KODEX 성장주,0.7624318684532297
KODEX 시스템반도체,0.955545896042925
KODEX 에너지화학,0.46602128486456296
KODEX 운송,0.4329797793745617
KODEX 웹툰&드라마,0.4962980392985652
KODEX 은선물(H),0.24220606845203835
KODEX 은행,0.3141157054793895
KODEX 인버스,-0.7414695734442438
KODEX 일본TOPIX100,0.3573192782579357
KODEX 일본부동산리츠(H),0.24096267064229904
KODEX 자동차,0.42818106981501947
KODEX 종합채권(AA-이상)액티브,0.10808917550474928
KODEX 증권,0.47772938743360743
KODEX 차이나A50,0.09483194688754122
KODEX 차이나CSI300,0.08949723714741606
KODEX 차이나H,0.2651376041236111
KODEX 차이나H레버리지(H),0.36144013543704245
KODEX 차이나심천ChiNext(합성),0.12995835361560645
KODEX 차이나항셍테크,0.31065677858998947
KODEX 철강,0.39851929634645017
KODEX 최소변동성,0.6462452634854507
KODEX 코스닥150,0.6569279930778945
KODEX 코스닥150레버리지,0.6604863329672073
KODEX 코스닥150롱코스피200숏선물,0.27398024338625426
KODEX 코스닥150선물인버스,-0.6651971276329717
KODEX 코스피,0.7172855727749414
KODEX 코스피100,0.7346948585243203
KODEX 코스피TR,0.7045184650896839
KODEX 코스피대형주,0.7057728020690165
KODEX 콩선물(H),0.09594756995529766
KODEX 퀄리티Plus,0.5855527147255316
KODEX 탄소효율그린뉴딜,0.7436487144663526
KODEX 필수소비재,0.38797218947171597
KODEX 한국대만IT프리미어,0.6842822655132014
KODEX 헬스케어,0.4647425381916733
KODEX 혁신기술테마액티브,0.661957851849153
KOSEF 200,0.7392360844670701
KOSEF 200TR,0.7408457759142657
KOSEF 200선물레버리지,0.740640072807825
KOSEF 200선물인버스,-0.7400543713415548
KOSEF 200선물인버스2X,-0.7412812142211657
KOSEF Fn중소형,0.6143752189358281
KOSEF KRX100,0.7146811356380577
KOSEF 고배당,0.3687020279390265
KOSEF 국고채10년,0.12728690902334414
KOSEF 국고채10년레버리지,0.13525170211419674
KOSEF 국고채3년,0.11778670501738862
KOSEF 글로벌디지털경제,0.2872483875287173
KOSEF 글로벌퓨처모빌리티,0.3212757416020285
KOSEF 단기자금,0.010860296630620474
KOSEF 미국달러선물,-0.36971919684134674
KOSEF 미국달러선물레버리지,-0.3797574169071628
KOSEF 미국달러선물인버스,0.3676667713085764
KOSEF 미국달러선물인버스2X,0.37333174333640606
KOSEF 미국방어배당성장나스닥,0.09713083866005331
KOSEF 블루칩,0.5899801080435835
KOSEF 인도Nifty50(합성),0.20731901618775925
KOSEF 코스닥150,0.644917190651002
KOSEF 코스닥150선물레버리지,0.6615198639383925
KOSEF 코스닥150선물인버스,-0.6600853583167788
KOSEF 코스피100,0.734023563833626
KOSEF 통안채1년,0.008342924601038646
NEW,0.3023779980176323
PLUS 200,0.7415783304427463
PLUS 200선물레버리지,0.7383702463969625
PLUS 200선물인버스2X,-0.7394489636193807
PLUS ESG가치주액티브,0.7037016834631596
PLUS ESG성장주액티브,0.7380758754373232
PLUS KS로우볼가중TR,0.6378595609042381
PLUS KS로우사이즈가중TR,0.7395086662248569
PLUS KS모멘텀가중TR,0.6914218228238005
PLUS KS밸류가중TR,0.6607585651973477
PLUS S&P글로벌인프라,-0.03577320659893979
PLUS 고배당저변동50,0.3723170238439382
PLUS 고배당주,0.281513946350716
PLUS 고배당주채권혼합,0.30416888258247277
PLUS 국채선물10년,0.15107808227777436
PLUS 국채선물3년,0.1033369572719185
PLUS 글로벌MSCI(합성 H),0.43411654070316275
PLUS 단기채권액티브,0.10130534897932289
PLUS 미국S&P500(H),0.5337286664015747
PLUS 미국나스닥테크,0.5057550139722359
PLUS 미국다우존스고배당주(합성 H),0.21027538787493144
PLUS 미국단기회사채(AAA~A),-0.3400782560097508
PLUS 미국장기우량회사채,-0.0691569545493119
PLUS 선진국MSCI(합성 H),0.4552487853869571
PLUS 스마트베타Quality채권혼합,0.5245979420272688
PLUS 신흥국MSCI(합성 H),0.4818348378318166
PLUS 신흥국MSCI인버스(합성 H),-0.4882650414146331
PLUS 심천차이넥스트(합성),0.13648222701817334
PLUS 우량회사채50,0.08266117617368313
PLUS 주도업종,0.6263946057077384
PLUS 중형주저변동50,0.47926485027276333
PLUS 코스닥150,0.6546530795171717
PLUS 코스닥150선물인버스,-0.6581061520315102
PLUS 코스피,0.7066229372520137
PLUS 코스피50,0.7246703594573765
PLUS 코스피TR,0.7088212398689105
RISE 200,0.7383210553132376
RISE 200TR,0.7391900268308256
RISE 200고배당커버드콜ATM,0.21757613194014855
RISE 200금융,0.3015234550068196
RISE 200선물레버리지,0.7413331788013702
RISE 200선물인버스,-0.7329272862013304
RISE 200선물인버스2X,-0.7456103301219028
RISE 5G테크,0.8714140637938638
RISE 5대그룹주,0.6688305907538348
RISE ESG사회책임투자,0.6372038386176262
RISE IT플러스,0.782712912809406
RISE KIS국고채30년Enhanced,0.1419975281322858
RISE KQ고배당,0.7196737707127393
RISE KRX300,0.72464839025863
RISE V&S셀렉트밸류,0.6871884884187779
RISE V&S셀렉트밸류채권혼합,0.5244415661717045
RISE 게임테마,0.42313692832413874
RISE 고배당,0.5356925728848599
RISE 국고채3년,0.11861552140743194
RISE 국고채3년선물인버스,-0.13486968916654848
RISE 국채선물10년,0.1617120354270204
RISE 국채선물10년인버스,-0.14672304335785763
RISE 국채선물5년추종,0.11047149902046095
RISE 국채선물5년추종인버스,-0.13978023301915213
RISE 글로벌데이터센터리츠(합성),0.1892559011437316
RISE 글로벌테크놀로지(합성 H),0.5237400079295278
RISE 금융채액티브,0.12357634020840123
RISE 내수주플러스,0.49020719252522565
RISE 단기국공채액티브,0.10508406158865664
RISE 단기종합채권(AA-이상)액티브,0.0615240863639121
RISE 단기통안채,0.08081681334415566
RISE 대형고배당10TR,0.6984061897156342
RISE 미국S&P500,0.3922822613083005
RISE 미국S&P원유생산기업(합성 H),0.19861873318501855
RISE 미국고정배당우선증권 TR,0.01025563818917621
RISE 미국나스닥100,0.4995902400620309
RISE 미국장기국채선물(H),0.04627692912028348
RISE 미국장기국채선물레버리지(합성 H),0.08271618974722571
RISE 미국장기국채선물인버스(H),-0.09502235984395012
RISE 수소경제테마,0.5331282318153914
RISE 수출주,0.5646238427243785
