ETF2,Correlation
ACE 200,0.8247139036490987
ACE 200TR,0.8316384948203582
ACE 2차전지&친환경차액티브,0.4306688420270814
ACE ESG액티브,0.775821408676287
ACE Fn5G플러스,0.6780966079928177
ACE Fn성장소비주도주,0.5371272739170352
ACE 골드선물 레버리지(합성 H),0.23493464872686964
ACE 국고채10년,0.2326436541319664
ACE 국고채3년,0.31623432431802906
ACE 단기통안채,-0.01709244159646041
ACE 러시아MSCI(합성),0.06366457538561258
ACE 레버리지,0.8273602686953971
ACE 멕시코MSCI(합성),0.2656732522297645
ACE 미국IT인터넷S&P(합성 H),0.5147097399955962
ACE 미국S&P500,0.41512975699022947
ACE 미국WideMoat동일가중,0.38557454494707444
ACE 미국나스닥100,0.46206684948392146
ACE 미국다우존스리츠(합성 H),0.42378157401323857
ACE 미국친환경그린테마INDXX,0.350447401155293
ACE 밸류대형,0.7878712792669597
ACE 베트남VN30(합성),0.10418460337910047
ACE 베트남VN30선물블룸버그레버리지(H),0.284112585675178
ACE 삼성그룹동일가중,0.6894265846639595
ACE 삼성그룹섹터가중,0.7542893109261989
ACE 싱가포르리츠,0.15321299035268382
ACE 아시아TOP50S&P,0.5042872776283105
ACE 인도네시아MSCI(합성),0.19890130334698713
ACE 인버스,-0.8152831763093927
ACE 일본Nikkei225(H),0.514245506053316
ACE 일본TOPIX레버리지(H),0.3318709000164909
ACE 일본TOPIX인버스(합성 H),-0.49878697049046156
ACE 종합채권(AA-이상)KIS액티브,0.24669575347552458
ACE 중국본토CSI300,0.12798714150206722
ACE 중국본토CSI300레버리지(합성),0.15030069725683748
ACE 중장기국공채액티브,0.26476603641076735
ACE 차이나항셍테크,0.2933826264496427
ACE 코스닥150,0.5779795556258402
ACE 코스피,0.8314921384183562
ACE 필리핀MSCI(합성),0.12496631931069585
BNK금융지주,0.3973342222787058
HANARO 200,0.823615342181197
HANARO 200TR,0.83212945816859
HANARO 200선물레버리지,0.8261227167571948
HANARO 200선물인버스,-0.8148444271274017
HANARO e커머스,0.6196800531645366
HANARO Fn K-POP&미디어,0.3768698759999661
HANARO Fn K-게임,0.44196096651497085
HANARO Fn K-뉴딜디지털플러스,0.6025213324305182
HANARO Fn K-반도체,0.7122180429209335
HANARO Fn5G산업,0.6886225855398936
HANARO Fn전기&수소차,0.6143870073232984
HANARO Fn친환경에너지,0.5425545617337164
HANARO KAP초장기국고채,0.2763619543112595
HANARO KRX300,0.8086855521333253
HANARO MSCI Korea TR,0.8067156131158668
HANARO 고배당,0.5486539949862915
HANARO 글로벌럭셔리S&P(합성),0.40585158570602714
HANARO 농업융복합산업,0.5551549996857335
HANARO 단기채권액티브,0.02407441855328765
HANARO 코스닥150,0.5725231554684409
HANARO 코스닥150선물레버리지,0.5948562813406665
HANARO 탄소효율그린뉴딜,0.7723140955402399
KODEX 200 중소형,0.6502090402232048
KODEX 200,0.8265078673696248
KODEX 200ESG,0.7873692768367553
KODEX 200exTOP,0.734632019472679
KODEX 200IT TR,0.7651509628849158
KODEX 200TR,0.827782643180957
KODEX 200가치저변동,0.7355804751396561
KODEX 200동일가중,0.69551503970725
KODEX 200롱코스닥150숏선물,-0.10592511463235091
KODEX 200미국채혼합,0.48217590398279975
KODEX 200선물인버스2X,-0.8249043117503866
KODEX 2차전지산업,0.41395892053854133
KODEX 3대농산물선물(H),0.06001919700829413
KODEX IT,0.7388211244166427
KODEX K-뉴딜디지털플러스,0.6083448375115543
KODEX K-미래차액티브,0.6959360910456222
KODEX K-신재생에너지액티브,0.4616109078812062
KODEX K-이노베이션액티브,0.6591710303401259
KODEX KRX300,0.8100133492103065
KODEX KRX300레버리지,0.7916166125511654
KODEX KTOP30,0.7910756142848898
KODEX MSCI EM선물(H),0.6075624794224396
KODEX MSCI KOREA ESG유니버설,0.8031332096086664
