ETF2,Correlation
ACE 200,0.6899265866938976
ACE 200TR,0.6734880694307974
ACE 2차전지&친환경차액티브,0.5046441212506717
ACE ESG액티브,0.6656334050903291
ACE Fn5G플러스,0.5407906683794055
ACE Fn성장소비주도주,0.6016735644508605
ACE 골드선물 레버리지(합성 H),0.1725023756115915
ACE 국고채10년,0.07087978832997859
ACE 국고채3년,0.10428867331525857
ACE 단기통안채,-0.03998192708174494
ACE 러시아MSCI(합성),0.03869894246123608
ACE 레버리지,0.6792481560428495
ACE 멕시코MSCI(합성),0.30275500800426824
ACE 미국IT인터넷S&P(합성 H),0.30927061223141034
ACE 미국S&P500,0.34059128021518104
ACE 미국WideMoat동일가중,0.33799672976535355
ACE 미국나스닥100,0.3066221742836957
ACE 미국다우존스리츠(합성 H),0.36286234953647234
ACE 미국친환경그린테마INDXX,0.35430500360875516
ACE 밸류대형,0.7345169427045256
ACE 베트남VN30(합성),0.1592718947864192
ACE 베트남VN30선물블룸버그레버리지(H),0.3082314374415439
ACE 삼성그룹동일가중,0.6193892898751266
ACE 삼성그룹섹터가중,0.5927419345731961
ACE 싱가포르리츠,0.1411526019658369
ACE 아시아TOP50S&P,0.40527552478745016
ACE 인도네시아MSCI(합성),0.2007064604820031
ACE 인버스,-0.6735885521583851
ACE 일본Nikkei225(H),0.4608102744244415
ACE 일본TOPIX레버리지(H),0.3725875119688315
ACE 일본TOPIX인버스(합성 H),-0.47582592905753407
ACE 종합채권(AA-이상)KIS액티브,0.02535073355821698
ACE 중국본토CSI300,0.14214274663161452
ACE 중국본토CSI300레버리지(합성),0.16830678404371893
ACE 중장기국공채액티브,0.10562383946280614
ACE 차이나항셍테크,0.2660068989514356
ACE 코스닥150,0.5637099928608835
ACE 코스피,0.7292425712122212
ACE 필리핀MSCI(합성),0.15345234960935636
BNK금융지주,0.5278692495846257
HANARO 200,0.6861286188293616
HANARO 200TR,0.6754211664835075
HANARO 200선물레버리지,0.6695414612817336
HANARO 200선물인버스,-0.6639156390147047
HANARO e커머스,0.56839773338803
HANARO Fn K-POP&미디어,0.44707504204819754
HANARO Fn K-게임,0.389912150970095
HANARO Fn K-뉴딜디지털플러스,0.504397188975952
HANARO Fn K-반도체,0.4653782355688271
HANARO Fn5G산업,0.5592262538185652
HANARO Fn전기&수소차,0.6890386469497485
HANARO Fn친환경에너지,0.5761337490038811
HANARO KAP초장기국고채,0.11424255685072485
HANARO KRX300,0.6504380449261737
HANARO MSCI Korea TR,0.6060863803847748
HANARO 고배당,0.7273501198212345
