ETF2,Correlation
ACE 200,0.7282040948370545
ACE 200TR,0.7300066706806256
ACE 2차전지&친환경차액티브,0.7750343734595269
ACE ESG액티브,0.752611562957925
ACE Fn5G플러스,0.7243405482189267
ACE Fn성장소비주도주,0.6314435740128794
ACE 골드선물 레버리지(합성 H),0.17185526954776933
ACE 국고채10년,0.17770696180860904
ACE 국고채3년,0.18441987722389613
ACE 단기통안채,-0.004404688288552964
ACE 러시아MSCI(합성),0.03162552371834189
ACE 레버리지,0.7331433714085975
ACE 멕시코MSCI(합성),0.21033896467515012
ACE 미국IT인터넷S&P(합성 H),0.47724239105570293
ACE 미국S&P500,0.3938770095678348
ACE 미국WideMoat동일가중,0.3989186391002944
ACE 미국나스닥100,0.47383790948587445
ACE 미국다우존스리츠(합성 H),0.348006586104895
ACE 미국친환경그린테마INDXX,0.42490324782197764
ACE 밸류대형,0.6309350500886489
ACE 베트남VN30(합성),0.1128636498143716
ACE 베트남VN30선물블룸버그레버리지(H),0.277963475182538
ACE 삼성그룹동일가중,0.45820005303715405
ACE 삼성그룹섹터가중,0.654323822699359
ACE 싱가포르리츠,0.12788561171455923
ACE 아시아TOP50S&P,0.4594136231303216
ACE 인도네시아MSCI(합성),0.24146307648124232
ACE 인버스,-0.7215055624012696
ACE 일본Nikkei225(H),0.5193321080912541
ACE 일본TOPIX레버리지(H),0.37282191729642306
ACE 일본TOPIX인버스(합성 H),-0.5298476406670753
ACE 종합채권(AA-이상)KIS액티브,0.1628737724064715
ACE 중국본토CSI300,0.14805628760109033
ACE 중국본토CSI300레버리지(합성),0.19643618218090547
ACE 중장기국공채액티브,0.21717082053942888
ACE 차이나항셍테크,0.3311433123332983
ACE 코스닥150,0.9791937297251784
ACE 코스피,0.7649075960717105
ACE 필리핀MSCI(합성),0.10807462762586707
BNK금융지주,0.2788473907165199
HANARO 200,0.7339582685574413
HANARO 200TR,0.7280398588870102
HANARO 200선물레버리지,0.7223205394011224
HANARO 200선물인버스,-0.7044437214510149
HANARO e커머스,0.6139486548290163
HANARO Fn K-POP&미디어,0.5703332947101579
HANARO Fn K-게임,0.540755763896093
HANARO Fn K-뉴딜디지털플러스,0.8203491963406585
HANARO Fn K-반도체,0.6505275476331756
HANARO Fn5G산업,0.6998879456683083
HANARO Fn전기&수소차,0.7579175725954893
HANARO Fn친환경에너지,0.7164148993504925
HANARO KAP초장기국고채,0.20847564685451253
HANARO KRX300,0.7318770439238638
HANARO MSCI Korea TR,0.7046830066429021
HANARO 고배당,0.4081816432531614
HANARO 글로벌럭셔리S&P(합성),0.3343952631166649
HANARO 농업융복합산업,0.5617346798677249
HANARO 단기채권액티브,-0.010934619402261462
HANARO 코스닥150,0.9773301806434312
HANARO 코스닥150선물레버리지,0.9922457480169828
HANARO 탄소효율그린뉴딜,0.72433441447958
KODEX 200 중소형,0.6815103532291859
KODEX 200,0.7375153960921716
KODEX 200ESG,0.6967252042592714
KODEX 200exTOP,0.6782417804196578
KODEX 200IT TR,0.677270483185196
KODEX 200TR,0.7364840881842253
KODEX 200가치저변동,0.5699400687296055
KODEX 200동일가중,0.6776877930821565
KODEX 200롱코스닥150숏선물,-0.7582117444235471
KODEX 200미국채혼합,0.4306283470986419
KODEX 200선물인버스2X,-0.741202631831431
KODEX 2차전지산업,0.7536425663258438
KODEX 3대농산물선물(H),0.07822985840016014
KODEX IT,0.754238350125426
KODEX K-뉴딜디지털플러스,0.8172975847952696
KODEX K-미래차액티브,0.7466004717637419
KODEX K-신재생에너지액티브,0.6729315071019089
KODEX K-이노베이션액티브,0.7311674078519814
KODEX KRX300,0.7825168629225191
KODEX KRX300레버리지,0.7676202866571824
KODEX KTOP30,0.7387102437679997
KODEX MSCI EM선물(H),0.5484844792484188
KODEX MSCI KOREA ESG유니버설,0.6929686978692666
KODEX MSCI Korea TR,0.7505857310028226
KODEX MSCI Korea,0.7181937110157561
KODEX MSCI모멘텀,0.7513363381497039
KODEX MSCI밸류,0.5478196478527354
KODEX MSCI퀄리티,0.6848947861189322
KODEX S&P글로벌인프라(합성),0.21168770271670412
KODEX Top10동일가중,0.7607720870019424
KODEX Top5PlusTR,0.638473838207466
KODEX TRF3070,0.33093058737919806
KODEX TRF5050,0.2627386159384695
KODEX TRF7030,0.3631620528469777
KODEX WTI원유선물(H),0.12020152997600991
KODEX WTI원유선물인버스(H),-0.1210698877152951
KODEX 건설,0.5870038616761604
KODEX 게임산업,0.5510457420481067
KODEX 경기소비재,0.5630503725483196
KODEX 고배당,0.4088958171914459
KODEX 골드선물(H),0.16422092051318293
KODEX 골드선물인버스(H),-0.1500090006036998
KODEX 구리선물(H),0.2737792177411039
KODEX 국고채3년,0.17814004490152202
KODEX 국채선물10년,0.17881170536574625
KODEX 국채선물10년인버스,-0.20813643694696266
KODEX 국채선물3년인버스,-0.2056139478247272
KODEX 글로벌로봇(합성),0.4450774022335586
KODEX 기계장비,0.7370032140083136
KODEX 단기변동금리부채권액티브,0.0208748133778998
KODEX 단기채권,0.00807180609770366
KODEX 단기채권PLUS,0.05064995540729513
KODEX 레버리지,0.7405285592311112
KODEX 멀티에셋하이인컴(H),0.25573747357619353
KODEX 멀티팩터,0.6651470503270218
KODEX 모멘텀Plus,0.6858231088351057
KODEX 미국10년국채선물,-0.34951662767881225
KODEX 미국30년국채울트라선물(H),0.10567855897951252
KODEX 미국S&P500TR,0.400377692199889
KODEX 미국S&P500산업재(합성),0.2865669441630614
KODEX 미국S&P500선물(H),0.5798933860695638
KODEX 미국S&P500에너지(합성),0.04741985119383723
KODEX 미국S&P바이오(합성),0.3044859303619264
KODEX 미국나스닥100TR,0.47408270553105647
KODEX 미국나스닥100선물(H),0.5894542149604671
KODEX 미국달러선물,-0.47366867503998583
KODEX 미국달러선물레버리지,-0.4740564550485638
KODEX 미국달러선물인버스,0.4732192311981373
KODEX 미국달러선물인버스2X,0.4763973594755851
KODEX 미국러셀2000(H),0.5443848563543866
KODEX 미국반도체MV,0.47851766378333094
KODEX 미국부동산리츠(H),0.41808829143580584
KODEX 미국빅테크10(H),0.5702988252796266
KODEX 미국스마트모빌리티S&P,0.43836553349426827
KODEX 미디어&엔터테인먼트,0.6446326258014586
KODEX 바이오,0.7464993280814585
KODEX 반도체,0.6666914808997485
KODEX 배당가치,0.5920026378204613
KODEX 배당성장,0.6086800545408602
KODEX 배당성장채권혼합,0.5623163742964665
KODEX 밸류Plus,0.5274042605183268
KODEX 보험,0.12978593551062229
