ETF2,Correlation
ACE 200,0.593498789021505
ACE 200TR,0.5985191390787509
ACE 2차전지&친환경차액티브,0.33606751158635884
ACE ESG액티브,0.5493109194580269
ACE Fn5G플러스,0.5326986916732571
ACE Fn성장소비주도주,0.5154992516420196
ACE 골드선물 레버리지(합성 H),0.1777039052922608
ACE 국고채10년,0.20945602201623173
ACE 국고채3년,0.2145021928571033
ACE 단기통안채,-0.014162898239457438
ACE 러시아MSCI(합성),0.013872525218608638
ACE 레버리지,0.5989221216743477
ACE 멕시코MSCI(합성),0.1814151054936621
ACE 미국IT인터넷S&P(합성 H),0.3795154125659128
ACE 미국S&P500,0.32460973550209143
ACE 미국WideMoat동일가중,0.32541562190030604
ACE 미국나스닥100,0.3556131238184946
ACE 미국다우존스리츠(합성 H),0.32183501701228845
ACE 미국친환경그린테마INDXX,0.31496886206894187
ACE 밸류대형,0.5107256024537604
ACE 베트남VN30(합성),0.06505158770211993
ACE 베트남VN30선물블룸버그레버리지(H),0.19203243082698326
ACE 삼성그룹동일가중,0.4558166272091653
ACE 삼성그룹섹터가중,0.5396463885863126
ACE 싱가포르리츠,0.16536379693964928
ACE 아시아TOP50S&P,0.35992075719300176
ACE 인도네시아MSCI(합성),0.15804286492826267
ACE 인버스,-0.5834983799945369
ACE 일본Nikkei225(H),0.4040694930061838
ACE 일본TOPIX레버리지(H),0.30773113292740956
ACE 일본TOPIX인버스(합성 H),-0.4118935460006549
ACE 종합채권(AA-이상)KIS액티브,0.1643887427743917
ACE 중국본토CSI300,0.08450994498220073
ACE 중국본토CSI300레버리지(합성),0.12294576646953055
ACE 중장기국공채액티브,0.2197674722183326
ACE 차이나항셍테크,0.2371474179792226
ACE 코스닥150,0.6702486255348782
ACE 코스피,0.6170076303729961
ACE 필리핀MSCI(합성),0.11437488803273138
BNK금융지주,0.2558642005477865
HANARO 200,0.5957346439391382
HANARO 200TR,0.6026423024379945
HANARO 200선물레버리지,0.5963669656700544
HANARO 200선물인버스,-0.5871682142782206
HANARO e커머스,0.542454867939438
HANARO Fn K-POP&미디어,0.39092541421907884
HANARO Fn K-게임,0.4346908939054293
HANARO Fn K-뉴딜디지털플러스,0.6503972622457838
HANARO Fn K-반도체,0.4663448018724546
HANARO Fn5G산업,0.5299401268441799
HANARO Fn전기&수소차,0.45077075935940525
HANARO Fn친환경에너지,0.403350200465136
HANARO KAP초장기국고채,0.20836561316136643
HANARO KRX300,0.5926869758740902
HANARO MSCI Korea TR,0.5627828287294985
