ETF2,Correlation
AAXJ,0.5905394464637943
ACWI,0.766407600639235
ACWV,0.7940676866902437
ACWX,0.7348350540107232
AFK,0.5346687737486097
AGG,0.24287629633686356
AGQ,0.2720973025745309
AGZD,0.06973538900083559
AIA,0.5366894068843553
AMLP,0.47427035063923006
ANGL,0.6037956276343559
AOA,0.7738886541882115
AOK,0.737753878355307
AOM,0.7608421255870899
AOR,0.7781859971742507
ARGT,0.5047220661301803
ASEA,0.5748748688659865
ASHR,0.3032343165136626
BAB,0.2010016119782654
BIL,0.014029169434136016
BIV,0.2022688961428786
BIZD,0.5900521271602559
BKLN,0.5962464215931186
BLV,0.20048051093765934
BND,0.24503871955565532
BNDX,0.23944737578718747
BNO,0.22416599336293525
BOIL,0.07760953465421051
BOND,0.2795055169570008
BRZU,0.4842580856690617
BSV,0.204319268864745
BTAL,-0.23763675880860594
BWX,0.2864405318247438
BWZ,0.2593293451549181
BZQ,-0.4728447515410171
CANE,0.13024490446292947
CEMB,0.4169514517394743
CGW,0.7949039289490888
CHIQ,0.37946117872103635
CMBS,0.07936545976951678
CMF,0.14947084687692047
COPX,0.5003507867396227
CORN,0.05610950459555027
CORP,0.34556776121676286
CPER,0.18910262838228967
CQQQ,0.36917180089400525
CURE,0.6239770761357794
CWB,0.6549094167122823
CWI,0.7354491925611938
CXSE,0.35005437129428485
DBA,0.19094918950360043
DBB,0.24764780721914814
DBC,0.2813546390156103
DBEF,0.6583154767421121
DBEU,0.6713142509804184
DBJP,0.5309736089015539
DBO,0.24619471134794313
DDM,0.748640062619349
DEM,0.6244513345998214
DES,0.7676008605790532
DEW,0.7926017716160131
DFJ,0.5839050079658531
DGP,0.10450151039690837
DGRE,0.6089553601071019
DGRS,0.7210787466902051
DGRW,0.7399661474435879
DGS,0.6604623388580875
DHS,0.8038122051456675
DIA,0.7506867307548603
DIG,0.5151387988991318
DIV,0.7720428984252203
DJP,0.29368399727650873
DLN,0.7807440129035668
DLS,0.7478513968334967
DNL,0.7024527435942831
DOG,-0.7484351264167083
DON,0.8258419448729966
DRN,0.9353248948328164
DRV,-0.9425690862525274
DSI,0.7391044558980832
DTD,0.7961692256625911
DTH,0.7220956273489005
DUG,-0.5260078324539057
DUST,-0.20718234003312114
DVY,0.7911487716129995
DVYE,0.6156953383228491
DWAS,0.6223958347559834
DWM,0.7404252009807984
DXD,-0.7498696369761805
DXJ,0.5268669057002692
DXJS,0.4905329431658001
EBND,0.5284744976086888
ECH,0.5028186256826543
ECNS,0.36471249993169286
EDC,0.6235574548348994
EDIV,0.6262244768621882
EDV,-0.004545300872380675
EDZ,-0.6231634193378854
EELV,0.6563187648090295
EEM,0.6242005425418045
EEMA,0.5751173195132138
EEMV,0.6376967996141792
EFA,0.7393412128513439
EFG,0.7199164884047007
EFV,0.7241215050655445
EFZ,-0.7416365092032817
EIDO,0.5616569901875186
EMB,0.6049176862890966
EMHY,0.6122562967483745
EMLC,0.5388123876417873
ENFR,0.5719547891551822
ENOR,0.5890914188317465
ENZL,0.5843826010904153
EPHE,0.5249380605758428
EPI,0.5524622379638656
EPOL,0.5438832651234555
EPP,0.7024908247509457
EPS,0.7459985917384381
EPV,-0.7258354754427786
EQWL,0.746932477055499
ERX,0.5198217147822625
ERY,-0.5281503885941712
EUFN,0.6493109228608696
EUM,-0.6225046654728545
EURL,0.7260566117099185
EUSA,0.7927414193604384
EWA,0.6987097563888601
EWC,0.6918755090325198
EWD,0.6684537963864011
EWG,0.6800585484356193
EWH,0.5058798589006575
EWI,0.6232605789461718
EWJ,0.6201982146608499
EWL,0.6551484777273155
EWM,0.48273310552004306
EWP,0.639719199232084
EWQ,0.7009373778888895
EWS,0.6073040829736244
EWT,0.54027539580814
EWU,0.7012911040882363
EWV,-0.6123052718422148
EWW,0.6014961594464457
EWX,0.6523370259401279
EWY,0.5971323917940031
EWZ,0.5077627214627606
EWZS,0.4953170021739202
EZA,0.5827330108490804
EZU,0.7002902356563242
FAN,0.6613286657763233
FAS,0.7509574057706135
FAZ,-0.7521280307630163
FBT,0.4717844577779254
FCA,0.36385636223790035
FCG,0.3966276082567067
FCOM,0.6217251799635848
FDD,0.7126822346243963
FDIS,0.6817741031883428
FDL,0.7594084349881574
FDN,0.5508691623749772
FDT,0.7097671696438491
FEM,0.617235503273399
FEMS,0.5816137161901443
FENY,0.5265458699715686
FEZ,0.7025451852695854
FGD,0.754381363676745
FHLC,0.6343016051262096
FIDU,0.74310470606747
FIW,0.7427151836591909
FLOT,0.36010615289477765
FLRN,0.33052476372686324
FLTR,0.3241016082551075
FM,0.5080795825307177
FMAT,0.7099220572468857
FMF,-0.00952654938205155
FNCL,0.7147292419703215
FNDA,0.779044282826402
FNDB,0.7761807124554256
FNDC,0.7516211948865037
FNDE,0.617988970817323
FNDF,0.7337932150020607
FNDX,0.7728301227996147
FPE,0.5425342690831593
FRI,0.9494854315557144
FSTA,0.6668623246714653
FTA,0.773055247962583
FTC,0.678288359966194
FTCS,0.7271982641990761
FTEC,0.6143465443116439
FTGC,0.2885238892971132
FTQI,0.42481861596152737
FTRI,0.5234703995972314
FTSL,0.4894298849680423
FUTY,0.6882643314325896
FVD,0.8277717507519574
FXH,0.623346058941319
FXI,0.43296940394388483
FXL,0.6037425541185526
FXN,0.4893609965948338
FXO,0.7480131787519598
FXR,0.7356511974969513
FXU,0.7345534873125599
FXY,-0.024747286712965413
FXZ,0.6731520702192798
FYLD,0.6725245245906878
GCC,0.24389239743586133
GDX,0.23477504067273985
GDXJ,0.25745187387773383
GLD,0.13643347512487736
