ETF2,Correlation
AAXJ,0.6746775290038055
ACWI,0.7503543047145083
ACWV,0.7208721090358692
ACWX,0.7955120644379873
AFK,0.6005409686569249
AGG,0.23044146129879425
AGQ,0.3167555833359127
AGZD,0.06645335067958848
AIA,0.6283115798603088
AMLP,0.44210651471784623
ANGL,0.5959754122982985
AOA,0.7644079005119243
AOK,0.727790495772604
AOM,0.7566721595906666
AOR,0.7684139467765059
ARGT,0.5397618039692694
ASEA,0.6394261839310118
ASHR,0.3617686079034079
BAB,0.2234501302551994
BIL,0.016858996630595858
BIV,0.2017633122380842
BIZD,0.5104125339148539
BKLN,0.5636500227541121
BLV,0.18988642738189584
BND,0.22619728082019575
BNDX,0.2268764408069262
BNO,0.2651541419080854
BOIL,0.08073886053516796
BOND,0.2682305876345513
BRZU,0.5185250052667799
BSV,0.23717841345895996
BTAL,-0.25783304244345034
BWX,0.3770369973126693
BWZ,0.38432403642386304
BZQ,-0.48059171035659987
CANE,0.13836741938431218
CEMB,0.4371598487631179
CGW,0.749091475598779
CHIQ,0.4783952176165727
CMBS,0.06679282536007652
CMF,0.16727418155361104
COPX,0.5630121059084421
CORN,0.08852029906720858
CORP,0.3516973290155894
CPER,0.22600427005985013
CQQQ,0.4564479792609922
CURE,0.5422208794265746
CWB,0.6484481341497931
CWI,0.8000499691555272
CXSE,0.43266788709121157
DBA,0.21839880594591715
DBB,0.31006814900479096
DBC,0.3325114748294775
DBEF,0.6652470845168262
DBEU,0.6734869549459783
DBJP,0.5440699791530542
DBO,0.2833465748065748
DDM,0.6709352958233414
DEM,0.6885885868292702
DES,0.6443427052656998
DEW,0.7515615985169709
DFJ,0.6130539281354521
DGP,0.13803142880443608
DGRE,0.669276841788091
DGRS,0.6051038766740822
DGRW,0.6568597189343934
DGS,0.7228867787556406
DHS,0.6706438938984535
DIA,0.6688463949847563
DIG,0.504170135671708
DIV,0.635242804403562
DJP,0.34457138808814364
DLN,0.6732965034837523
DLS,0.8117354590978594
DNL,0.741007563820362
DOG,-0.6667915699598682
DON,0.6949446818906659
DRN,0.6661749169147628
DRV,-0.6637620941966884
DSI,0.6718018700241314
DTD,0.6834120780612456
DTH,0.7813212912794361
DUG,-0.5046301992212734
DUST,-0.24629946664544242
DVY,0.6499765588412367
DVYE,0.6697649008426384
DWAS,0.5698796156217776
DWM,0.7964862213440095
DXD,-0.6699009200758096
DXJ,0.5288044868612409
DXJS,0.48889644656891446
EBND,0.614883086328769
ECH,0.5379110819159219
ECNS,0.4469441044150628
EDC,0.7024304136610672
EDIV,0.700149469244399
EDV,-0.01718166650452631
EDZ,-0.6998338983764063
EELV,0.7285166517085584
EEM,0.6977767325526192
EEMA,0.6584767174473857
EEMV,0.7077532649209459
EFA,0.7965270958039352
EFG,0.7742890101614893
EFV,0.778759039235912
EFZ,-0.7981468524847
EIDO,0.5857134007161222
EMB,0.6090877381085
EMHY,0.5992433169410324
EMLC,0.6308322700750019
ENFR,0.5382480701437095
ENOR,0.6354373621834338
ENZL,0.5923234019700463
EPHE,0.5454029220912925
EPI,0.5805156384100979
EPOL,0.6030635586498169
EPP,0.7431392064958223
EPS,0.6693740319777944
EPV,-0.7870092689690502
EQWL,0.6653528501080516
