ETF2,Correlation
AAXJ,-0.4940612095449043
ACWI,-0.7035377748524504
ACWV,-0.7191019242160497
ACWX,-0.6091294576163063
AFK,-0.40059309727319814
AGG,-0.07223468292179826
AGQ,-0.14216620189240162
AGZD,-0.06112284396594531
AIA,-0.4478921705949584
AMLP,-0.36254510191190764
ANGL,-0.4689637386063554
AOA,-0.6925163380464042
AOK,-0.5865584338963524
AOM,-0.6366314326181707
AOR,-0.6833798118085256
ARGT,-0.4470436938973989
ASEA,-0.4477936200785815
ASHR,-0.2767828785654918
BAB,-0.028375744660416573
BIL,0.016199705181214292
BIV,-0.022501767080996358
BIZD,-0.45114807403733853
BKLN,-0.45129129033366683
BLV,-0.039260491206536616
BND,-0.08861606124808893
BNDX,-0.08061352939589526
BNO,-0.18146591167430218
BOIL,-0.06825588566972854
BOND,-0.10367431072754703
BRZU,-0.34931445256895266
BSV,-0.015686001836332904
BTAL,0.18770142926318042
BWX,-0.07728080926037285
BWZ,-0.09018157545355905
BZQ,0.32753809719003824
CANE,-0.09560380008480145
CEMB,-0.26837106449639964
CGW,-0.6563590629455389
CHIQ,-0.33866908879839736
CMBS,-0.017304531775422616
CMF,-0.08143722422570945
COPX,-0.4054419345227373
CORN,-0.03139669598450959
CORP,-0.15643273569732083
CPER,-0.1659050619388225
CQQQ,-0.3518770041294816
CURE,-0.8815454584988088
CWB,-0.6232237106640198
CWI,-0.611097310714835
CXSE,-0.32633128597092154
DBA,-0.109252369970452
DBB,-0.20828221027639335
DBC,-0.20209284618908538
DBEF,-0.5966706924677672
DBEU,-0.600977068101378
DBJP,-0.4969714397279277
DBO,-0.18164865599827115
DDM,-0.723573141448516
DEM,-0.4849382862379068
DES,-0.574024952614367
DEW,-0.6641590570660885
DFJ,-0.4938345293799892
DGP,0.003103231617870879
DGRE,-0.48338044141044123
DGRS,-0.5621669502453301
DGRW,-0.7472757441264457
DGS,-0.5166192975987716
DHS,-0.6728455891501477
DIA,-0.72042102870234
DIG,-0.4180473476403306
DIV,-0.5446776478360442
DJP,-0.20345188977103498
DLN,-0.737016680416991
DLS,-0.5819895921741378
DNL,-0.6023933864551593
DOG,0.72111993741566
DON,-0.627954710425057
DRN,-0.5507270125644799
DRV,0.5632749658663961
DSI,-0.72400839579986
DTD,-0.7308447545234021
DTH,-0.574110302438612
DUG,0.427833114379363
DUST,0.11429679936001946
DVY,-0.6312565538403745
DVYE,-0.47418445785852453
DWAS,-0.5949091161421279
DWM,-0.6088067151053971
DXD,0.7240043649448932
DXJ,-0.49323245683229955
DXJS,-0.47273500910384103
EBND,-0.3305700259710726
ECH,-0.36259285148583004
ECNS,-0.3155954455650185
EDC,-0.5045957399700168
EDIV,-0.4671008135465997
EDV,0.13024683841037468
EDZ,0.5064985703124578
EELV,-0.4966039096218536
EEM,-0.50549189631755
EEMA,-0.48747699372328024
EEMV,-0.5173690479469328
EFA,-0.6183473353108891
EFG,-0.6315525621920847
EFV,-0.5727180101671521
EFZ,0.6234987252437934
EIDO,-0.43149792054217895
EMB,-0.41637959583035583
EMHY,-0.45977468224439744
EMLC,-0.34100189717340224
ENFR,-0.44958458337205165
ENOR,-0.48187287522347794
ENZL,-0.46996628194680656
EPHE,-0.4114406282580513
EPI,-0.46022987372529084
EPOL,-0.41180673868557
EPP,-0.5662970887855038
EPS,-0.7328149285351778
EPV,0.6046495014288732
EQWL,-0.7247721726403813
ERX,-0.43715729034845763
ERY,0.4464127996766098
EUFN,-0.4970666605787993
EUM,0.5069987723841896
EURL,-0.6011365504339317
EUSA,-0.7200545136035733
EWA,-0.5682374275162423
EWC,-0.5661730700910722
EWD,-0.5481215396177365
EWG,-0.5555027956812548
EWH,-0.3957435204943076
EWI,-0.49312299226850353
EWJ,-0.5213975398669544
EWL,-0.6070099417821205
EWM,-0.37463923499303536
EWP,-0.49101151186391856
EWQ,-0.5594299884620094
EWS,-0.4785128553732583
EWT,-0.44748380653197106
EWU,-0.5759149051597285
EWV,0.5235762100327639
EWW,-0.4300448407210032
EWX,-0.519471048594607
EWY,-0.47693254500584636
EWZ,-0.36006903008267604
EWZS,-0.3339405464341975
EZA,-0.42211672466823597
EZU,-0.5651103956439499
FAN,-0.5309523626742073
FAS,-0.6422244905896299
FAZ,0.6453317897082229
FBT,-0.6826059564894408
FCA,-0.32606016217232653
FCG,-0.31815162550523735
FCOM,-0.5699716990568885
FDD,-0.5189369931881083
FDIS,-0.6103944210527954
FDL,-0.6423295889699131
FDN,-0.5756815025837079
FDT,-0.5788123145241678
FEM,-0.4885220115845025
FEMS,-0.45776306592932225
FENY,-0.4208172913249404
FEZ,-0.5672333436864653
FGD,-0.5642120047195694
FHLC,-0.882271491847276
FIDU,-0.646591758242115
FIW,-0.6627462393199351
FLOT,-0.24583675161601914
FLRN,-0.22023432450908856
FLTR,-0.20272768348997622
FM,-0.41417327119130726
FMAT,-0.6120684878704032
FMF,-0.02277447086819368
FNCL,-0.6150454282660015
FNDA,-0.6094202078614073
FNDB,-0.7007476281253571
FNDC,-0.5932952246953378
FNDE,-0.47752974132101095
FNDF,-0.5841045851807497
FNDX,-0.7054951467444629
FPE,-0.36587012144955267
FRI,-0.5395927878437663
FSTA,-0.6184448238116268
FTA,-0.6351224803842385
FTC,-0.6999808134366352
FTCS,-0.7580608941962661
FTEC,-0.6280518894751841
FTGC,-0.20902627407993982
FTQI,-0.42472991427204915
FTRI,-0.4143985553502987
FTSL,-0.35890599617414265
FUTY,-0.4957329704096482
FVD,-0.6935560027401276
FXH,-0.8364559835462121
FXI,-0.35927905279338385
FXL,-0.6191455115333895
FXN,-0.39429054694741433
FXO,-0.5771113576010495
FXR,-0.6333188123488251
FXU,-0.5373955827037713
FXY,0.1481683198374447
FXZ,-0.5548347375260677
FYLD,-0.5204551642190796
GCC,-0.17180616228751064
GDX,-0.13365595637579214
GDXJ,-0.1596418501082742
GLD,-0.024639719804403007
GLTR,-0.12119458043951464
GMF,-0.49360619156349017
GNR,-0.523354062939996
GOVI,0.12188009775760844
GOVT,0.12228330636913527
GREK,-0.3885057097930492
GRID,-0.5574953433748687
GRPM,-0.6218600710356026
GSG,-0.19912436441859246
GSY,-0.13924310868295434
GUNR,-0.5124477448987371
GVI,-0.018839408958013452
GWX,-0.5723221954536366
GXC,-0.38060568615386686
HAUZ,-0.4672878623042282
HDGE,0.5447831772118333
HEDJ,-0.5900237699145309
HYD,-0.2755875278533904
HYEM,-0.35117347840782254
HYG,-0.5595087159386741
HYLS,-0.42696676114439286
HYMB,-0.24441726998667074
HYS,-0.5262238555770522
HYZD,-0.32179349741634017
IAI,-0.6055714976862765
IAK,-0.5986449022605539
IAT,-0.4811175931110314
IAU,-0.025282515839871404
IBB,-0.7231883347688406
IBND,-0.14533480346765756
ICF,-0.5507054065792247
ICLN,-0.48789802928224807
ICSH,-0.09317755690355474
IDHQ,-0.5808619001355756
IDLV,-0.6025761496833315
IDMO,-0.46137454130546546
IDU,-0.49925935763285484
IDV,-0.5637032891034339
IDX,-0.4310584716242163
IEF,0.10879879144839003
IEFA,-0.614286258237676
IEI,0.08690736016363841
IEMG,-0.5118394751375837
IEO,-0.39422717839867005
IEV,-0.602878248807519
IEZ,-0.35856569951877265
IGE,-0.466355351344775
IGF,-0.5967647971129852
IGIB,-0.19488017452430292
IGLB,-0.1703072407461242
IGM,-0.6169767199410584
IGOV,-0.06319139818770565
IGPT,-0.56948925374831
IGSB,-0.17742516777814465
IGV,-0.5987419229361315
IHE,-0.7898880816521959
IHF,-0.7592311262927698
IHI,-0.7870578017255915
IJH,-0.6622649299374012
IJJ,-0.6170222883986187
IJK,-0.6856676614158059
IJR,-0.6015102372842359
IJS,-0.546360964255907
IJT,-0.6301744698770372
ILCB,-0.7374354431583708
ILCG,-0.6877839284585844
ILCV,-0.7081403418325077
ILF,-0.41560030975330986
ILTB,-0.04868422468574967
IMCB,-0.6911152211752192
IMCG,-0.7046741642452584
IMCV,-0.6397654673029213
INCO,-0.4301334817137459
INDA,-0.46997584164935985
INDL,-0.46092247112640533
INDY,-0.45943261696861415
IOO,-0.6884397647798162
ISCG,-0.6611699670059603
ISHG,-0.060467077569525275
ISTB,-0.11901595514653426
ITA,-0.5652272030281142
ITB,-0.5052684457303693
ITM,-0.08069999004807987
ITOT,-0.7308740602463583
IUSV,-0.7120237475032207
IVE,-0.7128567290442556
IVOO,-0.6639220644601456
IVV,-0.7337536217978784
IVW,-0.6972843256461186
IWB,-0.7333673352055338
IWC,-0.5885056240105486
IWD,-0.7141860716827764
IWF,-0.690847971473014
IWL,-0.7385144655566003
IWM,-0.6351839633829205
IWN,-0.5797917676839286
IWO,-0.6537399413261739
IWP,-0.6927769875255645
IWR,-0.7053776146610988
IWS,-0.6703970917745556
IWV,-0.7316333514889892
IWX,-0.7314090322792662
IWY,-0.6781834966210945
IXC,-0.4348329224225131
IXJ,-0.8662762119387256
IXN,-0.6245915578184343
IXUS,-0.6088881526641153
IYC,-0.6421082143100357
IYE,-0.42979989156465265
IYF,-0.6465464267788612
IYG,-0.6192864549577805
IYH,-0.8816536048743565
IYJ,-0.6741190722042374
IYK,-0.6495144139920135
IYR,-0.5751322962361962
IYT,-0.5745220998219878
IYY,-0.7355301067369978
IYZ,-0.5985064924113296
JDST,0.13440045419017516
JNK,-0.5542475148469596
JNUG,-0.11068156015553762
JPXN,-0.5115759505926954
JXI,-0.5511197889410177
KBE,-0.4869618661458668
KBWB,-0.5155484749759484
KBWP,-0.5433811407982847
KBWY,-0.45468594545434404
KCE,-0.6309788206926669
KIE,-0.606380582630665
KOLD,0.06889183511487863
KORU,-0.46957931418264315
KRE,-0.4540179747365233
KWEB,-0.32201502222179995
LDUR,-0.03406364068886883
LEMB,-0.3434157206130221
LIT,-0.45248295158302443
LQD,-0.19001988836436204
LTPZ,0.04229382446074147
MBB,-0.10928306328471943
MCHI,-0.3709120659961687
MDIV,-0.5038895608287178
MDY,-0.6640460735663762
MDYG,-0.6870103425480104
MDYV,-0.6165763967308464
MGC,-0.7317455534774261
MGK,-0.6689647232305856
MGV,-0.7298533899997308
MIDU,-0.6611048997034222
MINT,-0.11815441030847497
MLN,-0.18040713658942875
MLPA,-0.368736074500864
MLPX,-0.4496077197924227
MNA,-0.3709750525203877
MOAT,-0.704726658068652
MOO,-0.6221432710284442
MORT,-0.3927358080820337
MTUM,-0.6808944665546416
MUB,-0.17127786561004246
MUNI,-0.14400099205284855
NEAR,-0.05323903863790826
NFRA,-0.6617006166608613
NFTY,-0.34406716201558774
NLR,-0.49644856213539895
NOBL,-0.7074087537581816
NUGT,-0.10845943507088827
NYF,-0.16646167128305112
OEF,-0.7159027243372988
OIH,-0.3495468748145705
ONEQ,-0.6685037172868926
PALL,-0.19633567899556192
