ETF2,Correlation
AAXJ,0.7328709838871589
ACWI,0.9671362204143872
ACWV,0.8816964329016056
ACWX,0.8577213775771861
AFK,0.6049647923898755
AGG,0.08328462804642427
AGQ,0.2167608801177009
AGZD,0.07408544918907486
AIA,0.6826638990419298
AMLP,0.5326212442336236
ANGL,0.6323099467651158
AOA,0.9507668973198794
AOK,0.7961513258054009
AOM,0.8643976534170117
AOR,0.930088129067942
ARGT,0.6336222749379179
ASEA,0.6267472678757486
ASHR,0.39960811507590377
BAB,0.025325416380346105
BIL,-0.007360957875997733
BIV,0.0037405522453931037
BIZD,0.603755531716255
BKLN,0.5873095337180569
BLV,0.02979264277335454
BND,0.09495372970776333
BNDX,0.09338876263266147
BNO,0.3134985890771147
BOIL,0.08667230436621289
BOND,0.12316394275521243
BRZU,0.5286147450476697
BSV,0.0001363418687974462
BTAL,-0.3225802394794996
BWX,0.12153326397100477
BWZ,0.13466453497318412
BZQ,-0.505756337020232
CANE,0.11574400641807324
CEMB,0.3529642259135954
CGW,0.863573403172909
CHIQ,0.5212917259460683
CMBS,-0.03493620132710337
CMF,0.07430194727582985
COPX,0.6188704295375967
CORN,0.06502737237226865
CORP,0.21243020347143246
CPER,0.23253153614935504
CQQQ,0.5278613353135707
CURE,0.8180824350357363
CWB,0.8508933106051233
CWI,0.8561250830731162
CXSE,0.48285613012787
DBA,0.19632288862603
DBB,0.30183562909532785
DBC,0.34972371617486603
DBEF,0.8229862187463679
DBEU,0.8189089170905601
DBJP,0.7052418300304268
DBO,0.32582517879002204
DDM,0.9486451989409996
DEM,0.7118016533967073
DES,0.8312252284897222
DEW,0.856358838016913
DFJ,0.6807949121912912
DGP,0.004354212504035678
DGRE,0.7048944408536518
DGRS,0.8144459754788862
DGRW,0.963224692876569
DGS,0.7455287931544367
DHS,0.8572590376071406
DIA,0.9488441665735023
DIG,0.6208232933124048
DIV,0.7315812839614141
DJP,0.33917941045521405
DLN,0.9512459653994583
DLS,0.8219642004693933
DNL,0.831555372139095
DOG,-0.9458322328673061
DON,0.8889259180794327
DRN,0.7136799543096787
DRV,-0.7361916008797184
DSI,0.9872249778270454
DTD,0.9460780586964888
DTH,0.7887348576541915
DUG,-0.6361248935084046
DUST,-0.15122363427059327
DVY,0.8418281910763551
DVYE,0.6828284029942082
DWAS,0.8248475206226578
DWM,0.8325835571262149
DXD,-0.9479082258179944
DXJ,0.6978634882066326
DXJS,0.6537428320933439
EBND,0.48542964778820247
ECH,0.5388948945796133
ECNS,0.46481739755666734
EDC,0.7541695235561566
EDIV,0.6800035187310768
EDV,-0.20158730215584994
EDZ,-0.7566011905651012
EELV,0.7056559481551304
EEM,0.755824265881597
EEMA,0.7168860106048208
EEMV,0.737627233195558
EFA,0.8498723061050764
EFG,0.855047170402577
EFV,0.8007554364981564
EFZ,-0.85053350297305
EIDO,0.6021062711600846
EMB,0.5622551321279883
EMHY,0.6184017596798892
EMLC,0.49394279643470174
ENFR,0.6216070200279755
ENOR,0.6912274969339423
ENZL,0.6265962511587864
EPHE,0.5800570581432299
EPI,0.6180278798858219
EPOL,0.6138066189409999
EPP,0.793461879033809
EPS,0.9750839832005476
EPV,-0.8221353849574657
EQWL,0.9203720638297244
ERX,0.6382418630459434
ERY,-0.6528121614260335
EUFN,0.7289310474475695
EUM,-0.7551875698727882
EURL,0.8191796745263232
EUSA,0.9536329156396397
EWA,0.7854210354110485
EWC,0.8052698619868908
EWD,0.7708403680422934
EWG,0.7818543200050555
EWH,0.5710620112253834
EWI,0.7169869751807506
EWJ,0.732850307478175
EWL,0.7553083685368771
EWM,0.5210145482208257
EWP,0.7018271506484053
EWQ,0.7816735550930823
EWS,0.6875814247195281
EWT,0.6724189686299868
EWU,0.7684015337468347
EWV,-0.7267614465869858
EWW,0.6335962173245739
EWX,0.7449758348786013
EWY,0.6961882497946634
EWZ,0.5539889200481997
EWZS,0.5096144125006906
EZA,0.631575148992025
EZU,0.8024410448478595
FAN,0.7164527844213754
FAS,0.8852730780997978
FAZ,-0.8888561691305131
FBT,0.6784145051343194
FCA,0.43051143933135816
FCG,0.5143515987738977
FCOM,0.8323567896840548
FDD,0.7299946921902251
FDIS,0.9115411666753199
FDL,0.823972486920081
FDN,0.8418182673870227
FDT,0.8231183403677896
FEM,0.7116927778808119
FEMS,0.6579684773415332
FENY,0.6330191655237504
FEZ,0.8033805196241207
FGD,0.804188829673471
FHLC,0.8388300324921526
FIDU,0.9060091105714629
FIW,0.8789913915080516
FLOT,0.3644352084801062
FLRN,0.3339030507974165
FLTR,0.3234873319889034
FM,0.5992843859960025
FMAT,0.8602324319300374
FMF,0.01702610928918762
FNCL,0.8597227081551169
FNDA,0.8872846772937917
FNDB,0.9514750940327146
FNDC,0.8420234477880505
FNDE,0.7206679429734434
FNDF,0.829535447532797
FNDX,0.9578164615317345
FPE,0.5108235620880248
FRI,0.7231384740068745
FSTA,0.7453114947075222
FTA,0.8797635546012336
FTC,0.930243604828782
FTCS,0.9284180442533811
FTEC,0.9250064906852086
FTGC,0.3238868742153341
FTQI,0.5771779631268633
FTRI,0.5849134014763915
FTSL,0.47328921791487916
FUTY,0.5788268194893151
FVD,0.8821024703396179
FXH,0.832825772484381
FXI,0.5504331106644933
FXL,0.8931123798228903
FXN,0.6147515681849438
FXO,0.8275768403557924
FXR,0.8994011019348059
FXU,0.6561504734136859
FXY,-0.2056662948208999
FXZ,0.8123116768119236
FYLD,0.7422425295097551
GCC,0.28615129018099217
GDX,0.1794411296647538
GDXJ,0.22294464158749333
