ETF2,Correlation
AAXJ,0.9551151458597066
ACWI,0.8355802783676266
ACWV,0.7434709730234621
ACWX,0.8913016073794712
AFK,0.6917291633620313
AGG,0.08587465428064124
AGQ,0.2965174576744141
AGZD,0.05469950075427868
AIA,0.907766093499982
AMLP,0.46379381702231387
ANGL,0.5445074011788685
AOA,0.8159787449517446
AOK,0.6940798032846097
AOM,0.7548047430868112
AOR,0.8050761965429353
ARGT,0.6309360974534656
ASEA,0.7378589115255948
ASHR,0.6139547658953719
BAB,0.05502764543326977
BIL,-0.011651196560940354
BIV,0.02321728655235179
BIZD,0.4465678217747057
BKLN,0.4955190860589706
BLV,0.03566636958351448
BND,0.094947439401167
BNDX,0.07078961020455238
BNO,0.3398303111684025
BOIL,0.0671034773665991
BOND,0.11721910274910426
BRZU,0.6967192683748452
BSV,0.03805989425635887
BTAL,-0.27211132116404396
BWX,0.22544657182111882
BWZ,0.27027161008266887
BZQ,-0.6454288733787439
CANE,0.1610184600126916
CEMB,0.3653753716054717
CGW,0.7145453547462269
CHIQ,0.776183693275336
CMBS,-0.014771900407081965
CMF,0.07553068964772136
COPX,0.7121685710591884
CORN,0.09376006029605147
CORP,0.19566666470843677
CPER,0.2725064861014779
CQQQ,0.7710399392482508
CURE,0.5737283012018077
CWB,0.7288981082293455
CWI,0.8852443331410641
CXSE,0.7413810394733332
DBA,0.2338600582737756
DBB,0.3863911275586225
DBC,0.39833092337893783
DBEF,0.7418730731368264
DBEU,0.7304607898903142
DBJP,0.6166187726979677
DBO,0.3540934159975872
DDM,0.7094017288235178
DEM,0.9070873690898815
DES,0.6266483439058617
DEW,0.7619553844065823
DFJ,0.6222929891383631
DGP,0.09395880153298951
DGRE,0.9038915550989962
DGRS,0.6199033939717441
DGRW,0.713020450381721
DGS,0.9156047606054377
DHS,0.6497459316986236
DIA,0.7111715361338695
DIG,0.5412872271243919
DIV,0.5690923084462498
DJP,0.401610012728592
DLN,0.7106171236099109
DLS,0.7893614162675001
DNL,0.8570454922290826
DOG,-0.7083354926066818
DON,0.6739429213078262
DRN,0.5111722058476097
DRV,-0.5316300360798331
DSI,0.7425126235676587
DTD,0.7060758037685876
DTH,0.7849747939686199
DUG,-0.5542151203840779
DUST,-0.24051753256919295
DVY,0.619804679427862
DVYE,0.8628138316654337
DWAS,0.6376831229324395
DWM,0.8039631820722193
DXD,-0.7092542506993997
DXJ,0.6073332523784305
DXJS,0.565993621361801
EBND,0.6514946733181333
ECH,0.6197557790548945
ECNS,0.6920062970684212
EDC,0.981591287544101
EDIV,0.885434838040149
EDV,-0.156680322253546
EDZ,-0.9815085664315586
EELV,0.8782725376893641
EEM,0.9799092259078868
EEMA,0.9305559834282635
EEMV,0.9392175598923325
EFA,0.8088648383713825
EFG,0.7991937667558927
EFV,0.7764457595414188
EFZ,-0.8096049436269214
EIDO,0.7011869282130893
EMB,0.5651594774349806
EMHY,0.6004276933758194
EMLC,0.664414315646858
ENFR,0.5432764367246802
ENOR,0.6971434728041951
ENZL,0.5984416488217889
EPHE,0.6679153231201427
EPI,0.7247778142235898
EPOL,0.6746155185617567
EPP,0.8287548692865506
EPS,0.7263422725428098
EPV,-0.777124546674726
EQWL,0.6861105828746819
ERX,0.5704925777160939
ERY,-0.5821267433962077
EUFN,0.6943391509248493
EUM,-0.9803262018807279
EURL,0.7764673809836324
EUSA,0.7228681289790416
EWA,0.7531018987760972
EWC,0.732532197604268
EWD,0.7227840556038917
EWG,0.7314011804236462
EWH,0.7659295899938369
EWI,0.6845506279039651
EWJ,0.6783048804192746
EWL,0.6826726623794028
EWM,0.6639058562754118
EWP,0.6756254748077375
EWQ,0.7419101079259629
EWS,0.7698252020256662
EWT,0.7885436276843876
EWU,0.7416870553141608
EWV,-0.6669219125892337
EWW,0.7006737748459022
EWX,0.9049532915408182
EWY,0.7993271232948321
EWZ,0.7074354888999339
EWZS,0.6345419620798857
EZA,0.8237919760526653
EZU,0.7577434234967872
FAN,0.6925952435126971
FAS,0.6573648852112608
FAZ,-0.6627809251474716
FBT,0.5166954392158014
FCA,0.6479406359981142
FCG,0.46569335367614356
FCOM,0.6233406898676306
FDD,0.6942944865609524
FDIS,0.6892402819750468
FDL,0.6198061125960608
FDN,0.650502812419021
FDT,0.8159656970774101
FEM,0.9092185624768501
FEMS,0.8197883388866425
FENY,0.5518753764660665
FEZ,0.7563719686084988
FGD,0.7633016656349226
FHLC,0.5949135998059887
FIDU,0.6776502643996731
FIW,0.6623759260584235
FLOT,0.330463348967086
FLRN,0.30185262030545695
FLTR,0.2917672211185583
FM,0.6035638243032775
FMAT,0.7008605545901221
FMF,0.02253041111217258
FNCL,0.6343940383869732
FNDA,0.6815714113521304
FNDB,0.7187255442274411
FNDC,0.8141659768872601
FNDE,0.9434396520854753
FNDF,0.8104671677499283
FNDX,0.7251999629102158
FPE,0.4179844792981691
FRI,0.5206786023030768
FSTA,0.5199299059424718
FTA,0.6720935397640965
FTC,0.7056015417499967
FTCS,0.6765142558477623
FTEC,0.7042200284370446
FTGC,0.37177755103260773
FTQI,0.4079404207286222
FTRI,0.6489828574625189
FTSL,0.38900778115593365
FUTY,0.382847241867182
FVD,0.6514059953327578
FXH,0.6039273140436009
FXI,0.8464250998039891
FXL,0.69933688665761
FXN,0.5419621053518673
FXO,0.6119547251880239
FXR,0.6886388824412177
FXU,0.4606422086486073
FXY,-0.10531002242664418
FXZ,0.6765284280460413
FYLD,0.7324292536554796
GCC,0.3440948170732178
GDX,0.26414986468804047
GDXJ,0.3037344903614475
GLD,0.13326499912591278
GLTR,0.2784884231538621
GMF,0.9502658431530153
GNR,0.7539309257680562
GOVI,-0.14501643033317266
GOVT,-0.13525030347138142
GREK,0.5557529118417506
GRID,0.645524874607161
GRPM,0.6738034137811154
GSG,0.375734006262868
GSY,0.1561499823499675
GUNR,0.748502965974399
GVI,0.02349760022518822
GWX,0.7879324792985697
GXC,0.8580371963038899
HAUZ,0.643441569763131
HDGE,-0.6371126881417217
HEDJ,0.7166885981035385
HYD,0.31309718559178645
HYEM,0.4601369505288174
HYG,0.6298126097619281
HYLS,0.45858619243177207
HYMB,0.28301198771077835
HYS,0.5810330515435135
HYZD,0.37902228367230417
IAI,0.6362309689863418
IAK,0.560648665522393
IAT,0.5235925860461884
IAU,0.13422771026717073
IBB,0.5370151461893988
IBND,0.2495632275411275
ICF,0.503150047362268
ICLN,0.6840480626611491
ICSH,0.10530747810833106
IDHQ,0.7216540249070896
IDLV,0.7717499766491416
IDMO,0.5494631648538291
IDU,0.3859882159697216
IDV,0.7747509403372442
IDX,0.7152691565132318
IEF,-0.13598989406180798
IEFA,0.8083433548539094
