ETF2,Correlation
AAXJ,0.7159193483708987
ACWI,0.9218499053294202
ACWV,0.8019517764599836
ACWX,0.7984360716840546
AFK,0.5561577608539608
AGG,0.10732005449913704
AGQ,0.2087400977577176
AGZD,0.06248715200032867
AIA,0.6760857065106034
AMLP,0.4343929886854176
ANGL,0.591550851993471
AOA,0.9011211242249249
AOK,0.7672813255304077
AOM,0.8281644050330627
AOR,0.8859129013092597
ARGT,0.6082839254177734
ASEA,0.5691893350734968
ASHR,0.3872824648107281
BAB,0.03861286830443624
BIL,-0.009585819776076813
BIV,0.03594512044282349
BIZD,0.518921805721728
BKLN,0.5314714186014716
BLV,0.06364057666030981
BND,0.11301180191790058
BNDX,0.11458597126896178
BNO,0.2510560590285998
BOIL,0.07348846845318878
BOND,0.13475504615596084
BRZU,0.46219730070976367
BSV,0.02332988103587769
BTAL,-0.29606080289307757
BWX,0.13233680039092718
BWZ,0.13123677215995866
BZQ,-0.44628014494835483
CANE,0.09272642337452135
CEMB,0.3354367293316033
CGW,0.7774806587776995
CHIQ,0.5387838073641439
CMBS,-0.024244961226495013
CMF,0.06947058180238955
COPX,0.5504833021725082
CORN,0.04340508276345024
CORP,0.22218757504348785
CPER,0.2102470272567298
CQQQ,0.5470821077603327
CURE,0.7591135540309978
CWB,0.8466329345108898
CWI,0.7959156442361229
CXSE,0.5006939510894726
DBA,0.16772981781850246
DBB,0.2694722242441576
DBC,0.28795157787884823
DBEF,0.7539417749489526
DBEU,0.7476874520524218
DBJP,0.6544045461355167
DBO,0.262146883653265
DDM,0.8557512242930185
DEM,0.6467957221025639
DES,0.6813468773304593
DEW,0.7264670298361697
DFJ,0.6243496453343269
DGP,0.006671373846478632
DGRE,0.6681776309133659
DGRS,0.681679114458372
DGRW,0.8900488793304923
DGS,0.695341306422841
DHS,0.6999217125264845
DIA,0.8567159525898368
DIG,0.4776108122068976
DIV,0.5903049221431322
DJP,0.2849304074218432
DLN,0.8461394932992149
DLS,0.7515410712806645
DNL,0.7917892221405873
DOG,-0.8540223460173592
DON,0.747901806316077
DRN,0.622443899738823
DRV,-0.6428637662511648
DSI,0.95838442050974
DTD,0.8336956618904552
DTH,0.693709003786194
DUG,-0.49292997842037983
DUST,-0.1389656006113637
DVY,0.6756954724008123
DVYE,0.6160152228735267
DWAS,0.7770905675717504
DWM,0.7526691774424856
DXD,-0.8553229855197841
DXJ,0.6321092408339325
DXJS,0.5985644104488143
EBND,0.45050292841322903
ECH,0.479379309621988
ECNS,0.4585653846061988
EDC,0.7222291668662145
EDIV,0.6222220678845444
EDV,-0.1515209286003247
EDZ,-0.7251696824255542
EELV,0.6497317110613001
EEM,0.7232806859068499
EEMA,0.7026740256269122
EEMV,0.6943051419941153
EFA,0.7826536063097725
EFG,0.8242903784554891
EFV,0.7000952866695739
EFZ,-0.7841817192630611
EIDO,0.5450438996111493
EMB,0.5399929787088191
EMHY,0.5793923429399065
EMLC,0.45372931933950644
ENFR,0.5100053306977195
ENOR,0.6131909648578836
ENZL,0.5734400627348163
EPHE,0.5279607731317496
EPI,0.5683893255210638
EPOL,0.5633024385319874
EPP,0.7271130937319294
EPS,0.9111259747678159
EPV,-0.7543826586585474
EQWL,0.8316299811212609
ERX,0.5027598935480486
ERY,-0.5174737572172086
EUFN,0.6313019168127101
EUM,-0.7245888639899811
EURL,0.7506185997604529
EUSA,0.8732306356761163
EWA,0.7144128137751433
EWC,0.7181523373725165
EWD,0.7141387736948142
EWG,0.7238233074488496
EWH,0.5267921795719436
EWI,0.6432810033041432
EWJ,0.6861726793078419
EWL,0.7048201542549781
EWM,0.4821562298867706
EWP,0.6133834672580211
EWQ,0.707976659808633
EWS,0.6430265719680675
EWT,0.659388153878976
EWU,0.6738730970882544
EWV,-0.6806345874787403
EWW,0.560203109186679
EWX,0.7005707012056198
EWY,0.6650736572045108
EWZ,0.4858166980287538
EWZS,0.45777174711381247
EZA,0.580192165293877
EZU,0.7387551459345919
FAN,0.6714747059755161
FAS,0.7569184749596465
FAZ,-0.7606312714055118
FBT,0.6699798459424031
FCA,0.4090700359750293
FCG,0.40288413383467325
FCOM,0.8331610935376144
FDD,0.6334357842842612
FDIS,0.9164102286155882
FDL,0.6637130045339231
FDN,0.9111406758476266
FDT,0.7604259262498729
FEM,0.660902578162071
FEMS,0.6091322926989851
FENY,0.4900015143847041
FEZ,0.7395507482168436
FGD,0.6846879283332941
FHLC,0.7892932219204966
FIDU,0.7931207227022316
FIW,0.7792909956872048
FLOT,0.3181650555884557
FLRN,0.29212833066261457
FLTR,0.28838243300705607
FM,0.5591925430747186
FMAT,0.745667616118049
FMF,0.0012023809579395812
FNCL,0.721277185014609
FNDA,0.7661776777211261
FNDB,0.8407528524533887
FNDC,0.7660714123106657
FNDE,0.6572123555842971
FNDF,0.7329260605953108
FNDX,0.8459827874092432
FPE,0.4679040995508884
FRI,0.6230591867437851
FSTA,0.6474085131158919
FTA,0.733735713922545
FTC,0.9296183757050955
FTCS,0.852232483917928
FTEC,0.9676609323996467
FTGC,0.2720681625328847
FTQI,0.570362352332561
FTRI,0.4941354987876053
FTSL,0.4247563317609111
FUTY,0.4710978530287294
FVD,0.7450175961972905
FXH,0.7991294160294752
FXI,0.5426641202582642
FXL,0.9203297290365008
FXN,0.49126328508266737
FXO,0.6835999757189966
FXR,0.7941417248644269
FXU,0.5289210971810347
FXY,-0.17866318818016344
FXZ,0.6854598862601661
FYLD,0.649899423595593
GCC,0.23947795022336968
GDX,0.16854869195755537
GDXJ,0.20770446967549336
GLD,0.04447438511842458
GLTR,0.1683915840917714
GMF,0.7109504090515285
GNR,0.6467911793911311
GOVI,-0.14273127343466416
GOVT,-0.1460947241099983
GREK,0.5115196108011086
GRID,0.7075298684157554
GRPM,0.7649908957297764
GSG,0.2826096964325639
GSY,0.12185012059899314
GUNR,0.6302747432237058
GVI,0.03007979141141188
GWX,0.7571785545544005
GXC,0.5712745169445399
HAUZ,0.5721774227872528
HDGE,-0.7380096608732897
HEDJ,0.7404552932974666
HYD,0.3176455438568308
HYEM,0.43368963751409384
HYG,0.7117017031223265
HYLS,0.5580782637381803
HYMB,0.2762786313033379
HYS,0.6630778725439256
HYZD,0.421197382947604
IAI,0.7365098758134355
IAK,0.6304791728794059
IAT,0.5659888043618309
IAU,0.043852565419668414
IBB,0.7013044315135332
IBND,0.19581316803180773
ICF,0.6218071424570797
ICLN,0.6686888121948538
ICSH,0.09016812885604586
IDHQ,0.7191560615591523
IDLV,0.7208593267412393
IDMO,0.57272302564913
IDU,0.47652700057340697
IDV,0.6881048305578249
IDX,0.549411541503849
IEF,-0.13236690776821233
IEFA,0.7822416329559755
IEI,-0.10493812128184117
IEMG,0.7294016775317328
IEO,0.47569146979894417
IEV,0.7518434801216901
IEZ,0.43945978148507336
IGE,0.5590183554913272
IGF,0.683500911243224
IGIB,0.27314026960331433
IGLB,0.2346047636618449
IGM,0.9724181075658244
IGOV,0.11543304176788255
IGPT,0.860503269311271
IGSB,0.24785704053918958
IGV,0.9108841467440729
IHE,0.6668885592844296
IHF,0.6792841071299521
IHI,0.7989503412880236
IJH,0.8261982803948938
IJJ,0.7508051135772514
IJK,0.871263766103516
IJR,0.7513221185536196
IJS,0.6646002039435492
IJT,0.8028818560131084
ILCB,0.9420679470042613
ILCG,0.9870905305372456
ILCV,0.8008827802196097
ILF,0.5557557388154009
ILTB,0.08116327873148779
IMCB,0.8578522077232582
IMCG,0.9183722319165135
IMCV,0.7324216789049613
INCO,0.522461468157024
INDA,0.5923858371140492
INDL,0.5587990164238934
INDY,0.5765367471805535
IOO,0.9301549115179946
ISCG,0.8534069772100934
ISHG,0.1088218430417015
ISTB,0.1554971190422602
ITA,0.6762941948484196
ITB,0.6702849913445532
ITM,0.10623354110064509
ITOT,0.9538706081432867
IUSV,0.8134334832304647
IVE,0.8150770299248585
IVOO,0.824665445666242
IVV,0.953931651350628
IVW,0.9882662096028562
IWB,0.9576622353827733
IWC,0.7393754906165206
IWD,0.8161973087834951
IWF,0.9942282327432286
IWL,0.9581309784995409
IWM,0.8057274481091612
IWN,0.7163706383417787
IWO,0.8472979016714856
IWP,0.9405496462549059
IWR,0.8871248466880152
IWS,0.8051275191039633
IWV,0.9528188474987447
IWX,0.8012976995084744
IWY,0.987778481954829
IXC,0.5134112511411875
IXJ,0.7766462464886309
IXN,0.9601279991958033
IXUS,0.7970170575186081
IYC,0.9143730828327576
IYE,0.5003812080034471
IYF,0.7638272398739738
IYG,0.753714730635962
IYH,0.7766929243493746
IYJ,0.8475880684707697
