ETF2,Correlation
AAXJ,0.6005404722070796
ACWI,0.8478108406137609
ACWV,0.8659625172833401
ACWX,0.7712564419135489
AFK,0.5473142268894137
AGG,0.06315600438549485
AGQ,0.17762824804743868
AGZD,0.05901758836726817
AIA,0.543771397303881
AMLP,0.5402435232630437
ANGL,0.5632315879826527
AOA,0.8380806324902453
AOK,0.6952449774338018
AOM,0.7580010969936591
AOR,0.8198534045868945
ARGT,0.5265793124340569
ASEA,0.5840022359924646
ASHR,0.33010600737584034
BAB,0.019473892145573896
BIL,-0.002802664973826903
BIV,-0.008895703381554588
BIZD,0.6146205919025495
BKLN,0.5673540170116624
BLV,0.000630880078912462
BND,0.07369969959373011
BNDX,0.08051517933035808
BNO,0.29474561051845377
BOIL,0.09010957304107153
BOND,0.10350060310597868
BRZU,0.5118033211709934
BSV,-0.0033601201990325845
BTAL,-0.2821261307718517
BWX,0.11216449525368763
BWZ,0.13189104646995134
BZQ,-0.4964959308923306
CANE,0.10868012130106265
CEMB,0.31853173364525794
CGW,0.859853688792497
CHIQ,0.3718182970400062
CMBS,-0.019083434499934705
CMF,0.07739485026794164
COPX,0.5708135551928565
CORN,0.06296208292319082
CORP,0.16726333720687345
CPER,0.20430428215848506
CQQQ,0.372118470690468
CURE,0.7527364279609087
CWB,0.6676598747068294
CWI,0.7793342171602898
CXSE,0.34455441851509927
DBA,0.18005221823959122
DBB,0.26977869486650113
DBC,0.32808731799116536
DBEF,0.7564358323863197
DBEU,0.7608338077238296
DBJP,0.6313549669026975
DBO,0.3121578586039784
DDM,0.9073876224113263
DEM,0.6552531936121841
DES,0.9037208674108134
DEW,0.8857388891596119
DFJ,0.6335262499370645
DGP,0.0028427563241166113
DGRE,0.6151889406870776
DGRS,0.8700065289212002
DGRW,0.8983957650677403
DGS,0.6652983156154719
DHS,0.9377000064724217
DIA,0.9107940652005435
DIG,0.6674424677668993
DIV,0.8241948618029734
DJP,0.3139957222424106
DLN,0.9332155168278571
DLS,0.7567840277673373
DNL,0.7235731244341548
DOG,-0.906241662785715
DON,0.9426021005065185
DRN,0.7681288030157843
DRV,-0.7961778748043854
