ETF2,Correlation
AAXJ,0.5980296222514137
ACWI,0.79746034912394
ACWV,0.7140985745144384
ACWX,0.7458448454457833
AFK,0.555376053014526
AGG,0.06270776203287531
AGQ,0.18439796824573923
AGZD,0.0786466245149152
AIA,0.5574121777605702
AMLP,0.5849067967653856
ANGL,0.5496906908249456
AOA,0.8047124299367625
AOK,0.6680924829902871
AOM,0.7258058451059048
AOR,0.7820277480682203
ARGT,0.5469552066450668
ASEA,0.5478281359552953
ASHR,0.3200703794161335
BAB,0.006061247799072708
BIL,0.0035672111240788976
BIV,-0.02234069723801107
BIZD,0.640509178048535
BKLN,0.5194807017251617
BLV,-0.012024686621442076
BND,0.05831793518500222
BNDX,0.05526033329130712
BNO,0.31366258536048763
BOIL,0.08155489303139168
BOND,0.09725091091414417
BRZU,0.4938562413727441
BSV,-0.012783817951461348
BTAL,-0.39089611817150677
BWX,0.12161379843784142
BWZ,0.12947574145330082
BZQ,-0.4770123349491748
CANE,0.12015801973143593
CEMB,0.29362320323854624
CGW,0.7853105691561486
CHIQ,0.42093149161518567
CMBS,-0.037499432840959565
CMF,0.047276098871832456
COPX,0.5863883332534815
CORN,0.07772349470869756
CORP,0.16061041750394267
CPER,0.2165381471440358
CQQQ,0.4213544273448824
CURE,0.6133750443459797
CWB,0.6961116131659151
CWI,0.7500234839431985
CXSE,0.3848028077038437
DBA,0.19372064821816096
DBB,0.29006956564121517
DBC,0.3584092582576812
DBEF,0.7243456217068196
DBEU,0.7219304697083443
DBJP,0.616308608872746
DBO,0.34023206200492734
DDM,0.8172864406721837
DEM,0.6298242369771614
DES,0.9702631051483698
DEW,0.8173470008257605
DFJ,0.6073556434366838
DGP,-0.00869144711567373
DGRE,0.5963446038326631
DGRS,0.9296567118969974
DGRW,0.794996729636533
DGS,0.6371079886797522
DHS,0.8374826430973855
DIA,0.8183145525884935
DIG,0.6873267974354947
DIV,0.8046042411607477
DJP,0.338045679674125
DLN,0.8206264980251137
DLS,0.7459135200341488
DNL,0.6898285049706007
DOG,-0.815819752309215
DON,0.931709530003742
DRN,0.6788211478440659
DRV,-0.6920825094658059
DSI,0.7829518398662884
DTD,0.8461087540712641
DTH,0.7364980255159749
DUG,-0.6976900074870989
DUST,-0.13100266228513993
DVY,0.8639738726621823
DVYE,0.6138795431021723
DWAS,0.8188724608931994
DWM,0.7437564255746633
DXD,-0.8168581189645623
DXJ,0.634561977400222
DXJS,0.5792489950675553
EBND,0.4302331117241723
ECH,0.5323105811766942
ECNS,0.3881030874803115
EDC,0.6326668359948316
EDIV,0.601362604674337
EDV,-0.21678754218810795
EDZ,-0.6319368949733668
EELV,0.621774038934735
EEM,0.6339749818806091
EEMA,0.5823791787816555
EEMV,0.6171385869982258
EFA,0.7463951430674551
EFG,0.6968437629765614
EFV,0.7561253316373383
EFZ,-0.748348762948847
EIDO,0.5255613844540011
EMB,0.48407560824811396
EMHY,0.5403180917534791
EMLC,0.4452490208108834
ENFR,0.6622400489127298
ENOR,0.6407659038348328
ENZL,0.5395214342111591
EPHE,0.4953551479124974
EPI,0.5350035483665271
EPOL,0.5502177361784968
EPP,0.7005406375197685
EPS,0.820170835074335
EPV,-0.7272872290652579
EQWL,0.8148525933448253
ERX,0.6775575087589899
ERY,-0.6868157186090592
EUFN,0.7109632360188184
EUM,-0.6304873301763546
EURL,0.7247953785344058
EUSA,0.8632193633681291
EWA,0.6996623838115098
EWC,0.7439800812473113
EWD,0.6878488851232745
EWG,0.6928234217457402
EWH,0.4996531193336959
EWI,0.6566877762217096
EWJ,0.6337968587097361
EWL,0.6193410849463842
EWM,0.43602281406414567
EWP,0.6656923684729696
EWQ,0.7068633422930328
EWS,0.6010871294771194
EWT,0.5528076957097957
EWU,0.7106501078078433
EWV,-0.626908501065399
EWW,0.6021219986031197
EWX,0.6469631137069495
EWY,0.5876875006733943
EWZ,0.523443565509981
EWZS,0.4923521041146711
EZA,0.5633407076685336
EZU,0.7144494645071285
FAN,0.6182896337041449
FAS,0.8513179816453794
FAZ,-0.8508220447539058
FBT,0.5497434743158254
FCA,0.35467084143341077
FCG,0.6063727539366901
FCOM,0.6790067171418989
FDD,0.7061661615029639
FDIS,0.7563775704816432
FDL,0.8101412185716749
FDN,0.6041913545478992
FDT,0.7255071919891816
FEM,0.6177366892606169
FEMS,0.575199040012157
FENY,0.7019903629442755
FEZ,0.7190267983108779
FGD,0.7960240655703879
FHLC,0.6462939221384089
FIDU,0.8760775123933973
FIW,0.8583545950810294
FLOT,0.33032176201669755
FLRN,0.31923557786944473
FLTR,0.31975994837404526
FM,0.5110395761270292
FMAT,0.841577706939825
FMF,0.037164343248845516
FNCL,0.8673160984085979
FNDA,0.9710925968216245
FNDB,0.8928109809595673
FNDC,0.7633189535331694
FNDE,0.6357373419482417
FNDF,0.7714107038858548
FNDX,0.8784308419505259
FPE,0.47810381614676545
FRI,0.7047560864514899
FSTA,0.6034561326098427
FTA,0.8985787037938759
FTC,0.7091188104461077
FTCS,0.7451352528021744
FTEC,0.6622139054695279
FTGC,0.31908250719099573
FTQI,0.49947949189220603
FTRI,0.5913932359580114
FTSL,0.4315983688352947
FUTY,0.5005587913494135
FVD,0.828844716952225
FXH,0.6597800363760267
FXI,0.4505715662315717
FXL,0.6851357078778538
FXN,0.6944288779837818
FXO,0.8911338869328268
FXR,0.8897297542648077
FXU,0.6151260011833167
FXY,-0.1758264674348777
FXZ,0.8510379939061886
FYLD,0.7168570402897962
GCC,0.2884934593427203
GDX,0.16066520210728638
GDXJ,0.20544818845061041
GLD,0.010677419428232625
GLTR,0.15056891706902195
GMF,0.6007754109675244
GNR,0.7560491132761712
GOVI,-0.2022491355716058
GOVT,-0.20318112080378223
GREK,0.4931894483239743
GRID,0.6961347503689944
GRPM,0.9250335659825744
GSG,0.3474249180870038
GSY,0.13603988046917068
