ETF2,Correlation
AAXJ,0.7015794845534579
ACWI,0.9110199221586536
ACWV,0.8417153992521716
ACWX,0.8213950908002898
AFK,0.587393824411465
AGG,0.0732478142285914
AGQ,0.20128425797215121
AGZD,0.054895877361993646
AIA,0.6497562211201312
AMLP,0.533221829562049
ANGL,0.6086096247946093
AOA,0.8942305549279175
AOK,0.7488727054825853
AOM,0.810470880176855
AOR,0.8757180856302293
ARGT,0.5978143952771838
ASEA,0.606930603443075
ASHR,0.3954418283470173
BAB,0.018040452053160995
BIL,0.005824788890751868
BIV,-0.01078117085398546
BIZD,0.6027067960851501
BKLN,0.5961418635285644
BLV,0.012921249791008917
BND,0.08128661629433309
BNDX,0.08411848407205584
BNO,0.30267373919282026
BOIL,0.08399313510758424
BOND,0.1180433990794548
BRZU,0.5165777843983628
BSV,-0.0030742670863187793
BTAL,-0.31745760061127937
BWX,0.10646164182725129
BWZ,0.12247681849656646
BZQ,-0.4936104230864297
CANE,0.11958487956641398
CEMB,0.3465821900514951
CGW,0.8264100893307805
CHIQ,0.4979336755363717
CMBS,-0.04944724823406865
CMF,0.08000917929127502
COPX,0.6085834533978404
CORN,0.0748847407507191
CORP,0.18933577240661192
CPER,0.21637718877381262
CQQQ,0.5053063570180742
CURE,0.7830034202029647
CWB,0.8062878988257509
CWI,0.8222991320438737
CXSE,0.46871420186074914
DBA,0.20424710323295156
DBB,0.29128197582150317
DBC,0.34008248173243605
DBEF,0.7871470230309832
DBEU,0.7873358955503139
DBJP,0.6734782781305482
DBO,0.3136459375294184
DDM,0.9101230849887264
DEM,0.6893139678011888
DES,0.8281104614427105
DEW,0.837907857465795
DFJ,0.6657884613362162
DGP,-0.010080926096378924
DGRE,0.6765214991048847
DGRS,0.8214438832026505
DGRW,0.9193971433291313
DGS,0.7193340688485659
DHS,0.8435720317614933
DIA,0.9130121875905872
DIG,0.6268722624392254
DIV,0.7398068478190009
DJP,0.32905120082964634
DLN,0.9124001507593772
DLS,0.7938071306180955
DNL,0.7947321748282372
DOG,-0.9106823220159228
DON,0.8872769821192417
DRN,0.6783084557633745
DRV,-0.7071303122840196
DSI,0.9237146979588973
DTD,0.9127602865614861
DTH,0.7694952242906542
DUG,-0.6448562580076448
DUST,-0.12893952328205321
DVY,0.833632778427844
DVYE,0.6616298450969013
DWAS,0.7914126966178581
DWM,0.8021612945882775
DXD,-0.9117691737523024
DXJ,0.6744803318116596
DXJS,0.6318477076949335
EBND,0.4640437390737306
ECH,0.5340214898886636
ECNS,0.45039284376576616
EDC,0.721085677572652
EDIV,0.6673575680414896
EDV,-0.21340258401481563
EDZ,-0.7229359243646961
EELV,0.6827907813987983
EEM,0.7231662259371797
EEMA,0.689334512458181
EEMV,0.7101177600192491
EFA,0.8123849882710318
EFG,0.8058806985193581
EFV,0.7782883494258324
EFZ,-0.8156850535082786
EIDO,0.5867555662140518
EMB,0.5476649557591334
EMHY,0.6114644322374809
EMLC,0.47186662101561555
ENFR,0.6202801504637435
ENOR,0.6685393049038362
ENZL,0.6096017317284971
EPHE,0.5697896045525112
EPI,0.5945685738373988
EPOL,0.5827862453632354
EPP,0.7674676148070124
EPS,0.9293072329310089
EPV,-0.7870784325322064
EQWL,0.8972319278154713
ERX,0.6377851232099391
ERY,-0.6552732963966984
EUFN,0.7118071979302983
EUM,-0.7224155447332202
EURL,0.783877643217739
EUSA,0.9254675888268163
EWA,0.7605777841934329
EWC,0.7729501225885996
EWD,0.7421519392328243
EWG,0.7487385016540271
EWH,0.5672395961498263
EWI,0.6773341658891419
EWJ,0.7020758077048835
EWL,0.7168179842511296
EWM,0.49493847481027387
EWP,0.670197974895943
EWQ,0.7514279303377845
EWS,0.6589080517284224
EWT,0.6454819752785936
EWU,0.7442700684059959
EWV,-0.6966890937605802
EWW,0.6324590487577987
EWX,0.7209404901162312
EWY,0.6755925599245571
EWZ,0.5447702735316732
EWZS,0.49970677508980843
EZA,0.6088368368981295
EZU,0.764519400973067
FAN,0.6781525575546009
FAS,0.8618781531944962
FAZ,-0.8669279864681012
FBT,0.6502394249411397
FCA,0.4307653600501685
FCG,0.5059207310120251
FCOM,0.7464619903494953
FDD,0.7182409201685745
FDIS,0.8503604474651018
FDL,0.8199388865676281
FDN,0.7725466952947981
FDT,0.7959302310994741
FEM,0.686350623075937
FEMS,0.6431785289253638
FENY,0.6421107718584615
FEZ,0.7679556135344063
FGD,0.7942438334930226
FHLC,0.8015999209848765
FIDU,0.8902624387978897
FIW,0.8447831906411541
FLOT,0.3843372657951412
FLRN,0.35503319286754487
FLTR,0.34233824683558395
FM,0.5795363386001933
FMAT,0.8441598396638093
FMF,0.017334817247386163
FNCL,0.8410184906138617
FNDA,0.8731109480136144
FNDB,0.9189841260327368
FNDC,0.8120999426334723
FNDE,0.690174961477261
FNDF,0.8008793272024405
FNDX,0.9204368500730575
FPE,0.5299571529093567
FRI,0.6989658550495617
FSTA,0.6932209857997111
FTA,0.8790392483400926
FTC,0.8727838867682145
FTCS,0.8907708236456471
FTEC,0.8576107629247186
FTGC,0.3223011810664807
FTQI,0.5317108290425644
FTRI,0.5798288793778315
FTSL,0.4800204798766794
FUTY,0.5493099703930764
FVD,0.8587224524866992
FXH,0.8049795893119914
FXI,0.5231624950416899
FXL,0.8424720663735386
FXN,0.6161830736169273
FXO,0.8340972877325145
FXR,0.8854327057743943
FXU,0.6333462937231332
FXY,-0.1927023495346944
FXZ,0.8173651876084089
FYLD,0.7371530626404665
GCC,0.2818554561762579
GDX,0.15399042203454477
GDXJ,0.20047993784386675
GLD,0.019802206934673425
GLTR,0.16491496825510044
GMF,0.6960238402277035
GNR,0.7539146047533183
GOVI,-0.20186550698505065
GOVT,-0.21069391977102297
GREK,0.5329647462318052
GRID,0.740664760231327
GRPM,0.8736496671444746
GSG,0.33554442979082005
GSY,0.15913256824963684
GUNR,0.7306982580525433
GVI,-0.009843763510047253
GWX,0.7896854136976894
GXC,0.5463354041269549
HAUZ,0.6203883178244868
HDGE,-0.7913626822935508
HEDJ,0.7748387104824563
HYD,0.3855251311106042
HYEM,0.44831916658992377
HYG,0.7255695217541489
HYLS,0.549310611079643
HYMB,0.3406923418204082
HYS,0.685577339018695
HYZD,0.4340948905687585
IAI,0.807699032935048
IAK,0.771730922294317
IAT,0.7252018370404774
IAU,0.01971850491927257
IBB,0.6698763667999609
IBND,0.18292412551474072
ICF,0.6749896433390138
ICLN,0.6613039174147073
ICSH,0.13774752162484977
IDHQ,0.7375304788980622
IDLV,0.7742512177912547
IDMO,0.5618535752352778
IDU,0.5484882429446761
IDV,0.7642032282563567
IDX,0.5848799756838738
IEF,-0.19004410924393958
IEFA,0.8122406766185789
IEI,-0.15448453900301318
IEMG,0.7303990072864066
IEO,0.6128538039986369
IEV,0.7848947477960222
IEZ,0.5842921298223709
IGE,0.6838541487724876
IGF,0.7683479135229144
IGIB,0.24171945504771986
IGLB,0.2006243018949435
IGM,0.8463601602368259
IGOV,0.08117090072320518
IGPT,0.7422663600359931
IGSB,0.24545588730666343
IGV,0.7807175566985108
IHE,0.6908064047890603
IHF,0.7371313740077843
IHI,0.7875586888123082
IJH,0.9080313262526322
IJJ,0.8759999888637952
IJK,0.9070553375982952
IJR,0.8524802481808673
IJS,0.7899176366644433
IJT,0.873371675417763
ILCB,0.9188912092235841
ILCG,0.869406645362607
ILCV,0.886650258851367
ILF,0.6267812799184883
ILTB,0.02903942962395921
IMCB,0.9188997406476165
IMCG,0.8739799286264074
IMCV,0.863650775948288
INCO,0.5360308224701756
INDA,0.6233600809156986
INDL,0.594079126184081
INDY,0.5991961471225709
IOO,0.8804813317363642
ISCG,0.8479776910290442
ISHG,0.09653057591148326
ISTB,0.14633555805532683
ITA,0.7842812382085995
ITB,0.7241279866705695
ITM,0.1237604133637298
ITOT,0.9346492872615147
IUSV,0.9028376304353914
IVE,0.9013141681160459
IVOO,0.9076766090459604
IVV,0.9296633282710611
IVW,0.8838960959692527
IWB,0.9327359513937713
IWC,0.7993878009875315
IWD,0.9122873675825426
IWF,0.8774706103092549
IWL,0.9144098860667561
IWM,0.866446229439065
IWN,0.8367231182434325
IWO,0.8519143833475444
IWP,0.8830153884458566
IWR,0.9322450344144072
IWS,0.9072993707411626
IWV,0.9364472751302593
IWX,0.8953174641818811
IWY,0.8610820584792379
IXC,0.6555763536079661
IXJ,0.7938594478008844
IXN,0.8576866880686542
IXUS,0.8185314736045446
IYC,0.8759846550449728
IYE,0.6489536524657897
IYF,0.8642910946917551
IYG,0.8489905175282313
IYH,0.789450588787517
IYJ,0.9110868062023958
IYK,0.759110224581913
IYR,0.721756883782446
IYT,0.8240515847760164
IYY,0.9342019075338093
IYZ,0.7559214219703394
JDST,-0.16224323033847002
JNK,0.7196490489462328
JNUG,0.12497566434316404
JPXN,0.6731315601519713
JXI,0.6290851837096987
KBE,0.7370597463511052
KBWB,0.7615796567424241
KBWP,0.6942011738372973
KBWY,0.6617704021724342
KCE,0.8319185991418515
KIE,0.801777334773678
KOLD,-0.08690582679825673
KORU,0.6477647962952019
KRE,0.7034902450225656
KWEB,0.4531820351484964
LDUR,0.03382112701946145
LEMB,0.4621573287498996
LIT,0.6554957367757293
