ETF2,Correlation
AAXJ,0.7142100052299929
ACWI,0.9417160336383918
ACWV,0.8638479342568454
ACWX,0.8324612363287153
AFK,0.5865584759193427
AGG,0.07608703629555644
AGQ,0.2144245504428892
AGZD,0.06780027158820207
AIA,0.6662088042663278
AMLP,0.5118182730106142
ANGL,0.6274107703031634
AOA,0.9220448438603797
AOK,0.7678840098474875
AOM,0.8354572377834945
AOR,0.9031126548417532
ARGT,0.6140935201318256
ASEA,0.6175059129235165
ASHR,0.39508950606721616
BAB,0.025987330193342942
BIL,-0.0025088629540695926
BIV,-7.530727838876003e-05
BIZD,0.5822595680033633
BKLN,0.588142409754003
BLV,0.026613445963633922
BND,0.09162453254692798
BNDX,0.0937518183334421
BNO,0.30523607102614386
BOIL,0.08475770894095089
BOND,0.12288939712564738
BRZU,0.5138817271894027
BSV,-0.00019094765797975465
BTAL,-0.3093363499931469
BWX,0.10916535610479576
BWZ,0.12883659032020703
BZQ,-0.4940716334269694
CANE,0.11317431174382812
CEMB,0.35353259251110003
CGW,0.8403662207671762
CHIQ,0.501904688490874
CMBS,-0.026443936004906136
CMF,0.07537681883529494
COPX,0.6031969698079808
CORN,0.06464696765985285
CORP,0.20236280879004448
CPER,0.23913899023270185
CQQQ,0.5103942094609393
CURE,0.7948620286632112
CWB,0.8166179628445953
CWI,0.8334083132032455
CXSE,0.47544221807774545
DBA,0.19832455022692586
DBB,0.2929518067284519
DBC,0.34168688038807266
DBEF,0.7970305690239433
DBEU,0.7932558025636722
DBJP,0.6893269115651044
DBO,0.3123723034787257
DDM,0.9271215622181201
DEM,0.6901324570627185
DES,0.7905378679696119
DEW,0.8342001809066282
DFJ,0.6624429398385197
DGP,0.0014326992992562244
DGRE,0.6864426236417318
DGRS,0.7856559068188024
DGRW,0.9448262594456112
DGS,0.7236189149459646
DHS,0.8317826710150976
DIA,0.9288276637152815
DIG,0.5931125044865083
DIV,0.7050197731758416
DJP,0.3307431500222786
DLN,0.930469655777575
DLS,0.7946266832626976
DNL,0.8141182660842262
DOG,-0.9252438028281075
DON,0.8564321050888819
DRN,0.6877543875660255
DRV,-0.7136231714835461
DSI,0.9632082387003414
DTD,0.9229661462466763
DTH,0.7621634122668993
DUG,-0.6094123092396594
DUST,-0.13831887564098122
DVY,0.8160054944721599
DVYE,0.663192569951262
DWAS,0.7758346661334694
DWM,0.8044628468146199
DXD,-0.9273365594731136
DXJ,0.6823975760869673
DXJS,0.6387714101925037
EBND,0.4735620830293301
ECH,0.5265269746058093
ECNS,0.45335744007058987
EDC,0.7312808008740587
EDIV,0.6679934628676223
EDV,-0.20207206098306463
EDZ,-0.7341029112102176
EELV,0.6862006144331774
EEM,0.7344482899243404
EEMA,0.7029897327970444
EEMV,0.7180396032362495
EFA,0.824877652729747
EFG,0.8303923884009708
EFV,0.7759658610417816
EFZ,-0.826024865945953
EIDO,0.5883426002877796
EMB,0.550223894341855
EMHY,0.6107899674026228
EMLC,0.4811054419454063
ENFR,0.6010246023226857
ENOR,0.6705524404740683
ENZL,0.6145419292171338
EPHE,0.5639873627580203
EPI,0.600149154940497
EPOL,0.59559280329437
EPP,0.7726133985600449
EPS,0.9609867607393313
EPV,-0.7956210943538174
EQWL,0.915101905678256
ERX,0.6091520509588821
ERY,-0.6245401034414061
EUFN,0.7056227779709596
EUM,-0.7340413414908195
EURL,0.7931494377224908
EUSA,0.9322679798601787
EWA,0.7648169950113617
EWC,0.7811317509135783
EWD,0.7473580811822712
EWG,0.7539326653211421
EWH,0.5617895330941234
EWI,0.692136851281168
EWJ,0.712129725313016
EWL,0.7353411986164895
EWM,0.5075473192082931
EWP,0.6751892455902815
EWQ,0.7546341970978685
EWS,0.6728832940633076
EWT,0.6608284528618568
EWU,0.7492977903071177
EWV,-0.707984868405344
EWW,0.617428702898679
EWX,0.7283126445323278
EWY,0.6845205990913931
EWZ,0.5423636289898546
EWZS,0.499585807832416
