ETF2,Correlation
AAXJ,0.21021704073668318
ACWI,0.2399147455005678
ACWV,0.28109700616795946
ACWX,0.24763929891669167
AFK,0.1828010649954286
AGG,0.5090142100764729
AGQ,0.22812751811417634
AGZD,0.0012451975028233188
AIA,0.19813232085547036
AMLP,0.13095286900383782
ANGL,0.484463762332489
AOA,0.2734259528494644
AOK,0.4467714834501045
AOM,0.38898672634918335
AOR,0.307565972739862
ARGT,0.1647230585064741
ASEA,0.2755204593062798
ASHR,0.08915170417267801
BAB,0.571947796835732
BIL,0.18525796017495114
BIV,0.5624304634957255
BIZD,0.10371822108528617
BKLN,0.35519504883896436
BLV,0.4775511522055259
BND,0.6042961807875744
BNDX,0.39938170657570443
BNO,0.08964752632432334
BOIL,0.025212848969233
BOND,0.5980445381661107
BRZU,0.1879244007400683
BSV,0.6635162399621264
BTAL,-0.048625890184916136
BWX,0.2988448543239596
BWZ,0.278855049424732
BZQ,-0.15982364701783747
CANE,0.0817013470607115
CEMB,0.3787573324293382
CGW,0.2573400399576967
CHIQ,0.10382183069930695
CMBS,0.3869987377030992
CMF,0.29497074395917044
COPX,0.14466591369703233
CORN,0.02576201252251364
CORP,0.715330722600122
CPER,0.043292641135852884
CQQQ,0.09260901322014685
CURE,0.16407285114105308
CWB,0.3044694148943727
CWI,0.2451655428990676
CXSE,0.11288727971203218
DBA,0.08132625141181686
DBB,0.06679424147503603
DBC,0.10867163152360351
DBEF,0.1479986564474701
DBEU,0.17676540511836486
DBJP,0.08424335152988024
DBO,0.035435140343053374
DDM,0.21952898184494826
DEM,0.21563189153575363
DES,0.19728136585091718
DEW,0.24800107657150922
DFJ,0.1959655559285161
DGP,0.20219253629495032
DGRE,0.21620543574446918
DGRS,0.19805090982343693
DGRW,0.21620830430001747
DGS,0.27881625132228716
DHS,0.215462313333799
DIA,0.21976907191398187
DIG,0.11115541327506834
DIV,0.2520821053780089
DJP,0.126842763952738
DLN,0.22689399541291413
DLS,0.2797191052658705
DNL,0.2673373892307232
DOG,-0.22024217109956273
DON,0.21573878625064832
DRN,0.29184082996156874
DRV,-0.3000399473945848
DSI,0.21191214982275944
DTD,0.22312356943239167
DTH,0.25181830597807703
DUG,-0.11394264916077436
DUST,-0.1211549265159601
DVY,0.20198504479774113
DVYE,0.21261717979329456
DWAS,0.15477139014795305
DWM,0.2640868577871426
DXD,-0.22330210252333402
DXJ,0.0744839293482555
DXJS,0.05474302761340793
EBND,0.3572708858822634
ECH,0.13787642906670236
ECNS,0.11788297712997842
EDC,0.2093061564482665
EDIV,0.2435077703744321
EDV,0.27907254026848227
EDZ,-0.21253727206765888
EELV,0.2541899247146834
EEM,0.2109167140444709
EEMA,0.21182612110723067
