ETF2,Correlation
AAXJ,0.6365356314604198
ACWI,0.8379510950988476
ACWV,0.7471508832267845
ACWX,0.7749827744677195
AFK,0.5702099246282907
AGG,0.07468613933505809
AGQ,0.19964299080218154
AGZD,0.07802033891864639
AIA,0.5950105346977549
AMLP,0.5714772978230146
ANGL,0.5703534045111187
AOA,0.8415547837045387
AOK,0.7020694560211559
AOM,0.7633812631380226
AOR,0.820607013886055
ARGT,0.5796490906266353
ASEA,0.5703135134349755
ASHR,0.3478459364877981
BAB,0.013663392592344484
BIL,0.0019305371464639622
BIV,-0.011918314000498838
BIZD,0.6431632127564322
BKLN,0.536393068213779
BLV,0.001761443168098421
BND,0.06910911211341647
BNDX,0.06239083482096052
BNO,0.3071315102454266
BOIL,0.07691739220305922
BOND,0.1102061479935428
BRZU,0.49134156911121807
BSV,-0.0032776132192545446
BTAL,-0.38852110505950455
BWX,0.12455476623886243
BWZ,0.12838865042695752
BZQ,-0.47708836747909505
CANE,0.12495635229788306
CEMB,0.3167164422605964
CGW,0.8083814703859828
CHIQ,0.46253836207753535
CMBS,-0.03700521147261737
CMF,0.05672688891046363
COPX,0.5997558010558867
CORN,0.07706085414448152
CORP,0.17888727231472604
CPER,0.23506202704770063
CQQQ,0.4684614877988563
CURE,0.666725080359732
CWB,0.7600701617421615
CWI,0.775513859360054
CXSE,0.4262205361602329
DBA,0.20246892691606644
DBB,0.29436555059090447
DBC,0.3527370129899347
DBEF,0.7472889567011287
DBEU,0.7444627096398342
DBJP,0.6332882613947401
DBO,0.33275029169501597
DDM,0.8375404817157344
DEM,0.6471831552862699
DES,0.954481511176736
DEW,0.8198076371579645
DFJ,0.6288675828492869
DGP,-0.006530913749296768
DGRE,0.6242883437504485
DGRS,0.9296191166229112
DGRW,0.8275208773537338
DGS,0.6611979433644697
DHS,0.8278984512423819
DIA,0.8387491950556578
DIG,0.6612026001111342
DIV,0.7894448344820267
DJP,0.3363504198512777
DLN,0.8381259850071536
DLS,0.7663310979846364
DNL,0.7281054009646402
DOG,-0.8366175167895323
DON,0.9307829969405008
DRN,0.6879299149889231
DRV,-0.7051308968758636
DSI,0.8328596674352247
DTD,0.8603282513633054
DTH,0.7461212580905036
DUG,-0.6729770862783242
DUST,-0.13633157835838206
DVY,0.8477404540510463
DVYE,0.6227424676161244
DWAS,0.8735146213596267
DWM,0.7626173699787056
DXD,-0.8377169031879383
DXJ,0.6424006428705815
DXJS,0.5938638889320202
EBND,0.44026022680908944
ECH,0.5363063403494022
ECNS,0.41778464207493315
EDC,0.6647153060622081
EDIV,0.6152578671005435
EDV,-0.21062903479164496
EDZ,-0.664810905404397
EELV,0.6366412639022889
EEM,0.6657717205982786
EEMA,0.621996645545504
EEMV,0.6468726507704782
EFA,0.7733050014832692
EFG,0.7407048256790524
EFV,0.7645157658794572
EFZ,-0.775709093686516
EIDO,0.5364962726088822
EMB,0.5140278554497676
EMHY,0.5678037415717422
EMLC,0.45945944021391094
ENFR,0.6575602008844798
ENOR,0.6482611757899257
ENZL,0.5572846333368401
EPHE,0.5142443180119314
EPI,0.5565778826944878
EPOL,0.5633771100608254
EPP,0.720934161704319
EPS,0.8541374229785762
EPV,-0.7528153083062727
EQWL,0.840899698499299
ERX,0.6554407483199596
ERY,-0.6672567549172944
EUFN,0.7148726963135545
EUM,-0.6635745478215822
EURL,0.7501287232851355
EUSA,0.9009868480074846
EWA,0.7178035389488648
EWC,0.7580612477304652
EWD,0.7140162451249829
EWG,0.7176605672526299
EWH,0.5208883739655384
EWI,0.6711502665588635
