ETF2,Correlation
AAXJ,-0.7303037264592922
ACWI,-0.9677558337984331
ACWV,-0.8874207638676894
ACWX,-0.8556275670879154
AFK,-0.5943501320064113
AGG,-0.07158421882737319
AGQ,-0.20835348491650063
AGZD,-0.06794776221451825
AIA,-0.6789061679325913
AMLP,-0.5178738146742331
ANGL,-0.6235655352529558
AOA,-0.9486207348656873
AOK,-0.7901620386662591
AOM,-0.8603464414162937
AOR,-0.9279870904900545
ARGT,-0.6215856119618355
ASEA,-0.6278100618590101
ASHR,-0.4011925525500967
BAB,-0.015278936099948516
BIL,0.0069598416938737705
BIV,0.0020071584301751787
BIZD,-0.5810438749902483
BKLN,-0.5860478964016415
BLV,-0.020915218586626014
BND,-0.0884787793508327
BNDX,-0.08764054231868336
BNO,-0.313899461617249
BOIL,-0.08424443106123498
BOND,-0.11474108666181432
BRZU,-0.5256820429219982
BSV,0.003738226082366585
BTAL,0.3077770626846847
BWX,-0.1088734009977315
BWZ,-0.13013172637912837
BZQ,0.5026154432862446
CANE,-0.1125823244723865
CEMB,-0.343686916211408
CGW,-0.8588383678505337
CHIQ,-0.5100480238888051
CMBS,0.03412901856858889
CMF,-0.07641203882473088
COPX,-0.6099645322963905
CORN,-0.06348563400605028
CORP,-0.20906764865675936
CPER,-0.228287228579953
CQQQ,-0.5166980212900498
CURE,-0.8268626310473479
CWB,-0.8326871516284586
CWI,-0.8546988644071144
CXSE,-0.4727964420560175
DBA,-0.1930508494284946
DBB,-0.29801486063000726
DBC,-0.3462482099575935
DBEF,-0.8238436578399458
DBEU,-0.820581078761536
DBJP,-0.7112558993577173
DBO,-0.3230532520197467
DDM,-0.953975745419866
DEM,-0.7088233665876693
DES,-0.8051298455791279
DEW,-0.8532822850554329
DFJ,-0.6803379594449692
DGP,0.0016092521711310725
DGRE,-0.7017321040299277
DGRS,-0.78985043543058
DGRW,-0.9699890292820681
DGS,-0.7444892721488905
DHS,-0.8553459969640782
DIA,-0.954353914335947
DIG,-0.6114862865247629
DIV,-0.7139962857611847
DJP,-0.3335899139015275
DLN,-0.9569506079095096
DLS,-0.814377864883975
DNL,-0.8280643912049463
DOG,0.9522466804415214
DON,-0.8708131408281852
DRN,-0.7012385179854914
DRV,0.7247313885185462
DSI,-0.9885403046256153
DTD,-0.947001192941438
DTH,-0.7852340795350569
DUG,0.627261994559906
DUST,0.14444627852125572
DVY,-0.836058483182118
DVYE,-0.6811100263353103
DWAS,-0.7894541866297519
DWM,-0.8303048556553659
DXD,0.954064048870907
DXJ,-0.7011625676207103
DXJS,-0.6566413131315924
EBND,-0.48254154612410216
ECH,-0.5317584553992949
ECNS,-0.45750492772240536
EDC,-0.7510326801033088
EDIV,-0.6812098511179895
EDV,0.20925016420236256
EDZ,0.7543580748366336
EELV,-0.7041161325638656
EEM,-0.7525884128367236
EEMA,-0.7143502395435082
EEMV,-0.7377366621225591
