ETF2,Correlation
AAXJ,-0.661400978082213
ACWI,-0.8571639449801866
ACWV,-0.7461201911232179
ACWX,-0.7878692568620909
AFK,-0.576129165863105
AGG,-0.09296893681347718
AGQ,-0.21255150676069348
AGZD,-0.07712406383767108
AIA,-0.6229099340226258
AMLP,-0.5637671206379644
ANGL,-0.5794225351652448
AOA,-0.864488128871458
AOK,-0.7290784778643069
AOM,-0.790608874122395
AOR,-0.8460704690686041
ARGT,-0.6087221367801704
ASEA,-0.5648046075205758
ASHR,-0.35223617402779056
BAB,-0.0184799679578654
BIL,0.0015477911313287276
BIV,-0.009185274529607703
BIZD,-0.628995078776984
BKLN,-0.5247067648165105
BLV,-0.02438283354437755
BND,-0.08830400696354936
BNDX,-0.07111098999817574
BNO,-0.3013760706793371
BOIL,-0.07711574130199739
BOND,-0.11864449640591374
BRZU,-0.4883878550570825
BSV,-0.01328211600997484
BTAL,0.4027952111942245
BWX,-0.14363980367879928
BWZ,-0.14537264908294434
BZQ,0.4741472409095003
CANE,-0.11687725742360917
CEMB,-0.31922356355632153
CGW,-0.8110950707422099
CHIQ,-0.5003825460416378
CMBS,0.035524728957062414
CMF,-0.06077472479937563
COPX,-0.6031382763208629
CORN,-0.068623221984367
CORP,-0.19751255553417038
CPER,-0.23127973821959252
CQQQ,-0.5029922263686587
CURE,-0.6836256695609383
CWB,-0.8124528944355507
CWI,-0.7888279836606328
CXSE,-0.4513317779802725
DBA,-0.19064875080446303
DBB,-0.302719200771262
DBC,-0.348315112028145
DBEF,-0.7515154185689044
DBEU,-0.7464569960194183
DBJP,-0.6427855504358256
DBO,-0.3256000325288276
DDM,-0.8354892543153372
DEM,-0.6508784406990789
DES,-0.9314057126118516
DEW,-0.8025514780367917
DFJ,-0.6344927342732989
DGP,-0.008444044164581693
DGRE,-0.6375991537467689
DGRS,-0.8931855224130926
DGRW,-0.8299099171869468
DGS,-0.6729424428474378
DHS,-0.8038875536282059
DIA,-0.8337783212958438
DIG,-0.645535442303705
DIV,-0.7574370631412419
DJP,-0.3344056170706908
DLN,-0.8317093300028817
DLS,-0.7764597534295299
DNL,-0.7417982604844124
DOG,0.8335132793215644
DON,-0.9100553728087579
DRN,-0.6874240804491035
DRV,0.6951216341406624
DSI,-0.8548726143811134
DTD,-0.8524848678808473
DTH,-0.7421487882307519
DUG,0.6546023360433394
DUST,0.15364514995336467
DVY,-0.8165807488638525
DVYE,-0.6280685585766055
DWAS,-0.9135638997096769
DWM,-0.7672014487545628
DXD,0.8344927276358622
DXJ,-0.6451983040500202
DXJS,-0.5963852353064365
EBND,-0.46140684928828857
ECH,-0.5259762722000821
ECNS,-0.4383847411095179
EDC,-0.6867659788950149
EDIV,-0.6160840082636478
EDV,0.18767394882147348
EDZ,0.6872945571946782
EELV,-0.6423694238140488
EEM,-0.6847798797834539
EEMA,-0.6449372301663973
EEMV,-0.6612299948928596
EFA,-0.782688299859345
EFG,-0.7658850072903282
EFV,-0.7586938586020379
EFZ,0.7866632643432866
EIDO,-0.5343743587958857
EMB,-0.52633834416679
EMHY,-0.5649124775540695
EMLC,-0.47387454327134676
ENFR,-0.6414389292863499
ENOR,-0.6454800205232779
ENZL,-0.5557885265840892
EPHE,-0.5065452548805107
EPI,-0.5603502955109959
EPOL,-0.5750530414807777
EPP,-0.7267340003695199
EPS,-0.8589321311551638
EPV,0.7619035685361348
EQWL,-0.8307745439268661
ERX,-0.6417442216894972
ERY,0.6499822277630459
EUFN,-0.7046249505027757
EUM,0.6854902572854292
EURL,-0.7586031729847211
EUSA,-0.9050993159822298
EWA,-0.7189620032061683
EWC,-0.7675026684939155
EWD,-0.7216685778687256
EWG,-0.7279077574620579
EWH,-0.5232110144703345
EWI,-0.6762328814200291
EWJ,-0.6781186235662017
EWL,-0.6624061988585656
EWM,-0.4536798689763057
EWP,-0.6637177581127048
EWQ,-0.7293198206967516
EWS,-0.633257693403334
EWT,-0.606685722174649
EWU,-0.7158925697429083
EWV,0.6715264061548145
EWW,-0.5982275310644403
EWX,-0.6778774395631024
EWY,-0.62658199107559
EWZ,-0.5149933479462654
EWZS,-0.4920387425442373
EZA,-0.5875626475020722
EZU,-0.747087919140155
FAN,-0.6743603552317485
FAS,-0.8437322138981794
FAZ,0.8429735766231384
FBT,-0.6883882314066424
FCA,-0.3808548212585284
FCG,-0.5758528540657736
FCOM,-0.7396563501674673
FDD,-0.699364737767525
FDIS,-0.8414552802015529
FDL,-0.7679661146269634
FDN,-0.7500610902201712
FDT,-0.7675570010000873
FEM,-0.6527959025112393
FEMS,-0.6083588218802455
FENY,-0.6560401628193526
FEZ,-0.7472052804836976
FGD,-0.778351298751842
FHLC,-0.737943850271039
FIDU,-0.8822753362375716
FIW,-0.8802891219068454
FLOT,-0.31398353476665475
FLRN,-0.299494109560789
FLTR,-0.2924493162893371
FM,-0.5299975173474533
FMAT,-0.8421325118430221
FMF,-0.03357819085727719
FNCL,-0.8432780853712128
FNDA,-0.9682754989126253
FNDB,-0.895958079819392
FNDC,-0.7933227955910437
FNDE,-0.6574406768903531
FNDF,-0.7812236814867193
FNDX,-0.8831299657971541
FPE,-0.47220912986219504
FRI,-0.6983479550504459
FSTA,-0.5971448506479449
FTA,-0.8679380642611567
FTC,-0.8293108372306924
FTCS,-0.7882728655575015
FTEC,-0.7771565086511059
FTGC,-0.31677209867061523
FTQI,-0.5458892891811736
FTRI,-0.5843064853912247
FTSL,-0.4344402002219005
FUTY,-0.4769097662591318
FVD,-0.8103645485084146
FXH,-0.7707332426678127
FXI,-0.5064351190230743
FXL,-0.815475795969229
FXN,-0.6625080696296138
FXO,-0.8592611655943234
FXR,-0.9031844445559953
FXU,-0.5841860329650987
FXY,0.17417045964875313
FXZ,-0.8387778590848468
FYLD,-0.7182967134259705
GCC,-0.2875065676893856
GDX,-0.18545846602075822
GDXJ,-0.22832704085524289
GLD,-0.03323516209949953
GLTR,-0.17469200031616763
GMF,-0.6587886865786836
GNR,-0.7437758643176764
GOVI,0.17610571744373874
GOVT,0.17105595603314516
GREK,-0.5133221571045832
GRID,-0.7409269495733461
GRPM,-0.9304500996978687
GSG,-0.336041673038668
GSY,-0.12133977971759802
GUNR,-0.724965261916406
GVI,-0.012991828512760196
GWX,-0.7712979840594363
GXC,-0.5240094161419976
HAUZ,-0.5976638997980911
HDGE,0.8721058040643648
HEDJ,-0.7345374829098231
HYD,-0.3118110789886548
HYEM,-0.41791726266294066
HYG,-0.703490233364293
HYLS,-0.5491848215692716
HYMB,-0.2564125146580778
HYS,-0.6627286318192716
HYZD,-0.42612581705457764
IAI,-0.82146835414361
IAK,-0.7539592234459772
IAT,-0.7870014236657927
IAU,-0.03342393083197131
IBB,-0.7035476651537214
IBND,-0.19502901907558076
ICF,-0.6479161528002257
ICLN,-0.7045122517972485
ICSH,-0.07167699598604779
IDHQ,-0.6831518763401193
IDLV,-0.7184711937440467
IDMO,-0.5384062704225338
IDU,-0.47395146429412566
IDV,-0.7384148350728876
IDX,-0.5364775734129814
IEF,0.16006230110572342
IEFA,-0.7834681447111491
IEI,0.12444502828170294
IEMG,-0.6897939228209284
IEO,-0.6466748921085558
IEV,-0.7571507739985383
IEZ,-0.6420932524006904
IGE,-0.7021173940601206
IGF,-0.7278894464044549
IGIB,-0.24243450167251912
IGLB,-0.20379397579091557
IGM,-0.7710802600918767
IGOV,-0.10875339457000777
IGPT,-0.7391285816346334
IGSB,-0.23862034703608082
IGV,-0.7348121809731463
IHE,-0.6762736580129352
IHF,-0.6943757121891653
IHI,-0.722303727910489
IJH,-0.9577857245119465
IJJ,-0.9359128886922597
IJK,-0.948366547564047
IJR,-0.978809722058231
IJS,-0.9418567504564056
IJT,-0.9769449613122835
ILCB,-0.8502152568231777
ILCG,-0.7913922270394083
ILCV,-0.8375380629921545
ILF,-0.6047477403242725
