ETF2,Correlation
AAXJ,0.1929953985865836
ACWI,0.18408039004415938
ACWV,0.26237210337271694
ACWX,0.20097171683220436
AFK,0.13895804453648233
AGG,0.37080441953410587
AGQ,0.1606950759576267
AGZD,0.003869255591324499
AIA,0.1735501519188543
AMLP,0.08461037429788226
ANGL,0.45059901189848645
AOA,0.20934665551136566
AOK,0.3501330622412408
AOM,0.3135750920755955
AOR,0.24298305843548615
ARGT,0.14557071467660954
ASEA,0.27798426130172366
ASHR,0.05702945880669659
BAB,0.5711365839770984
BIL,0.09092296144803313
BIV,0.41251962780646545
BIZD,0.1665822145680889
BKLN,0.44288085663788046
BLV,0.41279428447065236
BND,0.4330159192615345
BNDX,0.3230967515694735
BNO,0.03998762214807495
BOIL,0.004262618570872034
BOND,0.42715204945289176
BRZU,0.15264011279540082
BSV,0.5243600620379879
BTAL,0.002935578491706964
BWX,0.2546694593703063
BWZ,0.22386216690656233
BZQ,-0.13345660998040507
CANE,0.06810263265500281
CEMB,0.3956661073164553
CGW,0.22309732500861804
CHIQ,0.11577812728524417
CMBS,0.263327749305751
CMF,0.37920431493017914
COPX,0.10963101943867971
CORN,-0.0035364400398576693
CORP,0.49320556979937324
CPER,0.042522544218222866
CQQQ,0.0755079238537682
CURE,0.1609226401031205
CWB,0.272845831799648
CWI,0.2003002406973761
CXSE,0.11080811421800778
DBA,0.02661204402298216
DBB,0.04547892498178528
DBC,0.04808764755941065
DBEF,0.09266267909707353
DBEU,0.10445929460572452
DBJP,0.03973467410899248
DBO,-0.025829261361649064
DDM,0.18618487007069146
DEM,0.17599782616175794
DES,0.14079651615293468
DEW,0.1948110666548404
DFJ,0.13626960695341953
DGP,0.18219747098784966
DGRE,0.20125039718099275
DGRS,0.12223535084939478
DGRW,0.17480468985461456
DGS,0.24372162544847686
DHS,0.1932972842099286
DIA,0.17971483623053788
DIG,0.12336809377772556
DIV,0.21969625222534164
DJP,0.06810815529863264
DLN,0.18069522163128718
DLS,0.21427900341116632
DNL,0.17747624340540932
DOG,-0.18115668933900084
DON,0.1741645490778422
DRN,0.23456068976514968
DRV,-0.2408607617972759
DSI,0.16740129592191716
DTD,0.1845331193524628
DTH,0.18661090706870012
DUG,-0.11534757901521218
DUST,-0.1473321266550089
DVY,0.19094689901806025
DVYE,0.17613873874656144
DWAS,0.08230135133938098
DWM,0.19266613737890592
DXD,-0.18667485949189475
DXJ,0.03701286704795414
DXJS,0.02727911775671145
EBND,0.2984772495162527
ECH,0.10879930900134142
ECNS,0.10757829476029372
EDC,0.18575283585771268
EDIV,0.21214029966514247
EDV,0.2774920228923328
EDZ,-0.18429816664075355
EELV,0.24544338588284262
EEM,0.183718146165712
EEMA,0.19629781206415012
EEMV,0.2300791842338875
EFA,0.1879864699874807
EFG,0.1901468651144157
EFV,0.17937620523390857
EFZ,-0.18360919999063188
EIDO,0.22956787421079936
EMB,0.3572836756040121
EMHY,0.34408898401255417
EMLC,0.29578076845451146
ENFR,0.16049975935623798
ENOR,0.09162950284784964
ENZL,0.21660894167640427
EPHE,0.2064588535891017
EPI,0.19674408255702489
EPOL,0.13159753959525666
EPP,0.19935904327488455
EPS,0.17361403687918534
EPV,-0.18219428662849227
EQWL,0.15726179002432183
ERX,0.14098384320873975
ERY,-0.13851202513542965
EUFN,0.14556243855269477
EUM,-0.18912453783108482
EURL,0.19247629127194343
EUSA,0.1824697630529617
EWA,0.18211323928178183
EWC,0.20992336637455739
EWD,0.13833149261948702
EWG,0.1947541439073268
EWH,0.16161789961213732
EWI,0.1397252157977902
EWJ,0.15074296278150956
EWL,0.15906406391242778
EWM,0.23251088589140337
EWP,0.13858175182569724
EWQ,0.20875431054201038
EWS,0.2168873496126566
EWT,0.1801775165352628
EWU,0.18179104042644523
EWV,-0.15013673565151944
EWW,0.14110758436598733
EWX,0.2242104024071244
EWY,0.2486649184146056
EWZ,0.14866575308022706
EWZS,0.15287818158182628
EZA,0.20276335607890217
EZU,0.1840282479836968
FAN,0.23342054878369647
FAS,0.1487393741601403
FAZ,-0.1525337961172815
FBT,0.06851108258544783
FCA,0.11816521971208271
FCG,0.015237493844709234
FCOM,0.11302218266839234
FDD,0.20161806723894415
FDIS,0.14332905438215812
FDL,0.19401386527150313
FDN,0.10963639351620866
FDT,0.201890858888224
FEM,0.17746634501595368
FEMS,0.1890681259839957
FENY,0.1115007730562484
FEZ,0.1850521377326359
FGD,0.1982587161942845
FHLC,0.1574349355951464
FIDU,0.17622123704336298
FIW,0.17678993850634234
FLOT,0.47887471527909903
FLRN,0.3705956377454818
FLTR,0.18634163175827
FM,0.12581444122837035
FMAT,0.13827321534563322
FMF,-0.04492252005367261
FNCL,0.13527100351823076
FNDA,0.13158959654133548
FNDB,0.15065502265171615
FNDC,0.21207478609533087
FNDE,0.1582366192151488
FNDF,0.18820534434012312
FNDX,0.1694377676792258
FPE,0.2887688671884582
FRI,0.2235227523364722
FSTA,0.17008387020146568
FTA,0.1740075631648155
FTC,0.15246519948302223
FTCS,0.19314277623834122
FTEC,0.14159142509480413
FTGC,0.09455406163081907
FTQI,0.06691488319473507
FTRI,0.07352627111867668
FTSL,0.4375315289912302
FUTY,0.2528872333513795
FVD,0.20685619002769765
FXH,0.13600431161855436
FXI,0.11962290599884702
FXL,0.13416907888875287
FXN,0.06516927601146619
FXO,0.1421006804380163
FXR,0.1686719631548864
FXU,0.2131108613207083
FXY,0.18847230159232495
FXZ,0.12320174776024866
FYLD,0.1531445264188533
GCC,0.05607800098491592
GDX,0.1472757195277489
GDXJ,0.178632054053454
GLD,0.21207260300862493
GLTR,0.2247112618982581
GMF,0.1816695241571459
GNR,0.1525546460818208
GOVI,0.26618873970191026
GOVT,0.30171905521911163
GREK,0.07267855433657473
GRID,0.16135757523315106
