ETF2,Correlation
AAXJ,0.15567138417603485
ACWI,0.21766467107471235
ACWV,0.12563788961894803
ACWX,0.19847546585824746
AFK,0.12208241338521324
AGG,-0.8013191782940028
AGQ,-0.13643207090765752
AGZD,0.09521820139191964
AIA,0.13176735378117144
AMLP,0.18338260055442532
ANGL,-0.07012186073359326
AOA,0.1523548164509862
AOK,-0.23705922144150282
AOM,-0.0950190057817749
AOR,0.06815285537386137
ARGT,0.11571349475208058
ASEA,0.1301592008615857
ASHR,0.12523233038479645
BAB,-0.7086243342388159
BIL,-0.0020516273222723415
BIV,-0.8218820181877259
BIZD,0.14749778891542428
BKLN,0.10470610900485325
BLV,-0.901737187100998
BND,-0.792490802641424
BNDX,-0.6187491427437309
BNO,0.202844665671233
BOIL,0.04049740648956403
BOND,-0.7152836101557176
BRZU,0.11830429392517508
BSV,-0.6394947691857499
BTAL,-0.11663368675041028
BWX,-0.5029296613745587
BWZ,-0.24677564982866146
BZQ,-0.11693972165067039
CANE,0.05471444339912827
CEMB,-0.21478016066847866
CGW,0.1294235001751819
CHIQ,0.11636356559364894
CMBS,-0.49324436456182036
CMF,-0.22702322967888594
COPX,0.2092322843448341
CORN,0.04901473321424267
CORP,-0.6470889980766993
CPER,0.11447483663330996
CQQQ,0.11841768095414475
CURE,0.17613646495422128
CWB,0.11032829614857423
CWI,0.19937918171312224
CXSE,0.09679961658703343
DBA,0.11439957160519448
DBB,0.10009543432992186
DBC,0.17069211452843766
DBEF,0.3056715179286107
DBEU,0.27806073317827035
DBJP,0.31420500997203915
DBO,0.22201169011871733
DDM,0.25225629221985507
DEM,0.17546999819824294
DES,0.23119667953546968
DEW,0.22101618556257044
DFJ,0.1336632687666228
DGP,-0.28593500958051615
DGRE,0.15876309155272153
DGRS,0.259624070869549
DGRW,0.22834079655695788
DGS,0.14068514922894562
DHS,0.2109371290008741
DIA,0.25792752281100384
DIG,0.2653520831632534
DIV,0.12657454658749803
DJP,0.11891319412897934
DLN,0.24032058008439763
DLS,0.1654619118144323
DNL,0.14498634542586572
DOG,-0.25240830212579324
DON,0.23300629468692943
DRN,-0.035328782358649204
DRV,0.004163793935610979
DSI,0.20355562295807192
DTD,0.23849795302185064
DTH,0.2172187617916093
DUG,-0.2740651394806344
DUST,0.1773230183847643
DVY,0.21850324802304516
DVYE,0.16066119787338423
DWAS,0.18761518575073177
DWM,0.20277116796425682
DXD,-0.25342905309208086
DXJ,0.33607046080814457
DXJS,0.3062254618591095
EBND,-0.143229719535887
ECH,0.11991297882283387
ECNS,0.12608137829879987
EDC,0.1631547991087758
EDIV,0.17250499306972392
EDV,-0.9754475633230892
EDZ,-0.16356189531544202
EELV,0.1308514994645456
EEM,0.16845723560038733
EEMA,0.15221111738027307
EEMV,0.15215879463259485
EFA,0.20064885807481844
EFG,0.1384953539017755
EFV,0.2458382679935031
EFZ,-0.19928708795653588
EIDO,0.12638073217412032
EMB,-0.2863647022911849
EMHY,-0.08520150937363917
EMLC,-0.09731301972098326
ENFR,0.1715638951700648
ENOR,0.22992546367795952
ENZL,0.04519789086413879
EPHE,0.08639359547567038
EPI,0.15331977042714595
EPOL,0.12191958834661829
EPP,0.17731492393093196
EPS,0.24532078673643998
EPV,-0.19965264582623385
EQWL,0.23726212105208985
ERX,0.2710625343925831
ERY,-0.2783169212436587
EUFN,0.28897211032379805
EUM,-0.16304644326354803
EURL,0.19590883172274015
EUSA,0.20675967440415294
EWA,0.168026614694704
EWC,0.18014032246165854
EWD,0.19206998584503282
EWG,0.18507034073163486
EWH,0.1687616377749691
EWI,0.2181246034982382
EWJ,0.14645013898249098
EWL,0.11288849942298212
EWM,0.1054190196584005
EWP,0.22068813310188803
EWQ,0.19649170768819746
EWS,0.15208980906984695
EWT,0.1284351946529614
EWU,0.23287870953971726
EWV,-0.1422771454058035
EWW,0.13678914562216837
EWX,0.1605768936493175
EWY,0.12801384424041864
EWZ,0.13552943250505095
EWZS,0.08727243719776703
EZA,0.09313508971055345
EZU,0.20067499390828755
FAN,0.08329380146009584
FAS,0.3028263047546022
FAZ,-0.30623210194230654
FBT,0.10522228755957813
FCA,0.13220265423974037
FCG,0.24467485057550972
FCOM,0.13592414681891368
FDD,0.2005851960967741
FDIS,0.15104110265183457
FDL,0.21729380301492912
FDN,0.11180939624253047
FDT,0.1831925662635504
FEM,0.16873780196626986
FEMS,0.1584690600012256
FENY,0.27735192715288637
FEZ,0.202352589343986
FGD,0.23868500744118953
FHLC,0.17192024728844127
FIDU,0.25492360073503983
FIW,0.17816880939243576
FLOT,0.02169902152113734
FLRN,0.012848680978701866
FLTR,0.05044983271695089
FM,0.15073866774987238
FMAT,0.2399103553884208
FMF,0.025994940566482223
FNCL,0.3274721983982676
FNDA,0.232861287254146
FNDB,0.2688374423288566
FNDC,0.17408203057756705
FNDE,0.19570265203430942
FNDF,0.23631704520211336
FNDX,0.2696387489131981
FPE,0.0004305170399418358
FRI,0.014185238803073059
FSTA,0.12441822243951443
FTA,0.26990477838872956
FTC,0.15736358647273907
FTCS,0.20748816526469652
FTEC,0.1640821224422731
FTGC,0.12933096190846874
FTQI,0.09776337588481791
FTRI,0.22083572266686677
FTSL,0.03636123998662498
FUTY,-0.02983778114839293
FVD,0.1906832263676975
FXH,0.1435847603346145
FXI,0.1315730590447633
FXL,0.15317636370588206
FXN,0.2714938911574583
FXO,0.28068202790672847
FXR,0.2432496942359349
FXU,0.0320536375488025
FXY,-0.4222873002893104
FXZ,0.2578645023993019
FYLD,0.2347173302051442
GCC,0.11956336585779433
GDX,-0.1940522190189946
GDXJ,-0.16456414974493816
GLD,-0.3117931916067339
GLTR,-0.2077315321807498
GMF,0.16336907221925007
GNR,0.2457777691694756
GOVI,-0.9528493888834939
GOVT,-0.9093012279178034
GREK,0.19786449402108353
GRID,0.14647009815541925
GRPM,0.2345220523283312
GSG,0.19466895901314057
GSY,-0.1496938536798925
GUNR,0.22517313120605387
GVI,-0.7289838575382571
GWX,0.14885645457637853
GXC,0.13649370189046015
HAUZ,0.0678906839760667
HDGE,-0.18788757249450228
HEDJ,0.2636896582703107
HYD,-0.17621360597472685
HYEM,-0.06985439096740931
HYG,-0.0003325688220863149
HYLS,-0.03313010075045817
HYMB,-0.16889627720111258
HYS,0.02537885860805951
HYZD,0.14873376165220956
IAI,0.316721707958656
IAK,0.3205731226396655
IAT,0.34092725608263824
IAU,-0.3112873505644225
IBB,0.11107414284247843
IBND,-0.32562518365070625
ICF,-0.01391741478959313
ICLN,0.0813384828581162
ICSH,-0.05561136660450714
IDHQ,0.13676314007350315
IDLV,0.13066363024824348
IDMO,0.13356331547804257
IDU,-0.03256621586203639
IDV,0.21681536102995874
IDX,0.11662656781996965
IEF,-0.9083788777739377
IEFA,0.19586649107413712
IEI,-0.7983386663307445
IEMG,0.16958382301688082
IEO,0.2708429168053493
IEV,0.20638038828572478
IEZ,0.2789052297932107
IGE,0.2452823430490052
IGF,0.10486537558122115
IGIB,-0.6170194602102402
IGLB,-0.7254723846325147
IGM,0.15189262073832022
IGOV,-0.5219530263387646
IGPT,0.10608347159639256
IGSB,-0.3882600704841841
IGV,0.11045851637318105
IHE,0.1701296130642536
IHF,0.19623717545552014
IHI,0.12619838328920815
IJH,0.22629326095061872
IJJ,0.24854072947592168
IJK,0.18882630765288122
IJR,0.2257390142314426
IJS,0.21131294315478322
IJT,0.22173418366502623
ILCB,0.21231092158117448
ILCG,0.14969032246044747
ILCV,0.26467738910887617
ILF,0.16775761873832234
