ETF2,Correlation
AAXJ,0.03918777754078059
ACWI,0.04869823855415378
ACWV,0.07948966064297942
ACWX,0.07642856323415595
AFK,0.13890319008735902
AGG,0.7227929428896773
AGQ,0.30653877177235433
AGZD,-0.05498064543820519
AIA,0.041665807292419664
AMLP,0.11750784530720357
ANGL,0.2735932383451591
AOA,0.10868717952707649
AOK,0.3911659701694706
AOM,0.28554654914855626
AOR,0.17199806339833912
ARGT,0.11109759596379973
ASEA,0.064926842783623
ASHR,0.0072196497998468345
BAB,0.51630552564246
BIL,0.10078196337551262
BIV,0.7411302290924263
BIZD,0.103596835692959
BKLN,0.04077161838034687
BLV,0.6367312591865405
BND,0.6827304601411945
BNDX,0.5044779474239263
BNO,0.1417688639710089
BOIL,0.01796418927000347
BOND,0.6351336289474931
BRZU,0.08039383716008651
BSV,0.6806752336126191
BTAL,-0.02485256733024399
BWX,0.5490512604703607
BWZ,0.3611437241989393
BZQ,-0.05284356654252409
CANE,0.050216355003505075
CEMB,0.3343293465424986
CGW,0.10240895522582652
CHIQ,0.0020804088915568515
CMBS,0.43859737187125547
CMF,0.1843250318295387
COPX,0.07289836119900368
CORN,0.0398639244906094
CORP,0.5827926347977274
CPER,0.018405845064181046
CQQQ,0.005270025916073404
CURE,-0.012024494584156655
CWB,0.10715348238853162
CWI,0.0894571439554563
CXSE,0.02025760997627795
DBA,0.051038907967184605
DBB,0.1023568375233829
DBC,0.18342499734451168
DBEF,-0.05770995022053695
DBEU,-0.027723113048800395
DBJP,-0.12509440602599628
DBO,0.13022818757513144
DDM,0.0002745771420960104
DEM,0.08694755426736991
DES,0.024334444034999046
DEW,0.0693400211538712
DFJ,0.05088030676141781
DGP,0.3826468129090106
DGRE,0.062226011093038
DGRS,-0.01866524791291287
DGRW,0.0009440001307315227
DGS,0.0834522793697056
DHS,0.04219447806471033
DIA,-0.0050782302272193705
DIG,0.08337207166003657
DIV,0.1431671948481961
DJP,0.21448999837264912
DLN,0.011322025973448866
DLS,0.10727292027826128
DNL,0.09794979277085566
DOG,0.004904638793112644
DON,0.0382738458850352
DRN,0.19958644831861724
DRV,-0.1620668009051042
DSI,0.027077839178635488
DTD,0.020033490490952512
DTH,0.08247752604748175
DUG,-0.07492072530379823
DUST,-0.3101783251507583
DVY,0.03090304067153872
DVYE,0.08157268289971469
DWAS,0.06662963162508631
DWM,0.07724097551324645
DXD,0.004128893353019
DXJ,-0.13961241128614374
DXJS,-0.12449230897410359
EBND,0.3162738278487794
ECH,0.09565063153803514
ECNS,0.00982704799554195
EDC,0.06145588992372103
EDIV,0.060761500720644256
EDV,0.5821771626038841
EDZ,-0.059387419616730525
EELV,0.10957398615550484
EEM,0.05397001120625472
EEMA,0.03820333327107279
EEMV,0.0724521758288404
EFA,0.0746308759143085
EFG,0.10001942087109301
EFV,0.049819601197984814
EFZ,-0.07587926327722817
EIDO,0.0438343861574334
EMB,0.4653263054783055
EMHY,0.30540037333185294
EMLC,0.3073779697350898
ENFR,0.1517671644943137
ENOR,0.10139338202485272
ENZL,0.12606870632455322
EPHE,0.056198352349685315
EPI,0.00468608655034002
EPOL,0.08843825832212149
EPP,0.07050655989582393
EPS,0.005892272691402624
EPV,-0.08316170026282073
EQWL,0.026189488893886063
ERX,0.07975199630881426
ERY,-0.06832462513477362
EUFN,-0.0166590747880142
EUM,-0.05602461978958709
EURL,0.08723960195101195
EUSA,0.05115732056794505
EWA,0.08679994094908713
EWC,0.13532784121164737
EWD,0.06908078625740217
EWG,0.06609780755958464
EWH,-0.001026620525349521
EWI,0.036415610170921424
EWJ,0.05536917840313555
EWL,0.10941727880776679
EWM,0.06747479313698607
EWP,0.033898232478636534
EWQ,0.06814299313705369
EWS,0.055352563437071456
EWT,0.0708661095440749
EWU,0.06591484912785522
EWV,-0.05130015689523721
EWW,0.07475789857545866
EWX,0.06572906889653982
EWY,0.07009225712944679
EWZ,0.061920769435349875
EWZS,0.10240698420077818
EZA,0.12788862294592868
EZU,0.06575821768995326
FAN,0.14537097448018457
FAS,-0.040891906396178956
FAZ,0.048462624320130133
FBT,0.03187085997445883
FCA,0.02246142577849648
FCG,0.08247886790098924
FCOM,0.05638499893619388
FDD,0.07460123375187279
FDIS,0.07070922090802984
FDL,0.03714627015101392
FDN,0.0655352482915343
FDT,0.09843191553190224
FEM,0.077140021748372
FEMS,0.0699037326934206
FENY,0.0740976055966689
FEZ,0.06417755549056876
FGD,0.07045091126355114
FHLC,8.614948559535146e-06
FIDU,0.011047599787227993
FIW,0.05942620248378717
FLOT,0.06406508730854538
FLRN,0.09902100171117895
FLTR,0.0710595980859272
FM,0.03810712622737951
FMAT,0.04119166279508341
FMF,-0.00609294259740766
FNCL,-0.06644341491377892
FNDA,0.04599376573460406
FNDB,0.022910071652190885
FNDC,0.10369921684304491
FNDE,0.07070173781428425
FNDF,0.0685255243156056
FNDX,0.009561793195910119
FPE,0.12035073241339181
FRI,0.15445737696343556
FSTA,0.018472354092318153
FTA,0.021508388167200247
FTC,0.04671590778605056
FTCS,0.008284318047721057
FTEC,0.02881416553222487
FTGC,0.1710967005839768
FTQI,0.0786621693758488
FTRI,0.09384339279481653
FTSL,0.11187283379177565
FUTY,0.12872879915939367
FVD,0.0371117024172029
FXH,0.02553531766805149
FXI,0.0060987081201840645
FXL,0.04757651086311769
FXN,0.07860903985041615
FXO,-0.018739366740210452
FXR,0.017005376913801242
FXU,0.11589170492374613
FXY,0.37734237774945784
FXZ,0.038558116785792095
FYLD,0.08084983734304131
GCC,0.18113938114408218
GDX,0.3450899878353862
GDXJ,0.32004987240068417
GLD,0.3990085351006466
GLTR,0.3671073249673071
GMF,0.024143922210011073
GNR,0.11455228955701761
GOVI,0.6513741895466182
GOVT,0.6961984619300302
GREK,0.004579398464694228
GRID,0.09290674733645206
GRPM,0.050957599648384276
GSG,0.16575393778795483
GSY,0.11206776254032341
GUNR,0.12628454473854514
GVI,0.7073449657213985
GWX,0.12117783782490214
GXC,0.0022784338267303737
HAUZ,0.12485092270471759
HDGE,-0.05385846731687898
HEDJ,-0.028886097321975026
HYD,0.23406814963360564
HYEM,0.249681211983811
HYG,0.22231361304483224
HYLS,0.18026726865961717
HYMB,0.15947195229645292
HYS,0.19517326970553953
HYZD,0.01282162904190491
IAI,-0.08379667641609762
IAK,-0.07312119576625234
IAT,-0.09838855146468133
IAU,0.40010858177433456
IBB,0.025538175574236845
IBND,0.4056623010072848
ICF,0.15600489705021114
ICLN,0.14088779944028867
ICSH,0.08337706726317043
IDHQ,0.09831537989676996
IDLV,0.12339032297324841
IDMO,0.06712541185243993
IDU,0.13147125505157733
IDV,0.08039588338033693
IDX,0.06188794645286572
IEF,0.7370907555271108
IEFA,0.0819662948598778
IEI,0.7521113882532188
IEMG,0.05465799740806066
IEO,0.0798514579766186
IEV,0.07719296041832412
IEZ,0.07348637608929529
IGE,0.11637271462762692
IGF,0.14733020699151703
IGIB,0.6303713910863763
IGLB,0.5710914788515062
IGM,0.04227659349996082
IGOV,0.5241968658424088
IGPT,0.06177323574433137
IGSB,0.48835804468945276
IGV,0.06167975311519784
IHE,-0.013311098578778697
IHF,-0.015334124648869874
IHI,0.0441698719993681
IJH,0.03511037384557228
IJJ,0.026415988332122938
IJK,0.053165278005688196
IJR,0.035583219882809686
IJS,0.060194359842979696
IJT,0.02740660405597512
ILCB,0.027203363363370682
ILCG,0.053826274058966214
ILCV,-0.00407145782207185
ILF,0.07293170622405487
ILTB,0.6439353989804787
IMCB,0.018298665197851807
IMCG,0.07026386058732764
IMCV,0.05185719211500831
INCO,0.023188123744690127
INDA,-0.0009342525565219492
INDL,0.012214615911742947
INDY,0.01429926587562665
IOO,0.02793274880804729
ISCG,0.06801448786917888
ISHG,0.33416001833517484
ISTB,0.6351429300642265
ITA,0.026847155952373736
ITB,0.15163599327746666
ITM,0.37683479179681323
ITOT,0.030719627680395125
IUSV,0.004969117851186386
IVE,0.0004819230059944053
IVOO,0.030977491489690933
IVV,0.020850510473329555
