ETF2,Correlation
AAXJ,-0.6998776388596555
ACWI,-0.8868867173480198
ACWV,-0.7596421267489547
ACWX,-0.7650382640162819
AFK,-0.5247719616088514
AGG,-0.08825624682493496
AGQ,-0.1908739987204664
AGZD,-0.04857512925768775
AIA,-0.6635739776173686
AMLP,-0.3923751252913376
ANGL,-0.5516553739724025
AOA,-0.8681286074342692
AOK,-0.7331788673055167
AOM,-0.7942938305063051
AOR,-0.852922666815681
ARGT,-0.5659248102279152
ASEA,-0.5510499894094049
ASHR,-0.38212430340322173
BAB,-0.02430783647087731
BIL,-0.0016094655199857316
BIV,-0.027442438016990492
BIZD,-0.45926133813417136
BKLN,-0.48733151698998445
BLV,-0.05033701991003212
BND,-0.10161832950190659
BNDX,-0.10056886154532972
BNO,-0.23566214733936613
BOIL,-0.06124330903671276
BOND,-0.11948331589779948
BRZU,-0.4376183524435816
BSV,-0.010581843059497376
BTAL,0.2779812171561555
BWX,-0.11037009366367276
BWZ,-0.11885837701653645
BZQ,0.41931164505392304
CANE,-0.07502606950310378
CEMB,-0.3037935364752754
CGW,-0.733472466739503
CHIQ,-0.5179899861631756
CMBS,0.026207963880400077
CMF,-0.07324338083301932
COPX,-0.5237595204723215
CORN,-0.04299420291208512
CORP,-0.20836237209481373
CPER,-0.19440613555857966
CQQQ,-0.5346364111981988
CURE,-0.6975540171281174
CWB,-0.8070588002821687
CWI,-0.7654882423317286
CXSE,-0.4851674803684549
DBA,-0.16115506166402163
DBB,-0.25819568479401844
DBC,-0.26946779472630633
DBEF,-0.7262528492371634
DBEU,-0.7171879910613194
DBJP,-0.6361296037055386
DBO,-0.24152402275699156
DDM,-0.8258982263227165
DEM,-0.626752760453841
DES,-0.6369788591063381
DEW,-0.6890975051213489
DFJ,-0.6041268415372284
DGP,-0.0028195236112763533
DGRE,-0.6483927593060665
DGRS,-0.6358226997235734
DGRW,-0.8711967098210331
DGS,-0.6739204637991011
DHS,-0.6638392431901512
DIA,-0.8259885090986414
DIG,-0.4430168774465655
DIV,-0.5351925075445555
DJP,-0.26448338916140846
DLN,-0.8194309605774273
DLS,-0.7143744148760466
DNL,-0.7619710842387353
DOG,0.8233857489589432
DON,-0.6978542889831403
DRN,-0.5655910230476805
DRV,0.5835355711430056
DSI,-0.9304485637136564
DTD,-0.8026943343923618
DTH,-0.6549975289508992
DUG,0.45729240196015314
DUST,0.1234414778797524
DVY,-0.6377362346932154
DVYE,-0.5919523735654935
DWAS,-0.7261561363686806
