ETF2,Correlation
AAXJ,0.7037779615307931
ACWI,0.6742841869709468
ACWV,0.649022078896834
ACWX,0.7224049393742236
AFK,0.5555665407694481
AGG,0.11836073547213372
AGQ,0.2697123234885952
AGZD,-0.005813659571035466
AIA,0.6340171562448756
AMLP,0.43616608540987356
ANGL,0.46652650554603536
AOA,0.6527730534457099
AOK,0.5805017489309857
AOM,0.6255140104284715
AOR,0.6511086641459459
ARGT,0.4684011920656393
ASEA,0.726557642799666
ASHR,0.3919699054042499
BAB,0.07906832292182203
BIL,-0.0016039454771690754
BIV,0.06315290393447152
BIZD,0.3775738632921128
BKLN,0.43956586122656627
BLV,0.06592642503718904
BND,0.14007734797091312
BNDX,0.11737681933192455
BNO,0.2875274040725913
BOIL,0.053031621108685874
BOND,0.16521797839582805
BRZU,0.5064453849590064
BSV,0.095968627390049
BTAL,-0.1996598775914019
BWX,0.22497831697202347
BWZ,0.23958623287782324
BZQ,-0.4905843932921135
CANE,0.14027478362333193
CEMB,0.3135714709601125
CGW,0.6120574417799269
CHIQ,0.4719209476845702
CMBS,0.061895887054309796
CMF,0.06806174302215125
COPX,0.5577481221846928
CORN,0.07344880845505286
CORP,0.195203985175507
CPER,0.2045959292701682
CQQQ,0.46507968726796367
CURE,0.48375501339617505
CWB,0.5696574103023616
CWI,0.7030917607017306
CXSE,0.4372960378177373
DBA,0.18176559733194292
DBB,0.2827702523739566
DBC,0.328451363919322
DBEF,0.5994371655716537
DBEU,0.6117178374593664
DBJP,0.4920318593425341
DBO,0.28789877491896876
DDM,0.5911890487804481
DEM,0.7217163334503602
DES,0.5413362983001324
DEW,0.6508549542800799
DFJ,0.5368258996619792
DGP,0.12495838181461497
DGRE,0.7051637246937246
DGRS,0.5401881825558128
DGRW,0.5941133485575603
DGS,0.7477654018070126
DHS,0.573595750551512
DIA,0.595922070761147
DIG,0.47539046127674833
DIV,0.5322758787474612
DJP,0.33196433239881934
DLN,0.6046310199259699
DLS,0.6550867817038035
DNL,0.6758887253879646
DOG,-0.5930394404764294
DON,0.5740043141766606
DRN,0.44842041628001955
DRV,-0.4784896460642792
DSI,0.5921323651845953
DTD,0.5955621129453734
DTH,0.6710473424625463
DUG,-0.49267459896185933
DUST,-0.22714937482712047
DVY,0.5540063061543339
DVYE,0.7025494519227728
DWAS,0.502480803945312
DWM,0.6754463372570366
DXD,-0.5949032736511272
DXJ,0.49118599454288964
DXJS,0.4632559148513018
EBND,0.5375486790979301
ECH,0.5240733160321209
ECNS,0.43294035214124404
EDC,0.7263596270254752
EDIV,0.7213663435284386
EDV,-0.09860521288538623
EDZ,-0.7280095767303459
EELV,0.7554753348350574
EEM,0.7337834273901666
EEMA,0.6836591172981668
EEMV,0.7611722241710018
EFA,0.6786341897469352
EFG,0.6520935538771363
EFV,0.6690141290249904
EFZ,-0.6672309060790594
EIDO,0.6372953617873423
EMB,0.5067287788344124
EMHY,0.5446579400864047
EMLC,0.5425437326934016
ENFR,0.49236678578765947
ENOR,0.5854744382760173
ENZL,0.5186385799855515
EPHE,0.6304281171007088
EPI,0.61500847975812
EPOL,0.587966019428514
EPP,0.6827155046040406
EPS,0.5883170813548401
EPV,-0.6441745354806991
EQWL,0.5623182665834076
ERX,0.49779980043175437
ERY,-0.5144306470310442
EUFN,0.5862381530107308
EUM,-0.7268515592515604
EURL,0.6458283170272143
EUSA,0.5864791633480261
EWA,0.6372657519105839
EWC,0.6145372961183165
EWD,0.6023870692056648
EWG,0.6223523795345521
EWH,0.5879839819809213
EWI,0.5844172766943596
EWJ,0.566734071651668
EWL,0.5858912469313183
EWM,0.6085858920730512
EWP,0.5893154030540713
EWQ,0.6363874454677892
EWS,0.6319843397713847
EWT,0.6033840055449056
EWU,0.6308236561683233
EWV,-0.5529868963387172
EWW,0.5707722410031447
EWX,0.7293983184163169
EWY,0.6489029584089283
EWZ,0.5368162159803359
EWZS,0.4763961157705464
EZA,0.6431784594269503
EZU,0.6388829131022197
FAN,0.5673049242558365
FAS,0.5340231587931272
FAZ,-0.5444398601772765
FBT,0.3947270062285313
FCA,0.4378978309330989
FCG,0.4004165141659761
FCOM,0.4768806806032803
FDD,0.6072031238439368
FDIS,0.5325171734887728
FDL,0.5551609371498766
FDN,0.4765874092586688
FDT,0.6568542235050908
FEM,0.6980209303072844
FEMS,0.6482621756693348
FENY,0.4909620749909999
FEZ,0.6331855279845676
FGD,0.6589672086426938
FHLC,0.4905612900097279
FIDU,0.568472271771448
FIW,0.5583295099051935
FLOT,0.3606958104888155
FLRN,0.3203000619381506
FLTR,0.29781143498279766
FM,0.5265639851658728
FMAT,0.5831094400470215
FMF,0.020940498451330537
FNCL,0.5228709705834852
FNDA,0.5619082114272078
FNDB,0.592138609653106
FNDC,0.6751711646299853
FNDE,0.7117752797137482
FNDF,0.6719389972406904
FNDX,0.6006130533129265
FPE,0.38061630210007874
FRI,0.470815630086421
FSTA,0.462202563982068
FTA,0.5719801525600986
FTC,0.5407359832089226
FTCS,0.5668503594237014
FTEC,0.5377822714747417
FTGC,0.31083853940472794
FTQI,0.30475468448094545
FTRI,0.5488852870145159
FTSL,0.3711159940594642
FUTY,0.38708042148606403
FVD,0.5808644676524216
FXH,0.47976085659052187
FXI,0.5462998567522965
FXL,0.526879221304238
FXN,0.46046590382017905
FXO,0.5069095773860114
FXR,0.5652328123826058
FXU,0.4429615288545514
FXY,-0.03627503664828278
FXZ,0.5636329262646014
FYLD,0.613098187621198
GCC,0.2775747130301481
GDX,0.24670064963991556
GDXJ,0.28384708752968585
GLD,0.17367132062423896
GLTR,0.28349048054850134
GMF,0.6923312582461317
GNR,0.6300573733945244
GOVI,-0.08499019233226862
GOVT,-0.07847073193907857
GREK,0.45623169846042333
GRID,0.5157458397759788
GRPM,0.5627534834644856
GSG,0.30808400010165055
GSY,0.19693553247651074
GUNR,0.6220376739885833
GVI,0.06391325840403334
GWX,0.660858577479874
GXC,0.5421325489812893
HAUZ,0.5343507627934849
HDGE,-0.505904877082002
HEDJ,0.6013203411778613
HYD,0.3388983684026275
HYEM,0.37668030589849266
HYG,0.5118712566823052
HYLS,0.336735647425684
HYMB,0.3566873522735897
HYS,0.4817106521800569
HYZD,0.31925612652728397
IAI,0.5153816841823606
IAK,0.4791216555220125
IAT,0.4397401536902167
IAU,0.17566330123431975
IBB,0.41183210322188624
IBND,0.2364046310123727
ICF,0.45266726842307575
ICLN,0.5333483075453302
ICSH,0.12860537206216266
IDHQ,0.5778445604673632
IDLV,0.6653533324015656
IDMO,0.45278182120641436
IDU,0.3905659300916991
IDV,0.6677991089768249
IDX,0.6370700571006402
IEF,-0.07146707023840236
IEFA,0.6789847954260534
IEI,-0.03191436390157067
IEMG,0.7397214267896048
IEO,0.46753367159672515
IEV,0.6547853369412459
IEZ,0.44978255718899857
IGE,0.5366339074687163
IGF,0.6478523336776808
IGIB,0.23245137393910884
IGLB,0.18420483651514508
IGM,0.5286554997943593
IGOV,0.18695989896397675
IGPT,0.45105426085209355
IGSB,0.2484173551609903
IGV,0.4786718605598164
IHE,0.4407956563849419
IHF,0.4352457028671681
IHI,0.47304564006307565
IJH,0.5811086957429547
IJJ,0.5693269045288049
IJK,0.5639235032517087
IJR,0.5431118510496732
IJS,0.4963435101618215
IJT,0.5508754643929471
ILCB,0.589548536929285
ILCG,0.5407531396423756
ILCV,0.5868559158180537
ILF,0.5908727006505717
ILTB,0.07943138398309116
IMCB,0.5997112457218277
IMCG,0.5382759379174571
IMCV,0.5638855499158375
INCO,0.5315674912548463
INDA,0.6323265866473086
INDL,0.6089409744129948
INDY,0.6074676953815369
IOO,0.6290016918621018
ISCG,0.5171680948469636
ISHG,0.19225972809800754
ISTB,0.17779888384253198
ITA,0.5168671682395272
ITB,0.445693179639408
ITM,0.17464389080180356
ITOT,0.6008396498068721
IUSV,0.5956476220481117
IVE,0.59645750216411
IVOO,0.5806631603943451
IVV,0.6006611707403217
IVW,0.5570838237898529
IWB,0.5994670099324698
IWC,0.51873961436524
IWD,0.6043558510955961
IWF,0.5491335821389077
IWL,0.583410860976073
IWM,0.5511476733592048
IWN,0.5425856778129181
IWO,0.5293625492464111
IWP,0.5489403892281393
IWR,0.5989110716613445
IWS,0.5936312618948926
IWV,0.6040885502172147
IWX,0.5878377596474066
IWY,0.5316991122103838
IXC,0.5445154536633532
IXJ,0.531481608927913
IXN,0.5653455283530712
IXUS,0.7133136680533646
IYC,0.5425974284955997
IYE,0.49930308853822625
IYF,0.5424115074934998
IYG,0.5314906477859082
IYH,0.4862028479969395
IYJ,0.5850294384667325
IYK,0.5180469845444067
IYR,0.4847838549061983
IYT,0.5319158525483102
IYY,0.5993179361999356
IYZ,0.4888655742538301
JDST,-0.24513757100672065
JNK,0.5080400374127212
JNUG,0.22034323687517346
JPXN,0.5404484040963112
JXI,0.5066761684827857
KBE,0.4421864608600831
KBWB,0.46546119136187214
KBWP,0.43029876461950206
KBWY,0.459842824649569
KCE,0.5238439484455297
KIE,0.4959682610379985
KOLD,-0.05575920255817415
KORU,0.5986171583563368
KRE,0.4213791684973047
KWEB,0.41662699550481386
LDUR,0.03821942840336608
LEMB,0.5129645029468265
LIT,0.5175987027935659
LQD,0.20046106981197842
LTPZ,0.011098615111820078
MBB,0.16173666701311248
MCHI,0.5397925878277089
MDIV,0.4958464790268321
MDY,0.5786473199877061
MDYG,0.5604780799081804
MDYV,0.5631665985584857
MGC,0.5905677235906055
MGK,0.541459426830192
MGV,0.5866761414786656
MIDU,0.5789469897167279
MINT,0.08538798630288477
MLN,0.19963541953010927
MLPA,0.4306696178437717
MLPX,0.48606136216116924
MNA,0.4083291437022525
MOAT,0.5763577633701195
MOO,0.620658357151691
MORT,0.39468170338337366
MTUM,0.5187459853368342
MUB,0.24722534539428048
MUNI,0.18205732511118683
NEAR,0.08668529879682645
NFRA,0.6474670884816722
NFTY,0.4350674474403753
NLR,0.4717211303224429
NOBL,0.5711481298200266
NUGT,0.21680506219827714
