ETF2,Correlation
ACE 200,0.564682852825949
ACE 200TR,0.5594339980569506
ACE 2차전지&친환경차액티브,0.21161091802955026
ACE ESG액티브,0.5141101587401468
ACE Fn5G플러스,0.43089870057320134
ACE Fn성장소비주도주,0.7084104130300025
ACE 골드선물 레버리지(합성 H),0.17515622560219002
ACE 국고채10년,0.09372041156062651
ACE 국고채3년,0.10766004215167264
ACE 단기통안채,-0.01829060934013634
ACE 러시아MSCI(합성),0.0581221760503302
ACE 레버리지,0.5652123029763861
ACE 멕시코MSCI(합성),0.19289280742626935
ACE 미국IT인터넷S&P(합성 H),0.22911311077656732
ACE 미국S&P500,0.23251430154393649
ACE 미국WideMoat동일가중,0.2370379616829475
ACE 미국나스닥100,0.21478482861833573
ACE 미국다우존스리츠(합성 H),0.28526616598074095
ACE 미국친환경그린테마INDXX,0.2832361846236954
ACE 밸류대형,0.5793952091018321
ACE 베트남VN30(합성),0.06585577409536925
ACE 베트남VN30선물블룸버그레버리지(H),0.17278911701782076
ACE 삼성그룹동일가중,0.4847341413439394
ACE 삼성그룹섹터가중,0.4551278156895577
ACE 싱가포르리츠,0.12576711340448463
ACE 아시아TOP50S&P,0.3621576952013531
ACE 인도네시아MSCI(합성),0.11262803760989645
ACE 인버스,-0.5582731139596051
ACE 일본Nikkei225(H),0.344246219824135
ACE 일본TOPIX레버리지(H),0.2599279651359122
ACE 일본TOPIX인버스(합성 H),-0.3766414688705006
ACE 종합채권(AA-이상)KIS액티브,0.04325853869263352
ACE 중국본토CSI300,0.16783758824864678
ACE 중국본토CSI300레버리지(합성),0.1708205206249379
ACE 중장기국공채액티브,0.10999153782475994
ACE 차이나항셍테크,0.2774711575103878
ACE 코스닥150,0.3689652676395669
ACE 코스피,0.555641939445139
ACE 필리핀MSCI(합성),0.08247559073004947
BNK금융지주,0.3819835283676759
HANARO 200,0.568351572844851
HANARO 200TR,0.5601376393099903
HANARO 200선물레버리지,0.5636049198313816
HANARO 200선물인버스,-0.5600833572015985
HANARO e커머스,0.609469924942693
HANARO Fn K-POP&미디어,0.36674863818954856
HANARO Fn K-게임,0.3801054163518173
HANARO Fn K-뉴딜디지털플러스,0.35600724012305296
HANARO Fn K-반도체,0.3754092374969022
HANARO Fn5G산업,0.46806906711631685
HANARO Fn전기&수소차,0.4430555835443444
HANARO Fn친환경에너지,0.31738531894100686
HANARO KAP초장기국고채,0.13638906895482042
HANARO KRX300,0.515239338416058
HANARO MSCI Korea TR,0.47621358470953307
HANARO 고배당,0.542825564725901
