ETF2,Correlation
ACE 200,0.595809493026196
ACE 200TR,0.5961805055089017
ACE 2차전지&친환경차액티브,0.5185244094740775
ACE ESG액티브,0.6075048487614947
ACE Fn5G플러스,0.5487400004330593
ACE Fn성장소비주도주,0.5343493053573609
ACE 골드선물 레버리지(합성 H),0.1678780386351886
ACE 국고채10년,0.08269487842541008
ACE 국고채3년,0.12753554361927966
ACE 단기통안채,-0.02399827199414571
ACE 러시아MSCI(합성),0.007957398970204699
ACE 레버리지,0.6057977132677298
ACE 멕시코MSCI(합성),0.27766819650779384
ACE 미국IT인터넷S&P(합성 H),0.347779561993366
ACE 미국S&P500,0.34481317367360725
ACE 미국WideMoat동일가중,0.33009121171965633
ACE 미국나스닥100,0.3580862785978474
ACE 미국다우존스리츠(합성 H),0.3277914840534769
ACE 미국친환경그린테마INDXX,0.46375436075180576
ACE 밸류대형,0.5674002147003943
ACE 베트남VN30(합성),0.14005301564641395
ACE 베트남VN30선물블룸버그레버리지(H),0.2592518593071864
ACE 삼성그룹동일가중,0.4395267980506026
ACE 삼성그룹섹터가중,0.5367353985869161
ACE 싱가포르리츠,0.15438530825031752
ACE 아시아TOP50S&P,0.39051385094838614
ACE 인도네시아MSCI(합성),0.2583031857850991
ACE 인버스,-0.5997030477659764
ACE 일본Nikkei225(H),0.45950113868962644
ACE 일본TOPIX레버리지(H),0.37268323863272607
ACE 일본TOPIX인버스(합성 H),-0.44660666286872025
ACE 종합채권(AA-이상)KIS액티브,0.08276977753404749
ACE 중국본토CSI300,0.14862109866532586
ACE 중국본토CSI300레버리지(합성),0.17139042032716534
ACE 중장기국공채액티브,0.112617743795665
ACE 차이나항셍테크,0.25617221490989833
ACE 코스닥150,0.6004636015822721
ACE 코스피,0.6491321108977498
ACE 필리핀MSCI(합성),0.1697190503052459
BNK금융지주,0.2751166346722412
HANARO 200,0.5994759219902824
HANARO 200TR,0.5992318243400747
HANARO 200선물레버리지,0.5958808809862264
HANARO 200선물인버스,-0.5940467511886119
HANARO e커머스,0.4836293171355664
HANARO Fn K-POP&미디어,0.4101715144171635
HANARO Fn K-게임,0.37078813634322594
HANARO Fn K-뉴딜디지털플러스,0.5384806576903652
HANARO Fn K-반도체,0.48384005864579294
HANARO Fn5G산업,0.5539645802869292
HANARO Fn전기&수소차,0.6949969619161332
HANARO Fn친환경에너지,0.7616997065180635
HANARO KAP초장기국고채,0.12189064227095214
HANARO KRX300,0.5832545180176756
HANARO MSCI Korea TR,0.5429302161727363
HANARO 고배당,0.444531156709351
HANARO 글로벌럭셔리S&P(합성),0.3125286863798716
HANARO 농업융복합산업,0.552364545335004
HANARO 단기채권액티브,-0.005806141714836957
HANARO 코스닥150,0.5792319877269869
HANARO 코스닥150선물레버리지,0.5863418233869593
HANARO 탄소효율그린뉴딜,0.5822815952140407
KODEX 200 중소형,0.7769523288822073
KODEX 200,0.6000427507620408
KODEX 200ESG,0.5734544468494549
KODEX 200exTOP,0.595369610274242
KODEX 200IT TR,0.5105694864241908
KODEX 200TR,0.5988234736357753
KODEX 200가치저변동,0.5027501928382275
KODEX 200동일가중,0.6750504837985205
KODEX 200롱코스닥150숏선물,-0.3129688123570209
KODEX 200미국채혼합,0.39718431997764064
KODEX 200선물인버스2X,-0.6076334551665534
KODEX 2차전지산업,0.5003968691252001
KODEX 3대농산물선물(H),0.1259888143031922
KODEX IT,0.5547543000438326
KODEX K-뉴딜디지털플러스,0.5370531965461002
KODEX K-미래차액티브,0.628843800428998
KODEX K-신재생에너지액티브,0.835726347411266
KODEX K-이노베이션액티브,0.7063744016201028
KODEX KRX300,0.6045136358398906
KODEX KRX300레버리지,0.6077043408399957
KODEX KTOP30,0.5724642683741737
KODEX MSCI EM선물(H),0.4581117191753131
KODEX MSCI KOREA ESG유니버설,0.5416296553925934
KODEX MSCI Korea TR,0.5792845305494821
KODEX MSCI Korea,0.5599815964494643
KODEX MSCI모멘텀,0.6112220303376148
KODEX MSCI밸류,0.5133673439258746
KODEX MSCI퀄리티,0.5400605045427881
KODEX S&P글로벌인프라(합성),0.3077377192328225
KODEX Top10동일가중,0.5253246334872117
KODEX Top5PlusTR,0.47242115721445344
KODEX TRF3070,0.2884210238178865
KODEX TRF5050,0.2503387711910246
KODEX TRF7030,0.3076074997707889
KODEX WTI원유선물(H),0.2256214875341144
KODEX WTI원유선물인버스(H),-0.2239298065161735
KODEX 건설,0.6184801202754673
KODEX 게임산업,0.37838249211629643
KODEX 경기소비재,0.4963309204123952
KODEX 고배당,0.4823218827631159
KODEX 골드선물(H),0.16270529466810774
KODEX 골드선물인버스(H),-0.168259151294233
KODEX 구리선물(H),0.3079649910412327
KODEX 국고채3년,0.09259544869033899
KODEX 국채선물10년,0.11557253232783618
KODEX 국채선물10년인버스,-0.11291827536400512
KODEX 국채선물3년인버스,-0.13118723657580564
KODEX 글로벌로봇(합성),0.4157604352426195
KODEX 기계장비,0.7389782160999605
KODEX 단기변동금리부채권액티브,0.028926829208107883
KODEX 단기채권,0.02424036312813696
KODEX 단기채권PLUS,0.07625503662028105
KODEX 레버리지,0.6018508471328905
KODEX 멀티에셋하이인컴(H),0.20626781280412235
KODEX 멀티팩터,0.5844685902483658
KODEX 모멘텀Plus,0.6149038834697043
KODEX 미국10년국채선물,-0.23866664032254076
KODEX 미국30년국채울트라선물(H),0.07090157766511658
KODEX 미국S&P500TR,0.3493088928612049
KODEX 미국S&P500산업재(합성),0.33061392798973677
KODEX 미국S&P500선물(H),0.4594314904403873
KODEX 미국S&P500에너지(합성),0.20300706872388224
KODEX 미국S&P바이오(합성),0.21053955485482723
KODEX 미국나스닥100TR,0.3583142430673792
KODEX 미국나스닥100선물(H),0.42374088088886475
KODEX 미국달러선물,-0.31631069179172866
KODEX 미국달러선물레버리지,-0.31819166126746506
KODEX 미국달러선물인버스,0.3224516826652814
KODEX 미국달러선물인버스2X,0.32332931889451716
KODEX 미국러셀2000(H),0.4699994986097739
KODEX 미국반도체MV,0.38958682511908166
KODEX 미국부동산리츠(H),0.36418011428454056
KODEX 미국빅테크10(H),0.417123722757985
KODEX 미국스마트모빌리티S&P,0.3665026758471906
KODEX 미디어&엔터테인먼트,0.4388991976956565
KODEX 바이오,0.4992073736455271
KODEX 반도체,0.4858900113895242
KODEX 배당가치,0.5221729233346574
KODEX 배당성장,0.5818797961888281
KODEX 배당성장채권혼합,0.5318242807333571
KODEX 밸류Plus,0.5613616519968386
KODEX 보험,0.22059256830526072
KODEX 삼성그룹,0.5370030753618609
KODEX 삼성그룹밸류,0.5506479591203738
KODEX 선진국MSCI World,0.39543618631828403
KODEX 성장주,0.6325277597929058
KODEX 시스템반도체,0.5233115167825102
KODEX 에너지화학,0.6738915326056395
KODEX 운송,0.4486138369359709
KODEX 웹툰&드라마,0.46435770979766394
KODEX 은선물(H),0.2480194056080714
KODEX 은행,0.2992982136301741
KODEX 인버스,-0.6059952745202619
KODEX 일본TOPIX100,0.31774711651489435
KODEX 일본부동산리츠(H),0.2280355659854194
KODEX 자동차,0.4091969015802431
KODEX 종합채권(AA-이상)액티브,0.09325016919026344
KODEX 증권,0.4548161380779393
KODEX 차이나A50,0.1189358032504268
KODEX 차이나CSI300,0.1290594993179443
KODEX 차이나H,0.27280390711879055
KODEX 차이나H레버리지(H),0.3434170307230328
KODEX 차이나심천ChiNext(합성),0.10164223906381356
KODEX 차이나항셍테크,0.26454995407206666
KODEX 철강,0.5722682855438714
KODEX 최소변동성,0.5685119867022217
KODEX 코스닥150,0.5920535165438338
KODEX 코스닥150레버리지,0.5941676056077582
KODEX 코스닥150롱코스피200숏선물,0.29105033317182066
KODEX 코스닥150선물인버스,-0.594700549952801
KODEX 코스피,0.6452970580597531
KODEX 코스피100,0.5741317266893545
KODEX 코스피TR,0.6603734823698273
KODEX 코스피대형주,0.5946310634749528
KODEX 콩선물(H),0.20303646177533513
KODEX 퀄리티Plus,0.5233447629654394
KODEX 탄소효율그린뉴딜,0.6189435005947462
KODEX 필수소비재,0.3990628444272365
KODEX 한국대만IT프리미어,0.46999671507496515
KODEX 헬스케어,0.40550610701483086
KODEX 혁신기술테마액티브,0.6162599802077459
KOSEF 200,0.5991781749072478
KOSEF 200TR,0.6046093008479718
KOSEF 200선물레버리지,0.6030961000600878
KOSEF 200선물인버스,-0.6038610278473476
KOSEF 200선물인버스2X,-0.6076814865742405
KOSEF Fn중소형,0.718640661944246
KOSEF KRX100,0.5927683968404879
KOSEF 고배당,0.40063381354359506
KOSEF 국고채10년,0.08932876277605686
KOSEF 국고채10년레버리지,0.10510055237592004
KOSEF 국고채3년,0.11496277391925608
KOSEF 글로벌디지털경제,0.24691035931544025
KOSEF 글로벌퓨처모빌리티,0.3428632607631356
KOSEF 단기자금,-0.023506458498457002
KOSEF 미국달러선물,-0.30453240230695644
KOSEF 미국달러선물레버리지,-0.32397392688667637
KOSEF 미국달러선물인버스,0.31793902224050385
KOSEF 미국달러선물인버스2X,0.32393603095395096
KOSEF 미국방어배당성장나스닥,0.1416236474304783
KOSEF 블루칩,0.5742275292839687
KOSEF 인도Nifty50(합성),0.26517052966835936
KOSEF 코스닥150,0.5933543902749763
KOSEF 코스닥150선물레버리지,0.5949936702511898
KOSEF 코스닥150선물인버스,-0.594026744406518
KOSEF 코스피100,0.5805169751704431
KOSEF 통안채1년,0.010402459816759874
NEW,0.3391865029796816
PLUS 200,0.6014230997555083
PLUS 200선물레버리지,0.6022051359944512
PLUS 200선물인버스2X,-0.60783571037147
PLUS ESG가치주액티브,0.6596781860932323
PLUS ESG성장주액티브,0.6788819794384512
PLUS KS로우볼가중TR,0.5218010824912815
PLUS KS로우사이즈가중TR,0.7106751402074527
