ETF2,Correlation
ACE 200,0.8005901075404481
ACE 200TR,0.7925978606620175
ACE 2차전지&친환경차액티브,0.592362755380507
ACE ESG액티브,0.778496629775959
ACE Fn5G플러스,0.6315373015589789
ACE Fn성장소비주도주,0.6030188120667554
ACE 골드선물 레버리지(합성 H),0.20759434194287038
ACE 국고채10년,0.11060531609550173
ACE 국고채3년,0.16967441814335768
ACE 단기통안채,-0.017051493022004004
ACE 러시아MSCI(합성),0.10548776158018608
ACE 레버리지,0.8045676386263221
ACE 멕시코MSCI(합성),0.2944647278785214
ACE 미국IT인터넷S&P(합성 H),0.41173334008198453
ACE 미국S&P500,0.3838412884400709
ACE 미국WideMoat동일가중,0.3866196197132151
ACE 미국나스닥100,0.4010262540037775
ACE 미국다우존스리츠(합성 H),0.3994698775514541
ACE 미국친환경그린테마INDXX,0.4363647093330362
ACE 밸류대형,0.7839649412849216
ACE 베트남VN30(합성),0.1246869074013448
ACE 베트남VN30선물블룸버그레버리지(H),0.30546745572213185
ACE 삼성그룹동일가중,0.6144284999897756
ACE 삼성그룹섹터가중,0.7558015087889631
ACE 싱가포르리츠,0.2079508179434479
ACE 아시아TOP50S&P,0.48662547904170134
ACE 인도네시아MSCI(합성),0.25526539983356294
ACE 인버스,-0.7908781736989466
ACE 일본Nikkei225(H),0.5202243489871284
ACE 일본TOPIX레버리지(H),0.39629850200222044
ACE 일본TOPIX인버스(합성 H),-0.5315769480692182
ACE 종합채권(AA-이상)KIS액티브,0.09510890630376116
ACE 중국본토CSI300,0.13526149079244534
ACE 중국본토CSI300레버리지(합성),0.1406013698127317
ACE 중장기국공채액티브,0.16294170596431617
ACE 차이나항셍테크,0.30601336363769793
ACE 코스닥150,0.6400062725235591
ACE 코스피,0.8162982885675999
ACE 필리핀MSCI(합성),0.14479667897285098
BNK금융지주,0.439813874841854
HANARO 200,0.8008930899903195
HANARO 200TR,0.7949617929819086
HANARO 200선물레버리지,0.7947679719774537
HANARO 200선물인버스,-0.7852504422293759
HANARO e커머스,0.6147476970867426
HANARO Fn K-POP&미디어,0.4286363797196951
HANARO Fn K-게임,0.47060768051156343
HANARO Fn K-뉴딜디지털플러스,0.6835527912385432
HANARO Fn K-반도체,0.6025818802762568
HANARO Fn5G산업,0.6935701839103945
HANARO Fn전기&수소차,0.7632899103958384
HANARO Fn친환경에너지,0.6725013686038218
HANARO KAP초장기국고채,0.16381571144727905
HANARO KRX300,0.763724732716416
HANARO MSCI Korea TR,0.7438617432341945
HANARO 고배당,0.6472525205521199
HANARO 글로벌럭셔리S&P(합성),0.4037832168202114
HANARO 농업융복합산업,0.7217853407081168
HANARO 단기채권액티브,-0.02568787498129615
HANARO 코스닥150,0.6414734397975335
HANARO 코스닥150선물레버리지,0.6521584250619663
HANARO 탄소효율그린뉴딜,0.7369064587847369
KODEX 200 중소형,0.7585857385883523
KODEX 200,0.8026532682775526
KODEX 200ESG,0.78983983283211
KODEX 200exTOP,0.7849514974872882
KODEX 200IT TR,0.741736224726732
KODEX 200TR,0.7992754572284464
KODEX 200가치저변동,0.7322657481904418
KODEX 200동일가중,0.7968171843879247
KODEX 200롱코스닥150숏선물,-0.22079582853308213
KODEX 200미국채혼합,0.47026493254627355
KODEX 200선물인버스2X,-0.8023407897350213
KODEX 2차전지산업,0.5880898138605096
KODEX 3대농산물선물(H),0.11306004277013881
KODEX IT,0.703441058655145
KODEX K-뉴딜디지털플러스,0.6831243472761265
KODEX K-미래차액티브,0.7570293863338724
KODEX K-신재생에너지액티브,0.6161290751156226
KODEX K-이노베이션액티브,0.6698660428698109
KODEX KRX300,0.7931068315867601
KODEX KRX300레버리지,0.7773923428798751
KODEX KTOP30,0.8190833057262856
KODEX MSCI EM선물(H),0.609249994302728
KODEX MSCI KOREA ESG유니버설,0.7672343851414231
KODEX MSCI Korea TR,0.7810941507599657
KODEX MSCI Korea,0.7673585604583868
