ETF2,Correlation
ACE 200,0.8988035257515786
ACE 200TR,0.8993845354508333
ACE 2차전지&친환경차액티브,0.5246572595330569
ACE ESG액티브,0.8650253970337355
ACE Fn5G플러스,0.7319553898319177
ACE Fn성장소비주도주,0.5702810940413486
ACE 골드선물 레버리지(합성 H),0.21726151062516244
ACE 국고채10년,0.1442083008067184
ACE 국고채3년,0.18492638248737836
ACE 단기통안채,-0.03318517180041221
ACE 러시아MSCI(합성),0.090576047773325
ACE 레버리지,0.8975047096820096
ACE 멕시코MSCI(합성),0.3038305703959084
ACE 미국IT인터넷S&P(합성 H),0.5247247873908482
ACE 미국S&P500,0.45457142802392436
ACE 미국WideMoat동일가중,0.4587433541326106
ACE 미국나스닥100,0.5008266608498693
ACE 미국다우존스리츠(합성 H),0.4427881564475726
ACE 미국친환경그린테마INDXX,0.4517867823149755
ACE 밸류대형,0.8704697152183446
ACE 베트남VN30(합성),0.11817349549200436
ACE 베트남VN30선물블룸버그레버리지(H),0.31597623877645364
ACE 삼성그룹동일가중,0.6761911134760324
ACE 삼성그룹섹터가중,0.8046964893055747
ACE 싱가포르리츠,0.18941091519068493
ACE 아시아TOP50S&P,0.5685971337481319
ACE 인도네시아MSCI(합성),0.20335827489133157
ACE 인버스,-0.8948946915491389
ACE 일본Nikkei225(H),0.5727294693945013
ACE 일본TOPIX레버리지(H),0.43543350314653706
ACE 일본TOPIX인버스(합성 H),-0.5652820511957165
ACE 종합채권(AA-이상)KIS액티브,0.14230519670573477
ACE 중국본토CSI300,0.13954006205327754
ACE 중국본토CSI300레버리지(합성),0.13958917795967107
ACE 중장기국공채액티브,0.1826259310606707
ACE 차이나항셍테크,0.3509047972672453
ACE 코스닥150,0.6575148099992995
ACE 코스피,0.8892798684412755
ACE 필리핀MSCI(합성),0.1634705489139673
BNK금융지주,0.4550638072049338
HANARO 200,0.899164725457481
HANARO 200TR,0.8971338027312343
HANARO 200선물레버리지,0.8978431796673414
HANARO 200선물인버스,-0.8902522840841149
HANARO e커머스,0.6819703027956102
HANARO Fn K-POP&미디어,0.40776650138589376
HANARO Fn K-게임,0.48166074534944114
HANARO Fn K-뉴딜디지털플러스,0.6930610018608405
HANARO Fn K-반도체,0.7489245359368796
HANARO Fn5G산업,0.7413269171904144
HANARO Fn전기&수소차,0.6961964827061475
HANARO Fn친환경에너지,0.5707310440424082
HANARO KAP초장기국고채,0.17644736075808679
HANARO KRX300,0.8682323023969537
HANARO MSCI Korea TR,0.8667656202216852
HANARO 고배당,0.6544314797631211
HANARO 글로벌럭셔리S&P(합성),0.4651776405879379
HANARO 농업융복합산업,0.6270557860498299
HANARO 단기채권액티브,-0.027488074865519654
HANARO 코스닥150,0.6574216920984854
HANARO 코스닥150선물레버리지,0.6667506725700884
HANARO 탄소효율그린뉴딜,0.8201178363594007
KODEX 200 중소형,0.6864233086593404
KODEX 200,0.8984459719148987
KODEX 200ESG,0.8850741750471
KODEX 200exTOP,0.8313477753451093
KODEX 200IT TR,0.8174762365075173
KODEX 200TR,0.8930023986491038
KODEX 200가치저변동,0.8411527836526266
KODEX 200동일가중,0.757812576974514
KODEX 200롱코스닥150숏선물,-0.16318220996942065
KODEX 200미국채혼합,0.534612159417497
KODEX 200선물인버스2X,-0.8958641004045643
KODEX 2차전지산업,0.5087082025032305
