ETF2,Correlation
ACE 200,0.17781373597377356
ACE 200TR,0.17467305424984336
ACE 2차전지&친환경차액티브,0.05293590032113694
ACE ESG액티브,0.14247929616983365
ACE Fn5G플러스,0.19239115935382514
ACE Fn성장소비주도주,0.15631159169502123
ACE 골드선물 레버리지(합성 H),0.3049089239977343
ACE 국고채10년,0.7363911657248106
ACE 국고채3년,0.9364361867591292
ACE 단기통안채,0.021093270368255233
ACE 러시아MSCI(합성),-0.01753463215233789
ACE 레버리지,0.1806508716623641
ACE 멕시코MSCI(합성),-0.02485767665084093
ACE 미국IT인터넷S&P(합성 H),0.1880720662118048
ACE 미국S&P500,0.05842267342635869
ACE 미국WideMoat동일가중,0.08486330932153167
ACE 미국나스닥100,0.10901021780956434
ACE 미국다우존스리츠(합성 H),0.20825318152052516
ACE 미국친환경그린테마INDXX,0.06688249217286663
ACE 밸류대형,0.12762375654759092
ACE 베트남VN30(합성),-0.0047103646077082655
ACE 베트남VN30선물블룸버그레버리지(H),0.09411616141065121
ACE 삼성그룹동일가중,0.17787105196534575
ACE 삼성그룹섹터가중,0.14312840549210057
ACE 싱가포르리츠,0.056260609348328605
ACE 아시아TOP50S&P,0.016315742039779146
ACE 인도네시아MSCI(합성),-0.03988791775558214
ACE 인버스,-0.1729978194277914
ACE 일본Nikkei225(H),0.08066549389272192
ACE 일본TOPIX레버리지(H),0.03916910477268272
ACE 일본TOPIX인버스(합성 H),-0.08804266478331126
ACE 종합채권(AA-이상)KIS액티브,0.7387289274682918
ACE 중국본토CSI300,-0.03864996655184844
ACE 중국본토CSI300레버리지(합성),-0.049093793686562276
ACE 중장기국공채액티브,0.7422578007449779
ACE 차이나항셍테크,0.0005660567247300373
ACE 코스닥150,0.14989429757526707
ACE 코스피,0.18375258106631012
ACE 필리핀MSCI(합성),-0.022907079497090296
BNK금융지주,0.01066721301899193
HANARO 200,0.17526910051872713
HANARO 200TR,0.1792283484024697
HANARO 200선물레버리지,0.16997118467054428
HANARO 200선물인버스,-0.17211055638620898
HANARO e커머스,0.2425882366134485
HANARO Fn K-POP&미디어,0.14237047292814334
HANARO Fn K-게임,0.1801871807410769
HANARO Fn K-뉴딜디지털플러스,0.1778035219260085
HANARO Fn K-반도체,0.16432553303958286
HANARO Fn5G산업,0.15669046308625253
HANARO Fn전기&수소차,0.08644450826835037
HANARO Fn친환경에너지,0.12777439949662647
HANARO KAP초장기국고채,0.7803959924572329
HANARO KRX300,0.18351300861521577
HANARO MSCI Korea TR,0.1738652025602732
HANARO 고배당,0.0847456367116144
HANARO 글로벌럭셔리S&P(합성),0.01119392833448286
HANARO 농업융복합산업,0.06533792538160964
HANARO 단기채권액티브,-0.02884338862553536
HANARO 코스닥150,0.16261718296426522
HANARO 코스닥150선물레버리지,0.16109119698498803
HANARO 탄소효율그린뉴딜,0.17139957444070641
KODEX 200 중소형,0.1323860220029527
KODEX 200,0.18001343552286678
KODEX 200ESG,0.16198674967308171
KODEX 200exTOP,0.15582049776419443
KODEX 200IT TR,0.16628112287380292
KODEX 200TR,0.17841220326108592
KODEX 200가치저변동,0.11819958154590858
KODEX 200동일가중,0.13833433123602162
KODEX 200롱코스닥150숏선물,-0.06304985483658525
KODEX 200미국채혼합,0.22920529820725538
KODEX 200선물인버스2X,-0.18319334889842281
KODEX 2차전지산업,0.04562870746300585
KODEX 3대농산물선물(H),-0.04691149905968857
KODEX IT,0.16625876740100823
KODEX K-뉴딜디지털플러스,0.1800274712036394
KODEX K-미래차액티브,0.12869304369191795
KODEX K-신재생에너지액티브,0.11704338106944706
KODEX K-이노베이션액티브,0.1923988267786986
KODEX KRX300,0.17645876698912433
KODEX KRX300레버리지,0.15801772481589688
KODEX KTOP30,0.14849821215576312
KODEX MSCI EM선물(H),0.16045569171050658
KODEX MSCI KOREA ESG유니버설,0.1689561658486374
KODEX MSCI Korea TR,0.15328447051417235
KODEX MSCI Korea,0.16373017115523492
KODEX MSCI모멘텀,0.10062637892232151
KODEX MSCI밸류,0.09125580663861622
KODEX MSCI퀄리티,0.18462089684461516
KODEX S&P글로벌인프라(합성),0.05465835664861373
KODEX Top10동일가중,0.17938095716800545
KODEX Top5PlusTR,0.15136255476669103
KODEX TRF3070,0.32124876401719277
KODEX TRF5050,0.18385252521162013
KODEX TRF7030,0.10605731945703487
KODEX WTI원유선물(H),-0.020491523361549132
KODEX WTI원유선물인버스(H),0.021136112443080522
KODEX 건설,0.09166125796465537
KODEX 게임산업,0.17056839581955585
KODEX 경기소비재,0.150435238590875
KODEX 고배당,0.0832906105276741
KODEX 골드선물(H),0.2945950841010715
KODEX 골드선물인버스(H),-0.27251468411501356
KODEX 구리선물(H),0.1388569398730008
KODEX 국고채3년,0.8016295875067987
KODEX 국채선물10년,0.7350108642740302
KODEX 국채선물10년인버스,-0.7602535431574542
KODEX 국채선물3년인버스,-0.7256675385555416
KODEX 글로벌로봇(합성),0.07504382079766173
KODEX 기계장비,0.09292055596975009
KODEX 단기변동금리부채권액티브,-0.06252709075856946
KODEX 단기채권,0.06808242947251164
KODEX 단기채권PLUS,0.001123447177488892
KODEX 레버리지,0.1861439312144328
KODEX 멀티에셋하이인컴(H),0.1512391746038853
KODEX 멀티팩터,0.1461461445079135
KODEX 모멘텀Plus,0.13973006103775007
KODEX 미국10년국채선물,0.08971027654434244
KODEX 미국30년국채울트라선물(H),0.4209940375829637
KODEX 미국S&P500TR,0.06235687122216339
KODEX 미국S&P500산업재(합성),0.0028466949355271756
KODEX 미국S&P500선물(H),0.2327862630989734
