ETF2,Correlation
ACE 200,0.9750303626664109
ACE 200TR,0.9780138216489459
ACE 2차전지&친환경차액티브,0.5367655281654304
ACE ESG액티브,0.8953184219175643
ACE Fn5G플러스,0.7916049827443378
ACE Fn성장소비주도주,0.6211703167724572
ACE 골드선물 레버리지(합성 H),0.2371589638611099
ACE 국고채10년,0.18218699632904775
ACE 국고채3년,0.21558798613497468
ACE 단기통안채,-0.018842581570258015
ACE 러시아MSCI(합성),0.08513451883529762
ACE 레버리지,0.9810718096870672
ACE 멕시코MSCI(합성),0.29953386013132693
ACE 미국IT인터넷S&P(합성 H),0.5248945779289965
ACE 미국S&P500,0.4552567885160502
ACE 미국WideMoat동일가중,0.4548633342733046
ACE 미국나스닥100,0.5024192346047941
ACE 미국다우존스리츠(합성 H),0.45853531666977154
ACE 미국친환경그린테마INDXX,0.4280845778113629
ACE 밸류대형,0.9209797963649086
ACE 베트남VN30(합성),0.13866009746336835
ACE 베트남VN30선물블룸버그레버리지(H),0.32488466988462117
ACE 삼성그룹동일가중,0.7391375322004694
ACE 삼성그룹섹터가중,0.8776333640069541
ACE 싱가포르리츠,0.18343323932923336
ACE 아시아TOP50S&P,0.6046458843926076
ACE 인도네시아MSCI(합성),0.24101410097894319
ACE 인버스,-0.9641793062061998
ACE 일본Nikkei225(H),0.5903478064210002
ACE 일본TOPIX레버리지(H),0.42231089196286864
ACE 일본TOPIX인버스(합성 H),-0.588461874057765
ACE 종합채권(AA-이상)KIS액티브,0.18778456899692064
ACE 중국본토CSI300,0.1551158112916502
ACE 중국본토CSI300레버리지(합성),0.17236065258498265
ACE 중장기국공채액티브,0.20601863807592416
ACE 차이나항셍테크,0.3804325924457777
ACE 코스닥150,0.6957305912891794
ACE 코스피,0.956756793920895
ACE 필리핀MSCI(합성),0.15101802849532642
BNK금융지주,0.46984752950320025
HANARO 200,0.9799904480329699
HANARO 200TR,0.977035987665609
HANARO 200선물레버리지,0.9734551124184132
HANARO 200선물인버스,-0.9532624050770203
HANARO e커머스,0.7129536412797092
HANARO Fn K-POP&미디어,0.46182093892540105
HANARO Fn K-게임,0.5168028142139016
HANARO Fn K-뉴딜디지털플러스,0.7272568227759685
HANARO Fn K-반도체,0.8224820091701073
HANARO Fn5G산업,0.803499440295042
HANARO Fn전기&수소차,0.7367344245959372
HANARO Fn친환경에너지,0.6294933722033976
HANARO KAP초장기국고채,0.2174090176533761
HANARO KRX300,0.9231079937038296
HANARO MSCI Korea TR,0.9234635455209499
HANARO 고배당,0.6555883843842781
HANARO 글로벌럭셔리S&P(합성),0.42483303901210945
HANARO 농업융복합산업,0.6256428598384234
HANARO 단기채권액티브,0.014424733516029563
HANARO 코스닥150,0.702422942095355
HANARO 코스닥150선물레버리지,0.7235274460989032
HANARO 탄소효율그린뉴딜,0.898473159064252
KODEX 200 중소형,0.746388730689331
KODEX 200,0.9812538440657029
KODEX 200ESG,0.9333933024780369
KODEX 200exTOP,0.8352868655135156
KODEX 200IT TR,0.8831840836695554
KODEX 200TR,0.98283779384169
KODEX 200가치저변동,0.878452088014652
KODEX 200동일가중,0.7840970772442054
KODEX 200롱코스닥150숏선물,-0.15600060151547432
KODEX 200미국채혼합,0.5837568772166729
