ETF2,Correlation
ACE 200,0.45045429197456593
ACE 200TR,0.4329449752677965
ACE 2차전지&친환경차액티브,0.24939335969689538
ACE ESG액티브,0.4483159249902939
ACE Fn5G플러스,0.4065879653149048
ACE Fn성장소비주도주,0.4272603386939915
ACE 골드선물 레버리지(합성 H),0.2124105912813858
ACE 국고채10년,0.13417213962210406
ACE 국고채3년,0.16521099517016788
ACE 단기통안채,-0.03582960129462081
ACE 러시아MSCI(합성),-0.002587951211090942
ACE 레버리지,0.4343163779530385
ACE 멕시코MSCI(합성),0.1595605082789709
ACE 미국IT인터넷S&P(합성 H),0.3100783267707294
ACE 미국S&P500,0.2880046969875192
ACE 미국WideMoat동일가중,0.3399088851981826
ACE 미국나스닥100,0.27296825112436446
ACE 미국다우존스리츠(합성 H),0.35482963619401325
ACE 미국친환경그린테마INDXX,0.33618365049658455
ACE 밸류대형,0.44921135068502094
ACE 베트남VN30(합성),0.12748760531703135
ACE 베트남VN30선물블룸버그레버리지(H),0.25961159324338573
ACE 삼성그룹동일가중,0.3000227911167043
ACE 삼성그룹섹터가중,0.38026982966856276
ACE 싱가포르리츠,0.19601345590092767
ACE 아시아TOP50S&P,0.30139221702149743
ACE 인도네시아MSCI(합성),0.13226377300886977
ACE 인버스,-0.44501338103073784
ACE 일본Nikkei225(H),0.32528884745779163
ACE 일본TOPIX레버리지(H),0.2902087890780046
ACE 일본TOPIX인버스(합성 H),-0.35373024921439766
ACE 종합채권(AA-이상)KIS액티브,0.11055620048635008
ACE 중국본토CSI300,0.10856972120574811
ACE 중국본토CSI300레버리지(합성),0.09882429039804265
ACE 중장기국공채액티브,0.17684021053382698
ACE 차이나항셍테크,0.20560478007067384
ACE 코스닥150,0.378837174818186
ACE 코스피,0.45933598884798854
ACE 필리핀MSCI(합성),0.12995574961449152
BNK금융지주,0.3239548364060607
HANARO 200,0.4515094598431434
HANARO 200TR,0.4434325125383335
HANARO 200선물레버리지,0.4366786962969686
HANARO 200선물인버스,-0.4322894957733516
HANARO e커머스,0.4239433957765955
HANARO Fn K-POP&미디어,0.3060585009971766
HANARO Fn K-게임,0.32341371549918246
HANARO Fn K-뉴딜디지털플러스,0.33749729160348224
HANARO Fn K-반도체,0.3546536174396515
HANARO Fn5G산업,0.42288377279538075
HANARO Fn전기&수소차,0.3639683580223237
HANARO Fn친환경에너지,0.33465214578470237
HANARO KAP초장기국고채,0.14910768890129655
HANARO KRX300,0.43569119772915577
HANARO MSCI Korea TR,0.4026062218436491
HANARO 고배당,0.4362773939654914
HANARO 글로벌럭셔리S&P(합성),0.286170101817661
HANARO 농업융복합산업,0.41940295741887645
HANARO 단기채권액티브,-0.011327619025759919
HANARO 코스닥150,0.3651913087955305
HANARO 코스닥150선물레버리지,0.37049857529571534
HANARO 탄소효율그린뉴딜,0.42078745577174254
KODEX 200 중소형,0.47324245121207575
KODEX 200,0.45026106215204675
KODEX 200ESG,0.42362231896051533
KODEX 200exTOP,0.46423806961086483
KODEX 200IT TR,0.37816575982022893
KODEX 200TR,0.4402428225204604
KODEX 200가치저변동,0.4495520749990802
KODEX 200동일가중,0.5037844317083133
KODEX 200롱코스닥150숏선물,-0.14150313579092005
KODEX 200미국채혼합,0.30005339125109454
KODEX 200선물인버스2X,-0.4406334813450497
KODEX 2차전지산업,0.234621071796783
KODEX 3대농산물선물(H),0.0639613676814731
KODEX IT,0.38066853194185096
KODEX K-뉴딜디지털플러스,0.3538578148049841
KODEX K-미래차액티브,0.3971944855408744
KODEX K-신재생에너지액티브,0.3285717200499823
KODEX K-이노베이션액티브,0.38091026954831053
KODEX KRX300,0.4551139121322168
KODEX KRX300레버리지,0.4488148371281683
KODEX KTOP30,0.4257539819658918
KODEX MSCI EM선물(H),0.37332036026111964
KODEX MSCI KOREA ESG유니버설,0.4447285767867377
KODEX MSCI Korea TR,0.4232245715076033
KODEX MSCI Korea,0.4372323016390729
KODEX MSCI모멘텀,0.3401779581441093
KODEX MSCI밸류,0.4438864512690819
KODEX MSCI퀄리티,0.43308911569352143
KODEX S&P글로벌인프라(합성),0.2434927789768956
KODEX Top10동일가중,0.3659816742459386
KODEX Top5PlusTR,0.3717948562029306
KODEX TRF3070,0.341928939302863
KODEX TRF5050,0.23145937788654353
KODEX TRF7030,0.2654281999546807
KODEX WTI원유선물(H),0.14353517713782865
KODEX WTI원유선물인버스(H),-0.1427337137358223
KODEX 건설,0.36264999924272207
KODEX 게임산업,0.3184103637504033
KODEX 경기소비재,0.4197060470869411
KODEX 고배당,0.47938108631032134
KODEX 골드선물(H),0.19692187153717858
KODEX 골드선물인버스(H),-0.18853964075034033
KODEX 구리선물(H),0.21808388485989738
KODEX 국고채3년,0.15148500580749935
KODEX 국채선물10년,0.15608251053022767
KODEX 국채선물10년인버스,-0.1557578093592825
KODEX 국채선물3년인버스,-0.176515999757382
KODEX 글로벌로봇(합성),0.35327646497039483
KODEX 기계장비,0.3529351483226218
KODEX 단기변동금리부채권액티브,-0.005842352345255894
KODEX 단기채권,0.037753338439261604
KODEX 단기채권PLUS,0.13103872709916797
KODEX 레버리지,0.4346409030624529
KODEX 멀티에셋하이인컴(H),0.2079604105452929
KODEX 멀티팩터,0.40628064586612794
KODEX 모멘텀Plus,0.3523828895007688
KODEX 미국10년국채선물,-0.17846577064177543
KODEX 미국30년국채울트라선물(H),0.12874205642811773
KODEX 미국S&P500TR,0.2848601022234073
