ETF2,Correlation
ACE 200,0.5417762387668471
ACE 200TR,0.5319528154331891
ACE 2차전지&친환경차액티브,0.3402863727211237
ACE ESG액티브,0.5145858793718059
ACE Fn5G플러스,0.44291463984820434
ACE Fn성장소비주도주,0.3971414742401798
ACE 골드선물 레버리지(합성 H),0.4294590901414027
ACE 국고채10년,0.29807698305187036
ACE 국고채3년,0.3662440436811914
ACE 단기통안채,-0.005120607150669458
ACE 러시아MSCI(합성),0.06139858932536148
ACE 레버리지,0.5356109404740024
ACE 멕시코MSCI(합성),0.06466992510429483
ACE 미국IT인터넷S&P(합성 H),0.42039600483257245
ACE 미국S&P500,-0.003491590387407243
ACE 미국WideMoat동일가중,0.10022834377056723
ACE 미국나스닥100,0.13067690455838094
ACE 미국다우존스리츠(합성 H),0.404233817838105
ACE 미국친환경그린테마INDXX,0.1577279469828642
ACE 밸류대형,0.48495061097850184
ACE 베트남VN30(합성),-0.10994886488243936
ACE 베트남VN30선물블룸버그레버리지(H),0.24320952841098817
ACE 삼성그룹동일가중,0.4097763941681597
ACE 삼성그룹섹터가중,0.46414783356346423
ACE 싱가포르리츠,0.01825414820432249
ACE 아시아TOP50S&P,0.31172945507833216
ACE 인도네시아MSCI(합성),-0.029302767970867196
ACE 인버스,-0.5308328925540443
ACE 일본Nikkei225(H),0.24448120830059275
ACE 일본TOPIX레버리지(H),0.15182011516873925
ACE 일본TOPIX인버스(합성 H),-0.24888225856501342
ACE 종합채권(AA-이상)KIS액티브,0.3622256115413938
ACE 중국본토CSI300,0.012642176234855541
ACE 중국본토CSI300레버리지(합성),0.007462600280549439
ACE 중장기국공채액티브,0.34498796962441364
ACE 차이나항셍테크,0.294905240375978
ACE 코스닥150,0.45093679416644655
ACE 코스피,0.5353861612875476
ACE 필리핀MSCI(합성),-0.07994097044625015
BNK금융지주,0.27055149902067754
HANARO 200,0.5376976256215137
HANARO 200TR,0.5379701779031949
HANARO 200선물레버리지,0.5325135187249677
HANARO 200선물인버스,-0.5181275419224054
HANARO e커머스,0.49435458791089715
HANARO Fn K-POP&미디어,0.3154283183566716
HANARO Fn K-게임,0.38790906515149043
HANARO Fn K-뉴딜디지털플러스,0.46920517919560667
HANARO Fn K-반도체,0.4386653074227164
HANARO Fn5G산업,0.4282254834546458
HANARO Fn전기&수소차,0.4118352856431835
HANARO Fn친환경에너지,0.40401562677677383
HANARO KAP초장기국고채,0.31724079517042514
HANARO KRX300,0.5280936382729355
HANARO MSCI Korea TR,0.5172307131103658
HANARO 고배당,0.3429877934439286
HANARO 글로벌럭셔리S&P(합성),0.1512610699066051
HANARO 농업융복합산업,0.33417567009352983
HANARO 단기채권액티브,0.023840496930554393
HANARO 코스닥150,0.4492464618871431
HANARO 코스닥150선물레버리지,0.471068639798457
HANARO 탄소효율그린뉴딜,0.5041929269235068
KODEX 200 중소형,0.4073825478941026
KODEX 200,0.5395200475566474
KODEX 200ESG,0.5273839902232509
KODEX 200exTOP,0.4958919548967425
KODEX 200IT TR,0.47410395243978193
KODEX 200TR,0.5364986880333291
KODEX 200가치저변동,0.45992982603397115
KODEX 200동일가중,0.4490611318557812
KODEX 200롱코스닥150숏선물,-0.17404598508409064
