ETF2,Correlation
ACE 200,0.524610263673111
ACE 200TR,0.5279647782617474
ACE 2차전지&친환경차액티브,0.31748504036128666
ACE ESG액티브,0.531213610028032
ACE Fn5G플러스,0.5507215385103517
ACE Fn성장소비주도주,0.42903898848406685
ACE 골드선물 레버리지(합성 H),0.05290205386821852
ACE 국고채10년,0.10300862309004538
ACE 국고채3년,0.11213772646561895
ACE 단기통안채,0.03324164591432673
ACE 러시아MSCI(합성),0.044764598331985817
ACE 레버리지,0.5264526667433607
ACE 멕시코MSCI(합성),0.291896230027966
ACE 미국IT인터넷S&P(합성 H),0.6989167825370348
ACE 미국S&P500,0.8402230357190603
ACE 미국WideMoat동일가중,0.702374431258464
ACE 미국나스닥100,0.9573379510488428
ACE 미국다우존스리츠(합성 H),0.3723675790518614
ACE 미국친환경그린테마INDXX,0.5510905592828315
ACE 밸류대형,0.46513840019968306
ACE 베트남VN30(합성),0.24633278365449243
ACE 베트남VN30선물블룸버그레버리지(H),0.30292708527039974
ACE 삼성그룹동일가중,0.24932590893041598
ACE 삼성그룹섹터가중,0.43656627677053744
ACE 싱가포르리츠,0.19062831400302518
ACE 아시아TOP50S&P,0.4736005850886682
ACE 인도네시아MSCI(합성),0.29235278226660566
ACE 인버스,-0.5301524834599018
ACE 일본Nikkei225(H),0.612150600074884
ACE 일본TOPIX레버리지(H),0.4323225828543451
ACE 일본TOPIX인버스(합성 H),-0.56815484019928
ACE 종합채권(AA-이상)KIS액티브,0.0657515421568657
ACE 중국본토CSI300,0.13965780088092394
ACE 중국본토CSI300레버리지(합성),0.15403184587259308
ACE 중장기국공채액티브,0.12064717549589397
ACE 차이나항셍테크,0.26438555756348364
ACE 코스닥150,0.4886575507410094
ACE 코스피,0.49612383065613785
ACE 필리핀MSCI(합성),0.204401964545891
BNK금융지주,0.17282983048844086
HANARO 200,0.5265532309848949
HANARO 200TR,0.5255275707580255
HANARO 200선물레버리지,0.5344273050764089
HANARO 200선물인버스,-0.5447758083188601
HANARO e커머스,0.42542862539503834
HANARO Fn K-POP&미디어,0.33909496732237576
HANARO Fn K-게임,0.3637691780634109
HANARO Fn K-뉴딜디지털플러스,0.43785115643884
HANARO Fn K-반도체,0.558784906060492
HANARO Fn5G산업,0.5308690521177877
HANARO Fn전기&수소차,0.3865362216564924
HANARO Fn친환경에너지,0.31403626865537004
HANARO KAP초장기국고채,0.11493751264190973
HANARO KRX300,0.5224381099550836
HANARO MSCI Korea TR,0.5039489189418846
HANARO 고배당,0.24546793218573768
HANARO 글로벌럭셔리S&P(합성),0.5128482417369233
HANARO 농업융복합산업,0.3198250835980286
HANARO 단기채권액티브,0.005193239053288804
HANARO 코스닥150,0.49121843643524626
HANARO 코스닥150선물레버리지,0.48585472196127116
HANARO 탄소효율그린뉴딜,0.47075904863970125
KODEX 200 중소형,0.3944835978076117
KODEX 200,0.5260237631813584
KODEX 200ESG,0.49377431994298143
KODEX 200exTOP,0.47581465657759614
KODEX 200IT TR,0.5604765071947928
KODEX 200TR,0.5172843348416956
KODEX 200가치저변동,0.43292802183682516
KODEX 200동일가중,0.425232454503081
KODEX 200롱코스닥150숏선물,-0.2256504885684625
KODEX 200미국채혼합,0.4081792413061802
KODEX 200선물인버스2X,-0.5324186646896951
KODEX 2차전지산업,0.29395422074833155
KODEX 3대농산물선물(H),-0.010970256210317457
KODEX IT,0.5701790409291905
KODEX K-뉴딜디지털플러스,0.439232443329317
KODEX K-미래차액티브,0.5037338667806498
KODEX K-신재생에너지액티브,0.3606539374858426
KODEX K-이노베이션액티브,0.5055107238294799
KODEX KRX300,0.5388189348896189
KODEX KRX300레버리지,0.5579537256874829
KODEX KTOP30,0.49158122502576995
KODEX MSCI EM선물(H),0.4277591148232225
KODEX MSCI KOREA ESG유니버설,0.5186552274993418
KODEX MSCI Korea TR,0.5184773929374594
KODEX MSCI Korea,0.5404516432932639
KODEX MSCI모멘텀,0.4245043500020813
KODEX MSCI밸류,0.4249945045768134
KODEX MSCI퀄리티,0.5513098758393616
KODEX S&P글로벌인프라(합성),0.2655825174674351
KODEX Top10동일가중,0.4670851065070118
KODEX Top5PlusTR,0.5188858827731374
KODEX TRF3070,0.5201600142110662
KODEX TRF5050,0.5685918097438489
KODEX TRF7030,0.6591340695627044
KODEX WTI원유선물(H),0.06958701310484632
KODEX WTI원유선물인버스(H),-0.07012243381895265
KODEX 건설,0.29035688348319605
KODEX 게임산업,0.37373356666444346
KODEX 경기소비재,0.37614266984840017
KODEX 고배당,0.26232692545124214
KODEX 골드선물(H),0.04591709796282984
KODEX 골드선물인버스(H),-0.050377952944143295
KODEX 구리선물(H),0.19763373287885014
KODEX 국고채3년,0.11203836610508898
KODEX 국채선물10년,0.07972595132242608
KODEX 국채선물10년인버스,-0.12235442079772162
KODEX 국채선물3년인버스,-0.11383457889010183
KODEX 글로벌로봇(합성),0.6519171502844088
KODEX 기계장비,0.30965613847779366
KODEX 단기변동금리부채권액티브,-0.03480481597150015
KODEX 단기채권,-0.020350849269633906
KODEX 단기채권PLUS,0.04722035066430143
KODEX 레버리지,0.5277610070834772
KODEX 멀티에셋하이인컴(H),0.21316962866203043
KODEX 멀티팩터,0.45752843968019197
KODEX 모멘텀Plus,0.3757983836445455
KODEX 미국10년국채선물,-0.13701021963777388
KODEX 미국30년국채울트라선물(H),0.025881266684057182
KODEX 미국S&P500TR,0.8410153020081383
KODEX 미국S&P500산업재(합성),0.5468951210564266
KODEX 미국S&P500선물(H),0.8046182917078686
KODEX 미국S&P500에너지(합성),0.09560401477585757
KODEX 미국S&P바이오(합성),0.4298065123828638
KODEX 미국나스닥100TR,0.9549167364207454
KODEX 미국나스닥100선물(H),0.8988481888982054
KODEX 미국달러선물,-0.17925266473056947
KODEX 미국달러선물레버리지,-0.1817372500346496
KODEX 미국달러선물인버스,0.17734189675952222
KODEX 미국달러선물인버스2X,0.17809289032402278
KODEX 미국러셀2000(H),0.5805412563939344
KODEX 미국반도체MV,0.8179521240736691
KODEX 미국부동산리츠(H),0.43945263025666953
KODEX 미국빅테크10(H),0.876254124170115
